Date,Close,VNO
26/07/2012,82.62,0.014385229
25/07/2012,81.44,-0.001840153
24/07/2012,81.59,-0.009393177
23/07/2012,82.36,-0.0135072
20/07/2012,83.48,-0.010723324
19/07/2012,84.38,-0.014238047
18/07/2012,85.59,-0.009997758
17/07/2012,86.45,0.005451501
16/07/2012,85.98,0.001629613
13/07/2012,85.84,0.018221864
12/07/2012,84.29,0.002256667
11/07/2012,84.1,0.004648122
10/07/2012,83.71,-0.009984631
09/07/2012,84.55,-0.001418272
06/07/2012,84.67,-0.000354254
05/07/2012,84.7,-0.000708132
03/07/2012,84.76,0.003190549
02/07/2012,84.49,0.006054509
29/06/2012,83.98,0.030466573
28/06/2012,81.46,0.009373527
27/06/2012,80.7,0.004719919
26/06/2012,80.32,0.006495151
25/06/2012,79.8,-0.009354605
22/06/2012,80.55,-0.002232144
21/06/2012,80.73,-0.018166696
20/06/2012,82.21,-0.00545886
19/06/2012,82.66,0.000120985
18/06/2012,82.65,0.010337581
15/06/2012,81.8,0.006869507
14/06/2012,81.24,0.014631383
13/06/2012,80.06,-0.006970404
12/06/2012,80.62,0.001241157
11/06/2012,80.52,-0.025988224
08/06/2012,82.64,0.010583397
07/06/2012,81.77,-0.004271164
06/06/2012,82.12,0.019800192
05/06/2012,80.51,0.013883032
04/06/2012,79.4,-0.007903196
01/06/2012,80.03,-0.023341597
31/05/2012,81.92,0.002689159
30/05/2012,81.7,-0.027286493
29/05/2012,83.96,0.010295793
25/05/2012,83.1,-0.0016833
24/05/2012,83.24,0.004334223
23/05/2012,82.88,-0.000964785
22/05/2012,82.96,0.00132682
21/05/2012,82.85,0.01913176
18/05/2012,81.28,-0.014170772
17/05/2012,82.44,-0.026454353
16/05/2012,84.65,-0.020231059
15/05/2012,86.38,-0.007266887
14/05/2012,87.01,-0.005158491
11/05/2012,87.46,0.005273427
10/05/2012,87,-0.009495009
09/05/2012,87.83,-0.002728825
08/05/2012,88.07,0.006036121
07/05/2012,87.54,0.01449801
04/05/2012,86.28,-0.009918199
03/05/2012,87.14,-0.005264977
02/05/2012,87.6,0.001256497
01/05/2012,87.49,0.019039403
30/04/2012,85.84,-0.001862198
27/04/2012,86,0.007469689
26/04/2012,85.36,0.004579354
25/04/2012,84.97,0.004482197
24/04/2012,84.59,0.02162957
23/04/2012,82.78,-0.010694004
20/04/2012,83.67,0.008883612
19/04/2012,82.93,-0.00156636
18/04/2012,83.06,-0.001082967
17/04/2012,83.15,0.012099361
16/04/2012,82.15,0.027270491
13/04/2012,79.94,-0.013543103
12/04/2012,81.03,0.014669582
11/04/2012,79.85,0.006533507
10/04/2012,79.33,-0.019844645
09/04/2012,80.92,-0.013258235
05/04/2012,82,-0.010191789
04/04/2012,82.84,-0.015689884
03/04/2012,84.15,-0.004978673
02/04/2012,84.57,0.004384673
30/03/2012,84.2,0.008947271
29/03/2012,83.45,-0.001197605
28/03/2012,83.55,-0.006680211
27/03/2012,84.11,-0.000237756
26/03/2012,84.13,0.008355265
23/03/2012,83.43,0.000479559
22/03/2012,83.39,-0.010260171
21/03/2012,84.25,-0.007096422
20/03/2012,84.85,0.001061258
19/03/2012,84.76,0.011152091
16/03/2012,83.82,0.004184357
15/03/2012,83.47,0.005285298
14/03/2012,83.03,-0.000602011
13/03/2012,83.08,0.030553519
12/03/2012,80.58,0.006973876
09/03/2012,80.02,0.001500751
08/03/2012,79.9,-0.01268516
07/03/2012,80.92,0.010684659
06/03/2012,80.06,-0.014508283
05/03/2012,81.23,-0.007114848
02/03/2012,81.81,-0.000122227
01/03/2012,81.82,0.001100581
29/02/2012,81.73,-0.006828462
28/02/2012,82.29,-0.023064085
27/02/2012,84.21,-0.006156051
24/02/2012,84.73,0.002244935
23/02/2012,84.54,0.009627459
22/02/2012,83.73,-0.00773307
21/02/2012,84.38,-0.006143687
17/02/2012,84.9,-0.003409963
16/02/2012,85.19,0.016331724
15/02/2012,83.81,0.000835572
14/02/2012,83.74,-0.013286079
13/02/2012,84.86,0.01495932
10/02/2012,83.6,-0.007745049
09/02/2012,84.25,-0.017414253
08/02/2012,85.73,-0.000466472
07/02/2012,85.77,-0.002678001
06/02/2012,86,-0.000116272
03/02/2012,86.01,0.028659312
02/02/2012,83.58,0.015554663
01/02/2012,82.29,0.017283019
31/01/2012,80.88,0.013317765
30/01/2012,79.81,-0.015047228
27/01/2012,81.02,-0.00148002
26/01/2012,81.14,-0.011030875
25/01/2012,82.04,0.006481221
24/01/2012,81.51,0.010234999
23/01/2012,80.68,0.00235776
20/01/2012,80.49,0.005106818
19/01/2012,80.08,0.000499625
18/01/2012,80.04,0.014091829
17/01/2012,78.92,-0.005307734
13/01/2012,79.34,0.00644878
12/01/2012,78.83,-0.006826828
11/01/2012,79.37,0.010894458
10/01/2012,78.51,0.016049648
09/01/2012,77.26,0.00415046
06/01/2012,76.94,0.001560874
05/01/2012,76.82,0.013762587
04/01/2012,75.77,-0.023091496
03/01/2012,77.54,0.008808347
30/12/2011,76.86,-0.000780336
29/12/2011,76.92,0.014535711
28/12/2011,75.81,-0.014795687
27/12/2011,76.94,-0.002077383
23/12/2011,77.1,0.002077383
22/12/2011,76.94,0.011897898
21/12/2011,76.03,-0.006293452
20/12/2011,76.51,0.045593084
19/12/2011,73.1,-0.015340014
16/12/2011,74.23,0.009882975
15/12/2011,73.5,0.015217238
14/12/2011,72.39,0.007487556
13/12/2011,71.85,-0.006796614
12/12/2011,72.34,-0.02848186
09/12/2011,74.43,0.017346959
08/12/2011,73.15,-0.028303776
07/12/2011,75.25,0.012974167
06/12/2011,74.28,-0.002420332
05/12/2011,74.46,0.006196975
02/12/2011,74,-0.001350439
01/12/2011,74.1,-0.004712227
30/11/2011,74.45,0.046040422
29/11/2011,71.1,-0.013134183
28/11/2011,72.04,0.018351709
25/11/2011,70.73,0.0075215
23/11/2011,70.2,-0.033892055
22/11/2011,72.62,-0.008637882
21/11/2011,73.25,-0.033296135
18/11/2011,75.73,0.004897753
17/11/2011,75.36,-0.021788498
16/11/2011,77.02,-0.020179336
15/11/2011,78.59,0.010103034
14/11/2011,77.8,-0.027635172
11/11/2011,79.98,0.02493958
10/11/2011,78.01,-0.016779344
09/11/2011,79.33,-0.054458581
08/11/2011,83.77,0.028822533
07/11/2011,81.39,0.010995231
04/11/2011,80.5,-0.024298655
03/11/2011,82.48,0.02095023
02/11/2011,80.77,0.014968472
01/11/2011,79.57,-0.03991169
31/10/2011,82.81,-0.003616205
28/10/2011,83.11,0.005308252
27/10/2011,82.67,0.039980649
26/10/2011,79.43,0.001890241
25/10/2011,79.28,-0.019362294
24/10/2011,80.83,0.029249559
21/10/2011,78.5,0.02410998
20/10/2011,76.63,0.016314005
19/10/2011,75.39,-0.01748779
18/10/2011,76.72,0.031378758
17/10/2011,74.35,-0.025233743
14/10/2011,76.25,0.029817196
13/10/2011,74.01,-0.005793213
12/10/2011,74.44,0.015432823
11/10/2011,73.3,-0.011799147
10/10/2011,74.17,0.058293177
07/10/2011,69.97,-0.047857357
06/10/2011,73.4,0.015238129
05/10/2011,72.29,0.002770469
04/10/2011,72.09,0.022018981
03/10/2011,70.52,-0.05651221
30/09/2011,74.62,-0.040189256
29/09/2011,77.68,0.004386538
28/09/2011,77.34,-0.021236566
27/09/2011,79,-0.002654701
26/09/2011,79.21,0.008112606
23/09/2011,78.57,0.010491396
22/09/2011,77.75,-0.018856464
21/09/2011,79.23,-0.051652942
20/09/2011,83.43,0.000239751
19/09/2011,83.41,-0.030695362
16/09/2011,86.01,-0.003481898
15/09/2011,86.31,0.023207793
14/09/2011,84.33,0.002731107
13/09/2011,84.1,0.010278565
12/09/2011,83.24,0.013789985
09/09/2011,82.1,-0.045478614
08/09/2011,85.92,-0.010535553
07/09/2011,86.83,0.037549877
06/09/2011,83.63,-0.00107559
02/09/2011,83.72,-0.019399709
01/09/2011,85.36,-0.00642263
31/08/2011,85.91,0.010178503
30/08/2011,85.04,0.010758512
29/08/2011,84.13,0.026986338
26/08/2011,81.89,0.0130287
25/08/2011,80.83,-0.011072948
24/08/2011,81.73,0.012187016
23/08/2011,80.74,0.025336863
22/08/2011,78.72,-0.003803732
19/08/2011,79.02,-0.022152211
18/08/2011,80.79,-0.049149644
17/08/2011,84.86,0.007689161
16/08/2011,84.21,-0.013095215
15/08/2011,85.32,0.032278155
12/08/2011,82.61,0.006923805
11/08/2011,82.04,0.056799973
10/08/2011,77.51,-0.025224267
09/08/2011,79.49,0.086954196
08/08/2011,72.87,-0.103052378
05/08/2011,80.78,-0.028435621
04/08/2011,83.11,-0.045972946
03/08/2011,87.02,-0.006643021
02/08/2011,87.6,-0.05237148
