Date,Close,BXP
14/09/2012,116.07,0.010740684
13/09/2012,114.83,0.018191108
12/09/2012,112.76,0.000709723
11/09/2012,112.68,-0.004692558
10/09/2012,113.21,-0.010194306
07/09/2012,114.37,0.012493564
06/09/2012,112.95,0.005059257
05/09/2012,112.38,-0.003375681
04/09/2012,112.76,0.005602754
31/08/2012,112.13,0.006531585
30/08/2012,111.4,-0.00403136
29/08/2012,111.85,0
28/08/2012,111.85,0.003762097
27/08/2012,111.43,-0.003672687
24/08/2012,111.84,0.002327456
23/08/2012,111.58,-0.000358423
22/08/2012,111.62,0.002421852
21/08/2012,111.35,8.98109E-05
20/08/2012,111.34,-0.003765132
17/08/2012,111.76,-0.002055867
16/08/2012,111.99,0.005820999
15/08/2012,111.34,0.007030223
14/08/2012,110.56,-0.003971841
13/08/2012,111,0.002706362
10/08/2012,110.7,0.00162734
09/08/2012,110.52,-0.002440017
08/08/2012,110.79,-0.015583335
07/08/2012,112.53,-0.00567126
06/08/2012,113.17,0.001503294
03/08/2012,113,0.010586817
02/08/2012,111.81,0.00547062
01/08/2012,111.2,0.002701487
31/07/2012,110.9,0.004337618
30/07/2012,110.42,-0.003345241
27/07/2012,110.79,0.006156651
26/07/2012,110.11,0.012704096
25/07/2012,108.72,0.001657001
24/07/2012,108.54,-0.004871109
23/07/2012,109.07,-0.007853922
20/07/2012,109.93,-0.003813333
19/07/2012,110.35,-0.006053233
18/07/2012,111.02,-0.008341978
17/07/2012,111.95,0.013036822
16/07/2012,110.5,-0.000814148
13/07/2012,110.59,0.015399639
12/07/2012,108.9,-0.000459031
11/07/2012,108.95,0.004599824
10/07/2012,108.45,-0.010821822
09/07/2012,109.63,-0.005004332
06/07/2012,110.18,0.007378763
05/07/2012,109.37,-0.008013885
03/07/2012,110.25,0.0061869
02/07/2012,109.57,0.011012316
29/06/2012,108.37,0.032925171
28/06/2012,104.86,0.009678577
27/06/2012,103.85,-0.002404425
26/06/2012,104.1,9.60661E-05
25/06/2012,104.09,0.007521733
22/06/2012,103.31,-0.003189179
21/06/2012,103.64,-0.018166672
20/06/2012,105.54,0.002181647
19/06/2012,105.31,0.003519623
18/06/2012,104.94,0.008709439
15/06/2012,104.03,0.007913572
14/06/2012,103.21,0.016706949
13/06/2012,101.5,-0.005502077
12/06/2012,102.06,0.001667076
11/06/2012,101.89,-0.0319695
08/06/2012,105.2,0.01291575
07/06/2012,103.85,-0.002692568
06/06/2012,104.13,0.024695013
05/06/2012,101.59,0.013078558
04/06/2012,100.27,-0.010318576
01/06/2012,101.31,-0.015864022
31/05/2012,102.93,0.002529184
30/05/2012,102.67,-0.025578318
29/05/2012,105.33,0.014150729
25/05/2012,103.85,-0.001924003
24/05/2012,104.05,0.004334223
23/05/2012,103.6,0.003093583
