Date,Close,PSX
03/12/2013,70.6,-0.010707344
02/12/2013,71.36,0.024829253
29/11/2013,69.61,-0.007299825
27/11/2013,70.12,0.019731324
26/11/2013,68.75,0.001601281
25/11/2013,68.64,0.002333723
22/11/2013,68.48,0.014414134
21/11/2013,67.5,0.006987318
20/11/2013,67.03,-0.010979339
19/11/2013,67.77,0.008297573
18/11/2013,67.21,0.001638002
15/11/2013,67.1,-0.006832048
14/11/2013,67.56,0.022604061
13/11/2013,66.05,0.009736879
12/11/2013,65.41,-0.001222307
11/11/2013,65.49,0.001987009
08/11/2013,65.36,0.023530497
07/11/2013,63.84,-0.008112369
06/11/2013,64.36,0.001399363
05/11/2013,64.27,-0.002641599
04/11/2013,64.44,0.004822285
01/11/2013,64.13,-0.00466709
31/10/2013,64.43,-0.012340123
30/10/2013,65.23,0.016851292
29/10/2013,64.14,0.013498871
28/10/2013,63.28,-0.001894538
25/10/2013,63.4,0.002684989
24/10/2013,63.23,-0.0223639
23/10/2013,64.66,-0.003396638
22/10/2013,64.88,0.015063566
21/10/2013,63.91,0.006750948
18/10/2013,63.48,0.020048404
17/10/2013,62.22,0.024238682
16/10/2013,60.73,0.020461497
15/10/2013,59.5,-0.016336419
14/10/2013,60.48,0.009135517
11/10/2013,59.93,0.022954594
10/10/2013,58.57,0.028927279
09/10/2013,56.9,0.000175762
08/10/2013,56.89,-0.017597806
07/10/2013,57.9,-0.021697272
04/10/2013,59.17,-0.006569551
03/10/2013,59.56,0.006400561
02/10/2013,59.18,0.021866262
01/10/2013,57.9,0.001382648
30/09/2013,57.82,-0.012204707
27/09/2013,58.53,0.000854628
26/09/2013,58.48,0.007380107
25/09/2013,58.05,0.004835098
24/09/2013,57.77,0.006251106
23/09/2013,57.41,-0.009016881
20/09/2013,57.93,-0.003790494
19/09/2013,58.15,0.015598237
18/09/2013,57.25,0.021183493
17/09/2013,56.05,-0.013820206
16/09/2013,56.83,-0.005265017
13/09/2013,57.13,0.011974082
12/09/2013,56.45,-0.008467152
11/09/2013,56.93,0.002462189
10/09/2013,56.79,-0.011902819
09/09/2013,57.47,0.000870398
06/09/2013,57.42,-0.006596101
05/09/2013,57.8,-0.021057014
04/09/2013,59.03,0.015708023
03/09/2013,58.11,0.017533649
30/08/2013,57.1,-0.010799617
29/08/2013,57.72,-0.005356384
28/08/2013,58.03,0.016156002
27/08/2013,57.1,-0.017877765
26/08/2013,58.13,0.000344116
23/08/2013,58.11,0
22/08/2013,58.11,0.002757196
21/08/2013,57.95,0.016353879
20/08/2013,57.01,0.029730717
19/08/2013,55.34,-0.017198561
16/08/2013,56.3,-0.014984855
15/08/2013,57.15,-0.028292382
14/08/2013,58.79,-0.005089933
13/08/2013,59.09,0.015691947
12/08/2013,58.17,-0.012810834
09/08/2013,58.92,-0.001356852
08/08/2013,59,0.017784326
07/08/2013,57.96,-0.006020488
06/08/2013,58.31,0.00878483
05/08/2013,57.8,-0.010498332
02/08/2013,58.41,-0.035486781
01/08/2013,60.52,-0.016063286
31/07/2013,61.5,0.050523373
30/07/2013,58.47,-0.008345446
29/07/2013,58.96,-0.000678196
26/07/2013,59,-0.007093426
25/07/2013,59.42,0.009808974
24/07/2013,58.84,-0.010986335
23/07/2013,59.49,0.026055114
22/07/2013,57.96,0.008142098
19/07/2013,57.49,0.009964246
18/07/2013,56.92,-0.019485655
17/07/2013,58.04,0.006915657
16/07/2013,57.64,-0.027211399
15/07/2013,59.23,0.002366465
12/07/2013,59.09,0.022765211
11/07/2013,57.76,0.029338951
10/07/2013,56.09,-0.042240136
09/07/2013,58.51,-0.004093473
08/07/2013,58.75,0.026038198
05/07/2013,57.24,-0.007657538
03/07/2013,57.68,0.0104567
02/07/2013,57.08,-0.031387298
01/07/2013,58.9,-0.000169765
28/06/2013,58.91,-0.005248467
27/06/2013,59.22,-0.00840765
26/06/2013,59.72,0.00520441
25/06/2013,59.41,0.038083504
24/06/2013,57.19,-0.035386722
21/06/2013,59.25,-0.019057748
20/06/2013,60.39,-0.052261529
19/06/2013,63.63,-0.011873284
18/06/2013,64.39,0.002020988
17/06/2013,64.26,0.007027436
14/06/2013,63.81,-0.010910333
13/06/2013,64.51,0.018776956
12/06/2013,63.31,-0.010214593
11/06/2013,63.96,-0.017820259
10/06/2013,65.11,-0.011604955
07/06/2013,65.87,0.013295833
06/06/2013,65,0.021616579
05/06/2013,63.61,-0.024381983
04/06/2013,65.18,-0.013713456
03/06/2013,66.08,-0.007387896
31/05/2013,66.57,-0.002999852
30/05/2013,66.77,-0.001047826
29/05/2013,66.84,0.004799049
28/05/2013,66.52,0.015910632
24/05/2013,65.47,0.003365976
23/05/2013,65.25,-0.002143295
22/05/2013,65.39,-0.000458681
21/05/2013,65.42,-0.008220476
20/05/2013,65.96,0.007609229
17/05/2013,65.46,0.025059316
16/05/2013,63.84,-0.01723779
15/05/2013,64.95,0.01348544
14/05/2013,64.08,0.033481906
13/05/2013,61.97,0.009566348
10/05/2013,61.38,-0.012144915
09/05/2013,62.13,-0.020392614
08/05/2013,63.41,-0.01673352
07/05/2013,64.48,0.009505331
06/05/2013,63.87,0.026816363
03/05/2013,62.18,0.030701301
02/05/2013,60.3,0.010502722
01/05/2013,59.67,-0.021224474
30/04/2013,60.95,-0.013849509
29/04/2013,61.8,0.003241494
26/04/2013,61.6,-0.004858309
25/04/2013,61.9,0.001293243
24/04/2013,61.82,0.010897075
23/04/2013,61.15,0.028530713
22/04/2013,59.43,0.027118572
19/04/2013,57.84,0.010602341
18/04/2013,57.23,-0.013192345
17/04/2013,57.99,-0.022001399
16/04/2013,59.28,0.030139268
15/04/2013,57.52,-0.053316629
12/04/2013,60.67,-0.02184632
11/04/2013,62.01,-0.029397525
10/04/2013,63.86,-0.012449585
