Date,Close,HD
04/04/2013,70.69,0.0046792
03/04/2013,70.36,-0.009336608
02/04/2013,71.02,0.019191718
01/04/2013,69.67,-0.001577627
28/03/2013,69.78,0.001864736
27/03/2013,69.65,-0.005726573
26/03/2013,70.05,0.008314268
25/03/2013,69.47,-0.001294685
22/03/2013,69.56,0.008808085
21/03/2013,68.95,0.001015744
20/03/2013,68.88,0.001307475
19/03/2013,68.79,-0.008107761
18/03/2013,69.35,0.004335267
15/03/2013,69.05,-0.017087069
14/03/2013,70.24,-0.00737592
13/03/2013,70.76,0.000141333
12/03/2013,70.75,-0.008024256
11/03/2013,71.32,-0.00070082
08/03/2013,71.37,0.015817305
07/03/2013,70.25,-0.003268673
06/03/2013,70.48,0.000141894
05/03/2013,70.47,0.002557546
04/03/2013,70.29,0.018088348
01/03/2013,69.03,0.007707447
28/02/2013,68.5,0.006444076
27/02/2013,68.06,0.007373577
26/02/2013,67.56,0.05538379
25/02/2013,63.92,-0.02563847
22/02/2013,65.58,0.018467746
21/02/2013,64.38,-0.031496259
20/02/2013,66.44,-0.01656878
19/02/2013,67.55,0.000444214
15/02/2013,67.52,0.002669437
14/02/2013,67.34,-0.001632169
13/02/2013,67.45,0.001929213
12/02/2013,67.32,0.014061563
11/02/2013,66.38,-0.009446056
08/02/2013,67.01,0.010501147
07/02/2013,66.31,-0.005414361
06/02/2013,66.67,0.004208634
05/02/2013,66.39,0.000451977
04/02/2013,66.36,-0.014065771
01/02/2013,67.3,0.005662361
31/01/2013,66.92,-0.004770432
30/01/2013,67.24,0.000595061
29/01/2013,67.2,-0.005638834
28/01/2013,67.58,-0.003545055
25/01/2013,67.82,0.006954234
24/01/2013,67.35,0.01330264
23/01/2013,66.46,0.010740592
22/01/2013,65.75,0.004267649
18/01/2013,65.47,0.006435817
17/01/2013,65.05,0.018463018
16/01/2013,63.86,-0.001408341
15/01/2013,63.95,0.007376632
14/01/2013,63.48,-0.003459667
11/01/2013,63.7,0.001256676
10/01/2013,63.62,0.007098381
09/01/2013,63.17,-0.000791202
08/01/2013,63.22,0.006028893
07/01/2013,62.84,-0.005395982
04/01/2013,63.18,-0.001897534
03/01/2013,63.3,-0.002839567
02/01/2013,63.48,0.026012797
31/12/2012,61.85,0.019592463
28/12/2012,60.65,-0.006901112
27/12/2012,61.07,-0.001145569
26/12/2012,61.14,-0.007008422
24/12/2012,61.57,0.004068685
21/12/2012,61.32,-0.010544343
20/12/2012,61.97,0.003232587
19/12/2012,61.77,-0.019716917
18/12/2012,63,-0.004908568
17/12/2012,63.31,0.019941636
14/12/2012,62.06,-0.00562386
13/12/2012,62.41,-0.008297479
12/12/2012,62.93,0.000635829
11/12/2012,62.89,-0.002382277
10/12/2012,63.04,-0.022120284
07/12/2012,64.45,0.001708208
06/12/2012,64.34,0.004985987
05/12/2012,64.02,-0.003430535
04/12/2012,64.24,-0.011453461
03/12/2012,64.98,-0.001384083
30/11/2012,65.07,0.012837544
29/11/2012,64.24,-0.00914239
28/11/2012,64.83,0.010388496
27/11/2012,64.16,-0.007917452
26/11/2012,64.67,-0.002316782
23/11/2012,64.82,0.011325852
21/11/2012,64.09,0.004221725
20/11/2012,63.82,0.00770747
19/11/2012,63.33,0.019291152
16/11/2012,62.12,0.014104149
15/11/2012,61.25,-0.003585401
14/11/2012,61.47,-0.030599103
13/11/2012,63.38,0.035654973
12/11/2012,61.16,0.00327547
09/11/2012,60.96,0.001641767
08/11/2012,60.86,-0.018396937
07/11/2012,61.99,-0.010111634
06/11/2012,62.62,0.003840005
05/11/2012,62.38,0.005787798
02/11/2012,62.02,-0.003862251
01/11/2012,62.26,0.014235116
31/10/2012,61.38,0.022073042
26/10/2012,60.04,-0.007301725
25/10/2012,60.48,-0.013140794
24/10/2012,61.28,-0.00764045
23/10/2012,61.75,-0.004685363
22/10/2012,62.04,0.002420723
19/10/2012,61.89,0.001455251
18/10/2012,61.8,0.006656409
17/10/2012,61.39,0.008670811
16/10/2012,60.86,0.003456509
15/10/2012,60.65,0.018135428
12/10/2012,59.56,0.009277287
11/10/2012,59.01,-0.012294892
10/10/2012,59.74,-0.020052043
09/10/2012,60.95,-0.01514317
08/10/2012,61.88,-0.021107275
05/10/2012,63.2,0.023372282
04/10/2012,61.74,-0.000485791
03/10/2012,61.77,0.023588317
02/10/2012,60.33,-0.003970229
01/10/2012,60.57,0.003307428
28/09/2012,60.37,0.008149733
27/09/2012,59.88,0.011927903
26/09/2012,59.17,-0.009252316
25/09/2012,59.72,0.005541111
24/09/2012,59.39,-0.000505008
21/09/2012,59.42,0.002358889
20/09/2012,59.28,-0.003200003
19/09/2012,59.47,0.010310241
18/09/2012,58.86,-0.000849113
17/09/2012,58.91,-0.009292962
14/09/2012,59.46,0.019701724
13/09/2012,58.3,0.021674017
12/09/2012,57.05,0.005801194
11/09/2012,56.72,-0.010173741
10/09/2012,57.3,0.000698324
07/09/2012,57.26,-0.006787947
06/09/2012,57.65,0.019441894
05/09/2012,56.54,-0.004411902
04/09/2012,56.79,0.000704598
31/08/2012,56.75,0.002293377
30/08/2012,56.62,-0.003878024
29/08/2012,56.84,0.005468833
28/08/2012,56.53,-0.002473499
27/08/2012,56.67,-0.005104297
24/08/2012,56.96,0.007224065
23/08/2012,56.55,-0.001590247
22/08/2012,56.64,0.005665738
21/08/2012,56.32,-0.004429098
20/08/2012,56.57,-0.002824362
17/08/2012,56.73,0.007431032
16/08/2012,56.31,0.023538954
15/08/2012,55,0.005286677
14/08/2012,54.71,0.035156601
13/08/2012,52.82,-0.004533442
10/08/2012,53.06,-0.001694756
09/08/2012,53.15,0.006796326
08/08/2012,52.79,0.007415188
07/08/2012,52.4,0.007662873
06/08/2012,52,-0.00556143
03/08/2012,52.29,0.017361547
02/08/2012,51.39,-0.005627258
01/08/2012,51.68,-0.00962842
31/07/2012,52.18,-0.020298525
30/07/2012,53.25,-0.008601399
27/07/2012,53.71,0.015006847
26/07/2012,52.91,0.035395116
25/07/2012,51.07,-0.001956182
24/07/2012,51.17,0.004112412
23/07/2012,50.96,0.005115101
20/07/2012,50.7,-0.005115101
19/07/2012,50.96,0.000981643
18/07/2012,50.91,0.003739058
17/07/2012,50.72,-0.014290152
16/07/2012,51.45,-0.012362529
13/07/2012,52.09,0.010420781
12/07/2012,51.55,-0.002325132
11/07/2012,51.67,-0.010588221
10/07/2012,52.22,0.001916811
09/07/2012,52.12,-0.000575429
06/07/2012,52.15,0.000767313
05/07/2012,52.11,0.008866673
03/07/2012,51.65,-0.025990379
02/07/2012,53.01,0.000377358
29/06/2012,52.99,0.024838877
28/06/2012,51.69,0.002712129
27/06/2012,51.55,-0.006381149
26/06/2012,51.88,0.006963278
25/06/2012,51.52,-0.009658178
22/06/2012,52.02,0.014717539
21/06/2012,51.26,-0.03016849
20/06/2012,52.83,-0.002646504
19/06/2012,52.97,0.012347008
18/06/2012,52.32,0.008638119
15/06/2012,51.87,-0.005575329
14/06/2012,52.16,0.023078693
13/06/2012,50.97,-0.024611261
12/06/2012,52.24,0.017183549
11/06/2012,51.35,-0.019287001
08/06/2012,52.35,0.02143146
07/06/2012,51.24,0.012568901
06/06/2012,50.6,0.033765265
05/06/2012,48.92,0.003276006
04/06/2012,48.76,0.016542974
01/06/2012,47.96,-0.028367781
31/05/2012,49.34,-0.007471009
30/05/2012,49.71,-0.001407177
29/05/2012,49.78,0.006853484
25/05/2012,49.44,-0.005446307
24/05/2012,49.71,0.019706072
23/05/2012,48.74,0.009896988
22/05/2012,48.26,0.013560237
21/05/2012,47.61,0.011831957
18/05/2012,47.05,0.000637823
17/05/2012,47.02,-0.036542327
16/05/2012,48.77,0.002052546
15/05/2012,48.67,-0.024557297
14/05/2012,49.88,-0.009179869
11/05/2012,50.34,-0.005546765
10/05/2012,50.62,0.010126166
09/05/2012,50.11,-0.010126166
08/05/2012,50.62,-0.015096846
07/05/2012,51.39,-0.011030591
04/05/2012,51.96,-0.009767386
03/05/2012,52.47,-0.004563613
02/05/2012,52.71,0.007426484
01/05/2012,52.32,0.010181627
30/04/2012,51.79,-0.003084637
27/04/2012,51.95,0.001541129
26/04/2012,51.87,-0.000770861
25/04/2012,51.91,0.013186152
24/04/2012,51.23,0.002540801
23/04/2012,51.1,-0.00702031
20/04/2012,51.46,-0.001941371
19/04/2012,51.56,-0.004837003
18/04/2012,51.81,-0.004237294
17/04/2012,52.03,0.006556136
16/04/2012,51.69,0.014223328
13/04/2012,50.96,0.006496725
12/04/2012,50.63,0.017533822
11/04/2012,49.75,0.007870084
10/04/2012,49.36,-0.024415862
09/04/2012,50.58,-0.000790514
05/04/2012,50.62,0.015328259
04/04/2012,49.85,-0.003004509
03/04/2012,50,0.00020002
02/04/2012,49.99,-0.006380879
30/03/2012,50.31,0.007982481
29/03/2012,49.91,0
28/03/2012,49.91,-0.002601302
27/03/2012,50.04,-0.001796946
26/03/2012,50.13,0.011839207
23/03/2012,49.54,-0.002822014
22/03/2012,49.68,-0.002211723
21/03/2012,49.79,0.008268677
20/03/2012,49.38,0.011200606
19/03/2012,48.83,-0.004495308
16/03/2012,49.05,-0.003053437
15/03/2012,49.2,-0.005472802
14/03/2012,49.47,0.006693058
13/03/2012,49.14,0.011255619
12/03/2012,48.59,0.010135571
09/03/2012,48.1,0.005838215
08/03/2012,47.82,0.009032726
07/03/2012,47.39,0.021327317
06/03/2012,46.39,-0.021327317
05/03/2012,47.39,-0.000421941
02/03/2012,47.41,-0.001054074
01/03/2012,47.46,-0.002315059
29/02/2012,47.57,0.007173027
28/02/2012,47.23,0.006372154
27/02/2012,46.93,-0.001064849
24/02/2012,46.98,0.000638774
23/02/2012,46.95,0.008126649
22/02/2012,46.57,-0.007487467
21/02/2012,46.92,0.004485749
17/02/2012,46.71,0.016839776
16/02/2012,45.93,0.004801406
15/02/2012,45.71,-0.007627802
14/02/2012,46.06,0.002826396
13/02/2012,45.93,0.013149433
10/02/2012,45.33,0.001324504
09/02/2012,45.27,0.002211412
08/02/2012,45.17,-0.006399669
07/02/2012,45.46,0.005735732
06/02/2012,45.2,0.000663937
03/02/2012,45.17,0.015843241
02/02/2012,44.46,-0.000224896
01/02/2012,44.47,0.001800586
31/01/2012,44.39,-0.008524053
30/01/2012,44.77,-0.002231148
27/01/2012,44.87,-0.001781341
26/01/2012,44.95,-0.006872879
25/01/2012,45.26,0.006650435
24/01/2012,44.96,0.001780944
23/01/2012,44.88,0.008278378
20/01/2012,44.51,-0.020018462
19/01/2012,45.41,0.011740084
18/01/2012,44.88,0.025729246
17/01/2012,43.74,0.005272219
13/01/2012,43.51,0.002761797
12/01/2012,43.39,-0.001611975
11/01/2012,43.46,-0.001609381
10/01/2012,43.53,0.006915657
09/01/2012,43.23,0.000694203
06/01/2012,43.2,0.002549544
05/01/2012,43.09,0.008155702
04/01/2012,42.74,0.014137842
03/01/2012,42.14,0.002375862
30/12/2011,42.04,0.000713861
29/12/2011,42.01,0.011491628
28/12/2011,41.53,-0.016477985
27/12/2011,42.22,0.00308386
23/12/2011,42.09,0.004047143
22/12/2011,41.92,-0.001906578
21/12/2011,42,0.001191185
20/12/2011,41.95,0.042611437
19/12/2011,40.2,-0.005457716
16/12/2011,40.42,0.02505141
15/12/2011,39.42,0.00712834
14/12/2011,39.14,-0.009408842
13/12/2011,39.51,-0.013574869
12/12/2011,40.05,-0.004484312
09/12/2011,40.23,0.007986067
08/12/2011,39.91,-0.020338003
07/12/2011,40.73,0.010117298
06/12/2011,40.32,0.002234638
05/12/2011,40.23,0.007234658
02/12/2011,39.94,0.015136515
01/12/2011,39.34,0.003054992
30/11/2011,39.22,0.006651342
29/11/2011,38.96,0.043542152
28/11/2011,37.3,0.022503322
25/11/2011,36.47,-0.001370051
23/11/2011,36.52,-0.015756914
22/11/2011,37.1,0.001078749
21/11/2011,37.06,-0.021885047
18/11/2011,37.88,0.006887444
17/11/2011,37.62,-0.00583092
16/11/2011,37.84,-0.006059826
15/11/2011,38.07,-0.00471699
14/11/2011,38.25,0.004979698
11/11/2011,38.06,0.022855101
10/11/2011,37.2,0.001075847
09/11/2011,37.16,-0.020773051
08/11/2011,37.94,0.015940826
07/11/2011,37.34,0.025771126
04/11/2011,36.39,-0.001647447
03/11/2011,36.45,0.012700336
02/11/2011,35.99,0.012582299
01/11/2011,35.54,-0.007289071
31/10/2011,35.8,-0.008898835
28/10/2011,36.12,-0.029999523
27/10/2011,37.22,0.018165065
26/10/2011,36.55,0.014051753
25/10/2011,36.04,-0.018147322
24/10/2011,36.7,-0.004350197
21/10/2011,36.86,0.03113628
20/10/2011,35.73,0.009278852
19/10/2011,35.4,-0.015417264
18/10/2011,35.95,0.036831359
17/10/2011,34.65,-0.011477888
14/10/2011,35.05,0.018428394
13/10/2011,34.41,-0.00896867
12/10/2011,34.72,0.00028806
11/10/2011,34.71,0.001441546
10/10/2011,34.66,0.021581473
07/10/2011,33.92,0.016047893
06/10/2011,33.38,0.016614187
05/10/2011,32.83,0.011026145
04/10/2011,32.47,0.027475971
03/10/2011,31.59,-0.039719773
30/09/2011,32.87,-0.027604513
29/09/2011,33.79,0.005638834
28/09/2011,33.6,-0.008298803
27/09/2011,33.88,-0.003535655
26/09/2011,34,0.008269391
23/09/2011,33.72,0.020069567
22/09/2011,33.05,-0.023621968
21/09/2011,33.84,-0.028261167
20/09/2011,34.81,0.013302683
19/09/2011,34.35,-0.007540639
16/09/2011,34.61,0.009580564
15/09/2011,34.28,0.021823337
14/09/2011,33.54,0.026587669
13/09/2011,32.66,0.009537067
12/09/2011,32.35,0.014948893
09/09/2011,31.87,-0.018343434
08/09/2011,32.46,-0.012551826
07/09/2011,32.87,0.025263204
06/09/2011,32.05,-0.004047958
02/09/2011,32.18,-0.023038955
01/09/2011,32.93,-0.013572822
31/08/2011,33.38,-0.005675893
30/08/2011,33.57,-0.012433553
29/08/2011,33.99,-0.000294161
26/08/2011,34,0.00471699
25/08/2011,33.84,-0.015540556
24/08/2011,34.37,0.037348739
