Date,Close,HSP
26/12/2012,31.33,-0.019909016
24/12/2012,31.96,-0.004993768
21/12/2012,32.12,-0.005588341
20/12/2012,32.3,0.007458083
19/12/2012,32.06,-0.002181026
18/12/2012,32.13,0.007497692
17/12/2012,31.89,0.00156912
14/12/2012,31.84,0.002830636
13/12/2012,31.75,-0.001573564
12/12/2012,31.8,-0.007518832
11/12/2012,32.04,0.000312159
10/12/2012,32.03,0.015099375
07/12/2012,31.55,0.008275031
06/12/2012,31.29,0.0086664
05/12/2012,31.02,0.002582313
04/12/2012,30.94,0.024870392
03/12/2012,30.18,0.01267106
30/11/2012,29.8,-0.000670916
29/11/2012,29.82,0.005717184
28/11/2012,29.65,0.015293416
27/11/2012,29.2,0.003430535
26/11/2012,29.1,-0.010936541
23/11/2012,29.42,0.00613708
21/11/2012,29.24,-0.004095569
20/11/2012,29.36,-0.007465254
19/11/2012,29.58,0.020837646
16/11/2012,28.97,0.002765297
15/11/2012,28.89,-0.013750646
14/11/2012,29.29,-0.0105282
13/11/2012,29.6,-0.009749615
12/11/2012,29.89,-0.002005348
09/11/2012,29.95,0.000668003
08/11/2012,29.93,-0.0469907
07/11/2012,31.37,0.026160058
06/11/2012,30.56,0.001965281
05/11/2012,30.5,0.001640689
02/11/2012,30.45,-0.017255841
01/11/2012,30.98,0.009404966
31/10/2012,30.69,-0.00875918
26/10/2012,30.96,-0.006439172
25/10/2012,31.16,0.011945259
24/10/2012,30.79,0.008152662
23/10/2012,30.54,-0.027770593
22/10/2012,31.4,0.002870358
19/10/2012,31.31,-0.02460692
18/10/2012,32.09,-0.016381142
17/10/2012,32.62,0.00645858
16/10/2012,32.41,0.004638944
15/10/2012,32.26,-0.000309933
12/10/2012,32.27,-0.010480984
11/10/2012,32.61,0.001841621
10/10/2012,32.55,-0.004903473
09/10/2012,32.71,-0.019976451
08/10/2012,33.37,0.000899415
05/10/2012,33.34,-0.004787562
04/10/2012,33.5,-0.008915364
03/10/2012,33.8,0.004447746
02/10/2012,33.65,0.024670325
01/10/2012,32.83,0.000304646
28/09/2012,32.82,-0.01121054
27/09/2012,33.19,-0.007205075
26/09/2012,33.43,-0.021308886
25/09/2012,34.15,-0.002631965
24/09/2012,34.24,-0.011325807
21/09/2012,34.63,-0.010627703
20/09/2012,35,-0.003137929
19/09/2012,35.11,-0.005396974
18/09/2012,35.3,0.016855134
17/09/2012,34.71,0.00115307
14/09/2012,34.67,-0.007184971
13/09/2012,34.92,0.01587564
12/09/2012,34.37,0.002330324
11/09/2012,34.29,0.0035057
10/09/2012,34.17,-0.023142485
07/09/2012,34.97,0.01585276
06/09/2012,34.42,0.011395302
05/09/2012,34.03,0.001176125
04/09/2012,33.99,0.012135712
31/08/2012,33.58,0.001788376
30/08/2012,33.52,-0.002383791
29/08/2012,33.6,0.007168489
28/08/2012,33.36,-0.013399039
27/08/2012,33.81,0.00207254
24/08/2012,33.74,0.0113265
23/08/2012,33.36,-0.013399039
22/08/2012,33.81,-0.007073416
21/08/2012,34.05,-0.001760564
20/08/2012,34.11,0.003524233
17/08/2012,33.99,0.004127364
16/08/2012,33.85,-0.00088587
15/08/2012,33.88,0.001772526
14/08/2012,33.82,0.002368266
13/08/2012,33.74,-0.012078509
10/08/2012,34.15,-0.005839433
09/08/2012,34.35,-0.006962604
08/08/2012,34.59,-0.006052764
07/08/2012,34.8,0.005763705
06/08/2012,34.6,0.000289059
03/08/2012,34.59,-0.019751608
02/08/2012,35.28,-0.03097778
01/08/2012,36.39,0.04611444
31/07/2012,34.75,-0.003734027
30/07/2012,34.88,-0.005717568
27/07/2012,35.08,0.016671843
26/07/2012,34.5,0.014010737
25/07/2012,34.02,0.010935531
24/07/2012,33.65,-0.020588963
23/07/2012,34.35,-0.031521234
20/07/2012,35.45,-0.033017287
19/07/2012,36.64,0.012910494
18/07/2012,36.17,0.04669118
17/07/2012,34.52,0.021078064
16/07/2012,33.8,-0.009129794
13/07/2012,34.11,-0.005554758
12/07/2012,34.3,-0.009286196
11/07/2012,34.62,0.014254787
10/07/2012,34.13,0.002640459
09/07/2012,34.04,0.001764187
06/07/2012,33.98,-0.014897311
05/07/2012,34.49,-0.007510145
03/07/2012,34.75,-0.005452733
02/07/2012,34.94,-0.001144165
29/06/2012,34.98,0.024306752
28/06/2012,34.14,0.008235341
27/06/2012,33.86,0.018781294
26/06/2012,33.23,0.003315753
25/06/2012,33.12,-0.026811257
22/06/2012,34.02,0.013017935
21/06/2012,33.58,-0.026738775
20/06/2012,34.49,0.002612863
19/06/2012,34.4,0.019965431
18/06/2012,33.72,0.002672607
15/06/2012,33.63,0.038495434
14/06/2012,32.36,0.00495664
13/06/2012,32.2,-0.003410327
12/06/2012,32.31,-0.003090237
11/06/2012,32.41,-0.011656574
08/06/2012,32.79,0.013200499
07/06/2012,32.36,-0.003393494
