Date,Close,AET
05/11/2012,44.29,0.006569284
02/11/2012,44,-0.011074811
01/11/2012,44.49,0.018145202
31/10/2012,43.69,-0.009340539
26/10/2012,44.1,-0.007455134
25/10/2012,44.43,0.010862293
24/10/2012,43.95,0.006620273
23/10/2012,43.66,-0.013648984
22/10/2012,44.26,0.016401279
19/10/2012,43.54,-0.017304621
18/10/2012,44.3,0.017534321
17/10/2012,43.53,-0.009147102
16/10/2012,43.93,0.000227661
15/10/2012,43.92,0.015372564
12/10/2012,43.25,-0.000924428
11/10/2012,43.29,0.032874526
10/10/2012,41.89,-0.007373086
09/10/2012,42.2,0.002847653
08/10/2012,42.08,0.010031133
05/10/2012,41.66,-0.010268747
04/10/2012,42.09,0.016529302
03/10/2012,41.4,0.017052788
02/10/2012,40.7,0.022109955
01/10/2012,39.81,0.005289019
28/09/2012,39.6,-0.003025721
27/09/2012,39.72,0.01063032
26/09/2012,39.3,-0.015151805
25/09/2012,39.9,-0.009726975
24/09/2012,40.29,0.017274181
21/09/2012,39.6,0.004809527
20/09/2012,39.41,-0.000507357
19/09/2012,39.43,-0.001013942
18/09/2012,39.47,0.008651453
17/09/2012,39.13,0.002302675
14/09/2012,39.04,0.022536895
13/09/2012,38.17,0.021716955
12/09/2012,37.35,-0.014354313
11/09/2012,37.89,-0.008148291
10/09/2012,38.2,-0.020726131
07/09/2012,39,0.016285742
06/09/2012,38.37,0.005226038
05/09/2012,38.17,0.000524109
04/09/2012,38.15,-0.006792085
31/08/2012,38.41,-0.010102404
30/08/2012,38.8,-0.008213599
29/08/2012,39.12,0.015196687
28/08/2012,38.53,-0.012124487
27/08/2012,39,0.007205384
24/08/2012,38.72,-0.014868256
23/08/2012,39.3,-0.006846737
22/08/2012,39.57,-0.008305068
21/08/2012,39.9,-0.006993035
20/08/2012,40.18,0.054731122
17/08/2012,38.04,-0.003411629
16/08/2012,38.17,0.013716913
15/08/2012,37.65,0.018226181
14/08/2012,36.97,-0.013700684
13/08/2012,37.48,-0.006648077
10/08/2012,37.73,0.005314921
09/08/2012,37.53,-0.001863437
08/08/2012,37.6,0.010695289
07/08/2012,37.2,0.016807118
06/08/2012,36.58,-0.003275112
03/08/2012,36.7,0.010132909
02/08/2012,36.33,-0.004942349
01/08/2012,36.51,0.012401978
31/07/2012,36.06,-0.029510338
30/07/2012,37.14,0.012735574
27/07/2012,36.67,0.038076018
26/07/2012,35.3,-0.000566412
25/07/2012,35.32,-0.048358641
24/07/2012,37.07,-0.004575435
23/07/2012,37.24,-0.011215071
