Date,Close,XEL
21/10/2013,28.57,-0.001049502
18/10/2013,28.6,0.003853569
17/10/2013,28.49,0.016991559
16/10/2013,28.01,0.011490252
15/10/2013,27.69,-0.012560725
14/10/2013,28.04,-0.00816911
11/10/2013,28.27,0.004253817
10/10/2013,28.15,0.013591053
09/10/2013,27.77,0.006865429
08/10/2013,27.58,0.014977449
07/10/2013,27.17,-0.004773279
04/10/2013,27.3,0.001466276
03/10/2013,27.26,-0.018175709
02/10/2013,27.76,-0.001080108
01/10/2013,27.79,0.006498218
30/09/2013,27.61,-0.002893311
27/09/2013,27.69,-0.006838249
26/09/2013,27.88,0.000717618
25/09/2013,27.86,-0.010000083
24/09/2013,28.14,-0.002129926
23/09/2013,28.2,0.016086138
20/09/2013,27.75,-0.002878735
19/09/2013,27.83,-0.003944778
18/09/2013,27.94,0.030525626
17/09/2013,27.1,-0.011009286
16/09/2013,27.4,-0.008720986
13/09/2013,27.64,0.002898553
12/09/2013,27.56,-0.002898553
11/09/2013,27.64,-0.002890175
10/09/2013,27.72,0.009423774
09/09/2013,27.46,0.003282877
06/09/2013,27.37,0.003660326
05/09/2013,27.27,-0.002563634
04/09/2013,27.34,-0.005471471
03/09/2013,27.49,-0.015520976
30/08/2013,27.92,0.004307257
29/08/2013,27.8,-0.002873565
28/08/2013,27.88,0.006116227
27/08/2013,27.71,0
26/08/2013,27.71,-0.007549919
23/08/2013,27.92,0.007910865
22/08/2013,27.7,0.00943061
21/08/2013,27.44,-0.013753384
20/08/2013,27.82,0.004322773
19/08/2013,27.7,-0.008984786
16/08/2013,27.95,-0.012444605
15/08/2013,28.3,-0.017513582
14/08/2013,28.8,-0.00760986
13/08/2013,29.02,-0.007552387
12/08/2013,29.24,-0.007156275
09/08/2013,29.45,-0.018503472
08/08/2013,30,0.00836825
07/08/2013,29.75,-0.002350177
06/08/2013,29.82,-0.008348688
05/08/2013,30.07,-0.009597956
02/08/2013,30.36,0.000658979
01/08/2013,30.34,0.012937649
31/07/2013,29.95,-0.007650129
30/07/2013,30.18,0.010324821
29/07/2013,29.87,0.0040255
26/07/2013,29.75,-0.001679262
25/07/2013,29.8,0.004034975
24/07/2013,29.68,-0.014715985
23/07/2013,30.12,0.001994019
