Date,Close,TRV
10/04/2013,84.81,-0.005409232
09/04/2013,85.27,0.006352963
08/04/2013,84.73,0.003783852
05/04/2013,84.41,0.00082963
04/04/2013,84.34,0.007378351
03/04/2013,83.72,-0.00820798
02/04/2013,84.41,0.005464494
01/04/2013,83.95,-0.002854766
28/03/2013,84.19,0.009787617
27/03/2013,83.37,0.000119954
26/03/2013,83.36,-0.000119954
25/03/2013,83.37,-0.003830964
22/03/2013,83.69,-0.000716675
21/03/2013,83.75,-0.00107405
20/03/2013,83.84,0.007783072
19/03/2013,83.19,0.007965285
18/03/2013,82.53,0.003033799
15/03/2013,82.28,-0.000971817
14/03/2013,82.36,0.00291829
13/03/2013,82.12,0.004638114
12/03/2013,81.74,-0.000122332
11/03/2013,81.75,0.00122399
08/03/2013,81.65,0.005526572
07/03/2013,81.2,0.001602268
06/03/2013,81.07,-0.004799123
05/03/2013,81.46,0.011606501
04/03/2013,80.52,-0.002109051
01/03/2013,80.69,0.00335175
28/02/2013,80.42,-0.004466509
27/02/2013,80.78,0.0092029
26/02/2013,80.04,0.009919097
25/02/2013,79.25,-0.021965191
22/02/2013,81.01,0.007807215
21/02/2013,80.38,0.003364699
20/02/2013,80.11,-0.006097959
19/02/2013,80.6,0.002608859
15/02/2013,80.39,0.000622161
14/02/2013,80.34,0.004366002
13/02/2013,79.99,0.001125774
12/02/2013,79.9,0.008673299
11/02/2013,79.21,0.004428425
08/02/2013,78.86,-0.003291559
07/02/2013,79.12,0.002024292
06/02/2013,78.96,0.003933766
05/02/2013,78.65,0.008298803
04/02/2013,78,-0.023941862
01/02/2013,79.89,0.018061748
31/01/2013,78.46,0.011279279
30/01/2013,77.58,-0.002960296
29/01/2013,77.81,0.005929381
28/01/2013,77.35,-0.012845392
25/01/2013,78.35,0.003323961
24/01/2013,78.09,0.005779249
23/01/2013,77.64,-0.003984837
22/01/2013,77.95,0.021263604
18/01/2013,76.31,0.005387307
17/01/2013,75.9,0.004621996
16/01/2013,75.55,-0.000132354
15/01/2013,75.56,0.008105818
14/01/2013,74.95,0.001335114
11/01/2013,74.85,0.005358352
10/01/2013,74.45,0.006873806
09/01/2013,73.94,0.010195154
08/01/2013,73.19,0.001777778
07/01/2013,73.06,-0.013594554
04/01/2013,74.06,0.008679197
03/01/2013,73.42,0.007656586
02/01/2013,72.86,0.014376803
31/12/2012,71.82,0.00810853
28/12/2012,71.24,-0.00810853
27/12/2012,71.82,-0.006246116
26/12/2012,72.27,-0.001244555
24/12/2012,72.36,-0.006336982
21/12/2012,72.82,-0.013639055
20/12/2012,73.82,0.005297126
19/12/2012,73.43,-0.012182067
18/12/2012,74.33,0.001885269
17/12/2012,74.19,0.011114237
14/12/2012,73.37,0.00190996
13/12/2012,73.23,-0.001091852
12/12/2012,73.31,-0.001635546
11/12/2012,73.43,0.001226409
10/12/2012,73.34,-0.000681524
07/12/2012,73.39,0.003275559
06/12/2012,73.15,-0.011552966
05/12/2012,74,0.048026942
04/12/2012,70.53,-0.005937252
03/12/2012,70.95,0.001833957
30/11/2012,70.82,-0.005070433
29/11/2012,71.18,0.003095542
28/11/2012,70.96,0.001833698
27/11/2012,70.83,-0.00042346
26/11/2012,70.86,-0.005769382
23/11/2012,71.27,0.014842311
21/11/2012,70.22,0.008294056
20/11/2012,69.64,0.001436988
19/11/2012,69.54,0.012880994
16/11/2012,68.65,0.004818583
15/11/2012,68.32,0.003665962
14/11/2012,68.07,-0.002347763
13/11/2012,68.23,-0.002926974
12/11/2012,68.43,-0.008005283
09/11/2012,68.98,-0.000289897
08/11/2012,69,0.004211756
07/11/2012,68.71,-0.02102612
06/11/2012,70.17,0.015221431
05/11/2012,69.11,-0.007352444
02/11/2012,69.62,-0.008723688
01/11/2012,70.23,-0.010058879
31/10/2012,70.94,-0.008701809
26/10/2012,71.56,-0.00779514
25/10/2012,72.12,-0.014590761
24/10/2012,73.18,-0.002729259
23/10/2012,73.38,-0.00827853
22/10/2012,73.99,0.006508498
19/10/2012,73.51,-0.005832502
18/10/2012,73.94,0.035236235
17/10/2012,71.38,0.012546862
16/10/2012,70.49,0.009980123
15/10/2012,69.79,0.015450455
12/10/2012,68.72,-0.006382383
11/10/2012,69.16,-0.003464207
10/10/2012,69.4,0.001153403
09/10/2012,69.32,-0.003168662
08/10/2012,69.54,-0.000287563
05/10/2012,69.56,0.004033425
04/10/2012,69.28,0.003904843
03/10/2012,69.01,0.004502222
02/10/2012,68.7,-0.005371284
01/10/2012,69.07,0.01179654
28/09/2012,68.26,-0.002195069
27/09/2012,68.41,0.009251847
26/09/2012,67.78,-0.010274566
25/09/2012,68.48,0.000876552
24/09/2012,68.42,-0.002773117
21/09/2012,68.61,0.002334745
20/09/2012,68.45,0.003219201
19/09/2012,68.23,-0.003365282
18/09/2012,68.46,-0.000292099
17/09/2012,68.48,-0.001459215
14/09/2012,68.58,0.001897395
13/09/2012,68.45,0.013383537
12/09/2012,67.54,0.008773943
11/09/2012,66.95,0.024800908
10/09/2012,65.31,0.001532333
07/09/2012,65.21,-0.001991575
06/09/2012,65.34,0.012474174
05/09/2012,64.53,-0.001703182
04/09/2012,64.64,-0.001545834
31/08/2012,64.74,0.003869075
30/08/2012,64.49,-0.00479543
29/08/2012,64.8,-0.000617094
28/08/2012,64.84,-0.005229977
27/08/2012,65.18,-0.003369585
24/08/2012,65.4,0.009216655
