Date,Close,PLL
28/09/2012,63.49,-0.006280441
27/09/2012,63.89,0.012759093
26/09/2012,63.08,-0.01213282
25/09/2012,63.85,-0.007334042
24/09/2012,64.32,-0.01082429
21/09/2012,65.02,0.00679015
20/09/2012,64.58,-0.005250977
19/09/2012,64.92,0.015523441
18/09/2012,63.92,0.010537174
17/09/2012,63.25,-0.013037175
14/09/2012,64.08,0.020177229
13/09/2012,62.8,0.076585316
12/09/2012,58.17,0.009673594
11/09/2012,57.61,0.011873721
10/09/2012,56.93,-0.004381744
07/09/2012,57.18,0.008606359
06/09/2012,56.69,0.025548509
05/09/2012,55.26,-0.008828091
04/09/2012,55.75,0.004314226
31/08/2012,55.51,0.007594973
30/08/2012,55.09,-0.007414809
29/08/2012,55.5,0.013057857
28/08/2012,54.78,-0.004371592
27/08/2012,55.02,-0.001271456
24/08/2012,55.09,-0.001813566
23/08/2012,55.19,-0.004699936
22/08/2012,55.45,0.011244224
21/08/2012,54.83,-0.008354571
20/08/2012,55.29,-0.008823322
17/08/2012,55.78,0.014082197
16/08/2012,55,0.00382549
15/08/2012,54.79,0.009904703
14/08/2012,54.25,-0.01336649
13/08/2012,54.98,-0.00326857
10/08/2012,55.16,0.005635866
09/08/2012,54.85,-0.007989874
08/08/2012,55.29,0.008354571
07/08/2012,54.83,0.014512976
06/08/2012,54.04,-0.004983859
03/08/2012,54.31,0.028007805
02/08/2012,52.81,-0.003591347
01/08/2012,53,-0.007706081
31/07/2012,53.41,-0.000374392
30/07/2012,53.43,-0.000748363
27/07/2012,53.47,0.029994656
26/07/2012,51.89,0.022411539
25/07/2012,50.74,0.0103012
24/07/2012,50.22,-0.020887459
23/07/2012,51.28,-0.014711841
20/07/2012,52.04,-0.015255826
19/07/2012,52.84,0.000378573
18/07/2012,52.82,0.011615859
17/07/2012,52.21,0.004799856
16/07/2012,51.96,-0.016794288
13/07/2012,52.84,0.013527881
12/07/2012,52.13,0.005385664
11/07/2012,51.85,-0.011314724
10/07/2012,52.44,-0.017204319
09/07/2012,53.35,-0.002994575
06/07/2012,53.51,-0.016311761
05/07/2012,54.39,-0.006962285
03/07/2012,54.77,0.011015349
02/07/2012,54.17,-0.011745409
29/06/2012,54.81,0.03244931
28/06/2012,53.06,0.007377315
27/06/2012,52.67,0.004948621
26/06/2012,52.41,0.005548661
25/06/2012,52.12,-0.009737547
22/06/2012,52.63,0.003998101
21/06/2012,52.42,-0.025055469
20/06/2012,53.75,-0.010548816
19/06/2012,54.32,0.007020166
18/06/2012,53.94,0.000927386
15/06/2012,53.89,0.006515894
14/06/2012,53.54,0.011647699
13/06/2012,52.92,-0.009029407
12/06/2012,53.4,0.019858809
11/06/2012,52.35,-0.011962547
08/06/2012,52.98,0.013109336
07/06/2012,52.29,-0.043778034
06/06/2012,54.63,0.00146547
05/06/2012,54.55,0.012543976
04/06/2012,53.87,-0.009606577
01/06/2012,54.39,-0.023081443
31/05/2012,55.66,-0.013384692
30/05/2012,56.41,-0.019312398
29/05/2012,57.51,0.009785156
25/05/2012,56.95,-0.024457034
24/05/2012,58.36,-0.00290872
23/05/2012,58.53,0.011340328
22/05/2012,57.87,0.012344763
21/05/2012,57.16,0.037067679
18/05/2012,55.08,-0.00669504
17/05/2012,55.45,-0.032295213
16/05/2012,57.27,-0.002789888
15/05/2012,57.43,-0.009013755
14/05/2012,57.95,-0.008420017
11/05/2012,58.44,0.009110506
10/05/2012,57.91,0.004499835
09/05/2012,57.65,0.003823432
08/05/2012,57.43,0.002091686
07/05/2012,57.31,-0.002613925
04/05/2012,57.46,-0.021180301
03/05/2012,58.69,-0.008145302
02/05/2012,59.17,-0.008414725
01/05/2012,59.67,0.001006036
30/04/2012,59.61,-0.013331309
27/04/2012,60.41,0.016019031
26/04/2012,59.45,0.004720966
25/04/2012,59.17,0.003216253
24/04/2012,58.98,0.00390725
23/04/2012,58.75,-0.012348969
20/04/2012,59.48,0.013200395
19/04/2012,58.7,-0.008988443
18/04/2012,59.23,-0.00807134
17/04/2012,59.71,0.010268586
16/04/2012,59.1,-0.000338352
13/04/2012,59.12,0.003388685
12/04/2012,58.92,0.019537897
11/04/2012,57.78,0.010263637
10/04/2012,57.19,-0.015270121
09/04/2012,58.07,-0.014361676
05/04/2012,58.91,-0.003389259
04/04/2012,59.11,-0.010936426
03/04/2012,59.76,-0.004174674
02/04/2012,60.01,0.006352412
30/03/2012,59.63,0.012147948
29/03/2012,58.91,-0.008115006
28/03/2012,59.39,-0.013214209
27/03/2012,60.18,0.005665738
26/03/2012,59.84,0.008896408
23/03/2012,59.31,0.00067465
22/03/2012,59.27,-0.009905227
21/03/2012,59.86,0.002676482
20/03/2012,59.7,-0.006178528
19/03/2012,60.07,0.000832709
16/03/2012,60.02,-0.001165598
15/03/2012,60.09,0.012728358
14/03/2012,59.33,0.005747142
13/03/2012,58.99,-0.004566604
12/03/2012,59.26,-0.000674764
09/03/2012,59.3,-0.031537884
08/03/2012,61.2,0.000817327
07/03/2012,61.15,0.017486424
06/03/2012,60.09,-0.032902551
05/03/2012,62.1,-0.014071227
02/03/2012,62.98,-0.004752108
01/03/2012,63.28,-0.002682871
29/02/2012,63.45,-0.000472701
28/02/2012,63.48,-0.004557965
27/02/2012,63.77,0.005661283
24/02/2012,63.41,0.005693515
23/02/2012,63.05,-0.002534454
22/02/2012,63.21,-0.005679144
21/02/2012,63.57,-0.001414761
17/02/2012,63.66,-0.002353496
16/02/2012,63.81,0.0086567
15/02/2012,63.26,-0.01350311
14/02/2012,64.12,-0.001869742
13/02/2012,64.24,0.015214786
10/02/2012,63.27,-0.007244126
09/02/2012,63.73,0.012155805
08/02/2012,62.96,0.006853163
07/02/2012,62.53,0.003203591
06/02/2012,62.33,0.002248636
03/02/2012,62.19,0.018664828
02/02/2012,61.04,0.009382013
01/02/2012,60.47,0.013150418
31/01/2012,59.68,0.004366086
