Date,Close,SLB
02/05/2013,74.25,0.006214557
01/05/2013,73.79,-0.008635865
30/04/2013,74.43,0.00538867
29/04/2013,74.03,0.009364254
26/04/2013,73.34,-0.001362584
25/04/2013,73.44,0.003683245
24/04/2013,73.17,0.016953063
23/04/2013,71.94,0.00991836
22/04/2013,71.23,0.018133377
19/04/2013,69.95,-0.014899176
18/04/2013,71,0.000422625
17/04/2013,70.97,-0.032166921
16/04/2013,73.29,0.019287001
15/04/2013,71.89,-0.051112446
12/04/2013,75.66,-0.019372334
11/04/2013,77.14,0.001946409
10/04/2013,76.99,0.020470469
09/04/2013,75.43,0.006250436
08/04/2013,74.96,0.008170965
05/04/2013,74.35,0.005529719
04/04/2013,73.94,-0.000946266
03/04/2013,74.01,-0.010751347
02/04/2013,74.81,0.010616239
01/04/2013,74.02,-0.011685043
28/03/2013,74.89,-0.002800189
27/03/2013,75.1,0.009095836
26/03/2013,74.42,0.007553313
25/03/2013,73.86,-0.006881225
22/03/2013,74.37,0.012583888
21/03/2013,73.44,-0.004754475
20/03/2013,73.79,-0.002571565
19/03/2013,73.98,-0.031402261
18/03/2013,76.34,-0.039301321
15/03/2013,79.4,0.008220091
14/03/2013,78.75,0.017420704
13/03/2013,77.39,-0.00064587
12/03/2013,77.44,-0.004380886
11/03/2013,77.78,-0.002311546
08/03/2013,77.96,0.001797407
07/03/2013,77.82,0.00851728
06/03/2013,77.16,0.002725328
05/03/2013,76.95,0.005865119
04/03/2013,76.5,-0.014792017
01/03/2013,77.64,-0.00270114
28/02/2013,77.85,-0.000642055
27/02/2013,77.9,0.020359907
26/02/2013,76.33,0.006572053
25/02/2013,75.83,-0.025518896
22/02/2013,77.79,0.004638586
21/02/2013,77.43,-0.014106415
20/02/2013,78.53,-0.018420909
19/02/2013,79.99,-0.000499938
15/02/2013,80.03,-0.018937381
14/02/2013,81.56,0.03658564
13/02/2013,78.63,0.001272589
12/02/2013,78.53,0.00766973
11/02/2013,77.93,-0.014522548
08/02/2013,79.07,0.013624709
07/02/2013,78,-0.009315451
06/02/2013,78.73,-0.01800036
05/02/2013,80.16,0.008896744
04/02/2013,79.45,-0.003141693
01/02/2013,79.7,0.020919939
31/01/2013,78.05,-0.007022052
30/01/2013,78.6,-0.01702974
29/01/2013,79.95,0.008415549
28/01/2013,79.28,-0.00289691
25/01/2013,79.51,0.018917596
24/01/2013,78.02,-0.001920738
23/01/2013,78.17,0.002177116
22/01/2013,78,0.019418086
18/01/2013,76.5,0.041775608
17/01/2013,73.37,0.002046525
16/01/2013,73.22,0.008641436
15/01/2013,72.59,-0.002476611
14/01/2013,72.77,-0.013377213
11/01/2013,73.75,0.006802747
10/01/2013,73.25,0.014438202
09/01/2013,72.2,-0.004284437
08/01/2013,72.51,0.004145943
07/01/2013,72.21,0.002773542
04/01/2013,72.01,0.015252517
03/01/2013,70.92,-0.006745388
02/01/2013,71.4,0.029852963
31/12/2012,69.3,0.019525609
28/12/2012,67.96,-0.017647946
27/12/2012,69.17,0.001012512
26/12/2012,69.1,-0.002601533
24/12/2012,69.28,-0.005900571
21/12/2012,69.69,-0.020030501
20/12/2012,71.1,0.006207695
19/12/2012,70.66,-0.009717702
18/12/2012,71.35,0.023684011
17/12/2012,69.68,0.011112027
14/12/2012,68.91,-0.0516125
13/12/2012,72.56,-0.003164777
12/12/2012,72.79,0.002613661
11/12/2012,72.6,0.008298803
10/12/2012,72,0.002363903
07/12/2012,71.83,0.004604766
06/12/2012,71.5,0.002520657
05/12/2012,71.32,0.001403115
04/12/2012,71.22,0.00281215
03/12/2012,71.02,-0.008412837
30/11/2012,71.62,0.01434422
29/11/2012,70.6,-0.001839667
28/11/2012,70.73,0.012233438
27/11/2012,69.87,-0.007982936
26/11/2012,70.43,-0.010592571
23/11/2012,71.18,0.013721129
21/11/2012,70.21,0.002709836
20/11/2012,70.02,-0.009523205
19/11/2012,70.69,0.035566343
16/11/2012,68.22,-0.013684884
15/11/2012,69.16,0.019418086
14/11/2012,67.83,-0.018115908
13/11/2012,69.07,0.008578751
12/11/2012,68.48,0.0016076
09/11/2012,68.37,0.008814513
08/11/2012,67.77,-0.034231043
07/11/2012,70.13,-0.014439662
06/11/2012,71.15,0.017009623
05/11/2012,69.95,0.017013098
02/11/2012,68.77,-0.019868203
01/11/2012,70.15,0.008877492
31/10/2012,69.53,-0.00816448
26/10/2012,70.1,-0.00908839
25/10/2012,70.74,0.009231053
24/10/2012,70.09,-0.01655503
23/10/2012,71.26,-0.026313663
22/10/2012,73.16,-0.01141627
19/10/2012,74,-0.010752792
18/10/2012,74.8,0.003347844
17/10/2012,74.55,0.013912563
16/10/2012,73.52,0.010391124
15/10/2012,72.76,0.007864821
12/10/2012,72.19,-0.003180972
11/10/2012,72.42,0.018676501
10/10/2012,71.08,-0.009103067
09/10/2012,71.73,0.001674341
08/10/2012,71.61,0.001677149
05/10/2012,71.49,-0.00251467
04/10/2012,71.67,0.006719891
03/10/2012,71.19,-0.014918367
02/10/2012,72.26,-0.004418676
01/10/2012,72.58,0.003450421
28/09/2012,72.33,-0.012502739
27/09/2012,73.24,0.016381397
26/09/2012,72.05,-0.008843501
25/09/2012,72.69,-0.021368625
24/09/2012,74.26,-0.010182296
21/09/2012,75.02,-0.002795343
20/09/2012,75.23,0.006936136
19/09/2012,74.71,-0.020141134
18/09/2012,76.23,-0.011866867
17/09/2012,77.14,-0.005945474
14/09/2012,77.6,0.025185646
13/09/2012,75.67,0.018001686
12/09/2012,74.32,0.008920183
11/09/2012,73.66,0.013256088
10/09/2012,72.69,-0.006581677
07/09/2012,73.17,0.009750815
06/09/2012,72.46,0.016839866
05/09/2012,71.25,-0.002383123
04/09/2012,71.42,-0.013352076
31/08/2012,72.38,0.010834944
30/08/2012,71.6,-0.018816272
29/08/2012,72.96,-0.019275743
28/08/2012,74.38,-0.006299022
27/08/2012,74.85,0.003479661
24/08/2012,74.59,0.00537708
23/08/2012,74.19,-0.008455859
22/08/2012,74.82,0.006301556
21/08/2012,74.35,0.000134508
20/08/2012,74.34,-0.005901305
17/08/2012,74.78,-0.002670942
16/08/2012,74.98,0.01491462
15/08/2012,73.87,-0.008089568
14/08/2012,74.47,-0.009754871
13/08/2012,75.2,-0.001992694
10/08/2012,75.35,0.013629286
09/08/2012,74.33,0.009054728
08/08/2012,73.66,0.000679025
07/08/2012,73.61,0.016574587
06/08/2012,72.4,0.000138131
03/08/2012,72.39,0.021785529
02/08/2012,70.83,-0.011929129
01/08/2012,71.68,0.005876608
31/07/2012,71.26,-0.017802974
30/07/2012,72.54,-0.005773212
27/07/2012,72.96,0.022874776
26/07/2012,71.31,0.043859136
25/07/2012,68.25,0.004552471
24/07/2012,67.94,-0.023420956
23/07/2012,69.55,0.003168205
20/07/2012,69.33,0.010002258
19/07/2012,68.64,-0.001746725
18/07/2012,68.76,0.014207489
17/07/2012,67.79,0.022224794
16/07/2012,66.3,-0.006314861
13/07/2012,66.72,0.020135416
12/07/2012,65.39,-0.004120571
11/07/2012,65.66,0.010564287
10/07/2012,64.97,-0.012998119
09/07/2012,65.82,0.009924503
06/07/2012,65.17,-0.014169507
05/07/2012,66.1,-0.018585667
03/07/2012,67.34,0.036290647
02/07/2012,64.94,0.000462072
29/06/2012,64.91,0.034321319
28/06/2012,62.72,0.020131125
27/06/2012,61.47,0.029719869
26/06/2012,59.67,-0.006514681
25/06/2012,60.06,-0.024668246
22/06/2012,61.56,-0.016113787
21/06/2012,62.56,-0.046534547
20/06/2012,65.54,-0.02426828
19/06/2012,67.15,0.009125652
18/06/2012,66.54,0.001203008
15/06/2012,66.46,0.016383862
14/06/2012,65.38,0.022114873
13/06/2012,63.95,-0.015208238
12/06/2012,64.93,0.013333531
11/06/2012,64.07,-0.007308951
08/06/2012,64.54,0.001705823
07/06/2012,64.43,-0.002480237
06/06/2012,64.59,0.03706172
05/06/2012,62.24,0.000482121
04/06/2012,62.21,0.002252978
01/06/2012,62.07,-0.018832347
31/05/2012,63.25,-0.014596508
30/05/2012,64.18,-0.046576673
29/05/2012,67.24,0.027593157
25/05/2012,65.41,-0.006704276
24/05/2012,65.85,-0.019996156
23/05/2012,67.18,0.011678528
22/05/2012,66.4,-0.005407042
21/05/2012,66.76,0.041283955
18/05/2012,64.06,-0.010713556
17/05/2012,64.75,-0.000926212
16/05/2012,64.81,-0.010895527
15/05/2012,65.52,-0.026061579
14/05/2012,67.25,-0.022786726
11/05/2012,68.8,-0.009259325
10/05/2012,69.44,-0.002876045
09/05/2012,69.64,-0.010712093
08/05/2012,70.39,-0.002978937
07/05/2012,70.6,0.009106494
04/05/2012,69.96,-0.037179003
03/05/2012,72.61,-0.021257102
02/05/2012,74.17,-0.012860191
01/05/2012,75.13,0.013264749
30/04/2012,74.14,0.002566009
27/04/2012,73.95,-0.004048589
26/04/2012,74.25,-0.002824291
25/04/2012,74.46,0.023783142
24/04/2012,72.71,0.021126568
23/04/2012,71.19,-0.007138388
20/04/2012,71.7,0.026856738
19/04/2012,69.8,-0.001860732
18/04/2012,69.93,0.008328595
17/04/2012,69.35,0.027927833
16/04/2012,67.44,-0.013842071
13/04/2012,68.38,-0.028260243
12/04/2012,70.34,0.032069771
11/04/2012,68.12,0.012705149
10/04/2012,67.26,-0.004894337
09/04/2012,67.59,-0.012205136
05/04/2012,68.42,-0.003938449
04/04/2012,68.69,-0.015027013
03/04/2012,69.73,-0.00157627
02/04/2012,69.84,-0.00128783
30/03/2012,69.93,0.011361307
29/03/2012,69.14,-0.009214001
28/03/2012,69.78,-0.002576214
27/03/2012,69.96,-0.034282649
