Date,Close,EMC
24/09/2013,25.9,-0.013041995
23/09/2013,26.24,-0.007214765
20/09/2013,26.43,-0.019112442
19/09/2013,26.94,-0.002965162
18/09/2013,27.02,0.00780238
17/09/2013,26.81,-0.002607563
16/09/2013,26.88,0.001489204
13/09/2013,26.84,-0.005202539
12/09/2013,26.98,-0.000370576
11/09/2013,26.99,0.00074129
10/09/2013,26.97,0.008938607
09/09/2013,26.73,0.01280138
06/09/2013,26.39,0.002656044
05/09/2013,26.32,0.004188089
04/09/2013,26.21,0.008429169
03/09/2013,25.99,0.008112851
30/08/2013,25.78,-0.003098376
29/08/2013,25.86,0.004262746
28/08/2013,25.75,0.001554606
27/08/2013,25.71,-0.021547582
26/08/2013,26.27,-0.004178544
23/08/2013,26.38,0.016434538
22/08/2013,25.95,0.007736983
21/08/2013,25.75,0.005842276
20/08/2013,25.6,-0.005065275
19/08/2013,25.73,-0.005812843
16/08/2013,25.88,-0.005779249
15/08/2013,26.03,-0.028405621
14/08/2013,26.78,-0.005585567
13/08/2013,26.93,-0.00148423
12/08/2013,26.97,0.004459316
09/08/2013,26.85,-0.00705143
08/08/2013,27.04,0.020172518
07/08/2013,26.5,0.002266718
06/08/2013,26.44,0.003789319
05/08/2013,26.34,0.00075959
02/08/2013,26.32,-0.007570059
01/08/2013,26.52,0.014049975
31/07/2013,26.15,-0.006479916
30/07/2013,26.32,0
29/07/2013,26.32,-0.006815627
26/07/2013,26.5,-0.00938974
25/07/2013,26.75,0
24/07/2013,26.75,0.054545009
23/07/2013,25.33,0.004352133
22/07/2013,25.22,-0.011825128
19/07/2013,25.52,-0.003520442
18/07/2013,25.61,0.008233726
17/07/2013,25.4,0.003549599
16/07/2013,25.31,0.001581653
15/07/2013,25.27,0.013144981
12/07/2013,24.94,0.014539836
11/07/2013,24.58,0.004893974
10/07/2013,24.46,-0.013401216
09/07/2013,24.79,0.019963996
08/07/2013,24.3,0.007020471
05/07/2013,24.13,0.006652831
03/07/2013,23.97,0.007958157
02/07/2013,23.78,0.00717454
01/07/2013,23.61,-0.00042346
28/06/2013,23.62,0.002119094
27/06/2013,23.57,-0.013485244
26/06/2013,23.89,0.010096846
25/06/2013,23.65,-0.002955459
24/06/2013,23.72,-0.025391583
21/06/2013,24.33,-0.01671121
20/06/2013,24.74,-0.004838719
19/06/2013,24.86,-0.005215659
18/06/2013,24.99,0.006423145
17/06/2013,24.83,0.002823152
