Date,Close,INTU
06/02/2013,62.91,-0.002540087
05/02/2013,63.07,0.015660275
04/02/2013,62.09,-0.012961218
01/02/2013,62.9,0.008301453
31/01/2013,62.38,-0.010841943
30/01/2013,63.06,-0.012919669
29/01/2013,63.88,0
28/01/2013,63.88,0.002664787
25/01/2013,63.71,-0.001725085
24/01/2013,63.82,0.002353127
23/01/2013,63.67,-0.001726168
22/01/2013,63.78,0.00156912
18/01/2013,63.68,0.000628338
17/01/2013,63.64,0.010901443
16/01/2013,62.95,0
15/01/2013,62.95,0.004298343
14/01/2013,62.68,0.000957702
11/01/2013,62.62,0.003359197
10/01/2013,62.41,0.004013813
09/01/2013,62.16,0.008725213
08/01/2013,61.62,-0.010814406
07/01/2013,62.29,0.001124408
04/01/2013,62.22,0.007744472
03/01/2013,61.74,-0.003395589
02/01/2013,61.95,0.040687486
31/12/2012,59.48,0.002525041
28/12/2012,59.33,-0.016880153
27/12/2012,60.34,-0.008745209
26/12/2012,60.87,-0.006876255
24/12/2012,61.29,-0.002444391
21/12/2012,61.44,-0.009879423
20/12/2012,62.05,-0.001288452
19/12/2012,62.13,0.001933302
18/12/2012,62.01,0.013638789
17/12/2012,61.17,0.016316802
14/12/2012,60.18,0.001996009
13/12/2012,60.06,-0.003656311
12/12/2012,60.28,-0.002650764
11/12/2012,60.44,0.013827792
10/12/2012,59.61,0.000839137
07/12/2012,59.56,-0.002850199
06/12/2012,59.73,-0.003009029
05/12/2012,59.91,0.003176463
04/12/2012,59.72,0.005036103
03/12/2012,59.42,-0.008212566
30/11/2012,59.91,0.012259789
29/11/2012,59.18,0.010190306
28/11/2012,58.58,0.006507987
27/11/2012,58.2,-0.003944102
26/11/2012,58.43,-0.012416181
23/11/2012,59.16,0.010193768
21/11/2012,58.56,0.006682112
20/11/2012,58.17,-0.013319869
19/11/2012,58.95,-0.005582354
16/11/2012,59.28,0.00864046
15/11/2012,58.77,0.005117718
14/11/2012,58.47,-0.012914368
13/11/2012,59.23,-0.002023951
12/11/2012,59.35,-0.010225552
09/11/2012,59.96,0.00233762
08/11/2012,59.82,-0.011799057
07/11/2012,60.53,-0.020440578
06/11/2012,61.78,0.013689914
05/11/2012,60.94,-0.004094004
02/11/2012,61.19,-0.003914538
01/11/2012,61.43,0.033099166
31/10/2012,59.43,0.000673287
26/10/2012,59.39,-0.000841538
25/10/2012,59.44,-0.002688174
24/10/2012,59.6,0.000335627
23/10/2012,59.58,-0.006024115
22/10/2012,59.94,0.002004009
19/10/2012,59.82,-0.013284818
18/10/2012,60.62,-0.004772493
17/10/2012,60.91,0.001972063
16/10/2012,60.79,0.011249085
15/10/2012,60.11,0.003666671
12/10/2012,59.89,0.004518458
11/10/2012,59.62,-0.000335402
10/10/2012,59.64,-0.003682013
09/10/2012,59.86,-0.011791219
08/10/2012,60.57,-0.009039424
05/10/2012,61.12,0.000818398
04/10/2012,61.07,0.00016376
03/10/2012,61.06,0.020015555
02/10/2012,59.85,0.008557817
01/10/2012,59.34,0.00778214
28/09/2012,58.88,0.000679579
27/09/2012,58.84,0.01489626
26/09/2012,57.97,0.00172652
25/09/2012,57.87,-0.005170642
24/09/2012,58.17,-0.003603608
21/09/2012,58.38,-0.007508568
20/09/2012,58.82,0.003235422
19/09/2012,58.63,-0.012374088
18/09/2012,59.36,-0.013220844
17/09/2012,60.15,-0.002158931
14/09/2012,60.28,0.005155937
13/09/2012,59.97,0.000834098
12/09/2012,59.92,-0.000500542
11/09/2012,59.95,0.005519793
10/09/2012,59.62,0.002687271
07/09/2012,59.46,-0.004697995
06/09/2012,59.74,0.024571261
05/09/2012,58.29,-0.004450538
04/09/2012,58.55,0.000170809
31/08/2012,58.54,0.00565312
30/08/2012,58.21,-0.01364976
29/08/2012,59.01,0.00390526
28/08/2012,58.78,-0.002548638
27/08/2012,58.93,0.008520842
24/08/2012,58.43,0.004115938
23/08/2012,58.19,-0.02478063
22/08/2012,59.65,0.011804522
21/08/2012,58.95,-0.006762494
20/08/2012,59.35,-0.00688442
17/08/2012,59.76,-0.005174008
16/08/2012,60.07,0.014589007
15/08/2012,59.2,0.020133763
14/08/2012,58.02,-0.004642773
13/08/2012,58.29,-0.012615237
10/08/2012,59.03,-0.001185135
09/08/2012,59.1,-0.008760164
08/08/2012,59.62,-0.002512775
07/08/2012,59.77,0.002512775
06/08/2012,59.62,0.009267907
03/08/2012,59.07,0.021907431
02/08/2012,57.79,-0.002419635
01/08/2012,57.93,-0.001552394
31/07/2012,58.02,-0.008409901
30/07/2012,58.51,-0.006303795
27/07/2012,58.88,0.027026346
26/07/2012,57.31,0.013880571
25/07/2012,56.52,-0.004237294
24/07/2012,56.76,-0.005797118
23/07/2012,57.09,-0.027640385
20/07/2012,58.69,-0.015721734
19/07/2012,59.62,-0.002345453
18/07/2012,59.76,0.026966783
17/07/2012,58.17,0.018040385
16/07/2012,57.13,-0.001574115
13/07/2012,57.22,0.010541208
12/07/2012,56.62,-0.012636181
11/07/2012,57.34,-0.001916544
10/07/2012,57.45,0.00017408
09/07/2012,57.44,-0.00797646
06/07/2012,57.9,-0.034292955
05/07/2012,59.92,-0.003831103
03/07/2012,60.15,0.007844487
02/07/2012,59.68,0.005544835
29/06/2012,59.35,0.040400853
28/06/2012,57,-0.009081446
27/06/2012,57.52,0.008906022
26/06/2012,57.01,0.011644451
25/06/2012,56.35,-0.022981452
22/06/2012,57.66,0.013444113
21/06/2012,56.89,-0.03353235
20/06/2012,58.83,-0.002376911
19/06/2012,58.97,0.004589113
18/06/2012,58.7,0.006494639
15/06/2012,58.32,0.016423569
14/06/2012,57.37,0.015811995
13/06/2012,56.47,-0.005298493
12/06/2012,56.77,0.023887054
11/06/2012,55.43,-0.027930304
08/06/2012,57,0.001053186
07/06/2012,56.94,-0.013259092
06/06/2012,57.7,0.035995417
05/06/2012,55.66,0.013384175
04/06/2012,54.92,0.002187387
01/06/2012,54.8,-0.025760228
31/05/2012,56.23,0.000533665
30/05/2012,56.2,-0.007622123
29/05/2012,56.63,0.00318359
25/05/2012,56.45,0.001063453
24/05/2012,56.39,-0.001417686
23/05/2012,56.47,0.00853642
22/05/2012,55.99,0.013304763
21/05/2012,55.25,0.013484169
18/05/2012,54.51,0.001836211
17/05/2012,54.41,-0.012601756
16/05/2012,55.1,-0.007053108
15/05/2012,55.49,0.002526165
14/05/2012,55.35,-0.0086347
11/05/2012,55.83,0.007190396
10/05/2012,55.43,-0.019473594
09/05/2012,56.52,0.004255326
08/05/2012,56.28,-0.005316334
07/05/2012,56.58,-0.005639775
04/05/2012,56.9,-0.025849301
03/05/2012,58.39,-0.004272415
02/05/2012,58.64,0.006672965
01/05/2012,58.25,0.004818457
30/04/2012,57.97,-0.000172488
27/04/2012,57.98,0.006575556
26/04/2012,57.6,0.003478264
25/04/2012,57.4,0.019527404
24/04/2012,56.29,-0.008138757
23/04/2012,56.75,-0.008771986
20/04/2012,57.25,-0.061805532
19/04/2012,60.9,-0.00866514
18/04/2012,61.43,-0.001789055
17/04/2012,61.54,0.020189442
16/04/2012,60.31,-0.000497306
13/04/2012,60.34,-0.004299659
12/04/2012,60.6,0.009450456
11/04/2012,60.03,0.024280404
10/04/2012,58.59,-0.008836081
09/04/2012,59.11,-0.011103748
05/04/2012,59.77,0.006546394
04/04/2012,59.38,-0.015872023
03/04/2012,60.33,-0.004795379
02/04/2012,60.62,0.007617192
30/03/2012,60.16,0.005500472
29/03/2012,59.83,0.005362842
28/03/2012,59.51,0.000504244
27/03/2012,59.48,0.012689452
26/03/2012,58.73,0.017520201
23/03/2012,57.71,-0.0003465
22/03/2012,57.73,-0.040565596
21/03/2012,60.12,0.001331558
20/03/2012,60.04,-0.004818486
19/03/2012,60.33,0.003154315
16/03/2012,60.14,-0.000664894
15/03/2012,60.18,0.008175569
14/03/2012,59.69,-0.002008369
13/03/2012,59.81,0.020096936
12/03/2012,58.62,0.007706177
09/03/2012,58.17,0.01646627
08/03/2012,57.22,0.001574115
07/03/2012,57.13,0.01855013
06/03/2012,56.08,-0.013988719
05/03/2012,56.87,-0.007008965
02/03/2012,57.27,-0.011631066
01/03/2012,57.94,0.001727414
29/02/2012,57.84,0.001037883
28/02/2012,57.78,-0.001901963
27/02/2012,57.89,-0.002932301
24/02/2012,58.06,-0.010621995
23/02/2012,58.68,-0.037462575
22/02/2012,60.92,0.057428815
21/02/2012,57.52,0.002436903
17/02/2012,57.38,-0.010919599
16/02/2012,58.01,0.023723422
15/02/2012,56.65,-0.00211603
14/02/2012,56.77,0.003175726
13/02/2012,56.59,-0.001589124
10/02/2012,56.68,-0.016101153
09/02/2012,57.6,0.000694686
08/02/2012,57.56,-0.001041848
07/02/2012,57.62,-0.004847655
06/02/2012,57.9,-0.009796418
03/02/2012,58.47,0.010487503
02/02/2012,57.86,-0.000345602
01/02/2012,57.88,0.025193775
31/01/2012,56.44,-0.002123895
30/01/2012,56.56,-0.013870822
27/01/2012,57.35,-0.002438176
26/01/2012,57.49,-0.000521694
25/01/2012,57.52,0.003308666
24/01/2012,57.33,-0.001394457
23/01/2012,57.41,0.005589534
20/01/2012,57.09,-0.000175147
19/01/2012,57.1,0.011448826
18/01/2012,56.45,0.02148695
17/01/2012,55.25,0.007630851
13/01/2012,54.83,-0.008354571
12/01/2012,55.29,0.001991492
11/01/2012,55.18,0.0078232
10/01/2012,54.75,0.029094983
09/01/2012,53.18,0.001128881
06/01/2012,53.12,0.010978721
05/01/2012,52.54,0.004578413
04/01/2012,52.3,-0.003054603
03/01/2012,52.46,-0.002475013
30/12/2011,52.59,-0.00341686
29/12/2011,52.77,0.006845435
28/12/2011,52.41,-0.014396915
27/12/2011,53.17,0.001317399
23/12/2011,53.1,-0.00206942
22/12/2011,53.21,0.002634552
21/12/2011,53.07,-0.013103894
20/12/2011,53.77,0.052497978
19/12/2011,51.02,-0.014786262
16/12/2011,51.78,0.009508173
15/12/2011,51.29,-0.009894348
14/12/2011,51.8,-0.029858641
13/12/2011,53.37,0.009980311
12/12/2011,52.84,-0.008104841
09/12/2011,53.27,0.013417947
08/12/2011,52.56,-0.020526095
07/12/2011,53.65,-0.00946116
06/12/2011,54.16,-0.007358385
05/12/2011,54.56,0.034306123
02/12/2011,52.72,-0.003786449
01/12/2011,52.92,-0.006028654
30/11/2011,53.24,0.045733234
29/11/2011,50.86,-0.001179014
28/11/2011,50.92,0.032940397
25/11/2011,49.27,-0.000405844
23/11/2011,49.29,-0.022071522
22/11/2011,50.39,-0.0073159
21/11/2011,50.76,-0.024904011
18/11/2011,52.04,0.005588221
17/11/2011,51.75,-0.032322205
16/11/2011,53.45,-0.008198294
15/11/2011,53.89,0.011759352
14/11/2011,53.26,-0.014168768
11/11/2011,54.02,0.022843158
10/11/2011,52.8,0.008750294
09/11/2011,52.34,-0.032518606
08/11/2011,54.07,0.013780479
07/11/2011,53.33,-0.007286347
04/11/2011,53.72,-0.00427232
03/11/2011,53.95,0.028960279
02/11/2011,52.41,0.009778623
01/11/2011,51.9,-0.033535396
31/10/2011,53.67,-0.01736283
28/10/2011,54.61,-0.01092708
27/10/2011,55.21,0.041418381
26/10/2011,52.97,-0.00658578
25/10/2011,53.32,-0.012672551
24/10/2011,54,0.009302393
21/10/2011,53.5,0.023067765
20/10/2011,52.28,0.006524683
19/10/2011,51.94,-0.010723963
18/10/2011,52.5,0.004199281
17/10/2011,52.28,-0.013866686
14/10/2011,53.01,0.019429183
13/10/2011,51.99,-0.000192326
12/10/2011,52,0.015894888
11/10/2011,51.18,0.017940353
10/10/2011,50.27,0.035226314
07/10/2011,48.53,-0.004933206
06/10/2011,48.77,0.031874378
05/10/2011,47.24,0.007223316
04/10/2011,46.9,0.022860603
03/10/2011,45.84,-0.034308682
30/09/2011,47.44,-0.020860164
