Date,Close,PEG
21/06/2012,31.54,-0.014791772
20/06/2012,32.01,-0.005296788
19/06/2012,32.18,0.002489111
18/06/2012,32.1,-0.007139562
15/06/2012,32.33,0.008386445
14/06/2012,32.06,0.012239287
13/06/2012,31.67,-0.003152588
12/06/2012,31.77,-0.001886793
11/06/2012,31.83,-0.003136765
08/06/2012,31.93,0.008807858
07/06/2012,31.65,0.008248778
06/06/2012,31.39,0.002551836
05/06/2012,31.31,0.003198979
04/06/2012,31.21,0.000320461
01/06/2012,31.2,0.000320564
31/05/2012,31.19,0.014207536
30/05/2012,30.75,-0.000975134
29/05/2012,30.78,0.010122535
25/05/2012,30.47,-0.006542385
24/05/2012,30.67,-0.000977676
23/05/2012,30.7,-0.007463932
22/05/2012,30.93,-0.001615248
21/05/2012,30.98,-0.022343732
18/05/2012,31.68,0.001263424
17/05/2012,31.64,0.000632311
16/05/2012,31.62,-0.000632311
15/05/2012,31.64,-0.00567288
14/05/2012,31.82,-0.006265685
11/05/2012,32.02,0.000937354
10/05/2012,31.99,0.015118398
09/05/2012,31.51,0.006048085
08/05/2012,31.32,-0.00350598
07/05/2012,31.43,-0.006659292
04/05/2012,31.64,0.004434597
03/05/2012,31.5,0.003498175
02/05/2012,31.39,-0.00254534
01/05/2012,31.47,0.010220466
30/04/2012,31.15,-0.001283285
27/04/2012,31.19,0.007724531
26/04/2012,30.95,0.013008314
25/04/2012,30.55,0.004922077
24/04/2012,30.4,0.001646091
23/04/2012,30.35,-0.001974984
20/04/2012,30.41,0.010911003
19/04/2012,30.08,-0.000664673
18/04/2012,30.1,-0.007282389
17/04/2012,30.32,0.009943735
16/04/2012,30.02,0.011053537
13/04/2012,29.69,0.009475536
12/04/2012,29.41,0.001701549
11/04/2012,29.36,0.009238731
10/04/2012,29.09,-0.015012223
09/04/2012,29.53,-0.006076994
05/04/2012,29.71,-0.016689306
04/04/2012,30.21,-0.005940612
03/04/2012,30.39,-0.007539783
02/04/2012,30.62,0.000326637
30/03/2012,30.61,0.011830568
29/03/2012,30.25,0.004638842
28/03/2012,30.11,-0.004308209
27/03/2012,30.24,0.008635059
26/03/2012,29.98,0.010394058
23/03/2012,29.67,-0.004707473
22/03/2012,29.81,0.00100688
21/03/2012,29.78,0
20/03/2012,29.78,-0.006693465
19/03/2012,29.98,-0.00465891
16/03/2012,30.12,-0.00033195
15/03/2012,30.13,0.000996181
14/03/2012,30.1,-0.012873589
13/03/2012,30.49,-0.000327923
12/03/2012,30.5,0.006909059
09/03/2012,30.29,-0.007564581
08/03/2012,30.52,0.009216655
07/03/2012,30.24,-0.012487839
06/03/2012,30.62,-0.011042658
05/03/2012,30.96,-0.00225843
02/03/2012,31.03,0.007439788
01/03/2012,30.8,0.000649562
29/02/2012,30.78,0.004232466
28/02/2012,30.65,-0.000978314
27/02/2012,30.68,0.008182013
24/02/2012,30.43,-0.00229772
23/02/2012,30.5,-0.014969365
22/02/2012,30.96,0.001292825
21/02/2012,30.92,-0.013172881
17/02/2012,31.33,-0.000638162
16/02/2012,31.35,0.022255394
15/02/2012,30.66,-0.003906255
14/02/2012,30.78,0.00358015
13/02/2012,30.67,0.005230479
10/02/2012,30.51,0.004270002
09/02/2012,30.38,-0.016000341
08/02/2012,30.87,0.008458086
07/02/2012,30.61,0.012491944
06/02/2012,30.23,-0.001322314
03/02/2012,30.27,0.008959741
02/02/2012,30,-0.011599136
01/02/2012,30.35,0.000329544
31/01/2012,30.34,0.004293979
30/01/2012,30.21,-0.003964326
27/01/2012,30.33,-0.026034663
26/01/2012,31.13,0.006445398
25/01/2012,30.93,0.018600634
24/01/2012,30.36,-0.01471336
23/01/2012,30.81,0.019997388
20/01/2012,30.2,-0.00165426
19/01/2012,30.25,-0.008558314
18/01/2012,30.51,-0.00588237
17/01/2012,30.69,-0.006819315
13/01/2012,30.9,-0.00869991
12/01/2012,31.17,0.000641849
11/01/2012,31.15,-0.013393057
10/01/2012,31.57,-0.00221484
09/01/2012,31.64,-0.007242986
06/01/2012,31.87,-0.004070774
05/01/2012,32,0.010681848
04/01/2012,31.66,-0.004726651
03/01/2012,31.81,-0.03702984
30/12/2011,33.01,0.002122821
29/12/2011,32.94,0.01283244
28/12/2011,32.52,-0.009182801
27/12/2011,32.82,0.008567984
23/12/2011,32.54,0.012057651
22/12/2011,32.15,0.01504259
21/12/2011,31.67,0.012390945
20/12/2011,31.28,0.020672571
19/12/2011,30.64,-0.020992213
16/12/2011,31.29,-0.017424803
15/12/2011,31.84,0.025124553
14/12/2011,31.05,-0.014071227
13/12/2011,31.49,0.002225402
12/12/2011,31.42,-0.009187456
09/12/2011,31.71,0.005692615
08/12/2011,31.53,-0.01698154
07/12/2011,32.07,-0.017923842
06/12/2011,32.65,0.002146253
05/12/2011,32.58,0.008321823
02/12/2011,32.31,-0.010468076
01/12/2011,32.65,-0.008842869
30/11/2011,32.94,0.030515544
29/11/2011,31.95,0.011331566
28/11/2011,31.59,0.012102059
25/11/2011,31.21,0.000961693
23/11/2011,31.18,-0.017170533
22/11/2011,31.72,-0.015019056
21/11/2011,32.2,-0.015102768
18/11/2011,32.69,0.003063728
17/11/2011,32.59,-0.00550797
16/11/2011,32.77,-0.014842011
15/11/2011,33.26,-0.010170593
14/11/2011,33.6,-0.012716422
11/11/2011,34.03,0.012121361
10/11/2011,33.62,0.016494601
09/11/2011,33.07,-0.033014151
08/11/2011,34.18,0.000292612
07/11/2011,34.17,0.008523196
04/11/2011,33.88,-0.01465013
03/11/2011,34.38,0.023246596
02/11/2011,33.59,0.030836784
01/11/2011,32.57,-0.034106218
31/10/2011,33.7,-0.008568526
28/10/2011,33.99,-0.012861914
27/10/2011,34.43,0.00349142
26/10/2011,34.31,0.010548003
25/10/2011,33.95,-0.013748937
24/10/2011,34.42,0.007289725
21/10/2011,34.17,0.02249281
20/10/2011,33.41,0.011136308
19/10/2011,33.04,0.000302709
18/10/2011,33.03,-0.005133637
17/10/2011,33.2,0.004225784
14/10/2011,33.06,0.012785562
13/10/2011,32.64,0.000306419
12/10/2011,32.63,-0.00489148
11/10/2011,32.79,-0.000914495
10/10/2011,32.82,0.015351852
07/10/2011,32.32,-0.007398307
06/10/2011,32.56,0.018286578
05/10/2011,31.97,0.002505482
04/10/2011,31.89,-0.013703111
03/10/2011,32.33,-0.031661701
30/09/2011,33.37,-0.017526069
29/09/2011,33.96,0.012742801
28/09/2011,33.53,-0.016563526
27/09/2011,34.09,0.002643562
26/09/2011,34,0.011536883
23/09/2011,33.61,0.017104693
22/09/2011,33.04,-0.023333395
21/09/2011,33.82,-0.028852358
20/09/2011,34.81,0.013593846
19/09/2011,34.34,-0.003778525
16/09/2011,34.47,0.012259348
15/09/2011,34.05,0.013303966
14/09/2011,33.6,0.012277441
13/09/2011,33.19,0.016097538
12/09/2011,32.66,0.011703244
09/09/2011,32.28,-0.02990763
08/09/2011,33.26,0.000902391
07/09/2011,33.23,0.010284422
06/09/2011,32.89,-0.00576021
02/09/2011,33.08,-0.012616569
01/09/2011,33.5,-0.018631324
31/08/2011,34.13,0.012975706
30/08/2011,33.69,-0.00148302
29/08/2011,33.74,0.022176516
26/08/2011,33,-0.004836769
25/08/2011,33.16,-0.008408458
24/08/2011,33.44,0.034685558
23/08/2011,32.3,0.012774749
22/08/2011,31.89,0.008502649
19/08/2011,31.62,-0.012883132
18/08/2011,32.03,-0.014567126
17/08/2011,32.5,0.004008021
16/08/2011,32.37,0
15/08/2011,32.37,0.040989345
12/08/2011,31.07,0.006457885
11/08/2011,30.87,0.063524027
10/08/2011,28.97,-0.028583096
09/08/2011,29.81,0.033080595
08/08/2011,28.84,-0.050374009
05/08/2011,30.33,0.001980199
04/08/2011,30.27,-0.047105483
03/08/2011,31.73,-0.016255438
02/08/2011,32.25,-0.012633044
01/08/2011,32.66,-0.002751875
29/07/2011,32.75,-0.01032816
28/07/2011,33.09,-0.004522848
27/07/2011,33.24,-0.001503082
26/07/2011,33.29,0.002707176
25/07/2011,33.2,0.011816529
22/07/2011,32.81,0.00580775
21/07/2011,32.62,0.020440476
20/07/2011,31.96,0.002506267
19/07/2011,31.88,0.009454845
18/07/2011,31.58,-0.008199352
