Date,Close,PNC
25/06/2013,72.7,0.030303233
24/06/2013,70.53,-0.016592057
21/06/2013,71.71,0.009246353
20/06/2013,71.05,0.002395548
19/06/2013,70.88,-0.012060166
18/06/2013,71.74,0.006292407
17/06/2013,71.29,0.004076188
14/06/2013,71,-0.010647341
13/06/2013,71.76,0.012903405
12/06/2013,70.84,-0.012764042
11/06/2013,71.75,-0.016312222
10/06/2013,72.93,0.02541274
07/06/2013,71.1,0.011742372
06/06/2013,70.27,0.006281248
05/06/2013,69.83,-0.017882963
04/06/2013,71.09,-0.010355536
03/06/2013,71.83,0.002648639
31/05/2013,71.64,-0.017160676
30/05/2013,72.88,0.014929777
29/05/2013,71.8,0.010782153
28/05/2013,71.03,-0.001125651
24/05/2013,71.11,0.002393525
23/05/2013,70.94,-0.004220009
22/05/2013,71.24,-0.013385587
21/05/2013,72.2,0.012824263
20/05/2013,71.28,-0.003221517
17/05/2013,71.51,0.014792127
16/05/2013,70.46,-0.005519793
15/05/2013,70.85,0.009644097
14/05/2013,70.17,0.020298689
13/05/2013,68.76,0.002767059
10/05/2013,68.57,-0.002185156
09/05/2013,68.72,-0.00363135
08/05/2013,68.97,0.003049447
07/05/2013,68.76,0.007298237
06/05/2013,68.26,0.002199898
03/05/2013,68.11,0.013748461
02/05/2013,67.18,0.000148865
01/05/2013,67.17,-0.010514721
30/04/2013,67.88,-0.007777572
29/04/2013,68.41,0.0045418
26/04/2013,68.1,-0.008771986
25/04/2013,68.7,0.00379175
24/04/2013,68.44,0.018135403
23/04/2013,67.21,0.027146894
22/04/2013,65.41,0.002755666
19/04/2013,65.23,-0.000153292
18/04/2013,65.24,0.002916573
17/04/2013,65.05,0.004004934
16/04/2013,64.79,0.016182086
15/04/2013,63.75,-0.031802618
12/04/2013,65.81,-0.022537012
11/04/2013,67.31,0.001784387
10/04/2013,67.19,0.012580666
09/04/2013,66.35,0.004228975
08/04/2013,66.07,0.012642008
05/04/2013,65.24,-0.005502918
04/04/2013,65.6,0.007190423
03/04/2013,65.13,-0.025467497
02/04/2013,66.81,0.015384919
01/04/2013,65.79,-0.010734097
28/03/2013,66.5,0.004672554
27/03/2013,66.19,-0.001358798
26/03/2013,66.28,0.002114485
25/03/2013,66.14,-0.001057801
22/03/2013,66.21,0.002722325
21/03/2013,66.03,-0.010095769
20/03/2013,66.7,0.006769488
19/03/2013,66.25,0
18/03/2013,66.25,-0.008267616
15/03/2013,66.8,0.008116684
14/03/2013,66.26,0.004992824
13/03/2013,65.93,0.007765551
12/03/2013,65.42,-0.006855081
11/03/2013,65.87,0.012988188
08/03/2013,65.02,0.003235002
07/03/2013,64.81,0.010079949
06/03/2013,64.16,0.007823542
05/03/2013,63.66,0.002201605
04/03/2013,63.52,0.011718266
01/03/2013,62.78,0.006231545
28/02/2013,62.39,0.011445277
27/02/2013,61.68,0.008793413
26/02/2013,61.14,0.005247634
25/02/2013,60.82,-0.033627481
22/02/2013,62.9,0.008141158
21/02/2013,62.39,-0.012424499
20/02/2013,63.17,-0.005367869
19/02/2013,63.51,-0.005652394
15/02/2013,63.87,0
14/02/2013,63.87,-0.004686044
13/02/2013,64.17,-0.009306721
12/02/2013,64.77,0.01195945
11/02/2013,64,0.010208177
08/02/2013,63.35,-0.004724418
07/02/2013,63.65,0.004882284
06/02/2013,63.34,0.00237098
05/02/2013,63.19,0.011139517
04/02/2013,62.49,-0.011297757
01/02/2013,63.2,0.022400937
31/01/2013,61.8,-0.000323572
30/01/2013,61.82,-0.001454781
29/01/2013,61.91,-0.000968679
28/01/2013,61.97,0
25/01/2013,61.97,0.00177663
24/01/2013,61.86,0.000323363
23/01/2013,61.84,-0.004517594
22/01/2013,62.12,0.004517594
18/01/2013,61.84,-0.002745258
17/01/2013,62.01,0.036624506
16/01/2013,59.78,0.000167294
15/01/2013,59.77,0.00536824
14/01/2013,59.45,-0.010041925
11/01/2013,60.05,-0.017988768
10/01/2013,61.14,0.015992427
09/01/2013,60.17,-0.001328683
08/01/2013,60.25,-0.012862974
07/01/2013,61.03,0.009052815
04/01/2013,60.48,0.012143541
03/01/2013,59.75,0.003520835
02/01/2013,59.54,0.02087475
31/12/2012,58.31,0.014684552
28/12/2012,57.46,-0.008491516
27/12/2012,57.95,-0.001724138
26/12/2012,58.05,-0.008917912
24/12/2012,58.57,0.004449015
21/12/2012,58.31,-0.014641051
20/12/2012,59.17,0.009168146
19/12/2012,58.63,-0.01506588
18/12/2012,59.52,0.028113275
17/12/2012,57.87,0.03552959
14/12/2012,55.85,-0.012278827
13/12/2012,56.54,-0.002825858
12/12/2012,56.7,0.008145963
11/12/2012,56.24,0.006421713
10/12/2012,55.88,0.001432665
07/12/2012,55.8,0.008458612
06/12/2012,55.33,-0.010070216
05/12/2012,55.89,0.014598799
04/12/2012,55.08,-0.00416705
03/12/2012,55.31,-0.014894847
30/11/2012,56.14,0.014171912
29/11/2012,55.35,0
28/11/2012,55.35,0.005798168
27/11/2012,55.03,-0.009405025
26/11/2012,55.55,-0.003593894
23/11/2012,55.75,0.017004751
21/11/2012,54.81,0.000182465
20/11/2012,54.8,-0.002005287
19/11/2012,54.91,0.010434877
16/11/2012,54.34,-0.000551927
15/11/2012,54.37,0.012585767
14/11/2012,53.69,-0.023378883
13/11/2012,54.96,-0.024266491
12/11/2012,56.31,0.000888336
09/11/2012,56.26,0.000177762
08/11/2012,56.25,-0.006202944
07/11/2012,56.6,-0.042883472
06/11/2012,59.08,0.005941788
05/11/2012,58.73,-0.007801939
02/11/2012,59.19,-0.001013171
01/11/2012,59.25,0.017880425
31/10/2012,58.2,0.00758886
26/10/2012,57.76,-0.011704092
25/10/2012,58.44,0.007557576
24/10/2012,58,-0.010974047
23/10/2012,58.64,-0.007644648
22/10/2012,59.09,-0.005569165
19/10/2012,59.42,-0.007043464
18/10/2012,59.84,0.001170471
17/10/2012,59.77,-0.010485242
16/10/2012,60.4,-0.041033893
15/10/2012,62.93,0.003183195
12/10/2012,62.73,-0.034777941
11/10/2012,64.95,0.006177626
10/10/2012,64.55,0.002326484
09/10/2012,64.4,-0.00139654
08/10/2012,64.49,-0.00479543
05/10/2012,64.8,0.000771903
04/10/2012,64.75,0.005730675
03/10/2012,64.38,0.006857882
02/10/2012,63.94,0.018627216
01/10/2012,62.76,-0.005402842
28/09/2012,63.1,-0.01150253
27/09/2012,63.83,0.005025925
26/09/2012,63.51,-0.016087813
25/09/2012,64.54,-0.016138059
24/09/2012,65.59,-0.003956183
21/09/2012,65.85,0.00167186
20/09/2012,65.74,-0.006368482
19/09/2012,66.16,0.007433851
18/09/2012,65.67,0.000152288
17/09/2012,65.66,-0.016913722
14/09/2012,66.78,0.015696066
13/09/2012,65.74,0.024483477
12/09/2012,64.15,0.002966203
11/09/2012,63.96,0.001251565
10/09/2012,63.88,0.001253133
07/09/2012,63.8,0.012459746
06/09/2012,63.01,0.01874304
05/09/2012,61.84,-0.00805287
04/09/2012,62.34,0.002891568
31/08/2012,62.16,0.001932368
30/08/2012,62.04,-0.008506592
29/08/2012,62.57,0.009635533
28/08/2012,61.97,-0.000645265
27/08/2012,62.01,-0.000644849
24/08/2012,62.05,0.003551828
23/08/2012,61.83,-0.005323022
22/08/2012,62.16,-0.000643294
21/08/2012,62.2,0.008233157
20/08/2012,61.69,-0.005818668
17/08/2012,62.05,0.008090659
16/08/2012,61.55,0.009467913
15/08/2012,60.97,0.00889627
14/08/2012,60.43,0.000165494
13/08/2012,60.42,-0.005117634
10/08/2012,60.73,-0.000658436
09/08/2012,60.77,-0.004433141
08/08/2012,61.04,0.004433141
07/08/2012,60.77,0.010587361
06/08/2012,60.13,-0.001993687
03/08/2012,60.25,0.029475818
02/08/2012,58.5,-0.01020417
01/08/2012,59.1,0
31/07/2012,59.1,-0.012109129
30/07/2012,59.82,0.004355845
27/07/2012,59.56,0.018983621
26/07/2012,58.44,0.013263479
25/07/2012,57.67,0.005215589
24/07/2012,57.37,-0.004174645
23/07/2012,57.61,-0.026211351
20/07/2012,59.14,-0.036035447
19/07/2012,61.31,0.004905177
18/07/2012,61.01,-0.009461735
17/07/2012,61.59,0.007824001
16/07/2012,61.11,-0.005059996
13/07/2012,61.42,0.017574567
12/07/2012,60.35,-0.017411741
11/07/2012,61.41,0.028910909
10/07/2012,59.66,-0.009674804
09/07/2012,60.24,-0.007607115
06/07/2012,60.7,-0.006404489
05/07/2012,61.09,-0.017041717
03/07/2012,62.14,0.010515344
02/07/2012,61.49,0.006199041
29/06/2012,61.11,0.026531153
28/06/2012,59.51,-0.001511208
27/06/2012,59.6,0.012493831
26/06/2012,58.86,0.005109873
25/06/2012,58.56,-0.010024721
22/06/2012,59.15,0.008659533
21/06/2012,58.64,-0.020591445
20/06/2012,59.86,0.005360147
19/06/2012,59.54,0.025171397
18/06/2012,58.06,-0.016229962
15/06/2012,59.01,0.018989536
14/06/2012,57.9,0.001555613
13/06/2012,57.81,0.005376823
12/06/2012,57.5,-0.01158481
11/06/2012,58.17,-0.020082363
08/06/2012,59.35,0.01220561
07/06/2012,58.63,-0.001193216
06/06/2012,58.7,0.02536149
05/06/2012,57.23,0.006837933
04/06/2012,56.84,-0.021408876
01/06/2012,58.07,-0.056086336
31/05/2012,61.42,0.001140344
30/05/2012,61.35,-0.023359902
29/05/2012,62.8,0.011370128
25/05/2012,62.09,-0.001770054
24/05/2012,62.2,0.004673282
23/05/2012,61.91,-0.001775196
22/05/2012,62.02,-0.003862251
21/05/2012,62.26,0.015050045
18/05/2012,61.33,-0.005041891
17/05/2012,61.64,-0.014175495
16/05/2012,62.52,-0.013819615
15/05/2012,63.39,-0.013631233
14/05/2012,64.26,-0.018807399
11/05/2012,65.48,-0.000763301
10/05/2012,65.53,0.013829354
09/05/2012,64.63,-0.019307986
08/05/2012,65.89,-0.002425346
07/05/2012,66.05,0.01203274
04/05/2012,65.26,-0.015358015
03/05/2012,66.27,-0.006917321
02/05/2012,66.73,-0.008951276
01/05/2012,67.33,0.015114392
30/04/2012,66.32,-0.006163116
27/04/2012,66.73,-0.007316195
26/04/2012,67.22,0.014384425
25/04/2012,66.26,0.010468123
24/04/2012,65.57,0.009038744
23/04/2012,64.98,-0.006136871
20/04/2012,65.38,0.012001991
19/04/2012,64.6,0.012774749
18/04/2012,63.78,0.005818084
17/04/2012,63.41,0.020231674
16/04/2012,62.14,0.013936379
13/04/2012,61.28,-0.034168052
12/04/2012,63.41,0.014935136
11/04/2012,62.47,0.011592466
10/04/2012,61.75,-0.014310076
09/04/2012,62.64,-0.014108184
05/04/2012,63.53,-0.005337532
04/04/2012,63.87,-0.012911434
03/04/2012,64.7,-0.000309071
02/04/2012,64.72,0.0035601
30/03/2012,64.49,0.008408645
29/03/2012,63.95,-0.011659673
28/03/2012,64.7,0.024881966
27/03/2012,63.11,-0.013847586
26/03/2012,63.99,0.009894074
23/03/2012,63.36,0.012067469
22/03/2012,62.6,-0.013486916
21/03/2012,63.45,-0.000630219
20/03/2012,63.49,-0.00235979
19/03/2012,63.64,0.003462934
16/03/2012,63.42,0.006644543
15/03/2012,63,0.026539555
14/03/2012,61.35,-0.009571003
13/03/2012,61.94,0.040189862
12/03/2012,59.5,0.001682086
09/03/2012,59.4,0.011343557
08/03/2012,58.73,0.013887921
07/03/2012,57.92,0.013558351
06/03/2012,57.14,-0.027956955
05/03/2012,58.76,-0.014361994
02/03/2012,59.61,-0.011342907
01/03/2012,60.29,0.012853862
29/02/2012,59.52,-0.000335965
28/02/2012,59.54,0.002017486
27/02/2012,59.42,0.000673401
24/02/2012,59.38,-0.005039487
23/02/2012,59.68,-0.000502555
22/02/2012,59.71,-0.025627591
21/02/2012,61.26,0.001960785
17/02/2012,61.14,0.007222618
16/02/2012,60.7,0.019799332
15/02/2012,59.51,-0.000839842
14/02/2012,59.56,-0.008859231
13/02/2012,60.09,0.007014057
10/02/2012,59.67,-0.011994147
09/02/2012,60.39,-0.000662142
08/02/2012,60.43,-0.004458028
07/02/2012,60.7,-0.006077049
06/02/2012,61.07,-0.018334253
03/02/2012,62.2,0.039182129
02/02/2012,59.81,-0.000835631
01/02/2012,59.86,0.015827911
31/01/2012,58.92,-0.001695778
30/01/2012,59.02,-0.001016088
27/01/2012,59.08,0.003051367
26/01/2012,58.9,-0.012149998
25/01/2012,59.62,0.001678698
24/01/2012,59.52,-0.003522016
23/01/2012,59.73,0.001675604
20/01/2012,59.63,0.003864577
19/01/2012,59.4,-0.004032264
18/01/2012,59.64,-0.026474081
17/01/2012,61.24,-0.007969466
13/01/2012,61.73,-0.005814909
12/01/2012,62.09,0.007111716
11/01/2012,61.65,0.001298491
10/01/2012,61.57,0.019185634
09/01/2012,60.4,0.008145669
06/01/2012,59.91,0.001670565
05/01/2012,59.81,0.009913548
04/01/2012,59.22,0.003213533
03/01/2012,59.03,0.023308682
30/12/2011,57.67,-0.010864986
29/12/2011,58.3,0.014165032
28/12/2011,57.48,-0.015364998
27/12/2011,58.37,-0.003420561
23/12/2011,58.57,0.00977961
