Date,Close,CI
29/07/2013,77.2,-0.004781297
26/07/2013,77.57,-0.005528072
25/07/2013,78,-0.001409263
24/07/2013,78.11,-0.000639918
23/07/2013,78.16,-0.00306592
22/07/2013,78.4,0.007168489
19/07/2013,77.84,0.003732548
18/07/2013,77.55,0.026922692
17/07/2013,75.49,0.007178973
16/07/2013,74.95,-0.012463699
15/07/2013,75.89,-0.001843076
12/07/2013,76.03,-0.001445752
11/07/2013,76.14,0.016686919
10/07/2013,74.88,0.003076308
09/07/2013,74.65,0.011045371
08/07/2013,73.83,-0.0014888
05/07/2013,73.94,0.013891004
03/07/2013,72.92,0.011031551
02/07/2013,72.12,-0.00952191
01/07/2013,72.81,0.004404687
28/06/2013,72.49,-0.000965184
27/06/2013,72.56,0.016536193
26/06/2013,71.37,0.009856458
25/06/2013,70.67,-0.002402658
24/06/2013,70.84,-0.002819286
21/06/2013,71.04,0.025664368
20/06/2013,69.24,0.004487233
19/06/2013,68.93,-0.010534768
18/06/2013,69.66,0.020009367
17/06/2013,68.28,0.001759015
14/06/2013,68.16,-0.018461168
13/06/2013,69.43,-0.00014402
12/06/2013,69.44,-0.007317631
11/06/2013,69.95,0.013674197
10/06/2013,69,0.008002953
07/06/2013,68.45,0.022008126
06/06/2013,66.96,0.014895333
05/06/2013,65.97,-0.023223757
04/06/2013,67.52,0.008627155
03/06/2013,66.94,-0.014239339
31/05/2013,67.9,-0.026881386
30/05/2013,69.75,0.012987196
29/05/2013,68.85,-0.003190258
28/05/2013,69.07,0.027000907
24/05/2013,67.23,-0.010210966
23/05/2013,67.92,-0.000588755
22/05/2013,67.96,0.005311314
21/05/2013,67.6,0.010110107
20/05/2013,66.92,-0.014538158
17/05/2013,67.9,0.007984665
16/05/2013,67.36,-0.010925843
15/05/2013,68.1,0.003235773
14/05/2013,67.88,-0.016799752
13/05/2013,69.03,0.003046792
10/05/2013,68.82,0.011545616
09/05/2013,68.03,-0.0051316
08/05/2013,68.38,0.021433087
07/05/2013,66.93,-0.002387704
06/05/2013,67.09,-0.000596036
03/05/2013,67.13,-0.01390555
02/05/2013,68.07,0.040320186
01/05/2013,65.38,-0.012010787
30/04/2013,66.17,0.001512402
29/04/2013,66.07,0.003942984
26/04/2013,65.81,0.001368509
25/04/2013,65.72,0.007637123
24/04/2013,65.22,-0.006419096
23/04/2013,65.64,0.009182801
22/04/2013,65.04,-0.001689838
19/04/2013,65.15,0.017652982
18/04/2013,64.01,-0.013345946
17/04/2013,64.87,-0.023311789
16/04/2013,66.4,0.018697816
15/04/2013,65.17,-0.023505518
12/04/2013,66.72,0.012366317
11/04/2013,65.9,0.009605929
10/04/2013,65.27,0.005222746
09/04/2013,64.93,-0.004763011
08/04/2013,65.24,0.010787591
05/04/2013,64.54,0.007152884
04/04/2013,64.08,0.007361612
03/04/2013,63.61,-0.01776301
02/04/2013,64.75,0.028828567
01/04/2013,62.91,0.008620743
28/03/2013,62.37,-0.002402115
27/03/2013,62.52,0.004488626
26/03/2013,62.24,0.010173685
25/03/2013,61.61,-0.00226978
22/03/2013,61.75,0.000161956
21/03/2013,61.74,-0.006618799
20/03/2013,62.15,-0.000964941
19/03/2013,62.21,0.001608752
