Date,Close,ED
04/06/2013,56.49,-0.008636698
03/06/2013,56.98,-0.001578255
31/05/2013,57.07,-0.010631908
30/05/2013,57.68,-0.001039681
29/05/2013,57.74,-0.014101695
28/05/2013,58.56,-0.001706194
24/05/2013,58.66,-0.005948858
23/05/2013,59.01,-0.010116424
22/05/2013,59.61,-0.020917097
21/05/2013,60.87,-0.000492732
20/05/2013,60.9,0.001807873
17/05/2013,60.79,0.010417622
16/05/2013,60.16,-0.00877126
15/05/2013,60.69,0.003631566
14/05/2013,60.47,0.000496237
13/05/2013,60.44,-0.018523602
10/05/2013,61.57,0.001950903
09/05/2013,61.45,-0.013416511
08/05/2013,62.28,-0.012446307
07/05/2013,63.06,0.005406278
06/05/2013,62.72,-0.014876046
03/05/2013,63.66,0.000471365
02/05/2013,63.63,0.004883822
01/05/2013,63.32,-0.00519809
30/04/2013,63.65,0.000314268
29/04/2013,63.63,0.012493244
26/04/2013,62.84,-0.00238417
25/04/2013,62.99,0.003498731
24/04/2013,62.77,0.004310696
23/04/2013,62.5,0.002082166
22/04/2013,62.37,-0.001762115
19/04/2013,62.48,0.016785417
18/04/2013,61.44,0.00162893
17/04/2013,61.34,-0.003092702
16/04/2013,61.53,0.004234534
15/04/2013,61.27,-0.010391391
12/04/2013,61.91,0.002911681
11/04/2013,61.73,-0.000647773
10/04/2013,61.77,0.00454325
09/04/2013,61.49,0.000162641
08/04/2013,61.48,0.002768957
05/04/2013,61.31,0.001305696
04/04/2013,61.23,0.009023111
03/04/2013,60.68,0.002805514
02/04/2013,60.51,-0.003299789
01/04/2013,60.71,-0.005257117
28/03/2013,61.03,0.01518933
27/03/2013,60.11,0.007514438
26/03/2013,59.66,0.009430855
25/03/2013,59.1,0.000169219
22/03/2013,59.09,0.00305085
21/03/2013,58.91,-0.004234782
20/03/2013,59.16,0.00338639
19/03/2013,58.96,0.004930725
18/03/2013,58.67,-0.008486134
15/03/2013,59.17,0.006272802
14/03/2013,58.8,0.000510334
13/03/2013,58.77,-0.001700102
12/03/2013,58.87,-0.00305292
11/03/2013,59.05,0.001694916
08/03/2013,58.95,-0.000508776
07/03/2013,58.98,-0.004567377
06/03/2013,59.25,-0.005554167
05/03/2013,59.58,0.003025721
04/03/2013,59.4,0.006417857
01/03/2013,59.02,0.000338926
28/02/2013,59,0.007314824
27/02/2013,58.57,0.005993682
26/02/2013,58.22,0.004820946
25/02/2013,57.94,-0.009276823
22/02/2013,58.48,0.018640512
21/02/2013,57.4,0.003665245
20/02/2013,57.19,0.00332779
19/02/2013,57,0.007395702
15/02/2013,56.58,0.003895879
14/02/2013,56.36,-0.004602593
13/02/2013,56.62,0.001060258
12/02/2013,56.56,-0.00053027
11/02/2013,56.59,-0.009847099
08/02/2013,57.15,0.00105042
07/02/2013,57.09,0.004564615
06/02/2013,56.83,0.001584926
05/02/2013,56.74,-0.002112677
04/02/2013,56.86,-0.00333597
01/02/2013,57.05,0.002984291
31/01/2013,56.88,0.001759634
30/01/2013,56.78,-0.003165116
29/01/2013,56.96,0.008639743
28/01/2013,56.47,-0.00070809
25/01/2013,56.51,0.003012851
24/01/2013,56.34,0.005695993
23/01/2013,56.02,-0.000178492
22/01/2013,56.03,0.004471879
18/01/2013,55.78,0.009004203
17/01/2013,55.28,-0.000542545
16/01/2013,55.31,-0.00054225
15/01/2013,55.34,-0.007202048
14/01/2013,55.74,-0.003045233
11/01/2013,55.91,-0.003214288
10/01/2013,56.09,-0.000356506
09/01/2013,56.11,0.001426788
08/01/2013,56.03,-0.005694979
07/01/2013,56.35,-0.009713101
04/01/2013,56.9,0.005639775
03/01/2013,56.58,-0.000176725
02/01/2013,56.59,0.018728809
31/12/2012,55.54,0.011043835
28/12/2012,54.93,-0.008880892
27/12/2012,55.42,-0.000721501
26/12/2012,55.46,-0.009153793
24/12/2012,55.97,-0.001428317
21/12/2012,56.05,-0.006933977
20/12/2012,56.44,0.000708968
19/12/2012,56.4,-0.013909899
18/12/2012,57.19,0.003678729
17/12/2012,56.98,0.015208074
14/12/2012,56.12,0.002855105
13/12/2012,55.96,-0.006767613
12/12/2012,56.34,-0.000354925
11/12/2012,56.36,0.005158777
10/12/2012,56.07,0.000713649
07/12/2012,56.03,-0.001426788
06/12/2012,56.11,0.000534807
05/12/2012,56.08,0.012921931
04/12/2012,55.36,0.001627045
03/12/2012,55.27,-0.009364376
30/11/2012,55.79,0.006293287
29/11/2012,55.44,0.001263424
28/11/2012,55.37,0.009618076
27/11/2012,54.84,-0.000729129
26/11/2012,54.88,0.014314798
23/11/2012,54.1,-0.002031207
21/11/2012,54.21,-0.004050079
20/11/2012,54.43,-0.005861896
19/11/2012,54.75,-0.004192114
16/11/2012,54.98,0.01005401
15/11/2012,54.43,-0.014590811
14/11/2012,55.23,0.000724506
13/11/2012,55.19,0.001269151
12/11/2012,55.12,-0.011185395
09/11/2012,55.74,-0.012125684
08/11/2012,56.42,0.002839903
07/11/2012,56.26,-0.026312692
06/11/2012,57.76,-0.004146516
05/11/2012,58,-0.020478531
02/11/2012,59.2,-0.008912865
01/11/2012,59.73,-0.010823518
31/10/2012,60.38,0.006813487
26/10/2012,59.97,-0.000666778
25/10/2012,60.01,0.007359123
24/10/2012,59.57,-0.002179929
23/10/2012,59.7,-0.003344485
22/10/2012,59.9,-0.009470869
19/10/2012,60.47,-0.004290436
18/10/2012,60.73,0.001977914
17/10/2012,60.61,0.013287025
16/10/2012,59.81,-0.000167182
15/10/2012,59.82,-0.000167154
12/10/2012,59.83,-0.005666682
11/10/2012,60.17,0.00166334
10/10/2012,60.07,0.001999667
09/10/2012,59.95,-0.003164296
08/10/2012,60.14,-0.001329345
05/10/2012,60.22,-0.003481147
04/10/2012,60.43,0.01114913
03/10/2012,59.76,0.001842392
02/10/2012,59.65,0.002854027
01/10/2012,59.48,-0.006869425
28/09/2012,59.89,0.005189599
27/09/2012,59.58,-0.008523491
26/09/2012,60.09,0.010539621
25/09/2012,59.46,-0.000336304
24/09/2012,59.48,0.006409197
21/09/2012,59.1,-0.006409197
20/09/2012,59.48,0.000336304
19/09/2012,59.46,-0.000336304
18/09/2012,59.48,-0.002183224
17/09/2012,59.61,-0.003349526
14/09/2012,59.81,-0.019537045
13/09/2012,60.99,0.013369845
12/09/2012,60.18,-0.002157856
11/09/2012,60.31,-0.002980135
10/09/2012,60.49,-0.002311758
07/09/2012,60.63,-0.007067167
06/09/2012,61.06,0.012027495
05/09/2012,60.33,-0.009075221
04/09/2012,60.88,0.004279842
31/08/2012,60.62,-0.002306806
30/08/2012,60.76,-0.00032911
29/08/2012,60.78,-0.006886402
28/08/2012,61.2,-0.000653381
27/08/2012,61.24,-0.002934944
24/08/2012,61.42,0.007025599
23/08/2012,60.99,-0.010114279
22/08/2012,61.61,0.00357724
21/08/2012,61.39,-0.00924206
20/08/2012,61.96,0.004529286
17/08/2012,61.68,-0.001943635
16/08/2012,61.8,-0.014139053
15/08/2012,62.68,-0.008261884
14/08/2012,63.2,-0.001423038
13/08/2012,63.29,-0.009122429
10/08/2012,63.87,0.004393542
09/08/2012,63.59,-0.004706629
08/08/2012,63.89,-0.006396777
07/08/2012,64.3,-0.003880486
06/08/2012,64.55,-0.001702655
03/08/2012,64.66,0.006361049
02/08/2012,64.25,-0.003108006
01/08/2012,64.45,-0.000775494
31/07/2012,64.5,-0.006798543
30/07/2012,64.94,0.000616143
27/07/2012,64.9,0.00742348
26/07/2012,64.42,0.014699248
25/07/2012,63.48,-0.00157406
24/07/2012,63.58,0.000314614
23/07/2012,63.56,-0.003298519
20/07/2012,63.77,0.006450113
19/07/2012,63.36,-0.002207158
18/07/2012,63.5,0.001418328
17/07/2012,63.41,0.004267095
16/07/2012,63.14,-0.004424786
13/07/2012,63.42,0.008710167
12/07/2012,62.87,-0.000159046
11/07/2012,62.88,0.005581707
10/07/2012,62.53,0.003043167
09/07/2012,62.34,0.00321337
06/07/2012,62.14,0.000804959
05/07/2012,62.09,-0.007700985
03/07/2012,62.57,-0.002394446
02/07/2012,62.72,0.008486161
29/06/2012,62.19,0.001931435
28/06/2012,62.07,0.003712376
27/06/2012,61.84,0.009586555
26/06/2012,61.25,0.000163279
25/06/2012,61.24,-0.004236604
22/06/2012,61.5,0.003583649
21/06/2012,61.28,-0.003583649
20/06/2012,61.5,-0.02075865
19/06/2012,62.79,-0.010929071
18/06/2012,63.48,0.006004126
15/06/2012,63.1,0.008275031
14/06/2012,62.58,0.003682066
13/06/2012,62.35,0.002730267
12/06/2012,62.18,0.006453717
11/06/2012,61.78,-0.007418192
08/06/2012,62.24,0.009200291
07/06/2012,61.67,0.006507262
06/06/2012,61.27,0.011820857
05/06/2012,60.55,-0.002474228
04/06/2012,60.7,0.006777446
01/06/2012,60.29,-0.001160381
31/05/2012,60.36,0.004316792
30/05/2012,60.1,0.002332168
29/05/2012,59.96,0.005854328
25/05/2012,59.61,0.00033557
24/05/2012,59.59,0.006059604
23/05/2012,59.23,0.003382381
22/05/2012,59.03,0.003733881
21/05/2012,58.81,0.002383386
18/05/2012,58.67,0.001876653
17/05/2012,58.56,-0.004600059
16/05/2012,58.83,0.001360776
15/05/2012,58.75,-0.004585216
14/05/2012,59.02,-0.013296502
11/05/2012,59.81,-0.003504969
10/05/2012,60.02,0.009205856
09/05/2012,59.47,-0.003860037
08/05/2012,59.7,0.009424506
07/05/2012,59.14,-0.004049955
04/05/2012,59.38,0.003711831
03/05/2012,59.16,-0.002532288
02/05/2012,59.31,-0.005883853
01/05/2012,59.66,0.003526156
30/04/2012,59.45,0.002357697
27/04/2012,59.31,0.000337268
26/04/2012,59.29,0.004564288
25/04/2012,59.02,0.0049257
24/04/2012,58.73,0.006834129
23/04/2012,58.33,-0.00478879
20/04/2012,58.61,0.012187946
19/04/2012,57.9,-0.001898025
18/04/2012,58.01,-0.003613529
17/04/2012,58.22,0
16/04/2012,58.22,0.008105589
13/04/2012,57.75,-0.002075766
12/04/2012,57.87,0.008329043
11/04/2012,57.39,0.004365675
10/04/2012,57.14,-0.010792098
09/04/2012,57.76,-0.007245158
05/04/2012,58.18,-0.008045922
04/04/2012,58.65,-0.001703578
03/04/2012,58.75,0.003410063
02/04/2012,58.55,0.002222793
30/03/2012,58.42,0.007215286
29/03/2012,58,0.006052764
28/03/2012,57.65,-0.002771524
27/03/2012,57.81,0.003986486
26/03/2012,57.58,0.007845912
23/03/2012,57.13,-0.002272927
22/03/2012,57.26,-0.001047303
21/03/2012,57.32,-0.003830755
20/03/2012,57.54,0.002087683
19/03/2012,57.42,-0.003477055
16/03/2012,57.62,-0.007951641
15/03/2012,58.08,-0.008742663
14/03/2012,58.59,-0.013730193
13/03/2012,59.4,0.00320378
12/03/2012,59.21,0.013945804
09/03/2012,58.39,0.001199555
08/03/2012,58.32,0.002919209
07/03/2012,58.15,-0.00343348
06/03/2012,58.35,-0.000685284
05/03/2012,58.39,0.001371037
02/03/2012,58.31,0.000343053
01/03/2012,58.29,0.003264888
29/02/2012,58.1,-0.000172102
28/02/2012,58.11,-0.00549169
27/02/2012,58.43,-0.006992439
24/02/2012,58.84,0.015068778
23/02/2012,57.96,0.001726818
22/02/2012,57.86,0
21/02/2012,57.86,-0.000172816
17/02/2012,57.87,-0.000518269
16/02/2012,57.9,0.004327138
15/02/2012,57.65,-0.005535389
14/02/2012,57.97,0.001035554
13/02/2012,57.91,-0.020848329
10/02/2012,59.13,-0.005733574
09/02/2012,59.47,0.001346122
08/02/2012,59.39,0.004387452
07/02/2012,59.13,0.005596555
06/02/2012,58.8,-0.000340078
03/02/2012,58.82,-0.00084969
02/02/2012,58.87,-0.002375298
01/02/2012,59.01,0.000847673
31/01/2012,58.96,0.00544219
30/01/2012,58.64,-0.004254239
27/01/2012,58.89,-0.014832566
26/01/2012,59.77,0.006714815
25/01/2012,59.37,0.016815683
24/01/2012,58.38,-0.00410257
23/01/2012,58.62,-0.002385416
20/01/2012,58.76,0.000340426
19/01/2012,58.74,-0.009151055
18/01/2012,59.28,-0.001011634
17/01/2012,59.34,0.002699968
13/01/2012,59.18,0.003385244
12/01/2012,58.98,-0.003385244
11/01/2012,59.18,-0.002699968
10/01/2012,59.34,0.001180339
09/01/2012,59.27,0.002872351
06/01/2012,59.1,-0.010770888
05/01/2012,59.74,-0.002674692
04/01/2012,59.9,-0.01244313
