Date,Close,KMI
30/10/2013,35.56,-0.006167667
29/10/2013,35.78,-0.008903787
28/10/2013,36.1,-0.010745385
25/10/2013,36.49,0.002469476
24/10/2013,36.4,0.01243969
23/10/2013,35.95,-0.00720624
22/10/2013,36.21,0.022058691
21/10/2013,35.42,0.002544171
18/10/2013,35.33,0.003118358
17/10/2013,35.22,-0.011293175
16/10/2013,35.62,0.016131664
15/10/2013,35.05,-0.005973563
14/10/2013,35.26,-0.00650179
11/10/2013,35.49,0.005934736
10/10/2013,35.28,0.013986242
09/10/2013,34.79,0.005765366
08/10/2013,34.59,-0.012354704
07/10/2013,35.02,-0.010792493
04/10/2013,35.4,0.000847817
03/10/2013,35.37,-0.013479564
02/10/2013,35.85,-0.006949298
01/10/2013,36.1,0.014790279
30/09/2013,35.57,-0.007562002
27/09/2013,35.84,-0.00389864
26/09/2013,35.98,0.000277971
25/09/2013,35.97,-0.00609758
24/09/2013,36.19,0.004153405
23/09/2013,36.04,-0.004705891
20/09/2013,36.21,-0.015618895
19/09/2013,36.78,0.014239014
18/09/2013,36.26,0.043399316
17/09/2013,34.72,0
16/09/2013,34.72,-0.010315278
13/09/2013,35.08,-0.01499533
12/09/2013,35.61,-0.01117018
11/09/2013,36.01,-0.028471674
10/09/2013,37.05,0.019624506
09/09/2013,36.33,0.031029743
06/09/2013,35.22,-0.007918593
05/09/2013,35.5,0.005649733
04/09/2013,35.3,-0.062322896
03/09/2013,37.57,-0.009536496
30/08/2013,37.93,0.002375612
29/08/2013,37.84,0.019480269
28/08/2013,37.11,-0.000269433
27/08/2013,37.12,0.003237995
26/08/2013,37,-0.006196975
23/08/2013,37.23,0.00295898
22/08/2013,37.12,0.005131679
21/08/2013,36.93,-0.000270746
20/08/2013,36.94,0.008427398
19/08/2013,36.63,-0.021872075
16/08/2013,37.44,-0.004530321
15/08/2013,37.61,0.007740597
14/08/2013,37.32,0.00483482
13/08/2013,37.14,-0.006976148
12/08/2013,37.4,-0.005333346
09/08/2013,37.6,-0.003981425
08/08/2013,37.75,-0.003701749
07/08/2013,37.89,-0.007362642
06/08/2013,38.17,0.013716913
05/08/2013,37.65,0
02/08/2013,37.65,-0.006881975
01/08/2013,37.91,0.003964588
31/07/2013,37.76,-0.004228336
30/07/2013,37.92,-0.007356838
29/07/2013,38.2,-0.013262449
26/07/2013,38.71,-0.00412478
25/07/2013,38.87,0.002833958
24/07/2013,38.76,-0.013835732
23/07/2013,39.3,-0.005329286
22/07/2013,39.51,-0.00101189
19/07/2013,39.55,0.000758821
18/07/2013,39.52,-0.001517067
17/07/2013,39.58,-0.004285901
16/07/2013,39.75,-0.013989736
15/07/2013,40.31,0.005971652
12/07/2013,40.07,0.002999252
11/07/2013,39.95,0.015895377
10/07/2013,39.32,-0.005073578
09/07/2013,39.52,0.014014754
08/07/2013,38.97,0.013693535
05/07/2013,38.44,0.000520427
03/07/2013,38.42,0.003650591
02/07/2013,38.28,-0.00910161
01/07/2013,38.63,0.012503419
28/06/2013,38.15,-0.003140542
27/06/2013,38.27,0.01846044
26/06/2013,37.57,0.010972946
25/06/2013,37.16,0.016278167
24/06/2013,36.56,0.007688121
21/06/2013,36.28,-0.000551116
20/06/2013,36.3,-0.047346121
19/06/2013,38.06,-0.01331091
18/06/2013,38.57,-0.000518403
17/06/2013,38.59,0.004415018
14/06/2013,38.42,0.012045184
13/06/2013,37.96,0.008731369
12/06/2013,37.63,-0.014772097
11/06/2013,38.19,-0.017906278
10/06/2013,38.88,-0.016832838
07/06/2013,39.54,0.015290818
06/06/2013,38.94,0.029448382
05/06/2013,37.81,-0.003168738
