Date,Close,HP
12/12/2012,54.64,-0.010740069
11/12/2012,55.23,-0.00469654
10/12/2012,55.49,0.000540784
07/12/2012,55.46,0.012519441
06/12/2012,54.77,-0.003826884
05/12/2012,54.98,0.014657646
04/12/2012,54.18,0.028645598
03/12/2012,52.65,0.008583744
30/11/2012,52.2,0.015638894
29/11/2012,51.39,0.014306956
28/11/2012,50.66,0.010916056
27/11/2012,50.11,-0.011705322
26/11/2012,50.7,-0.017401945
23/11/2012,51.59,0.011306163
21/11/2012,51.01,-0.002349717
20/11/2012,51.13,-0.009925157
19/11/2012,51.64,0.033874842
16/11/2012,49.92,0.021667346
15/11/2012,48.85,0.058809484
14/11/2012,46.06,-0.016151961
13/11/2012,46.81,0.002566846
12/11/2012,46.69,0.016629257
09/11/2012,45.92,0.00370896
08/11/2012,45.75,-0.028231592
07/11/2012,47.06,-0.047311728
06/11/2012,49.34,0.012235063
05/11/2012,48.74,0.022617418
02/11/2012,47.65,-0.040309796
01/11/2012,49.61,0.037166787
31/10/2012,47.8,-0.006048616
26/10/2012,48.09,-0.0193581
25/10/2012,49.03,0.007780547
24/10/2012,48.65,-0.010631873
23/10/2012,49.17,-0.02510424
22/10/2012,50.42,0.004970683
19/10/2012,50.17,-0.026746924
18/10/2012,51.53,0.000776548
17/10/2012,51.49,0.004086801
16/10/2012,51.28,0.019096948
15/10/2012,50.31,0.014213031
12/10/2012,49.6,0.027387774
11/10/2012,48.26,0.012510589
10/10/2012,47.66,-0.018501723
09/10/2012,48.55,0.04142293
08/10/2012,46.58,-0.010039602
05/10/2012,47.05,0.014989574
04/10/2012,46.35,0.024681825
03/10/2012,45.22,-0.042642539
02/10/2012,47.19,0.006377573
01/10/2012,46.89,-0.01523839
28/09/2012,47.61,-0.006907406
27/09/2012,47.94,0.032004427
26/09/2012,46.43,-0.005155758
25/09/2012,46.67,-0.032672313
24/09/2012,48.22,-0.019102974
21/09/2012,49.15,0.004690536
20/09/2012,48.92,-0.003469037
19/09/2012,49.09,-0.004471552
18/09/2012,49.31,-0.00968726
17/09/2012,49.79,-0.033573453
14/09/2012,51.49,0.029564629
13/09/2012,49.99,0.034598486
12/09/2012,48.29,-0.000621054
11/09/2012,48.32,0.028762348
10/09/2012,46.95,-0.022117805
07/09/2012,48,0.047135284
06/09/2012,45.79,0.03375848
05/09/2012,44.27,0
04/09/2012,44.27,-0.030477278
31/08/2012,45.64,0.016569472
30/08/2012,44.89,-0.006439458
29/08/2012,45.18,-0.016463987
28/08/2012,45.93,-0.006942966
27/08/2012,46.25,-0.013316348
24/08/2012,46.87,-0.002557001
23/08/2012,46.99,-0.023763078
22/08/2012,48.12,-0.011159446
21/08/2012,48.66,-0.011442708
20/08/2012,49.22,-0.001826855
17/08/2012,49.31,0.0157387
16/08/2012,48.54,0.019975695
15/08/2012,47.58,-0.008371753
