Date,Close,OXY
22/05/2012,80.84,-0.000371035
21/05/2012,80.87,0.015200891
18/05/2012,79.65,0.012380148
17/05/2012,78.67,-0.007093127
16/05/2012,79.23,-0.008420838
15/05/2012,79.9,-0.021788433
14/05/2012,81.66,-0.025391281
11/05/2012,83.76,-0.014930956
10/05/2012,85.02,0.008741934
09/05/2012,84.28,-0.030958608
08/05/2012,86.93,-0.008818702
07/05/2012,87.7,-0.002050348
04/05/2012,87.88,-0.02183542
03/05/2012,89.82,-0.028102837
02/05/2012,92.38,-0.005505492
01/05/2012,92.89,0.018141826
30/04/2012,91.22,-0.005684318
27/04/2012,91.74,-0.00174254
26/04/2012,91.9,0.019669883
25/04/2012,90.11,0.021197452
24/04/2012,88.22,0.003406385
23/04/2012,87.92,-0.007817408
20/04/2012,88.61,0.004411023
19/04/2012,88.22,0.002837847
18/04/2012,87.97,-0.008602204
17/04/2012,88.73,0.016705883
16/04/2012,87.26,-0.014901032
13/04/2012,88.57,-0.028384119
12/04/2012,91.12,0.025678063
11/04/2012,88.81,-0.008967665
10/04/2012,89.61,-0.019559715
09/04/2012,91.38,-0.020686285
05/04/2012,93.29,-0.012039994
04/04/2012,94.42,-0.021479164
03/04/2012,96.47,-0.01041515
02/04/2012,97.48,0.023352211
30/03/2012,95.23,0.008436199
29/03/2012,94.43,-0.004437877
28/03/2012,94.85,-0.036845729
27/03/2012,98.41,-0.007693124
26/03/2012,99.17,0.015753159
23/03/2012,97.62,0.019341762
22/03/2012,95.75,-0.020467946
21/03/2012,97.73,-0.002350658
20/03/2012,97.96,-0.035499566
19/03/2012,101.5,0.009105368
16/03/2012,100.58,0.016844192
15/03/2012,98.9,-0.000202204
14/03/2012,98.92,-0.010658723
13/03/2012,99.98,0.01552294
12/03/2012,98.44,-0.022698574
09/03/2012,100.7,-0.001587617
08/03/2012,100.86,0.009663836
07/03/2012,99.89,-0.011347922
06/03/2012,101.03,-0.024347328
05/03/2012,103.52,-0.00808163
02/03/2012,104.36,-0.004875028
01/03/2012,104.87,0.00477921
29/02/2012,104.37,-0.010389456
28/02/2012,105.46,0.009240361
27/02/2012,104.49,0.006047535
24/02/2012,103.86,-0.007768705
23/02/2012,104.67,0.013562464
22/02/2012,103.26,-0.011075377
21/02/2012,104.41,0.004704084
17/02/2012,103.92,-0.00393758
16/02/2012,104.33,0.005478412
15/02/2012,103.76,-0.002310359
14/02/2012,104,-0.000576757
13/02/2012,104.06,0.013155539
10/02/2012,102.7,-0.014787879
09/02/2012,104.23,0.004134025
08/02/2012,103.8,-0.009969408
07/02/2012,104.84,0.008044479
06/02/2012,104,0.013260611
03/02/2012,102.63,0.041276806
02/02/2012,98.48,-0.008292089
01/02/2012,99.3,-0.004721966
31/01/2012,99.77,0.001504589
30/01/2012,99.62,-0.006304119
27/01/2012,100.25,0.000598683
26/01/2012,100.19,-0.032116681
25/01/2012,103.46,0.024856941
24/01/2012,100.92,-0.011232752
23/01/2012,102.06,0.016697518
20/01/2012,100.37,0.005094153
19/01/2012,99.86,-0.010658002
18/01/2012,100.93,0.016281636
17/01/2012,99.3,0.017063181
13/01/2012,97.62,-0.002046665
12/01/2012,97.82,0.012757375
11/01/2012,96.58,-0.013370558
10/01/2012,97.88,0.00975317
09/01/2012,96.93,0.012039585
06/01/2012,95.77,-0.003959989
05/01/2012,96.15,-0.007976424
04/01/2012,96.92,0.002996644
03/01/2012,96.63,0.030791063
30/12/2011,93.7,-0.000213424
29/12/2011,93.72,0.009326326
28/12/2011,92.85,-0.027617262
27/12/2011,95.45,0.00873368
23/12/2011,94.62,0.004342537
22/12/2011,94.21,0.011744743
21/12/2011,93.11,0.010146892
20/12/2011,92.17,0.054055166
19/12/2011,87.32,-0.022085954
16/12/2011,89.27,0.019798147
15/12/2011,87.52,-0.01023085
14/12/2011,88.42,-0.036206065
13/12/2011,91.68,-0.001090156
12/12/2011,91.78,-0.028146664
09/12/2011,94.4,0.018496278
08/12/2011,92.67,-0.038111948
07/12/2011,96.27,-0.00920236
06/12/2011,97.16,-0.010850756
05/12/2011,98.22,0.02369535
02/12/2011,95.92,-0.009442353
01/12/2011,96.83,-0.021152375
30/11/2011,98.9,0.070257574
29/11/2011,92.19,0.017066381
28/11/2011,90.63,0.044446747
25/11/2011,86.69,-0.01238122
23/11/2011,87.77,-0.043038972
22/11/2011,91.63,-0.00836825
21/11/2011,92.4,-0.020566278
18/11/2011,94.32,-0.001165563
17/11/2011,94.43,-0.033018674
16/11/2011,97.6,-0.012321321
15/11/2011,98.81,0.010171993
14/11/2011,97.81,-0.020241557
11/11/2011,99.81,0.016873348
10/11/2011,98.14,0.016748401
09/11/2011,96.51,-0.04834106
08/11/2011,101.29,0.027728116
07/11/2011,98.52,0.008972328
04/11/2011,97.64,0.025202267
03/11/2011,95.21,0.021444559
02/11/2011,93.19,0.028738235
01/11/2011,90.55,-0.026051939
31/10/2011,92.94,-0.050663658
28/10/2011,97.77,0.021817543
27/10/2011,95.66,0.092595907
26/10/2011,87.2,0.023907371
25/10/2011,85.14,-0.025168043
24/10/2011,87.31,0.006549865
21/10/2011,86.74,0.025099082
20/10/2011,84.59,0.007594673
19/10/2011,83.95,-0.012194551
18/10/2011,84.98,0.0274382
17/10/2011,82.68,-0.032602531
14/10/2011,85.42,0.046977245
13/10/2011,81.5,0.006030416
12/10/2011,81.01,0.001482397
11/10/2011,80.89,-0.009474079
10/10/2011,81.66,0.05551737
07/10/2011,77.25,-0.016815748
06/10/2011,78.56,0.036820338
05/10/2011,75.72,0.033027569
04/10/2011,73.26,0.06601381
03/10/2011,68.58,-0.041696503
30/09/2011,71.5,-0.052446475
29/09/2011,75.35,0.004789154
28/09/2011,74.99,-0.045106708
27/09/2011,78.45,0.018785936
26/09/2011,76.99,0.063404818
23/09/2011,72.26,0.004994461
22/09/2011,71.9,-0.059658762
21/09/2011,76.32,-0.056794383
20/09/2011,80.78,-0.020583917
19/09/2011,82.46,-0.010375289
16/09/2011,83.32,-0.012997262
15/09/2011,84.41,0.018895563
14/09/2011,82.83,0.029154441
13/09/2011,80.45,0.011375834
12/09/2011,79.54,-0.012493916
09/09/2011,80.54,-0.032613577
08/09/2011,83.21,-0.015857262
07/09/2011,84.54,0.021763384
06/09/2011,82.72,-0.008306795
02/09/2011,83.41,-0.029415623
01/09/2011,85.9,-0.009731309
31/08/2011,86.74,0.007405727
30/08/2011,86.1,0.012152522
29/08/2011,85.06,0.035540683
26/08/2011,82.09,0.009916223
25/08/2011,81.28,-0.021904015
24/08/2011,83.08,0.004705323
23/08/2011,82.69,0.027338509
22/08/2011,80.46,-0.005577259
19/08/2011,80.91,-0.022486588
18/08/2011,82.75,-0.057071132
17/08/2011,87.61,0.002743172
16/08/2011,87.37,-0.021961489
15/08/2011,89.31,0.048051438
12/08/2011,85.12,0.003766483
11/08/2011,84.8,0.042764722
10/08/2011,81.25,-0.038155057
09/08/2011,84.41,0.058294972
08/08/2011,79.63,-0.092417642
05/08/2011,87.34,-0.004797268
04/08/2011,87.76,-0.071132786
03/08/2011,94.23,-0.003918874
02/08/2011,94.6,-0.033062581
01/08/2011,97.78,-0.004082471
29/07/2011,98.18,-0.015864527
28/07/2011,99.75,-0.016406035
27/07/2011,101.4,-0.033266899
26/07/2011,104.83,-0.023940823
25/07/2011,107.37,-0.004738685
22/07/2011,107.88,-0.001852195
21/07/2011,108.08,0.017641751
20/07/2011,106.19,-0.007318479
19/07/2011,106.97,0.016114941
18/07/2011,105.26,-0.000759734
15/07/2011,105.34,0.018975174
14/07/2011,103.36,0.003780356
13/07/2011,102.97,0.009170796
12/07/2011,102.03,0.002649788
11/07/2011,101.76,-0.043365926
08/07/2011,106.27,-0.012437622
07/07/2011,107.6,0.016964651
06/07/2011,105.79,-0.009033655
05/07/2011,106.75,0.011589144
01/07/2011,105.52,0.014125068
30/06/2011,104.04,0.01121218
29/06/2011,102.88,0.019136053
28/06/2011,100.93,0.020014678
27/06/2011,98.93,0.004762155
24/06/2011,98.46,-0.009401131
23/06/2011,99.39,-0.015375702
22/06/2011,100.93,-0.014459505
21/06/2011,102.4,0.008827914
20/06/2011,101.5,-0.006775027
17/06/2011,102.19,-0.006146061
16/06/2011,102.82,0.006537565
15/06/2011,102.15,-0.025420593
14/06/2011,104.78,0.025518493
13/06/2011,102.14,-0.012163824
10/06/2011,103.39,-0.005497964
09/06/2011,103.96,0.014240977
