Date,Close,WFM
09/07/2012,94.12,-0.010148079
06/07/2012,95.08,-0.012645829
05/07/2012,96.29,0.005206176
03/07/2012,95.79,0.012183745
02/07/2012,94.63,-0.007265102
29/06/2012,95.32,0.016928039
28/06/2012,93.72,-0.013460009
27/06/2012,94.99,-0.02001109
26/06/2012,96.91,0.01402839
25/06/2012,95.56,-0.007402421
22/06/2012,96.27,0.022055084
21/06/2012,94.17,-0.020703803
20/06/2012,96.14,0.004796172
19/06/2012,95.68,0.005659799
18/06/2012,95.14,0.007067167
15/06/2012,94.47,0.031506289
14/06/2012,91.54,0.018078094
13/06/2012,89.9,-0.015562369
12/06/2012,91.31,0.017120869
11/06/2012,89.76,-0.012950538
08/06/2012,90.93,0.0072848
07/06/2012,90.27,-0.006184448
06/06/2012,90.83,0.027230786
05/06/2012,88.39,0.021036559
04/06/2012,86.55,0.010102855
01/06/2012,85.68,-0.033625292
31/05/2012,88.61,-0.010105633
30/05/2012,89.51,0.001789109
29/05/2012,89.35,0.02355448
25/05/2012,87.27,0.009787631
24/05/2012,86.42,0.000462963
23/05/2012,86.38,-0.005886783
22/05/2012,86.89,0.014607262
21/05/2012,85.63,0.030592853
18/05/2012,83.05,-0.010897659
17/05/2012,83.96,-0.029457038
16/05/2012,86.47,-0.008750775
15/05/2012,87.23,-0.002518893
14/05/2012,87.45,-0.012387226
11/05/2012,88.54,0.004301082
10/05/2012,88.16,0.000680812
09/05/2012,88.1,-0.002607268
08/05/2012,88.33,-0.016616527
07/05/2012,89.81,-0.001668799
04/05/2012,89.96,-0.00808197
03/05/2012,90.69,0.072946616
02/05/2012,84.31,0.002375016
01/05/2012,84.11,0.01244184
30/04/2012,83.07,-0.005043238
27/04/2012,83.49,-0.007041862
26/04/2012,84.08,0.012446307
25/04/2012,83.04,0.011993602
24/04/2012,82.05,-0.019551673
23/04/2012,83.67,-0.011762745
20/04/2012,84.66,0.00830274
19/04/2012,83.96,-0.012546028
18/04/2012,85.02,-0.008199648
17/04/2012,85.72,0.008905613
16/04/2012,84.96,-0.004111123
13/04/2012,85.31,-0.004327745
12/04/2012,85.68,0.019683587
11/04/2012,84.01,0.028004244
10/04/2012,81.69,-0.019156745
09/04/2012,83.27,-0.00479215
