Date,Close,ALTR
10/10/2012,32.06,-0.028595338
09/10/2012,32.99,-0.011153092
08/10/2012,33.36,-0.002096123
05/10/2012,33.43,-0.00298686
04/10/2012,33.53,0.004184107
03/10/2012,33.39,-0.018104071
02/10/2012,34,0.004126148
01/10/2012,33.86,-0.004126148
28/09/2012,34,-0.019514235
27/09/2012,34.67,-0.002880186
26/09/2012,34.77,-0.013426855
25/09/2012,35.24,-0.022725063
24/09/2012,36.05,-0.018959216
21/09/2012,36.74,-0.002718132
20/09/2012,36.84,-0.00676318
19/09/2012,37.09,-0.010460066
18/09/2012,37.48,-0.007442884
17/09/2012,37.76,-0.010275416
14/09/2012,38.15,0.013989934
13/09/2012,37.62,0.009883879
12/09/2012,37.25,-0.004820577
11/09/2012,37.43,-0.004265536
10/09/2012,37.59,-0.010058317
07/09/2012,37.97,-0.001578948
06/09/2012,38.03,0.042159553
05/09/2012,36.46,-0.016322452
04/09/2012,37.06,-0.007259072
31/08/2012,37.33,0.023581524
30/08/2012,36.46,-0.01280846
29/08/2012,36.93,-0.003783788
28/08/2012,37.07,0.016043852
27/08/2012,36.48,0.003569961
24/08/2012,36.35,0.017483448
23/08/2012,35.72,0
22/08/2012,35.72,-0.004747949
21/08/2012,35.89,-0.001670379
20/08/2012,35.95,-0.01106512
17/08/2012,36.35,-0.009310034
16/08/2012,36.69,0.014274192
15/08/2012,36.17,0.002491351
14/08/2012,36.08,-0.017582871
13/08/2012,36.72,-0.010834342
10/08/2012,37.12,0.006757696
09/08/2012,36.87,0.009264371
08/08/2012,36.53,-0.005460019
07/08/2012,36.73,0.035188559
06/08/2012,35.46,-0.009263224
03/08/2012,35.79,0.018613059
02/08/2012,35.13,-0.014693681
01/08/2012,35.65,0.005625894
31/07/2012,35.45,0.00679312
30/07/2012,35.21,-0.0232993
27/07/2012,36.04,0.036737672
26/07/2012,34.74,0.009544541
25/07/2012,34.41,0.115062242
24/07/2012,30.67,-0.014565721
23/07/2012,31.12,-0.003528472
20/07/2012,31.23,-0.021540269
19/07/2012,31.91,0.004082279
18/07/2012,31.78,0.034900292
17/07/2012,30.69,-0.002603321
16/07/2012,30.77,-0.018674078
13/07/2012,31.35,0.012518218
12/07/2012,30.96,-0.015702934
11/07/2012,31.45,-0.011067307
10/07/2012,31.8,-0.010323883
09/07/2012,32.13,-0.018807399
06/07/2012,32.74,-0.026523556
05/07/2012,33.62,-0.017396871
03/07/2012,34.21,0.01413035
02/07/2012,33.73,-0.003255886
29/06/2012,33.84,0.041943092
28/06/2012,32.45,-0.000924072
27/06/2012,32.48,0.003083567
26/06/2012,32.38,0.007128498
25/06/2012,32.15,-0.039340338
22/06/2012,33.44,0.017801043
21/06/2012,32.85,-0.043485112
20/06/2012,34.31,0.007019625
19/06/2012,34.07,0.009733155
18/06/2012,33.74,0.020359985
15/06/2012,33.06,0.014011804
14/06/2012,32.6,-0.01280115
13/06/2012,33.02,-0.018007689
12/06/2012,33.62,0.026523556
11/06/2012,32.74,-0.022649315
08/06/2012,33.49,0.014436341
07/06/2012,33.01,-0.022762289
06/06/2012,33.77,0.023671517
05/06/2012,32.98,0.018051584
04/06/2012,32.39,0.00340189
01/06/2012,32.28,-0.034407413
31/05/2012,33.41,-0.012788278
30/05/2012,33.84,-0.037981084
29/05/2012,35.15,0.020986827
25/05/2012,34.42,0.019361121
24/05/2012,33.76,-0.009140562
23/05/2012,34.07,0.011513042
22/05/2012,33.68,-0.019697829
21/05/2012,34.35,0.033148936
18/05/2012,33.23,-0.004803372
17/05/2012,33.39,-0.015748357
16/05/2012,33.92,0.010967948
15/05/2012,33.55,-0.006535971
14/05/2012,33.77,0.001185185
11/05/2012,33.73,0.007439403
10/05/2012,33.48,-0.00447028
09/05/2012,33.63,0.002679769
08/05/2012,33.54,0.006881104
07/05/2012,33.31,-0.011046537
04/05/2012,33.68,-0.024634677
03/05/2012,34.52,-0.027148403
02/05/2012,35.47,0.006789276
01/05/2012,35.23,-0.009604594
30/04/2012,35.57,0.000281175
27/04/2012,35.56,-0.012575267
26/04/2012,36.01,0.033030526
25/04/2012,34.84,0.024111553
24/04/2012,34.01,-0.015752951
23/04/2012,34.55,-0.020057979
20/04/2012,35.25,-0.088192712
19/04/2012,38.5,0.000259774
18/04/2012,38.49,-0.004148308
17/04/2012,38.65,0.028340915
16/04/2012,37.57,0.002398402
13/04/2012,37.48,-0.0247707
12/04/2012,38.42,0.022638503
11/04/2012,37.56,0.018812702
10/04/2012,36.86,-0.018013661
09/04/2012,37.53,-0.016909254
05/04/2012,38.17,0.010005349
04/04/2012,37.79,-0.020170952
03/04/2012,38.56,-0.021550347
02/04/2012,39.4,-0.010603482
30/03/2012,39.82,0.014672664
29/03/2012,39.24,0.003318446
28/03/2012,39.11,-0.005863624
27/03/2012,39.34,0.003054992
26/03/2012,39.22,0.011024339
23/03/2012,38.79,-0.002831769
22/03/2012,38.9,-0.006661567
21/03/2012,39.16,-0.003823122
20/03/2012,39.31,-0.006592316
19/03/2012,39.57,0.001517451
16/03/2012,39.51,0.001266304
15/03/2012,39.46,0.015579424
14/03/2012,38.85,0.020544215
13/03/2012,38.06,0.012691868
12/03/2012,37.58,-0.011114166
09/03/2012,38,0.015380839
08/03/2012,37.42,0.00724155
07/03/2012,37.15,-0.004297616
06/03/2012,37.31,0.015123162
05/03/2012,36.75,-0.012170536
02/03/2012,37.2,-0.022329476
01/03/2012,38.04,-0.011240479
29/02/2012,38.47,-0.016499472
28/02/2012,39.11,0.008731437
27/02/2012,38.77,-0.002833228
24/02/2012,38.88,-0.006409457
23/02/2012,39.13,0.002815101
22/02/2012,39.02,-0.008675737
21/02/2012,39.36,-0.017877852
17/02/2012,40.07,-0.016091448
16/02/2012,40.72,0.024864533
15/02/2012,39.72,0
14/02/2012,39.72,0.000251794
13/02/2012,39.71,-0.009773289
10/02/2012,40.1,-0.024145051
09/02/2012,41.08,0.007574868
08/02/2012,40.77,0.009116732
07/02/2012,40.4,0.001982161
06/02/2012,40.32,-0.013059198
03/02/2012,40.85,0.028555634
02/02/2012,39.7,0.002269576
01/02/2012,39.61,-0.004534013
31/01/2012,39.79,0.000754243
30/01/2012,39.76,-0.011751604
27/01/2012,40.23,-0.003721627
26/01/2012,40.38,-0.004694264
25/01/2012,40.57,0.011153914
24/01/2012,40.12,0.011027681
23/01/2012,39.68,-0.016744112
20/01/2012,40.35,-0.013049551
19/01/2012,40.88,0.003921574
18/01/2012,40.72,0.094181151
17/01/2012,37.06,-0.006723166
13/01/2012,37.31,-0.034767789
12/01/2012,38.63,0.028622146
11/01/2012,37.54,-0.003722419
10/01/2012,37.68,-0.002650412
09/01/2012,37.78,0.007705631
06/01/2012,37.49,0.000800534
05/01/2012,37.46,0.007771713
04/01/2012,37.17,-0.011502066
03/01/2012,37.6,0.013387081
30/12/2011,37.1,-0.009923643
29/12/2011,37.47,0.00615716
28/12/2011,37.24,0.001074691
27/12/2011,37.2,-0.010163233
23/12/2011,37.58,-0.010850973
22/12/2011,37.99,0.062172278
21/12/2011,35.7,-0.012802847
20/12/2011,36.16,0.059536304
19/12/2011,34.07,-0.000586854
16/12/2011,34.09,0.013288251
15/12/2011,33.64,-0.007699179
14/12/2011,33.9,-0.02217127
13/12/2011,34.66,-0.026197398
12/12/2011,35.58,-0.008675023
09/12/2011,35.89,0.011489548
08/12/2011,35.48,-0.024775102
07/12/2011,36.37,-0.012839952
06/12/2011,36.84,-0.020685761
05/12/2011,37.61,0.012306201
02/12/2011,37.15,-0.010709607
01/12/2011,37.55,-0.003190643
30/11/2011,37.67,0.076377192
29/11/2011,34.9,-0.007706617
28/11/2011,35.17,0.030309724
25/11/2011,34.12,-0.015702562
23/11/2011,34.66,-0.022819016
