Date,Close,URBN
24/12/2012,39.3,-0.003302429
21/12/2012,39.43,-0.024797764
20/12/2012,40.42,0.005955353
19/12/2012,40.18,0.012270093
18/12/2012,39.69,0.002775327
17/12/2012,39.58,0.025071664
14/12/2012,38.6,0.009631729
13/12/2012,38.23,0.001308729
12/12/2012,38.18,-0.012234957
11/12/2012,38.65,0.043628862
10/12/2012,37,-0.009950331
07/12/2012,37.37,0.010761471
06/12/2012,36.97,0.016912569
05/12/2012,36.35,-0.005213347
04/12/2012,36.54,-0.022460693
03/12/2012,37.37,-0.008791851
30/11/2012,37.7,-0.003177969
29/11/2012,37.82,-0.008949783
28/11/2012,38.16,0.013454892
27/11/2012,37.65,-0.018160783
26/11/2012,38.34,0.012598592
23/11/2012,37.86,0.013562234
21/11/2012,37.35,0.014563364
20/11/2012,36.81,-0.00703847
19/11/2012,37.07,0.056032404
16/11/2012,35.05,0.006583679
15/11/2012,34.82,-0.039143389
14/11/2012,36.21,0.00720624
13/11/2012,35.95,0.015982395
12/11/2012,35.38,0.001980479
09/11/2012,35.31,0.001700681
08/11/2012,35.25,-0.026869795
07/11/2012,36.21,-0.020230324
06/11/2012,36.95,-0.003512093
05/11/2012,37.08,0.014122994
02/11/2012,36.56,-0.003549492
01/11/2012,36.69,0.025953969
31/10/2012,35.75,0.000279759
26/10/2012,35.74,-0.001677384
25/10/2012,35.8,-0.007236324
24/10/2012,36.06,0.003333336
23/10/2012,35.94,-0.01244313
22/10/2012,36.39,-0.01905338
19/10/2012,37.09,-0.021867538
18/10/2012,37.91,-0.002108038
17/10/2012,37.99,-0.006559121
16/10/2012,38.24,0.020074631
15/10/2012,37.48,0.02348603
12/10/2012,36.61,-0.009785346
11/10/2012,36.97,0.003251154
10/10/2012,36.85,0.004078864
09/10/2012,36.7,-0.016216572
08/10/2012,37.3,-0.011462207
05/10/2012,37.73,0.004249674
04/10/2012,37.57,0.015287947
03/10/2012,37,0.00379096
02/10/2012,36.86,-0.012670341
01/10/2012,37.33,-0.006142361
28/09/2012,37.56,0.002665957
27/09/2012,37.46,-0.001333867
26/09/2012,37.51,-0.0113984
25/09/2012,37.94,-0.01283244
24/09/2012,38.43,-0.008292351
21/09/2012,38.75,-0.003091989
20/09/2012,38.87,-0.005643935
19/09/2012,39.09,-0.006629295
18/09/2012,39.35,-0.011873324
17/09/2012,39.82,0.002766253
14/09/2012,39.71,0.005302373
13/09/2012,39.5,0.006604037
12/09/2012,39.24,0.008702384
11/09/2012,38.9,-0.014799964
10/09/2012,39.48,0.019179721
07/09/2012,38.73,-0.007716088
06/09/2012,39.03,0.020187021
05/09/2012,38.25,0.003929278
04/09/2012,38.1,0.014807251
31/08/2012,37.54,-0.008223949
30/08/2012,37.85,0.002115843
29/08/2012,37.77,0.02005683
28/08/2012,37.02,0.002704898
27/08/2012,36.92,-0.000541565
24/08/2012,36.94,0.002982244
23/08/2012,36.83,-0.009727177
22/08/2012,37.19,0.005662682
21/08/2012,36.98,0.16739831
20/08/2012,31.28,-0.004465717
17/08/2012,31.42,0.014102798
16/08/2012,30.98,-0.00835749
15/08/2012,31.24,0.029891764
14/08/2012,30.32,-0.0055912
13/08/2012,30.49,-0.005560112
10/08/2012,30.66,-0.006825965
09/08/2012,30.87,-0.001294918
08/08/2012,30.91,-0.001616293
07/08/2012,30.96,0.01825344
06/08/2012,30.4,0.007926065
03/08/2012,30.16,0.015706254
02/08/2012,29.69,-0.024289998
01/08/2012,30.42,-0.004264399
31/07/2012,30.55,-0.013008314
30/07/2012,30.95,-0.000645995
27/07/2012,30.97,0.01529231
26/07/2012,30.5,0.013533793
25/07/2012,30.09,0.004329732
24/07/2012,29.96,-0.011284554
23/07/2012,30.3,-0.023162021
20/07/2012,31.01,-0.017580763
19/07/2012,31.56,0.015647773
18/07/2012,31.07,0.015569565
17/07/2012,30.59,0.036621935
16/07/2012,29.49,0.01056768
13/07/2012,29.18,0.027446573
12/07/2012,28.39,0.018845002
11/07/2012,27.86,-0.002509412
10/07/2012,27.93,0.014788367
09/07/2012,27.52,0.004005103
06/07/2012,27.41,-0.022367455
05/07/2012,28.03,0.014373226
03/07/2012,27.63,0.002536693
02/07/2012,27.56,-0.001087942
29/06/2012,27.59,0.044468238
28/06/2012,26.39,-0.013549323
