Date,Close,NKE
01/04/2013,58.26,-0.01279117
28/03/2013,59.01,0.009535233
27/03/2013,58.45,-0.017300296
26/03/2013,59.47,-0.001512224
25/03/2013,59.56,0.000503821
22/03/2013,59.53,0.104931319
21/03/2013,53.6,-0.022688421
20/03/2013,54.83,0.018406557
19/03/2013,53.83,-0.006111696
18/03/2013,54.16,-0.011382535
15/03/2013,54.78,0.001644286
14/03/2013,54.69,-0.002921309
13/03/2013,54.85,0.025107466
12/03/2013,53.49,-0.019256288
11/03/2013,54.53,-0.002929868
08/03/2013,54.69,-0.009644329
07/03/2013,55.22,-0.001447702
06/03/2013,55.3,0.00725956
05/03/2013,54.9,0.003101343
04/03/2013,54.73,-0.001643086
01/03/2013,54.82,0.006588604
28/02/2013,54.46,0.002205883
27/02/2013,54.34,0.001289016
26/02/2013,54.27,0.004247075
25/02/2013,54.04,-0.007925578
22/02/2013,54.47,-0.001284286
21/02/2013,54.54,0.009580029
20/02/2013,54.02,-0.008295743
19/02/2013,54.47,-0.008773589
15/02/2013,54.95,0.006023565
14/02/2013,54.62,0.001099103
13/02/2013,54.56,-0.009667198
12/02/2013,55.09,-0.002356995
11/02/2013,55.22,0.011474491
08/02/2013,54.59,-0.001647296
07/02/2013,54.68,0.009555383
06/02/2013,54.16,0.004997697
05/02/2013,53.89,0.004277087
04/02/2013,53.66,-0.000745157
01/02/2013,53.7,-0.006496543
31/01/2013,54.05,0.008173926
30/01/2013,53.61,-0.005765849
29/01/2013,53.92,-0.010699235
28/01/2013,54.5,-0.019082814
25/01/2013,55.55,0.030895429
24/01/2013,53.86,0.014399501
23/01/2013,53.09,-0.007319166
22/01/2013,53.48,0.003559056
18/01/2013,53.29,-0.003559056
17/01/2013,53.48,-0.004663753
16/01/2013,53.73,0.001676446
15/01/2013,53.64,0.00842465
14/01/2013,53.19,0.001693481
11/01/2013,53.1,0.010411831
10/01/2013,52.55,0.001904762
09/01/2013,52.45,0.000953744
08/01/2013,52.4,-0.01063032
07/01/2013,52.96,0.001511716
04/01/2013,52.88,0.009691287
03/01/2013,52.37,0.010171856
02/01/2013,51.84,0.00464038
31/12/2012,51.6,0.011892137
28/12/2012,50.99,-0.014988115
27/12/2012,51.76,0.008342274
26/12/2012,51.33,-0.721382995
24/12/2012,105.6,0.004746093
21/12/2012,105.1,0.059792428
20/12/2012,99,0.012399793
19/12/2012,97.78,-0.011591386
18/12/2012,98.92,0.00944601
17/12/2012,97.99,0.01108272
14/12/2012,96.91,-0.004324554
13/12/2012,97.33,-0.019030748
12/12/2012,99.2,-0.002114698
11/12/2012,99.41,0.01346924
10/12/2012,98.08,-0.005186364
07/12/2012,98.59,0.001725801
06/12/2012,98.42,0.007547206
05/12/2012,97.68,0.00010238
04/12/2012,97.67,0.001126876
03/12/2012,97.56,0.000820345
30/11/2012,97.48,-0.015169545
29/11/2012,98.97,-0.001615346
