Date,Close,NTRS
11/05/2012,45.12,-0.005525486
10/05/2012,45.37,0.004639354
09/05/2012,45.16,-0.023417199
08/05/2012,46.23,-0.010757419
07/05/2012,46.73,0.002571246
04/05/2012,46.61,-0.009183193
03/05/2012,47.04,-0.001699236
02/05/2012,47.12,-0.014746423
01/05/2012,47.82,0.00545189
30/04/2012,47.56,-0.000420433
27/04/2012,47.58,0.008654408
26/04/2012,47.17,0.005527225
25/04/2012,46.91,0.010500471
24/04/2012,46.42,0.013227993
23/04/2012,45.81,-0.011071425
20/04/2012,46.32,-0.003017894
19/04/2012,46.46,-0.001935276
18/04/2012,46.55,-0.006850808
17/04/2012,46.87,0.01526419
16/04/2012,46.16,0.010015324
13/04/2012,45.7,-0.023571207
12/04/2012,46.79,0.01659342
11/04/2012,46.02,0.015769052
10/04/2012,45.3,-0.020105572
09/04/2012,46.22,-0.018860396
05/04/2012,47.1,0.001274697
04/04/2012,47.04,-0.018117201
03/04/2012,47.9,0.001462447
02/04/2012,47.83,0.007976533
30/03/2012,47.45,0.007403524
29/03/2012,47.1,-0.00908809
28/03/2012,47.53,0.001052521
27/03/2012,47.48,-0.008806935
26/03/2012,47.9,0.013451233
23/03/2012,47.26,0.006581066
22/03/2012,46.95,-0.009539023
21/03/2012,47.4,-0.004420595
20/03/2012,47.61,-0.000210018
19/03/2012,47.62,0.007376996
16/03/2012,47.27,0.001481952
15/03/2012,47.2,0.027057695
14/03/2012,45.94,0.008086592
13/03/2012,45.57,0.021067416
12/03/2012,44.62,0.007649081
09/03/2012,44.28,0.007025525
08/03/2012,43.97,0.007533422
07/03/2012,43.64,0.003443134
06/03/2012,43.49,-0.019130622
05/03/2012,44.33,-0.013444074
02/03/2012,44.93,-0.000667483
01/03/2012,44.96,0.012308536
29/02/2012,44.41,0.00045045
28/02/2012,44.39,-0.000900698
27/02/2012,44.43,0.012912174
24/02/2012,43.86,-0.000455892
23/02/2012,43.88,0.019793512
22/02/2012,43.02,-0.016369242
21/02/2012,43.73,-0.00342427
17/02/2012,43.88,0.000683917
16/02/2012,43.85,0.015397294
15/02/2012,43.18,-0.005312404
14/02/2012,43.41,-0.005513453
13/02/2012,43.65,0.000458295
10/02/2012,43.63,-0.009807354
09/02/2012,44.06,-0.002946178
08/02/2012,44.19,0.000452694
07/02/2012,44.17,0.000452899
06/02/2012,44.15,0.001359928
03/02/2012,44.09,0.039084637
02/02/2012,42.4,0.005913678
01/02/2012,42.15,0.023524849
31/01/2012,41.17,-0.004604394
30/01/2012,41.36,-0.007467215
27/01/2012,41.67,0.01426006
26/01/2012,41.08,-0.028319627
25/01/2012,42.26,-0.012463418
24/01/2012,42.79,-0.008841379
23/01/2012,43.17,0.002319111
20/01/2012,43.07,0.022304012
19/01/2012,42.12,0.021599112
18/01/2012,41.22,-0.017077986
17/01/2012,41.93,-0.005707507
13/01/2012,42.17,-0.008265486
12/01/2012,42.52,0.006133541
11/01/2012,42.26,0.006171394
10/01/2012,42,0.014147221
09/01/2012,41.41,0.009706458
06/01/2012,41.01,0.001219959
05/01/2012,40.96,0.008581639
04/01/2012,40.61,-0.001230467
03/01/2012,40.66,0.024901685
30/12/2011,39.66,-0.007035205
29/12/2011,39.94,0.012090827
28/12/2011,39.46,-0.02007092
27/12/2011,40.26,-0.010623942
23/12/2011,40.69,0.003939921
22/12/2011,40.53,0.022708399
21/12/2011,39.62,0.004553512
20/12/2011,39.44,0.029591764
19/12/2011,38.29,-0.017859929
16/12/2011,38.98,-0.006647941
15/12/2011,39.24,-0.00025481
14/12/2011,39.25,0.002295627
13/12/2011,39.16,-0.002295627
12/12/2011,39.25,-0.012406793
09/12/2011,39.74,0.019566118
08/12/2011,38.97,-0.03900356
07/12/2011,40.52,0.01516876
06/12/2011,39.91,0.013114942
05/12/2011,39.39,0.028845678
02/12/2011,38.27,0.024869007
01/12/2011,37.33,-0.008004312
30/11/2011,37.63,0.06137231
29/11/2011,35.39,-0.005354388
28/11/2011,35.58,0.014152515
25/11/2011,35.08,-0.000569963
23/11/2011,35.1,-0.025317808
22/11/2011,36,-0.01789449
21/11/2011,36.65,-0.007881546
18/11/2011,36.94,-0.004052417
17/11/2011,37.09,-0.02081185
16/11/2011,37.87,-0.031707438
15/11/2011,39.09,0.006931102
14/11/2011,38.82,-0.030443751
11/11/2011,40.02,0.030443751
10/11/2011,38.82,0.007757991
09/11/2011,38.52,-0.057504494
08/11/2011,40.8,0.019302752
07/11/2011,40.02,0.008784095
04/11/2011,39.67,-0.0226801
03/11/2011,40.58,0.021672289
02/11/2011,39.71,0.025763445
01/11/2011,38.7,-0.044721359
31/10/2011,40.47,-0.037584737
28/10/2011,42.02,-0.009474254
27/10/2011,42.42,0.062497544
26/10/2011,39.85,0.011864332
25/10/2011,39.38,-0.030756268
24/10/2011,40.61,0.015384919
21/10/2011,39.99,0.035118113
20/10/2011,38.61,0.017768955
19/10/2011,37.93,-0.022162294
18/10/2011,38.78,0.042940879
17/10/2011,37.15,0.005939542
14/10/2011,36.93,0.00216861
13/10/2011,36.85,-0.031519703
12/10/2011,38.03,0.019113935
11/10/2011,37.31,-0.003478264
10/10/2011,37.44,0.048429652
07/10/2011,35.67,-0.028739198
06/10/2011,36.71,0.009304939
05/10/2011,36.37,0.009669919
04/10/2011,36.02,0.057419741
03/10/2011,34.01,-0.028121871
30/09/2011,34.98,-0.029020208
29/09/2011,36.01,0.034466688
28/09/2011,34.79,-0.023015649
27/09/2011,35.6,0.014999574
26/09/2011,35.07,0.02278397
23/09/2011,34.28,0.007319605
22/09/2011,34.03,-0.023236596
21/09/2011,34.83,-0.022989518
20/09/2011,35.64,-0.000841397
19/09/2011,35.67,-0.036607913
16/09/2011,37,-0.005121995
15/09/2011,37.19,0.017085161
14/09/2011,36.56,0.022404477
13/09/2011,35.75,-0.004743974
12/09/2011,35.92,0.011479896
09/09/2011,35.51,-0.025578264
08/09/2011,36.43,-0.026545437
07/09/2011,37.41,0.038141371
06/09/2011,36.01,-0.014337163
02/09/2011,36.53,-0.039978496
01/09/2011,38.02,-0.01046582
31/08/2011,38.42,-0.003896615
30/08/2011,38.57,-0.006460806
29/08/2011,38.82,0.04182069
26/08/2011,37.23,0.001343906
25/08/2011,37.18,-0.007769631
24/08/2011,37.47,0.034205289
23/08/2011,36.21,0.031134193
22/08/2011,35.1,0.009158622
19/08/2011,34.78,-0.016255883
18/08/2011,35.35,-0.052353552
17/08/2011,37.25,0.000805694
16/08/2011,37.22,-0.010955353
15/08/2011,37.63,0.024752407
12/08/2011,36.71,-0.012183716
11/08/2011,37.16,0.028109369
10/08/2011,36.13,-0.077463216
09/08/2011,39.04,0.036253807
08/08/2011,37.65,-0.092529546
05/08/2011,41.3,0.005341115
04/08/2011,41.08,-0.053785318
03/08/2011,43.35,0.007176787
02/08/2011,43.04,-0.039631695
01/08/2011,44.78,-0.002676184
29/07/2011,44.9,0.005807477
28/07/2011,44.64,-0.004916211
27/07/2011,44.86,-0.016361187
26/07/2011,45.6,0.000658111
25/07/2011,45.57,-0.007651147
22/07/2011,45.92,0.001525553
21/07/2011,45.85,0.03687668
20/07/2011,44.19,0.012524358
19/07/2011,43.64,0.005745161
18/07/2011,43.39,-0.020529918
15/07/2011,44.29,-0.003381047
14/07/2011,44.44,-0.02004968
13/07/2011,45.34,0.000661886
12/07/2011,45.31,0.007309812
11/07/2011,44.98,-0.019593362
08/07/2011,45.87,-0.015789233
07/07/2011,46.6,0.012959145
06/07/2011,46,0.005012542
05/07/2011,45.77,-0.015823458
01/07/2011,46.5,0.01168086
30/06/2011,45.96,-0.0039088
29/06/2011,46.14,0.019256613
28/06/2011,45.26,-0.000441794
27/06/2011,45.28,0.006647487
24/06/2011,44.98,-0.011714135
23/06/2011,45.51,-0.015913142
22/06/2011,46.24,-0.012678799
21/06/2011,46.83,0.00578222
20/06/2011,46.56,-0.004927701
17/06/2011,46.79,0.009448213
16/06/2011,46.35,-0.000215726
15/06/2011,46.36,-0.023028736
14/06/2011,47.44,0.002955459
13/06/2011,47.3,0.011268324
10/06/2011,46.77,-0.012324848
09/06/2011,47.35,0.020051866
08/06/2011,46.41,-0.007940808
07/06/2011,46.78,-0.006180094
06/06/2011,47.07,-0.003393428
03/06/2011,47.23,-0.008643461
02/06/2011,47.64,0.002522069
01/06/2011,47.52,-0.026374699
31/05/2011,48.79,0.006993035
27/05/2011,48.45,-0.001443746
26/05/2011,48.52,-0.002470154
25/05/2011,48.64,0.000616967
24/05/2011,48.61,0.001647108
23/05/2011,48.53,-0.008208542
20/05/2011,48.93,-0.010369108
19/05/2011,49.44,-0.001010816
18/05/2011,49.49,0.009134337
17/05/2011,49.04,0.008395667
16/05/2011,48.63,0.008052072
13/05/2011,48.24,-0.011951513
12/05/2011,48.82,0.008020609
11/05/2011,48.43,-0.017398863
10/05/2011,49.28,0.015748357
09/05/2011,48.51,0.001650506
06/05/2011,48.43,-0.004121168
05/05/2011,48.63,-0.01083966
04/05/2011,49.16,-0.004262668
03/05/2011,49.37,0.004262668
02/05/2011,49.16,-0.016742701
29/04/2011,49.99,0.001401261
28/04/2011,49.92,0.001002105
27/04/2011,49.87,0.004421229
26/04/2011,49.65,0.013586339
25/04/2011,48.98,-0.008133432
21/04/2011,49.38,0.007113128
20/04/2011,49.03,0.007369532
19/04/2011,48.67,-0.054575349
18/04/2011,51.4,-0.007365802
15/04/2011,51.78,0.002901075
14/04/2011,51.63,0
13/04/2011,51.63,-0.006371293
12/04/2011,51.96,-0.007668749
11/04/2011,52.36,0.004594189
08/04/2011,52.12,-0.002299733
07/04/2011,52.24,-0.001912412
06/04/2011,52.34,0.012303116
05/04/2011,51.7,-0.002125399
04/04/2011,51.81,0.002318842
01/04/2011,51.69,0.018352721
31/03/2011,50.75,-0.007264192
30/03/2011,51.12,0.011212865
29/03/2011,50.55,0.002773377
28/03/2011,50.41,-0.005341787
25/03/2011,50.68,-0.006686357
24/03/2011,51.02,0.013219094
23/03/2011,50.35,-0.001785892
22/03/2011,50.44,0.000198275
21/03/2011,50.43,0.009763951
18/03/2011,49.94,0.002606518
17/03/2011,49.81,0.011509466
16/03/2011,49.24,-0.010906996
15/03/2011,49.78,-0.015349649
14/03/2011,50.55,-0.007881814
11/03/2011,50.95,0.00019629
10/03/2011,50.94,-0.02174843
09/03/2011,52.06,0.002500242
08/03/2011,51.93,0.019248188
07/03/2011,50.94,-0.00976761
04/03/2011,51.44,-0.007553052
03/03/2011,51.83,0.014771892
02/03/2011,51.07,-0.000195791
01/03/2011,51.08,-0.009547077
28/02/2011,51.57,-0.012333939
25/02/2011,52.21,0.001341639
24/02/2011,52.14,-0.004974183
23/02/2011,52.4,-0.010441481
22/02/2011,52.95,-0.02976964
18/02/2011,54.55,0.009393199
17/02/2011,54.04,0.000740467
16/02/2011,54,0.021904835
15/02/2011,52.83,0.003602924
14/02/2011,52.64,-0.004170622
11/02/2011,52.86,0.016018649
10/02/2011,52.02,-0.001728609
09/02/2011,52.11,-0.007265806
08/02/2011,52.49,0.007073923
07/02/2011,52.12,0.0053867
04/02/2011,51.84,-0.003466208
03/02/2011,52.02,0.002694901
02/02/2011,51.88,-0.008063012
01/02/2011,52.3,0.006137342
31/01/2011,51.98,0.00559469
28/01/2011,51.69,-0.015739288
27/01/2011,52.51,-0.00076147
26/01/2011,52.55,-0.00076089
25/01/2011,52.59,0.000570613
24/01/2011,52.56,-0.006636983
21/01/2011,52.91,0
20/01/2011,52.91,0.007969682
19/01/2011,52.49,-0.058279692
18/01/2011,55.64,-0.004304167
14/01/2011,55.88,0.006823514
13/01/2011,55.5,-0.007181359
12/01/2011,55.9,0.018962193
11/01/2011,54.85,0.002555679
10/01/2011,54.71,-0.010002811
07/01/2011,55.26,-0.019532921
06/01/2011,56.35,-0.003542962
05/01/2011,56.55,0.009773512
04/01/2011,56,0.001250782
03/01/2011,55.93,0.009340826
31/12/2010,55.41,-0.001622938
30/12/2010,55.5,-0.000180164
29/12/2010,55.51,-0.003416962
28/12/2010,55.7,0.002156723
27/12/2010,55.58,0.005050516
23/12/2010,55.3,-0.007745693
22/12/2010,55.73,0.015005253
21/12/2010,54.9,0.011910356
20/12/2010,54.25,-0.000184315
17/12/2010,54.26,-0.008076402
16/12/2010,54.7,0.010105736
15/12/2010,54.15,-0.006442728
14/12/2010,54.5,0.000734214
13/12/2010,54.46,0.006632301
10/12/2010,54.1,0.009285118
09/12/2010,53.6,0.019783971
08/12/2010,52.55,0.00076147
07/12/2010,52.51,-0.002472659
06/12/2010,52.64,-0.00341362
03/12/2010,52.82,-0.00321331
02/12/2010,52.99,0.028133135
01/12/2010,51.52,0.023965005
30/11/2010,50.3,-0.005748851
29/11/2010,50.59,-0.002763523
26/11/2010,50.73,-0.008635971
24/11/2010,51.17,0.016353433
23/11/2010,50.34,-0.01027677
22/11/2010,50.86,-0.006076663
19/11/2010,51.17,0.002347878
18/11/2010,51.05,0.012219309
17/11/2010,50.43,-0.003167692
16/11/2010,50.59,-0.013936824
15/11/2010,51.3,0.013739176
12/11/2010,50.6,-0.011787956
11/11/2010,51.2,-0.004676548
10/11/2010,51.44,0.017848861
09/11/2010,50.53,-0.015123533
08/11/2010,51.3,-0.011242607
05/11/2010,51.88,0.004830461
04/11/2010,51.63,0.023714977
03/11/2010,50.42,-0.003761263
02/11/2010,50.61,0.023996352
01/11/2010,49.41,-0.004442657
29/10/2010,49.63,-0.007827436
28/10/2010,50.02,-0.005780939
27/10/2010,50.31,-0.005154651
26/10/2010,50.57,0.051740924
25/10/2010,48.02,0.004382768
22/10/2010,47.81,0.008401646
21/10/2010,47.41,-0.031353134
20/10/2010,48.92,-0.00753491
19/10/2010,49.29,-0.017297294
18/10/2010,50.15,0.028518466
15/10/2010,48.74,-0.011424033
14/10/2010,49.3,-0.003644466
13/10/2010,49.48,0.004456155
12/10/2010,49.26,0.006313024
11/10/2010,48.95,0.012333147
08/10/2010,48.35,0.002692349
07/10/2010,48.22,-0.013799004
06/10/2010,48.89,0.005949346
05/10/2010,48.6,0.019321262
04/10/2010,47.67,-0.021787354
01/10/2010,48.72,0.009901071
30/09/2010,48.24,0.00874459
29/09/2010,47.82,-0.005838215
28/09/2010,48.1,0.002706362
27/09/2010,47.97,-0.013870422
24/09/2010,48.64,0.034937138
23/09/2010,46.97,-0.012062362
22/09/2010,47.54,-0.018754457
21/09/2010,48.44,-0.021242629
20/09/2010,49.48,0.008932256
17/09/2010,49.04,-0.004273076
16/09/2010,49.25,0.011641099
15/09/2010,48.68,0.001438997
14/09/2010,48.61,-0.00758278
13/09/2010,48.98,0.026480654
10/09/2010,47.7,-0.005018831
09/09/2010,47.94,0.002297171
08/09/2010,47.83,0.002512038
07/09/2010,47.71,-0.023818046
03/09/2010,48.86,0.034141534
02/09/2010,47.22,-0.003804697
01/09/2010,47.4,0.027158731
31/08/2010,46.13,0.006306425
30/08/2010,45.84,-0.026053794
27/08/2010,47.05,0.025617589
26/08/2010,45.86,-0.013859035
25/08/2010,46.5,-0.009417878
24/08/2010,46.94,-0.016480407
23/08/2010,47.72,-0.012287981
20/08/2010,48.31,0.000207018
19/08/2010,48.3,-0.030784206
18/08/2010,49.81,-0.013757569
17/08/2010,50.5,0.017377847
16/08/2010,49.63,0.004847515
13/08/2010,49.39,-0.016067829
12/08/2010,50.19,0.021956769
11/08/2010,49.1,-0.000814332
10/08/2010,49.14,0.003261316
09/08/2010,48.98,0.008405995
06/08/2010,48.57,-0.011056624
05/08/2010,49.11,0.012292718
04/08/2010,48.51,0.003924409
03/08/2010,48.32,-0.00413053
02/08/2010,48.52,0.032041271
30/07/2010,46.99,-0.010584349
29/07/2010,47.49,-0.003153582
28/07/2010,47.64,-0.012930316
27/07/2010,48.26,0.000829187
26/07/2010,48.22,0.014833658
23/07/2010,47.51,0.011431115
22/07/2010,46.97,-0.004036976
21/07/2010,47.16,-0.044783603
20/07/2010,49.32,0.015529532
19/07/2010,48.56,0.004127121
16/07/2010,48.36,-0.027935347
15/07/2010,49.73,-0.001004924
14/07/2010,49.78,-0.007205796
13/07/2010,50.14,0.021163745
12/07/2010,49.09,0.011473185
09/07/2010,48.53,0.013066659
08/07/2010,47.9,-0.025557863
07/07/2010,49.14,0.066901914
06/07/2010,45.96,0.003269045
02/07/2010,45.81,-0.016454149
01/07/2010,46.57,-0.002787608
30/06/2010,46.7,-0.015299916
29/06/2010,47.42,-0.01838748
28/06/2010,48.3,-0.002894358
25/06/2010,48.44,0.020860164
24/06/2010,47.44,-0.021066584
23/06/2010,48.45,-0.003296933
22/06/2010,48.61,-0.015918703
21/06/2010,49.39,-0.018257103
18/06/2010,50.3,-0.011857846
17/06/2010,50.9,-0.008217616
16/06/2010,51.32,0.010971897
15/06/2010,50.76,0.028373532
14/06/2010,49.34,-0.011886913
11/06/2010,49.93,0.008649355
10/06/2010,49.5,0.015267472
09/06/2010,48.75,-0.006338841
08/06/2010,49.06,0.011480241
07/06/2010,48.5,-0.01066458
04/06/2010,49.02,-0.038223763
03/06/2010,50.93,-0.003528032
02/06/2010,51.11,0.025563663
01/06/2010,49.82,-0.019676676
28/05/2010,50.81,-0.022573443
27/05/2010,51.97,0.029089411
26/05/2010,50.48,-0.005925358
25/05/2010,50.78,0.002563346
24/05/2010,50.65,-0.023994129
21/05/2010,51.88,0.034912351
20/05/2010,50.1,-0.043930929
19/05/2010,52.35,-0.008369842
18/05/2010,52.79,-0.019323366
17/05/2010,53.82,0.011962759
14/05/2010,53.18,-0.020473449
13/05/2010,54.28,-0.019340139
12/05/2010,55.34,0.016213125
11/05/2010,54.45,-0.012048339
10/05/2010,55.11,0.061941039
07/05/2010,51.8,0.002512807
06/05/2010,51.67,-0.042809567
05/05/2010,53.93,0.000185443
04/05/2010,53.92,-0.018011882
03/05/2010,54.9,-0.001456134
30/04/2010,54.98,-0.012112595
29/04/2010,55.65,0.023269547
28/04/2010,54.37,0.000551927
27/04/2010,54.34,-0.01769312
26/04/2010,55.31,-0.017918415
23/04/2010,56.31,0.012149515
22/04/2010,55.63,0.016310619
