Date,Close,TSO
28/06/2013,52.32,-0.008943072
27/06/2013,52.79,-0.024512407
26/06/2013,54.1,0.014147667
25/06/2013,53.34,0.027367729
24/06/2013,51.9,-0.042069771
21/06/2013,54.13,-0.021745946
20/06/2013,55.32,-0.037083997
19/06/2013,57.41,0.005239272
18/06/2013,57.11,-0.008716931
17/06/2013,57.61,0.007841811
14/06/2013,57.16,-0.020090735
13/06/2013,58.32,0.017993565
12/06/2013,57.28,0.004724832
11/06/2013,57.01,-0.018766841
10/06/2013,58.09,-0.010105421
07/06/2013,58.68,-0.00306279
06/06/2013,58.86,0.022855192
05/06/2013,57.53,-0.03266085
04/06/2013,59.44,-0.01784124
03/06/2013,60.51,-0.018664589
31/05/2013,61.65,0.00520411
30/05/2013,61.33,0.001468549
29/05/2013,61.24,-0.014911135
28/05/2013,62.16,0.015074441
24/05/2013,61.23,-0.012658397
23/05/2013,62.01,0.00048391
22/05/2013,61.98,-0.020757571
21/05/2013,63.28,-0.0252783
20/05/2013,64.9,0.041849744
17/05/2013,62.24,0.067456227
16/05/2013,58.18,0.000515774
15/05/2013,58.15,0.025075317
14/05/2013,56.71,0.025539383
13/05/2013,55.28,0.015863219
10/05/2013,54.41,-0.029874585
09/05/2013,56.06,-0.023273265
08/05/2013,57.38,-0.011436617
07/05/2013,58.04,0.005182254
06/05/2013,57.74,0.04010784
03/05/2013,55.47,0.028897402
02/05/2013,53.89,0.057671573
01/05/2013,50.87,-0.048537387
30/04/2013,53.4,-0.008577341
29/04/2013,53.86,0.000371402
26/04/2013,53.84,-0.013284328
25/04/2013,54.56,-0.01166194
24/04/2013,55.2,0.025317808
23/04/2013,53.82,0.043092935
22/04/2013,51.55,0.017218191
19/04/2013,50.67,0.021141593
18/04/2013,49.61,0.009519059
17/04/2013,49.14,-0.035582407
16/04/2013,50.92,0.051375987
15/04/2013,48.37,-0.06192502
12/04/2013,51.46,-0.012168185
11/04/2013,52.09,-0.034899326
10/04/2013,53.94,-0.002037226
09/04/2013,54.05,0.004450221
08/04/2013,53.81,0.01064933
05/04/2013,53.24,0.00489551
04/04/2013,52.98,0.013683224
03/04/2013,52.26,-0.051465495
02/04/2013,55.02,-0.032719465
01/04/2013,56.85,-0.02946487
28/03/2013,58.55,0.010127973
27/03/2013,57.96,-0.009273637
26/03/2013,58.5,0.011173301
25/03/2013,57.85,-0.017478169
22/03/2013,58.87,0.014888612
21/03/2013,58,-0.015058464
20/03/2013,58.88,0.035437119
19/03/2013,56.83,-0.000527751
18/03/2013,56.86,0.006351468
15/03/2013,56.5,-0.007933052
14/03/2013,56.95,0.016821999
13/03/2013,56,-0.03146406
12/03/2013,57.79,0.005030803
11/03/2013,57.5,-0.015530942
08/03/2013,58.4,0.01119254
07/03/2013,57.75,0.000866176
06/03/2013,57.7,-0.01034492
05/03/2013,58.3,-0.011426747
04/03/2013,58.97,0.011598288
01/03/2013,58.29,0.035802305
28/02/2013,56.24,0.012344731
27/02/2013,55.55,0.022943468
26/02/2013,54.29,0.027639481
25/02/2013,52.81,-0.033333316
22/02/2013,54.6,0.024472857
21/02/2013,53.28,0.023932766
20/02/2013,52.02,-0.058065773
19/02/2013,55.13,0.008927817
15/02/2013,54.64,-0.009834354
14/02/2013,55.18,0.020321065
13/02/2013,54.07,0.010784783
12/02/2013,53.49,-0.019622992
11/02/2013,54.55,0.012729625
08/02/2013,53.86,0.02462299
07/02/2013,52.55,0.026807121
06/02/2013,51.16,0.018345519
05/02/2013,50.23,0.028677248
04/02/2013,48.81,-0.011407742
01/02/2013,49.37,0.013869282
31/01/2013,48.69,0.012399415
30/01/2013,48.09,0.00083212
29/01/2013,48.05,0.047303237
28/01/2013,45.83,0.027653571
25/01/2013,44.58,-0.000672721
24/01/2013,44.61,0.003368141
23/01/2013,44.46,0.032924785
22/01/2013,43.02,0.01239637
18/01/2013,42.49,-0.027621577
17/01/2013,43.68,-0.000457771
16/01/2013,43.7,0.006888661
15/01/2013,43.4,0.018135814
14/01/2013,42.62,0.010614559
11/01/2013,42.17,-0.015996577
10/01/2013,42.85,0.057144686
09/01/2013,40.47,-0.022719922
08/01/2013,41.4,0.028916496
