Date,Close,LNC
10/07/2012,20.31,-0.015632951
09/07/2012,20.63,-0.006763311
06/07/2012,20.77,-0.023317735
05/07/2012,21.26,-0.021866421
03/07/2012,21.73,0.014368729
02/07/2012,21.42,-0.02079077
29/06/2012,21.87,0.043932298
28/06/2012,20.93,-0.005717024
27/06/2012,21.05,0.021609484
26/06/2012,20.6,0.027061922
25/06/2012,20.05,-0.037204487
22/06/2012,20.81,0.0082027
21/06/2012,20.64,-0.036159981
20/06/2012,21.4,-0.014842573
19/06/2012,21.72,0.037527856
18/06/2012,20.92,-0.014709637
15/06/2012,21.23,0.000942507
14/06/2012,21.21,0.022408566
13/06/2012,20.74,-0.0115054
12/06/2012,20.98,0.03196398
11/06/2012,20.32,-0.03196398
08/06/2012,20.98,0.009578617
07/06/2012,20.78,-0.00527959
06/06/2012,20.89,0.057130256
05/06/2012,19.73,0.01996483
04/06/2012,19.34,-0.003097576
01/06/2012,19.4,-0.063410308
31/05/2012,20.67,-0.006269613
30/05/2012,20.8,-0.043740808
29/05/2012,21.73,0.021396165
25/05/2012,21.27,-0.001878817
24/05/2012,21.31,0.00376117
23/05/2012,21.23,-0.01542447
22/05/2012,21.56,0.016838564
21/05/2012,21.2,0.030653741
18/05/2012,20.56,-0.014486009
17/05/2012,20.86,-0.02928882
16/05/2012,21.48,-0.032970019
15/05/2012,22.2,-0.023593349
14/05/2012,22.73,-0.036713257
11/05/2012,23.58,0.003824096
10/05/2012,23.49,0.025874665
09/05/2012,22.89,-0.020325024
08/05/2012,23.36,0
07/05/2012,23.36,0.010759734
04/05/2012,23.11,-0.026895965
03/05/2012,23.74,-0.034771715
02/05/2012,24.58,-0.01373759
01/05/2012,24.92,0.00603745
30/04/2012,24.77,0.004045313
27/04/2012,24.67,0.001216792
26/04/2012,24.64,0.000405927
25/04/2012,24.63,0.027996888
24/04/2012,23.95,0.003764907
23/04/2012,23.86,0.008417558
20/04/2012,23.66,-0.0100926
19/04/2012,23.9,-0.012060866
18/04/2012,24.19,-0.019648606
17/04/2012,24.67,0.020062085
16/04/2012,24.18,0.001241465
13/04/2012,24.15,-0.022518864
12/04/2012,24.7,0.037537919
11/04/2012,23.79,0.009290607
10/04/2012,23.57,-0.037881741
09/04/2012,24.48,-0.042780859
05/04/2012,25.55,-0.003126224
04/04/2012,25.63,-0.023140254
03/04/2012,26.23,-0.012502531
02/04/2012,26.56,0.007558615
30/03/2012,26.36,0.023413083
29/03/2012,25.75,-0.032852458
28/03/2012,26.61,-0.016030166
27/03/2012,27.04,-0.000739372
26/03/2012,27.06,0.022800464
23/03/2012,26.45,0.015622341
22/03/2012,26.04,-0.023905521
21/03/2012,26.67,-0.007098853
20/03/2012,26.86,-0.007787913
19/03/2012,27.07,0.011144246
16/03/2012,26.77,-0.019238477
15/03/2012,27.29,0.04381903
14/03/2012,26.12,0.020108953
13/03/2012,25.6,0.04310324
12/03/2012,24.52,-0.007314133
09/03/2012,24.7,0.020037473
08/03/2012,24.21,-0.001650846
07/03/2012,24.25,0.012448294
06/03/2012,23.95,-0.03083492
05/03/2012,24.7,-0.010871861
02/03/2012,24.97,-0.028037375
01/03/2012,25.68,0.033257222
29/02/2012,24.84,-0.010810916
28/02/2012,25.11,-0.000398168
27/02/2012,25.12,0.001593626
24/02/2012,25.08,-0.003979313
23/02/2012,25.18,0.007574284
22/02/2012,24.99,-0.031511075
21/02/2012,25.79,0.00895819
17/02/2012,25.56,0
16/02/2012,25.56,0.049729572
15/02/2012,24.32,0.013245227
14/02/2012,24,-0.031579413
13/02/2012,24.77,0.024521049
10/02/2012,24.17,-0.008650929
09/02/2012,24.38,-0.000410088
08/02/2012,24.39,0.023647648
07/02/2012,23.82,0.007162449
06/02/2012,23.65,-0.008001727
03/02/2012,23.84,0.050322378
02/02/2012,22.67,0.024560288
01/02/2012,22.12,0.026570505
31/01/2012,21.54,0.006053569
30/01/2012,21.41,0.0202885
27/01/2012,20.98,0.013919111
26/01/2012,20.69,-0.058660963
25/01/2012,21.94,-0.041077204
24/01/2012,22.86,0.007023734
23/01/2012,22.7,0.008849615
20/01/2012,22.5,0.009825894
19/01/2012,22.28,0.006303488
18/01/2012,22.14,0.038209481
17/01/2012,21.31,0.011326218
13/01/2012,21.07,-0.023453233
12/01/2012,21.57,-0.005086716
11/01/2012,21.68,0.022860804
10/01/2012,21.19,0.047351841
09/01/2012,20.21,0.007449749
06/01/2012,20.06,-0.006954822
05/01/2012,20.2,0.01345647
04/01/2012,19.93,-0.014446079
03/01/2012,20.22,0.040368751
30/12/2011,19.42,-0.002571357
29/12/2011,19.47,0.021282921
28/12/2011,19.06,-0.016649708
27/12/2011,19.38,-0.017391743
23/12/2011,19.72,0.030375566
22/12/2011,19.13,0.02273426
21/12/2011,18.7,0.005361943
20/12/2011,18.6,0.041718454
19/12/2011,17.84,-0.036867999
16/12/2011,18.51,-0.010212397
15/12/2011,18.7,0.012917295
14/12/2011,18.46,-0.007555352
13/12/2011,18.6,-0.029663192
12/12/2011,19.16,-0.044905504
09/12/2011,20.04,0.020161973
08/12/2011,19.64,-0.053048372
07/12/2011,20.71,-0.003855426
06/12/2011,20.79,0.017957289
05/12/2011,20.42,0.01778703
02/12/2011,20.06,-0.007449749
01/12/2011,20.21,0.001485516
30/11/2011,20.18,0.08746197
29/11/2011,18.49,-0.001621184
28/11/2011,18.52,0.052089337
25/11/2011,17.58,-0.002840104
23/11/2011,17.63,-0.047628049
22/11/2011,18.49,-0.019813232
21/11/2011,18.86,-0.030803793
18/11/2011,19.45,0.007223974
17/11/2011,19.31,-0.037606057
16/11/2011,20.05,0.00600302
15/11/2011,19.93,0.006039274
14/11/2011,19.81,-0.020485353
11/11/2011,20.22,0.034208567
10/11/2011,19.54,0.04180337
09/11/2011,18.74,-0.061063975
08/11/2011,19.92,0.025935855
07/11/2011,19.41,0.006720108
04/11/2011,19.28,-0.012371292
03/11/2011,19.52,0.032806899
02/11/2011,18.89,0.049372652
01/11/2011,17.98,-0.057807073
31/10/2011,19.05,-0.11632382
28/10/2011,21.4,0.002807676
27/10/2011,21.34,0.091194948
26/10/2011,19.48,0.051617566
25/10/2011,18.5,-0.081455431
24/10/2011,20.07,0.053209482
21/10/2011,19.03,0.035297782
20/10/2011,18.37,0.031520442
19/10/2011,17.8,-0.02988601
18/10/2011,18.34,0.062432416
17/10/2011,17.23,-0.043163997
14/10/2011,17.99,0.074407329
13/10/2011,16.7,-0.03875999
12/10/2011,17.36,0.06055262
11/10/2011,16.34,0.018530487
10/10/2011,16.04,0.060390859
07/10/2011,15.1,-0.048474757
06/10/2011,15.85,0.033357807
05/10/2011,15.33,0.04332567
04/10/2011,14.68,0.024828862
03/10/2011,14.32,-0.087534983
30/09/2011,15.63,-0.051741051
29/09/2011,16.46,0.054303512
28/09/2011,15.59,-0.071171382
27/09/2011,16.74,0.044587538
26/09/2011,16.01,0.045360699
23/09/2011,15.3,-0.01169604
22/09/2011,15.48,-0.071659425
21/09/2011,16.63,-0.08801308
20/09/2011,18.16,-0.020709187
19/09/2011,18.54,-0.034979719
16/09/2011,19.2,-0.029761047
15/09/2011,19.78,0.07886376
14/09/2011,18.28,0.013770529
13/09/2011,18.03,0.002777008
12/09/2011,17.98,-0.002777008
09/09/2011,18.03,-0.042351606
08/09/2011,18.81,-0.025716453
07/09/2011,19.3,0.057585204
06/09/2011,18.22,-0.043496789
02/09/2011,19.03,-0.054703134
01/09/2011,20.1,-0.031826432
31/08/2011,20.75,0.009198806
30/08/2011,20.56,-0.021174997
29/08/2011,21,0.084935611
26/08/2011,19.29,0.012519725
25/08/2011,19.05,-0.039119759
24/08/2011,19.81,0.034406475
23/08/2011,19.14,0.006289329
22/08/2011,19.02,-0.02287002
19/08/2011,19.46,-0.042752299
18/08/2011,20.31,-0.08038352
17/08/2011,22.01,-0.007694086
16/08/2011,22.18,-0.028884479
15/08/2011,22.83,0.026182991
12/08/2011,22.24,-0.008060948
11/08/2011,22.42,0.081270044
10/08/2011,20.67,-0.095442115
09/08/2011,22.74,0.096410169
08/08/2011,20.65,-0.130560883
05/08/2011,23.53,-0.016020579
04/08/2011,23.91,-0.063204508
03/08/2011,25.47,0.000785546
02/08/2011,25.45,-0.032853196
01/08/2011,26.3,-0.007575794
29/07/2011,26.5,0.000755002
28/07/2011,26.48,-0.000377572
27/07/2011,26.49,-0.02681725
26/07/2011,27.21,-0.004766279
25/07/2011,27.34,-0.016325412
22/07/2011,27.79,0.002161384
21/07/2011,27.73,0.022612196
20/07/2011,27.11,0.002585412
19/07/2011,27.04,0.012653686
18/07/2011,26.7,-0.017081737
15/07/2011,27.16,-0.002574004
14/07/2011,27.23,-0.009139161
13/07/2011,27.48,0.008404946
12/07/2011,27.25,-0.006583784
11/07/2011,27.43,-0.03931886
08/07/2011,28.53,-0.029698315
07/07/2011,29.39,0.018891168
06/07/2011,28.84,0.006609869
05/07/2011,28.65,-0.01730147
01/07/2011,29.15,0.022901764
30/06/2011,28.49,0.012005794
29/06/2011,28.15,0.023725052
28/06/2011,27.49,0.017985436
27/06/2011,27,0.008928631
24/06/2011,26.76,-0.014100419
23/06/2011,27.14,-0.006976346
22/06/2011,27.33,-0.014169174
21/06/2011,27.72,0.022620446
20/06/2011,27.1,0.005550431
17/06/2011,26.95,0.016084132
16/06/2011,26.52,0.017497594
15/06/2011,26.06,-0.054511441
14/06/2011,27.52,0.037013848
13/06/2011,26.52,0.008330226
10/06/2011,26.3,-0.015843409
09/06/2011,26.72,0.010534334
08/06/2011,26.44,-0.012403843
07/06/2011,26.77,-0.003356334
06/06/2011,26.86,-0.021727977
03/06/2011,27.45,-0.022691411
02/06/2011,28.08,-0.004973367
01/06/2011,28.22,-0.0392616
31/05/2011,29.35,0.016489553
27/05/2011,28.87,0.003817461
26/05/2011,28.76,0.006628317
25/05/2011,28.57,0.003857624
24/05/2011,28.46,-0.005955526
23/05/2011,28.63,-0.020055997
20/05/2011,29.21,-0.018654094
19/05/2011,29.76,0.009453143
18/05/2011,29.48,0.001357773
17/05/2011,29.44,-0.00778214
16/05/2011,29.67,-0.004036332
13/05/2011,29.79,-0.021584766
12/05/2011,30.44,0.00957261
11/05/2011,30.15,-0.003641785
10/05/2011,30.26,0.009629827
09/05/2011,29.97,0.003342249
06/05/2011,29.87,0.003017605
05/05/2011,29.78,-0.017970534
04/05/2011,30.32,-0.019919026
03/05/2011,30.93,-0.016036264
02/05/2011,31.43,0.00638368
29/04/2011,31.23,-0.013042972
28/04/2011,31.64,0.04129619
27/04/2011,30.36,0.008600781
26/04/2011,30.1,0.011023997
25/04/2011,29.77,-0.002013423
21/04/2011,29.83,0.021003482
20/04/2011,29.21,0.013441526
19/04/2011,28.82,0.015737342
18/04/2011,28.37,-0.017470745
15/04/2011,28.87,0.0055575
14/04/2011,28.71,-0.008670073
13/04/2011,28.96,-0.022196575
12/04/2011,29.61,-0.005053068
11/04/2011,29.76,-0.001007557
08/04/2011,29.79,-0.011680426
07/04/2011,30.14,-0.016126728
