Date,Close,CHK
20/11/2013,25.55,0.009832921
19/11/2013,25.3,-0.00473187
18/11/2013,25.42,-0.017934204
15/11/2013,25.88,-0.00270114
14/11/2013,25.95,0.001156738
13/11/2013,25.92,0.014377555
12/11/2013,25.55,-0.005464494
11/11/2013,25.69,-0.00077821
08/11/2013,25.71,0.012130847
07/11/2013,25.4,-0.03215462
06/11/2013,26.23,-0.070288258
05/11/2013,28.14,-0.024571261
04/11/2013,28.84,0.029558802
01/11/2013,28,0.001429593
31/10/2013,27.96,-0.006772437
30/10/2013,28.15,-0.006020914
29/10/2013,28.32,0.005665738
28/10/2013,28.16,-0.01094837
25/10/2013,28.47,0.003518652
24/10/2013,28.37,0.038811914
23/10/2013,27.29,-0.03244697
22/10/2013,28.19,0.004978673
21/10/2013,28.05,-0.007104826
18/10/2013,28.25,0.022191319
17/10/2013,27.63,0.00362582
16/10/2013,27.53,0.038131586
15/10/2013,26.5,0.001888575
14/10/2013,26.45,-0.000755858
11/10/2013,26.47,0.00226929
10/10/2013,26.41,0.016030878
09/10/2013,25.99,-0.00230592
08/10/2013,26.05,-0.008409835
07/10/2013,26.27,-0.008717129
04/10/2013,26.5,0.012148973
03/10/2013,26.18,0.000382044
02/10/2013,26.17,-0.002671248
01/10/2013,26.24,0.013814494
30/09/2013,25.88,-0.012670548
27/09/2013,26.21,-0.007601709
26/09/2013,26.41,-0.003402007
25/09/2013,26.5,0.004538586
24/09/2013,26.38,0
23/09/2013,26.38,-0.007552906
20/09/2013,26.58,-0.011967233
19/09/2013,26.9,-0.014760416
18/09/2013,27.3,0.0051414
17/09/2013,27.16,0.023846137
16/09/2013,26.52,-0.005640173
13/09/2013,26.67,-0.009330167
12/09/2013,26.92,0.001115034
11/09/2013,26.89,0.020665774
10/09/2013,26.34,-0.002275314
09/09/2013,26.4,0.014114291
06/09/2013,26.03,-0.005363998
05/09/2013,26.17,0.001912412
04/09/2013,26.12,-0.001530222
03/09/2013,26.16,0.013469513
30/08/2013,25.81,-0.005409596
29/08/2013,25.95,-0.014917087
28/08/2013,26.34,0.012223223
27/08/2013,26.02,-0.012602802
26/08/2013,26.35,0.004564481
23/08/2013,26.23,0.027833262
22/08/2013,25.51,0.010244376
21/08/2013,25.25,-0.000395961
20/08/2013,25.26,0.019588873
19/08/2013,24.77,-0.009242581
16/08/2013,25,0.00040008
15/08/2013,24.99,0.003206416
14/08/2013,24.91,-0.004805776
13/08/2013,25.03,0.0003996
12/08/2013,25.02,0.00079968
09/08/2013,25,-0.00039992
08/08/2013,25.01,0.006417992
07/08/2013,24.85,-0.012000144
06/08/2013,25.15,-0.013035934
05/08/2013,25.48,0.021020009
02/08/2013,24.95,0
01/08/2013,24.95,0.068420462
31/07/2013,23.3,0.010787591
30/07/2013,23.05,0.013100624
29/07/2013,22.75,-0.004385972
26/07/2013,22.85,0.011443787
25/07/2013,22.59,0.017415042
24/07/2013,22.2,-0.005390849
23/07/2013,22.32,-0.003577821
22/07/2013,22.4,-0.0080036
19/07/2013,22.58,0.011133493
18/07/2013,22.33,0.026317308
17/07/2013,21.75,0
16/07/2013,21.75,0.003223581
15/07/2013,21.68,0.02050398
12/07/2013,21.24,-0.002351283
11/07/2013,21.29,-0.005153443
10/07/2013,21.4,0.012223942
09/07/2013,21.14,0.009983444
08/07/2013,20.93,-0.005241851
05/07/2013,21.04,0.001426873
03/07/2013,21.01,0.004292876
02/07/2013,20.92,0.007196001
01/07/2013,20.77,0.01895561
28/06/2013,20.38,-0.009765703
27/06/2013,20.58,0.0102565
26/06/2013,20.37,0.028886471
25/06/2013,19.79,0.009647193
24/06/2013,19.6,-0.031142647
21/06/2013,20.22,0.006947919
20/06/2013,20.08,-0.035228692
19/06/2013,20.8,-0.021403909
18/06/2013,21.25,0.009931508
17/06/2013,21.04,0.017258338
14/06/2013,20.68,-0.015355388
13/06/2013,21,-0.003802286
12/06/2013,21.08,-0.010382349
11/06/2013,21.3,-0.028692389
10/06/2013,21.92,-0.003642991
07/06/2013,22,0.015113638
06/06/2013,21.67,0.00694608
05/06/2013,21.52,-0.00925076
04/06/2013,21.72,-0.020957487
03/06/2013,22.18,0.015447831
31/05/2013,21.84,-0.031104604
30/05/2013,22.53,-0.002216804
29/05/2013,22.58,0.018775697
28/05/2013,22.16,0.022360046
24/05/2013,21.67,0.000461574
23/05/2013,21.66,0.026194201
22/05/2013,21.1,0.011919092
21/05/2013,20.85,0.002400962
20/05/2013,20.8,0.025811026
17/05/2013,20.27,0.018924868
16/05/2013,19.89,-0.037982371
15/05/2013,20.66,-0.004828595
14/05/2013,20.76,0.009680618
13/05/2013,20.56,0.020143152
10/05/2013,20.15,0.028695651
09/05/2013,19.58,0.020119327
08/05/2013,19.19,0.003131527
07/05/2013,19.13,-0.016075016
06/05/2013,19.44,0.009821738
03/05/2013,19.25,0.005208345
02/05/2013,19.15,-0.002086594
01/05/2013,19.19,-0.018074337
30/04/2013,19.54,0.010805353
29/04/2013,19.33,0.004147232
26/04/2013,19.25,-0.001557228
25/04/2013,19.28,-0.000518538
24/04/2013,19.29,0.018310739
23/04/2013,18.94,0.018114507
22/04/2013,18.6,0.000537779
19/04/2013,18.59,-0.019707695
18/04/2013,18.96,0.026183703
17/04/2013,18.47,-0.031444104
16/04/2013,19.06,0.006843933
15/04/2013,18.93,-0.038854926
12/04/2013,19.68,-0.023104996
11/04/2013,20.14,-0.010864304
10/04/2013,20.36,0.010864304
09/04/2013,20.14,0.019554396
08/04/2013,19.75,0
05/04/2013,19.75,0.022012663
04/04/2013,19.32,0.007272759
03/04/2013,19.18,-0.039862201
02/04/2013,19.96,-0.019350641
01/04/2013,20.35,-0.002944065
28/03/2013,20.41,-0.005862254
27/03/2013,20.53,-0.009694695
26/03/2013,20.73,0.018501015
25/03/2013,20.35,-0.001963673
22/03/2013,20.39,-0.013154879
21/03/2013,20.66,-0.010592299
20/03/2013,20.88,-0.007633625
19/03/2013,21.04,-0.052314636
18/03/2013,22.17,-0.012995926
15/03/2013,22.46,-0.002667854
14/03/2013,22.52,0.051012881
13/03/2013,21.4,-0.004196789
12/03/2013,21.49,0.001396973
11/03/2013,21.46,0.006076205
08/03/2013,21.33,0.022760584
07/03/2013,20.85,0.054706914
06/03/2013,19.74,0.012232568
05/03/2013,19.5,0.000512952
04/03/2013,19.49,-0.009193119
01/03/2013,19.67,-0.024605811
28/02/2013,20.16,0.000992556
27/02/2013,20.14,0.019554396
26/02/2013,19.75,0.032941733
25/02/2013,19.11,-0.070213128
22/02/2013,20.5,0.015237454
21/02/2013,20.19,-0.002473412
20/02/2013,20.24,-0.005911347
19/02/2013,20.36,0.017340043
15/02/2013,20.01,-0.019302752
14/02/2013,20.4,-0.008298803
13/02/2013,20.57,0.027601555
12/02/2013,20.01,-0.001997005
11/02/2013,20.05,-0.008937497
08/02/2013,20.23,0
07/02/2013,20.23,-0.013745921
06/02/2013,20.51,-0.001461632
05/02/2013,20.54,0.021157001
04/02/2013,20.11,-0.010880424
01/02/2013,20.33,0.007405613
31/01/2013,20.18,0.003474811
30/01/2013,20.11,0.05835842
29/01/2013,18.97,0.002110819
28/01/2013,18.93,-0.022461117
25/01/2013,19.36,0.030949231
24/01/2013,18.77,0.014489119
23/01/2013,18.5,-0.012355784
22/01/2013,18.73,0.049805094
18/01/2013,17.82,0.015267472
17/01/2013,17.55,0.013769581
16/01/2013,17.31,-0.003460211
15/01/2013,17.37,0.025066891
14/01/2013,16.94,0.004140793
11/01/2013,16.87,0.008333382
10/01/2013,16.73,-0.020704673
09/01/2013,17.08,0.011778699
08/01/2013,16.88,-0.042905131
07/01/2013,17.62,0.009694972
04/01/2013,17.45,0.039748073
03/01/2013,16.77,0.01018888
02/01/2013,16.6,-0.001204094
31/12/2012,16.62,0.00361664
28/12/2012,16.56,-0.017953804
27/12/2012,16.86,-0.017054221
26/12/2012,17.15,0.00760905
24/12/2012,17.02,-0.01747278
21/12/2012,17.32,-0.014899989
20/12/2012,17.58,0.021852508
19/12/2012,17.2,-0.00290276
18/12/2012,17.25,0.030011078
17/12/2012,16.74,0.010810916
14/12/2012,16.56,-0.007220248
13/12/2012,16.68,-0.016647233
12/12/2012,16.96,-0.007635867
11/12/2012,17.09,0.005868561
10/12/2012,16.99,-0.015187208
07/12/2012,17.25,0.00873368
06/12/2012,17.1,0.007631384
05/12/2012,16.97,0.005910183
04/12/2012,16.87,-0.001776725
03/12/2012,16.9,-0.007662873
30/11/2012,17.03,-0.028937204
29/11/2012,17.53,0.00457405
28/11/2012,17.45,0.002294895
27/11/2012,17.41,0.009812489
26/11/2012,17.24,-0.033650167
23/11/2012,17.83,0.013551873
21/11/2012,17.59,-0.000568343
20/11/2012,17.6,0.007413778
19/11/2012,17.47,0.049878335
16/11/2012,16.62,0.013935397
15/11/2012,16.39,-0.027679264
14/11/2012,16.85,-0.031544672
13/11/2012,17.39,0.009243278
12/11/2012,17.23,0.011088529
09/11/2012,17.04,-0.009345862
08/11/2012,17.2,-0.020714204
07/11/2012,17.56,-0.054306972
06/11/2012,18.54,0.01467019
05/11/2012,18.27,-0.011969675
02/11/2012,18.49,-0.081996117
01/11/2012,20.07,-0.009422336
31/10/2012,20.26,0.007928684
26/10/2012,20.1,-0.005952399
25/10/2012,20.22,0.006947919
24/10/2012,20.08,-0.016790518
23/10/2012,20.42,-0.017957289
22/10/2012,20.79,-0.000961539
19/10/2012,20.81,-0.036333319
18/10/2012,21.58,0.022967965
17/10/2012,21.09,0.034244967
16/10/2012,20.38,0.017322878
15/10/2012,20.03,-0.007460865
12/10/2012,20.18,0.001984128
11/10/2012,20.14,0.035375088
10/10/2012,19.44,-0.007686433
09/10/2012,19.59,0.008715769
08/10/2012,19.42,0.009831903
05/10/2012,19.23,-0.01240326
04/10/2012,19.47,0.02443584
03/10/2012,19,-0.028024667
02/10/2012,19.54,0.01287682
01/10/2012,19.29,0.022013468
28/09/2012,18.87,-0.012114976
27/09/2012,19.1,0.015831465
26/09/2012,18.8,-0.015307768
25/09/2012,19.09,-0.015076969
24/09/2012,19.38,0.001032525
