Date,Close,THC
30/08/2012,5.28,0.001895735
29/08/2012,5.27,0.005708864
28/08/2012,5.24,0
27/08/2012,5.24,0.01344881
24/08/2012,5.17,0.021506205
23/08/2012,5.06,-0.011787956
22/08/2012,5.12,-0.00389864
21/08/2012,5.14,-0.0038835
20/08/2012,5.16,-0.021093783
17/08/2012,5.27,-0.003787883
16/08/2012,5.29,0.013320844
15/08/2012,5.22,-0.005730675
14/08/2012,5.25,-0.009478744
13/08/2012,5.3,0.015209419
10/08/2012,5.22,-0.005730675
09/08/2012,5.25,0.007648221
08/08/2012,5.21,0.025268594
07/08/2012,5.08,0.086295813
06/08/2012,4.66,-0.006417134
03/08/2012,4.69,0.008565363
02/08/2012,4.65,0.004310352
01/08/2012,4.63,0.002162163
31/07/2012,4.62,-0.006472515
30/07/2012,4.65,-0.035906708
27/07/2012,4.82,0.091169387
26/07/2012,4.4,0.002275314
25/07/2012,4.39,-0.013574869
24/07/2012,4.45,-0.004484312
23/07/2012,4.47,-0.039478811
20/07/2012,4.65,-0.027573327
19/07/2012,4.78,-0.006256538
18/07/2012,4.81,-0.016495219
17/07/2012,4.89,-0.030213779
16/07/2012,5.04,-0.019646997
13/07/2012,5.14,0.056014642
12/07/2012,4.86,-0.022381402
11/07/2012,4.97,0.01827462
10/07/2012,4.88,-0.046054184
09/07/2012,5.11,0.005888143
06/07/2012,5.08,-0.009794398
05/07/2012,5.13,0.007827829
03/07/2012,5.09,-0.015594858
02/07/2012,5.17,-0.01344881
29/06/2012,5.24,-0.001906578
28/06/2012,5.25,0.052798186
27/06/2012,4.98,0.012121361
26/06/2012,4.92,0.067252227
25/06/2012,4.6,-0.061136
22/06/2012,4.89,0.018576386
21/06/2012,4.8,-0.050772325
20/06/2012,5.05,0.020000667
19/06/2012,4.95,0.024541109
18/06/2012,4.83,0.046618611
15/06/2012,4.61,-0.012931215
14/06/2012,4.67,0.012931215
13/06/2012,4.61,-0.025697345
12/06/2012,4.73,0.010627093
11/06/2012,4.68,0
08/06/2012,4.68,0.021599112
07/06/2012,4.58,-0.02798891
06/06/2012,4.71,0.056783812
05/06/2012,4.45,0.013574869
04/06/2012,4.39,-0.022523475
01/06/2012,4.49,-0.047835206
31/05/2012,4.71,-0.00845671
30/05/2012,4.75,-0.020834087
29/05/2012,4.85,0.020834087
25/05/2012,4.75,0
24/05/2012,4.75,0.02558775
23/05/2012,4.63,-0.010741242
22/05/2012,4.68,0.004282662
21/05/2012,4.66,0.01731645
18/05/2012,4.58,-0.025863511
17/05/2012,4.7,-0.041672696
16/05/2012,4.9,-0.004073325
15/05/2012,4.92,-0.016129382
14/05/2012,5,-0.013902905
11/05/2012,5.07,-0.015655897
10/05/2012,5.15,0.001943635
09/05/2012,5.14,0.00781254
08/05/2012,5.1,0.011834458
07/05/2012,5.04,0.001986098
04/05/2012,5.03,-0.013820556
03/05/2012,5.1,-0.034685558
02/05/2012,5.28,-0.011299555
01/05/2012,5.34,0.028491956
30/04/2012,5.19,-0.003846159
27/04/2012,5.21,0.009643276
26/04/2012,5.16,-0.060168521
25/04/2012,5.48,0.025879448
24/04/2012,5.34,0.00375235
23/04/2012,5.32,-0.01677579
20/04/2012,5.41,-0.005529968
19/04/2012,5.44,0.011090687
18/04/2012,5.38,0
17/04/2012,5.38,0.018762276
16/04/2012,5.28,-0.003780723
13/04/2012,5.3,-0.00938974
12/04/2012,5.35,0.051785299
11/04/2012,5.08,0.011881328
10/04/2012,5.02,-0.017769471
09/04/2012,5.11,-0.028931623
05/04/2012,5.26,-0.016965534
04/04/2012,5.35,-0.02400854
03/04/2012,5.48,0.020277192
02/04/2012,5.37,0.011236073
30/03/2012,5.31,0.028655256
29/03/2012,5.16,-0.005797118
28/03/2012,5.19,-0.041515396
27/03/2012,5.41,-0.023745408
26/03/2012,5.54,0.053766424
23/03/2012,5.25,-0.016997576
22/03/2012,5.34,-0.016713481
21/03/2012,5.43,0.003690041
20/03/2012,5.41,-0.021938723
19/03/2012,5.53,-0.009000961
16/03/2012,5.58,-0.017762456
15/03/2012,5.68,0.045012099
14/03/2012,5.43,-0.007339482
13/03/2012,5.47,0.018450708
12/03/2012,5.37,-0.018450708
09/03/2012,5.47,-0.010909199
08/03/2012,5.53,0.014572207
07/03/2012,5.45,0.009216655
06/03/2012,5.4,-0.021978907
05/03/2012,5.52,-0.025046032
02/03/2012,5.66,-0.012291639
01/03/2012,5.73,0.014059986
29/02/2012,5.65,-0.010563479
28/02/2012,5.71,0.010563479
27/02/2012,5.65,-0.022748138
24/02/2012,5.78,0.028072019
23/02/2012,5.62,0.012533736
22/02/2012,5.55,-0.00896867
21/02/2012,5.6,-0.010657294
17/02/2012,5.66,-0.003527341
16/02/2012,5.68,-0.003514942
15/02/2012,5.7,0.005277057
14/02/2012,5.67,-0.017482963
13/02/2012,5.77,0.008703275
10/02/2012,5.72,0.024780029
09/02/2012,5.58,-0.048960827
08/02/2012,5.86,0.001707942
07/02/2012,5.85,-0.015267472
06/02/2012,5.94,-0.005037794
03/02/2012,5.97,0.094807793
02/02/2012,5.43,-0.007339482
01/02/2012,5.47,0.033460371
31/01/2012,5.29,-0.007532992
30/01/2012,5.33,-0.027753863
27/01/2012,5.48,0.012856008
26/01/2012,5.41,-0.016498999
25/01/2012,5.5,0.031396854
24/01/2012,5.33,0.046073408
23/01/2012,5.09,-0.001962709
20/01/2012,5.1,-0.01169604
19/01/2012,5.16,0.027506646
18/01/2012,5.02,0.018090946
17/01/2012,4.93,-0.02800183
13/01/2012,5.07,-0.011764842
12/01/2012,5.13,-0.019305619
11/01/2012,5.23,0.015414563
10/01/2012,5.15,0.009756175
09/01/2012,5.1,0.02180463
06/01/2012,4.99,0.047188242
05/01/2012,4.76,0.014815086
04/01/2012,4.69,-0.055973158
03/01/2012,4.96,-0.033699918
30/12/2011,5.13,0.027669749
29/12/2011,4.99,0.012096922
28/12/2011,4.93,-0.018090946
27/12/2011,5.02,0.008000043
23/12/2011,4.98,0.012121361
22/12/2011,4.92,0.008163311
21/12/2011,4.88,0.043986148
20/12/2011,4.67,0.055019376
