Date,Close,ACN
09/07/2013,74.1,-0.004980827
08/07/2013,74.47,0.011208003
05/07/2013,73.64,0.013122113
03/07/2013,72.68,0.007734845
02/07/2013,72.12,0.000277354
01/07/2013,72.1,0.001943635
28/06/2013,71.96,-0.108662451
27/06/2013,80.22,0.008261406
26/06/2013,79.56,-0.001256124
25/06/2013,79.66,0.006296457
24/06/2013,79.16,-0.003027248
21/06/2013,79.4,-0.001510194
20/06/2013,79.52,-0.028635362
19/06/2013,81.83,-0.013352954
18/06/2013,82.93,0.005804829
17/06/2013,82.45,0.023313939
14/06/2013,80.55,-0.006558212
13/06/2013,81.08,0.017041273
12/06/2013,79.71,-0.008743498
11/06/2013,80.41,-0.014077783
10/06/2013,81.55,0.008002505
07/06/2013,80.9,0.016828069
06/06/2013,79.55,-0.00037705
05/06/2013,79.58,-0.020768016
04/06/2013,81.25,-0.010407195
03/06/2013,82.1,-0.000121795
31/05/2013,82.11,-0.008851225
30/05/2013,82.84,-0.00132698
29/05/2013,82.95,-0.001686341
28/05/2013,83.09,0.010525776
24/05/2013,82.22,-0.003642107
23/05/2013,82.52,0
22/05/2013,82.52,-0.004594374
21/05/2013,82.9,0.004473199
20/05/2013,82.53,0.003520062
17/05/2013,82.24,0.02001909
16/05/2013,80.61,-0.001859082
15/05/2013,80.76,0.002603684
14/05/2013,80.55,0.007851975
13/05/2013,79.92,-0.006982572
10/05/2013,80.48,0.004857704
09/05/2013,80.09,0.001124368
08/05/2013,80,0.011946071
07/05/2013,79.05,0.002913792
06/05/2013,78.82,-0.00859025
03/05/2013,79.5,0.000125794
02/05/2013,79.49,-0.003516266
01/05/2013,79.77,-0.020719059
30/04/2013,81.44,0.003813746
29/04/2013,81.13,0.030918039
26/04/2013,78.66,-0.0084816
25/04/2013,79.33,0.01934641
24/04/2013,77.81,0.019597019
23/04/2013,76.3,0.017985145
22/04/2013,74.94,0.002672369
19/04/2013,74.74,-0.011043955
18/04/2013,75.57,-0.014842329
17/04/2013,76.7,-0.010247187
16/04/2013,77.49,0.029465891
15/04/2013,75.24,-0.026104978
12/04/2013,77.23,-0.007096346
11/04/2013,77.78,0.009949045
10/04/2013,77.01,0.010442596
09/04/2013,76.21,-0.004451434
08/04/2013,76.55,0.003926707
05/04/2013,76.25,-0.004710201
04/04/2013,76.61,0.00013054
03/04/2013,76.6,-0.000913421
02/04/2013,76.67,0.010752792
