Date,Close,PFE
25/09/2013,28.49,-0.007692346
24/09/2013,28.71,-0.003129893
23/09/2013,28.8,-0.005885425
20/09/2013,28.97,0.004497499
19/09/2013,28.84,-0.006910878
18/09/2013,29.04,0.013869848
17/09/2013,28.64,-0.002441152
16/09/2013,28.71,0.006990591
13/09/2013,28.51,0.007039804
12/09/2013,28.31,-0.012636181
11/09/2013,28.67,0.007703119
10/09/2013,28.45,0.005286356
09/09/2013,28.3,0.000706964
06/09/2013,28.28,0.000353669
05/09/2013,28.27,-0.003531077
04/09/2013,28.37,0.01277066
03/09/2013,28.01,-0.007114936
30/08/2013,28.21,0.003906949
29/08/2013,28.1,-0.003906949
28/08/2013,28.21,0.007472015
27/08/2013,28,-0.000714031
26/08/2013,28.02,-0.011355693
23/08/2013,28.34,0.006371703
22/08/2013,28.16,-0.002836881
21/08/2013,28.24,-0.010216753
20/08/2013,28.53,0.002456573
19/08/2013,28.46,0.003167344
16/08/2013,28.37,-0.015043138
15/08/2013,28.8,-0.007954391
14/08/2013,29.03,-0.008233323
13/08/2013,29.27,0.002736916
12/08/2013,29.19,-0.000684932
09/08/2013,29.21,0.002742545
08/08/2013,29.13,-0.004452825
07/08/2013,29.26,-0.002730377
06/08/2013,29.34,0.005125588
05/08/2013,29.19,-0.00614756
02/08/2013,29.37,0.008891987
01/08/2013,29.11,-0.004113821
31/07/2013,29.23,-0.014940855
30/07/2013,29.67,0.004391157
29/07/2013,29.54,0.005771532
26/07/2013,29.37,0.00614756
25/07/2013,29.19,-0.003078504
24/07/2013,29.28,-0.004770026
23/07/2013,29.42,0.002382169
22/07/2013,29.35,0.008898074
19/07/2013,29.09,0.020841324
18/07/2013,28.49,-0.006646867
17/07/2013,28.68,0
16/07/2013,28.68,-0.003828089
15/07/2013,28.79,-0.000694444
12/07/2013,28.81,0.001389372
11/07/2013,28.77,0.011536573
10/07/2013,28.44,0.003169575
09/07/2013,28.35,0.007790408
08/07/2013,28.13,0.005704115
05/07/2013,27.97,0.011506779
03/07/2013,27.65,-0.001806685
02/07/2013,27.7,-0.002883924
01/07/2013,27.78,-0.008245252
28/06/2013,28.01,-0.006050917
27/06/2013,28.18,0.00284293
26/06/2013,28.1,0.003922273
25/06/2013,27.99,0.010053945
24/06/2013,27.71,-0.026706234
21/06/2013,28.46,-0.006304749
20/06/2013,28.64,-0.015933832
19/06/2013,29.1,-0.0102565
18/06/2013,29.4,0.008196767
17/06/2013,29.16,0.002403435
14/06/2013,29.09,0.00034382
13/06/2013,29.08,0.022605727
12/06/2013,28.43,0.000351803
11/06/2013,28.42,0.001760874
10/06/2013,28.37,0.003884872
07/06/2013,28.26,0.005321992
06/06/2013,28.11,0.022666918
05/06/2013,27.48,-0.006528859
04/06/2013,27.66,-0.003248514
03/06/2013,27.75,0.018916534
31/05/2013,27.23,-0.036774151
30/05/2013,28.25,-0.001061383
29/05/2013,28.28,-0.025485757
28/05/2013,29.01,-0.001033592
24/05/2013,29.04,-0.002407568
23/05/2013,29.11,-0.006505758
22/05/2013,29.3,0.017906815
21/05/2013,28.78,0.002783579
20/05/2013,28.7,-0.009018445
17/05/2013,28.96,-0.009964006
16/05/2013,29.25,-0.010542522
15/05/2013,29.56,0.005427422
14/05/2013,29.4,0.001020929
13/05/2013,29.37,0.022380001
10/05/2013,28.72,0.004187026
09/05/2013,28.6,-0.004535155
08/05/2013,28.73,-0.010387905
07/05/2013,29.03,0.010736034
06/05/2013,28.72,-0.008321823
03/05/2013,28.96,-0.010647533
02/05/2013,29.27,0.012721506
01/05/2013,28.9,-0.005865119
30/04/2013,29.07,-0.045722249
29/04/2013,30.43,0.011236073
26/04/2013,30.09,-0.005633818
25/04/2013,30.26,-0.011173301
24/04/2013,30.6,-0.015564517
23/04/2013,31.08,0.004837939
22/04/2013,30.93,-0.004194231
19/04/2013,31.06,0.01524766
18/04/2013,30.59,-0.00911168
17/04/2013,30.87,-0.002265007
16/04/2013,30.94,0.015963851
15/04/2013,30.45,-0.007198984
12/04/2013,30.67,0.000978633
11/04/2013,30.64,0.023779192
10/04/2013,29.92,0.027445395
09/04/2013,29.11,-0.001716149
08/04/2013,29.16,0.002059733
05/04/2013,29.1,-0.002059733
04/04/2013,29.16,0.004468129
03/04/2013,29.03,-0.006865801
02/04/2013,29.23,0.013432267
01/04/2013,28.84,-0.000693241
28/03/2013,28.86,0.007652211
27/03/2013,28.64,0.001397624
26/03/2013,28.6,0.015504187
25/03/2013,28.16,-0.00778214
22/03/2013,28.38,0.009559287
21/03/2013,28.11,-0.006383
20/03/2013,28.29,0.010661082
