Date,Close,FLIR
24/07/2012,19.1,-0.004179734
23/07/2012,19.18,0.002610286
20/07/2012,19.13,-0.017617036
19/07/2012,19.47,0.016572104
18/07/2012,19.15,0.033991589
17/07/2012,18.51,0.009772065
16/07/2012,18.33,-0.023720789
13/07/2012,18.77,0.009636049
12/07/2012,18.59,-0.013358467
11/07/2012,18.84,-0.00159109
10/07/2012,18.87,-0.015251413
09/07/2012,19.16,-0.01347869
06/07/2012,19.42,-0.017356229
05/07/2012,19.76,0.002533571
03/07/2012,19.71,0.015337724
02/07/2012,19.41,-0.004626068
29/06/2012,19.5,0.021249828
28/06/2012,19.09,-0.005224672
27/06/2012,19.19,0.006797412
26/06/2012,19.06,-0.009399547
25/06/2012,19.24,-0.017517192
22/06/2012,19.58,0.005120339
21/06/2012,19.48,-0.028840856
20/06/2012,20.05,0.000498878
19/06/2012,20.04,0.004501133
18/06/2012,19.95,-0.00150263
15/06/2012,19.98,0.00150263
14/06/2012,19.95,-0.009975145
13/06/2012,20.15,-0.017708284
12/06/2012,20.51,-0.006318369
11/06/2012,20.64,-0.024408965
08/06/2012,21.15,-0.00894334
07/06/2012,21.34,-0.012572925
06/06/2012,21.61,0.010700265
05/06/2012,21.38,0.012709044
04/06/2012,21.11,-0.005197271
01/06/2012,21.22,-0.005170399
31/05/2012,21.33,-0.011652427
30/05/2012,21.58,-0.008306462
29/05/2012,21.76,0.020896976
25/05/2012,21.31,-0.000469153
24/05/2012,21.32,0.001877935
23/05/2012,21.28,0.015629018
22/05/2012,20.95,-0.000954199
21/05/2012,20.97,0.028538817
18/05/2012,20.38,-0.008306913
17/05/2012,20.55,-0.024514566
16/05/2012,21.06,-0.002371355
15/05/2012,21.11,0.001422138
14/05/2012,21.08,-0.014598799
11/05/2012,21.39,-0.007452293
10/05/2012,21.55,0
09/05/2012,21.55,-0.006936444
08/05/2012,21.7,-0.000460723
07/05/2012,21.71,-0.00092081
04/05/2012,21.73,-0.020046229
03/05/2012,22.17,0.004520803
02/05/2012,22.07,-0.010367458
01/05/2012,22.3,-0.007149271
30/04/2012,22.46,-0.018090059
27/04/2012,22.87,-0.028025115
26/04/2012,23.52,0.009827039
25/04/2012,23.29,0.000859107
24/04/2012,23.27,0.000859845
23/04/2012,23.25,-0.012820688
20/04/2012,23.55,0.005535462
19/04/2012,23.42,-0.019032082
18/04/2012,23.87,-0.012903405
17/04/2012,24.18,0.021317422
16/04/2012,23.67,0.000845309
13/04/2012,23.65,-0.020507101
12/04/2012,24.14,0.012924925
11/04/2012,23.83,0.009698579
10/04/2012,23.6,-0.01388619
09/04/2012,23.93,-0.023948296
05/04/2012,24.51,-0.006506733
04/04/2012,24.67,-0.012487574
03/04/2012,24.98,-0.003596407
02/04/2012,25.07,-0.009527662
30/03/2012,25.31,-0.0011846
29/03/2012,25.34,-0.000788955
28/03/2012,25.36,-0.015261498
27/03/2012,25.75,-0.004262746
26/03/2012,25.86,0.014018921
23/03/2012,25.5,-0.001175779
22/03/2012,25.53,-0.00468934
21/03/2012,25.65,0
20/03/2012,25.65,-0.013552966
19/03/2012,26,-0.009188426
16/03/2012,26.24,-0.000381025
15/03/2012,26.25,0.005347606
14/03/2012,26.11,-0.006489811
13/03/2012,26.28,0.01611082
12/03/2012,25.86,-0.018391323
09/03/2012,26.34,0.009919959
08/03/2012,26.08,0.006153866
07/03/2012,25.92,0.001930875
06/03/2012,25.87,-0.0180047
05/03/2012,26.34,-0.006810469
02/03/2012,26.52,0.00302115
01/03/2012,26.44,0.010264298
29/02/2012,26.17,-0.012531016
28/02/2012,26.5,0.004538586
27/02/2012,26.38,0.011820919
24/02/2012,26.07,0.008861549
23/02/2012,25.84,0.01050389
22/02/2012,25.57,-0.00351357
21/02/2012,25.66,0.002341008
17/02/2012,25.6,0.004306133
16/02/2012,25.49,0.021813278
15/02/2012,24.94,0.008051573
14/02/2012,24.74,0.007302264
13/02/2012,24.56,-0.0137487
10/02/2012,24.9,-0.033178399
09/02/2012,25.74,0.00936775
08/02/2012,25.5,-0.011308368
07/02/2012,25.79,-0.010030948
06/02/2012,26.05,-0.019388556
03/02/2012,26.56,0.029807327
02/02/2012,25.78,-0.008882082
01/02/2012,26.01,0.010046452
31/01/2012,25.75,0.004671087
30/01/2012,25.63,-0.013178485
27/01/2012,25.97,-0.004993289
26/01/2012,26.1,-0.014831989
25/01/2012,26.49,-0.003015456
24/01/2012,26.57,-0.004506204
23/01/2012,26.69,-0.004485989
20/01/2012,26.81,0.005610637
19/01/2012,26.66,0.008664586
18/01/2012,26.43,0.029956157
17/01/2012,25.65,0.004297721
13/01/2012,25.54,-0.009740969
12/01/2012,25.79,0.020368898
11/01/2012,25.27,-0.013364979
10/01/2012,25.61,0.009809771
09/01/2012,25.36,0.009906956
06/01/2012,25.11,-0.015412279
05/01/2012,25.5,0.001177163
04/01/2012,25.47,-0.000784929
03/01/2012,25.49,0.016614306
30/12/2011,25.07,-0.01700654
29/12/2011,25.5,0.009852296
28/12/2011,25.25,-0.019608471
27/12/2011,25.75,0.001165728
23/12/2011,25.72,0.005458103
22/12/2011,25.58,0.007061622
21/12/2011,25.4,-0.008233726
20/12/2011,25.61,0.034965819
19/12/2011,24.73,-0.018032947
16/12/2011,25.18,0.006374524
15/12/2011,25.02,-0.003192341
14/12/2011,25.1,0.003192341
13/12/2011,25.02,0
12/12/2011,25.02,-0.02564749
09/12/2011,25.67,0.013333531
08/12/2011,25.33,-0.034151553
07/12/2011,26.21,-0.005706692
06/12/2011,26.36,-0.003786449
05/12/2011,26.46,0.027587957
02/12/2011,25.74,-0.034742948
01/12/2011,26.65,-0.00784904
30/11/2011,26.86,0.055889017
29/11/2011,25.4,0.015073669
28/11/2011,25.02,0.033322872
25/11/2011,24.2,0.00165426
23/11/2011,24.16,-0.018454491
22/11/2011,24.61,-0.017321682
21/11/2011,25.04,-0.013092827
18/11/2011,25.37,-0.005503159
17/11/2011,25.51,-0.012853147
16/11/2011,25.84,-0.019924031
15/11/2011,26.36,0.010678973
14/11/2011,26.08,-0.021620414
11/11/2011,26.65,0.032027137
10/11/2011,25.81,0.013653421
09/11/2011,25.46,-0.081069433
08/11/2011,27.61,0.014961053
07/11/2011,27.2,0.00294551
04/11/2011,27.12,0.017482312
03/11/2011,26.65,0.035909129
02/11/2011,25.71,0.016866452
01/11/2011,25.28,-0.03955537
31/10/2011,26.3,-0.034383058
28/10/2011,27.22,-0.016758134
