Date,Close,PSA
26/04/2012,142.67,0.001262449
25/04/2012,142.49,0.005842001
24/04/2012,141.66,0.021693444
23/04/2012,138.62,-0.007904043
20/04/2012,139.72,0.01398221
19/04/2012,137.78,0.001234613
18/04/2012,137.61,-0.007312779
17/04/2012,138.62,0.00506257
16/04/2012,137.92,0.008300011
13/04/2012,136.78,-0.008662475
12/04/2012,137.97,0.008370077
11/04/2012,136.82,0.018366734
10/04/2012,134.33,-0.009336167
09/04/2012,135.59,-0.005662821
05/04/2012,136.36,-0.001904902
04/04/2012,136.62,-0.012655635
03/04/2012,138.36,-0.003319146
02/04/2012,138.82,0.004693319
30/03/2012,138.17,0.004351933
29/03/2012,137.57,0.003860024
28/03/2012,137.04,-0.001749782
27/03/2012,137.28,-0.00443363
26/03/2012,137.89,0.005964522
23/03/2012,137.07,0.011520104
22/03/2012,135.5,-0.010498206
21/03/2012,136.93,-0.001532456
20/03/2012,137.14,0.001605488
19/03/2012,136.92,0.00292569
16/03/2012,136.52,0.019975511
15/03/2012,133.82,0.0102149
14/03/2012,132.46,-0.000528322
13/03/2012,132.53,0.018044572
12/03/2012,130.16,-0.004293168
09/03/2012,130.72,0.010613035
08/03/2012,129.34,-0.013058024
07/03/2012,131.04,-0.002286761
06/03/2012,131.34,-0.016312097
05/03/2012,133.5,0.000749344
02/03/2012,133.4,-0.005606443
01/03/2012,134.15,0.000596525
29/02/2012,134.07,-0.007134924
28/02/2012,135.03,-0.004433614
27/02/2012,135.63,-0.010925865
24/02/2012,137.12,-0.009219331
23/02/2012,138.39,0.01580456
22/02/2012,136.22,-0.005636705
21/02/2012,136.99,-0.012693747
17/02/2012,138.74,-0.005749621
16/02/2012,139.54,0.019319728
15/02/2012,136.87,-0.011983149
14/02/2012,138.52,-0.011270354
13/02/2012,140.09,0.017135048
10/02/2012,137.71,-0.003479525
09/02/2012,138.19,-0.009650082
08/02/2012,139.53,0.001075616
07/02/2012,139.38,0.003377775
06/02/2012,138.91,-0.017342094
03/02/2012,141.34,0.014897456
02/02/2012,139.25,0.005256159
01/02/2012,138.52,-0.002451512
31/01/2012,138.86,0.012318104
30/01/2012,137.16,-0.002621233
27/01/2012,137.52,0.006346449
26/01/2012,136.65,0.00543001
25/01/2012,135.91,0.002283526
24/01/2012,135.6,-0.002798441
23/01/2012,135.98,0.001103712
20/01/2012,135.83,0.001252348
19/01/2012,135.66,0.00081118
18/01/2012,135.55,0.005029224
17/01/2012,134.87,-0.000518884
13/01/2012,134.94,0.008783086
12/01/2012,133.76,-0.003433095
11/01/2012,134.22,0.004405458
10/01/2012,133.63,0.011364186
09/01/2012,132.12,-0.001210288
06/01/2012,132.28,-0.005653779
05/01/2012,133.03,0.012633021
04/01/2012,131.36,-0.028739551
03/01/2012,135.19,0.005414439
30/12/2011,134.46,-0.005488407
29/12/2011,135.2,0.009363225
28/12/2011,133.94,-0.013128318
27/12/2011,135.71,0.00888171
23/12/2011,134.51,0.009786788
22/12/2011,133.2,0.012616796
21/12/2011,131.53,0.005106913
20/12/2011,130.86,0.023426793
19/12/2011,127.83,-0.00437125
16/12/2011,128.39,0.010334391
15/12/2011,127.07,0.000551029
14/12/2011,127,0.01235953
13/12/2011,125.44,-0.013933094
12/12/2011,127.2,-0.023080638
09/12/2011,130.17,0.020568073
08/12/2011,127.52,-0.020183887
07/12/2011,130.12,0.007714897
06/12/2011,129.12,0.004891124
05/12/2011,128.49,-0.008215827
02/12/2011,129.55,0.000386026
01/12/2011,129.5,-0.018363179
30/11/2011,131.9,0.040932564
29/11/2011,126.61,0.005702986
28/11/2011,125.89,0.028931467
25/11/2011,122.3,0.003276006
23/11/2011,121.9,-0.01643516
22/11/2011,123.92,0.005989496
21/11/2011,123.18,-0.01554665
18/11/2011,125.11,0.013357135
17/11/2011,123.45,-0.005493188
16/11/2011,124.13,-0.007544177
15/11/2011,125.07,0.016526637
14/11/2011,123.02,-0.021232903
11/11/2011,125.66,0.012653328
10/11/2011,124.08,0.017889565
09/11/2011,121.88,-0.03910079
08/11/2011,126.74,0.009831985
07/11/2011,125.5,0.005433059
04/11/2011,124.82,-0.019359538
03/11/2011,127.26,-0.000863999
02/11/2011,127.37,0.008673765
01/11/2011,126.27,-0.021777455
31/10/2011,129.05,-0.018959005
28/10/2011,131.52,0.005413043
27/10/2011,130.81,0.047915232
26/10/2011,124.69,0.018127874
25/10/2011,122.45,-0.005537924
24/10/2011,123.13,0.02858632
21/10/2011,119.66,0.030891798
20/10/2011,116.02,0.005878302
19/10/2011,115.34,-0.016765212
18/10/2011,117.29,0.029679877
17/10/2011,113.86,-0.00917959
