Date,Close,AME
08/04/2013,40.91,-0.001953603
05/04/2013,40.99,-0.010918463
04/04/2013,41.44,0.000965717
03/04/2013,41.4,-0.01913934
02/04/2013,42.2,-0.008494624
01/04/2013,42.56,-0.018622512
28/03/2013,43.36,0.012999255
27/03/2013,42.8,0.002573402
26/03/2013,42.69,0.007052215
25/03/2013,42.39,-0.00845671
22/03/2013,42.75,0.010582109
21/03/2013,42.3,-0.013151904
20/03/2013,42.86,0.002335904
19/03/2013,42.76,0.003514119
18/03/2013,42.61,-0.004682753
15/03/2013,42.81,0.000701017
14/03/2013,42.78,0.005155859
13/03/2013,42.56,0.005418791
12/03/2013,42.33,-0.002595259
11/03/2013,42.44,0.000471365
08/03/2013,42.42,0.008760563
07/03/2013,42.05,-0.003797773
06/03/2013,42.21,-0.000236883
05/03/2013,42.22,0.012392914
04/03/2013,41.7,0.005048694
01/03/2013,41.49,-0.008161351
28/02/2013,41.83,-0.003817709
27/02/2013,41.99,0.01197906
26/02/2013,41.49,0.010905233
25/02/2013,41.04,-0.028820439
22/02/2013,42.24,0.017915205
21/02/2013,41.49,-0.005048694
20/02/2013,41.7,-0.01735453
19/02/2013,42.43,0.012331197
15/02/2013,41.91,0
14/02/2013,41.91,-0.002145156
13/02/2013,42,0.004294924
12/02/2013,41.82,0.007440332
11/02/2013,41.51,0.001205255
08/02/2013,41.46,0.007748223
07/02/2013,41.14,-0.005333346
06/02/2013,41.36,0.011184167
05/02/2013,40.9,0.002938298
04/02/2013,40.78,-0.016778509
01/02/2013,41.47,0.01164214
31/01/2013,40.99,0.001709193
30/01/2013,40.92,-0.009001399
29/01/2013,41.29,0.007292205
28/01/2013,40.99,-0.001949793
25/01/2013,41.07,-0.000730194
24/01/2013,41.1,0.034656934
23/01/2013,39.7,-0.00326921
22/01/2013,39.83,0.011870325
18/01/2013,39.36,0.00534965
17/01/2013,39.15,0.016742181
16/01/2013,38.5,-0.000778917
15/01/2013,38.53,-0.001815118
14/01/2013,38.6,-0.004394475
11/01/2013,38.77,-0.00051573
10/01/2013,38.79,0.001031726
09/01/2013,38.75,0.005434093
08/01/2013,38.54,-0.001296513
07/01/2013,38.59,-0.008515082
04/01/2013,38.92,0.011629541
03/01/2013,38.47,-0.004668058
02/01/2013,38.65,0.028340915
31/12/2012,37.57,0.013128119
28/12/2012,37.08,-0.006183647
27/12/2012,37.31,0.009154614
26/12/2012,36.97,-0.012899937
24/12/2012,37.45,0.002941572
21/12/2012,37.34,-0.008267816
20/12/2012,37.65,0.002925923
19/12/2012,37.54,-0.005048503
18/12/2012,37.73,0.007715882
17/12/2012,37.44,0.003210276
14/12/2012,37.32,-0.004011237
13/12/2012,37.47,-0.007444863
12/12/2012,37.75,0.006111352
11/12/2012,37.52,-0.013238213
10/12/2012,38.02,0.007656803
07/12/2012,37.73,0.005048503
06/12/2012,37.54,-0.00451828
05/12/2012,37.71,0.011200117
04/12/2012,37.29,-0.001072099
03/12/2012,37.33,0
30/11/2012,37.33,0.004833522
29/11/2012,37.15,0.002695419
28/11/2012,37.05,0.010854923
27/11/2012,36.65,-0.016238516
26/11/2012,37.25,-0.00026842
23/11/2012,37.26,0.014326505
21/11/2012,36.73,-0.000544366
20/11/2012,36.75,0.01204504
19/11/2012,36.31,0.029627656
16/11/2012,35.25,0.006546202
15/11/2012,35.02,-0.016145373
14/11/2012,35.59,-0.011731978
13/11/2012,36.01,-0.00138754
12/11/2012,36.06,0.000554785
09/11/2012,36.04,0.000832755
08/11/2012,36.01,-0.002496188
07/11/2012,36.1,-0.013208778
06/11/2012,36.58,-0.002184599
05/11/2012,36.66,0.001638002
02/11/2012,36.6,-0.013838235
01/11/2012,37.11,0.042946319
31/10/2012,35.55,-0.00756624
26/10/2012,35.82,0.0089737
25/10/2012,35.5,0.005933059
24/10/2012,35.29,0.018590554
23/10/2012,34.64,0.02012023
22/10/2012,33.95,-0.00264745
19/10/2012,34.04,-0.0383277
18/10/2012,35.37,-0.005076153
17/10/2012,35.55,0.003099031
16/10/2012,35.44,0.017649191
15/10/2012,34.82,0.020601338
12/10/2012,34.11,-0.013684884
11/10/2012,34.58,-0.001444878
10/10/2012,34.63,-0.005471576
09/10/2012,34.82,-0.010570017
08/10/2012,35.19,0.002845762
05/10/2012,35.09,-0.012179729
04/10/2012,35.52,0.044029554
03/10/2012,33.99,-0.01691989
02/10/2012,34.57,-0.004617613
01/10/2012,34.73,-0.020519386
28/09/2012,35.45,-0.009265825
27/09/2012,35.78,0.014072847
26/09/2012,35.28,-0.001699236
25/09/2012,35.34,-0.003671802
24/09/2012,35.47,-0.021476212
21/09/2012,36.24,0.000552029
20/09/2012,36.22,0.004704589
19/09/2012,36.05,0.004726827
18/09/2012,35.88,0.00083647
17/09/2012,35.85,-0.008056718
14/09/2012,36.14,0.017022875
13/09/2012,35.53,0.002254157
12/09/2012,35.45,0.00650915
11/09/2012,35.22,-0.007355054
10/09/2012,35.48,0
07/09/2012,35.48,0.007071165
06/09/2012,35.23,0.032307396
05/09/2012,34.11,-0.011368728
04/09/2012,34.5,0.005522467
31/08/2012,34.31,0.003503653
30/08/2012,34.19,-0.00902612
29/08/2012,34.5,0.002612104
28/08/2012,34.41,-0.00492826
27/08/2012,34.58,0.003476249
24/08/2012,34.46,0.005820738
23/08/2012,34.26,-0.002623526
22/08/2012,34.35,-0.003487362
21/08/2012,34.47,0.008741314
20/08/2012,34.17,0.002050682
17/08/2012,34.1,0.012096327
16/08/2012,33.69,0.017063728
15/08/2012,33.12,0.012456488
14/08/2012,32.71,0.003982238
13/08/2012,32.58,0.000921235
10/08/2012,32.55,0.010500405
09/08/2012,32.21,-0.00124108
08/08/2012,32.25,0.001551591
07/08/2012,32.2,0.02452182
06/08/2012,31.42,0.007988539
03/08/2012,31.17,0.025013485
02/08/2012,30.4,-0.005249356
01/08/2012,30.56,-0.01429524
31/07/2012,31,-0.000967274
30/07/2012,31.03,-0.021046695
27/07/2012,31.69,0.030436436
26/07/2012,30.74,-0.011321486
25/07/2012,31.09,-0.012783811
24/07/2012,31.49,-0.056487782
23/07/2012,33.32,-0.014007083
20/07/2012,33.79,-0.013229651
19/07/2012,34.24,0.003510829
18/07/2012,34.12,0.02342583
17/07/2012,33.33,0.003606857
16/07/2012,33.21,-0.001203732
13/07/2012,33.25,0.015762679
12/07/2012,32.73,-0.010334438
11/07/2012,33.07,-0.007831365
10/07/2012,33.33,-0.009852296
09/07/2012,33.66,-0.007399767
06/07/2012,33.91,-0.013765044
05/07/2012,34.38,0.007591277
03/07/2012,34.12,0.018039821
02/07/2012,33.51,-0.398377482
29/06/2012,49.91,0.038187386
28/06/2012,48.04,-0.026903769
27/06/2012,49.35,-0.002428659
26/06/2012,49.47,0.008322386
25/06/2012,49.06,-0.025159826
22/06/2012,50.31,-0.002382372
21/06/2012,50.43,-0.030849772
20/06/2012,52.01,-0.008996137
19/06/2012,52.48,0.01265597
18/06/2012,51.82,0.007748973
15/06/2012,51.42,0.013312648
14/06/2012,50.74,0.005930043
13/06/2012,50.44,-0.030074518
12/06/2012,51.98,0.016878856
11/06/2012,51.11,-0.014760416
08/06/2012,51.87,0.009491597
07/06/2012,51.38,0.007423359
06/06/2012,51,0.036135282
05/06/2012,49.19,0.009190303
04/06/2012,48.74,0.000410425
01/06/2012,48.72,-0.040033506
31/05/2012,50.71,0.006330387
30/05/2012,50.39,0.000794124
29/05/2012,50.35,0.022698574
25/05/2012,49.22,-0.008899735
24/05/2012,49.66,0.001208946
23/05/2012,49.6,0.008503797
22/05/2012,49.18,0.003870841
21/05/2012,48.99,0.014184635
18/05/2012,48.3,0.002487563
17/05/2012,48.18,-0.02561353
16/05/2012,49.43,-0.001213102
15/05/2012,49.49,-0.005440819
14/05/2012,49.76,-0.010395935
11/05/2012,50.28,0.001990843
10/05/2012,50.18,0.000398645
09/05/2012,50.16,-0.014252023
08/05/2012,50.88,0.016647233
07/05/2012,50.04,-0.001996407
04/05/2012,50.14,-0.007748127
03/05/2012,50.53,-0.01180419
02/05/2012,51.13,0.001174168
01/05/2012,51.07,0.01459592
30/04/2012,50.33,-0.005745434
27/04/2012,50.62,0.009527662
26/04/2012,50.14,0.018519048
25/04/2012,49.22,0.014530083
24/04/2012,48.51,0.003096937
23/04/2012,48.36,-0.01294317
20/04/2012,48.99,0.003680986
19/04/2012,48.81,-0.004497146
18/04/2012,49.03,0.003882706
17/04/2012,48.84,0.024876905
16/04/2012,47.64,-0.000209886
13/04/2012,47.65,-0.012513198
12/04/2012,48.25,0.017351747
11/04/2012,47.42,0.008683736
10/04/2012,47.01,-0.014151678
09/04/2012,47.68,-0.013954199
05/04/2012,48.35,-0.001859697
04/04/2012,48.44,-0.014754366
03/04/2012,49.16,0.003055926
