Date,Close,PCL
17/06/2013,47.55,0.005694416
14/06/2013,47.28,-0.010729039
13/06/2013,47.79,0.023072248
12/06/2013,46.7,-0.01740651
11/06/2013,47.52,-0.003990344
10/06/2013,47.71,-0.012704534
07/06/2013,48.32,0.015853482
06/06/2013,47.56,0.012482972
05/06/2013,46.97,-0.011431115
04/06/2013,47.51,-0.017526007
03/06/2013,48.35,0.013534824
31/05/2013,47.7,-0.00146643
30/05/2013,47.77,-0.025626532
29/05/2013,49.01,-0.035084284
28/05/2013,50.76,-0.020860489
24/05/2013,51.83,-0.008836016
23/05/2013,52.29,-0.018192656
22/05/2013,53.25,-0.019894679
21/05/2013,54.32,-0.001471671
20/05/2013,54.4,0.006639641
17/05/2013,54.04,0.016230186
16/05/2013,53.17,-0.001503477
15/05/2013,53.25,0.004705891
14/05/2013,53,0.009859769
13/05/2013,52.48,0.005158097
10/05/2013,52.21,0.00268508
09/05/2013,52.07,-0.000959785
08/05/2013,52.12,0.011966945
07/05/2013,51.5,0.002916871
06/05/2013,51.35,0.004293527
03/05/2013,51.13,0.003919268
02/05/2013,50.93,0.002162163
01/05/2013,50.82,-0.014068227
30/04/2013,51.54,-0.033578126
29/04/2013,53.3,0.003006391
26/04/2013,53.14,-0.004880806
25/04/2013,53.4,0.000374602
24/04/2013,53.38,0.008088072
23/04/2013,52.95,0.008344444
22/04/2013,52.51,0.004198479
19/04/2013,52.29,0.019504336
18/04/2013,51.28,0.011966793
17/04/2013,50.67,-0.014498687
16/04/2013,51.41,0.021628842
15/04/2013,50.31,-0.032847528
12/04/2013,51.99,0.002118033
11/04/2013,51.88,0.00154321
10/04/2013,51.8,0.006196767
09/04/2013,51.48,-0.007739977
08/04/2013,51.88,0.012608061
05/04/2013,51.23,-0.007196375
04/04/2013,51.6,0.010716128
03/04/2013,51.05,-0.018245848
02/04/2013,51.99,0.004047418
01/04/2013,51.78,-0.008078521
28/03/2013,52.2,0.011560822
27/03/2013,51.6,0.009737175
26/03/2013,51.1,0.015183176
25/03/2013,50.33,-0.002975897
22/03/2013,50.48,0.005761415
21/03/2013,50.19,0.001395674
20/03/2013,50.12,0.00922035
19/03/2013,49.66,0.00060429
18/03/2013,49.63,-0.002816903
15/03/2013,49.77,-0.002207728
14/03/2013,49.88,0.005629287
13/03/2013,49.6,-0.002014099
12/03/2013,49.7,-0.004817352
11/03/2013,49.94,0.015335248
08/03/2013,49.18,0.003258659
07/03/2013,49.02,0.004498065
06/03/2013,48.8,-0.013433949
05/03/2013,49.46,0.007101582
04/03/2013,49.11,0.00858901
01/03/2013,48.69,0.003909872
28/02/2013,48.5,-0.003909872
27/02/2013,48.69,0.017193588
26/02/2013,47.86,0.012404238
25/02/2013,47.27,-0.019068152
22/02/2013,48.18,0.012321342
21/02/2013,47.59,-0.002518364
20/02/2013,47.71,-0.011047533
19/02/2013,48.24,0.007490672
15/02/2013,47.88,0.001672241
14/02/2013,47.8,-0.001254443
13/02/2013,47.86,-0.010392943
12/02/2013,48.36,0.001241465
11/02/2013,48.3,-0.002894358
08/02/2013,48.44,0.004966898
07/02/2013,48.2,-0.007029179
06/02/2013,48.54,0.00495664
05/02/2013,48.3,0.003318128
04/02/2013,48.14,-0.001038098
01/02/2013,48.19,0.000207533
31/01/2013,48.18,-0.003522225
30/01/2013,48.35,-0.015189126
29/01/2013,49.09,0.036933658
28/01/2013,47.31,0
25/01/2013,47.31,-0.014479321
24/01/2013,48,0.007738196
23/01/2013,47.63,0.001470743
22/01/2013,47.56,0.005059033
18/01/2013,47.32,0.005934736
17/01/2013,47.04,0.006397974
16/01/2013,46.74,-0.005760016
15/01/2013,47.01,0.007258785
14/01/2013,46.67,0.006017641
11/01/2013,46.39,-0.004516622
10/01/2013,46.6,0.007106738
09/01/2013,46.27,0.007157606
08/01/2013,45.94,-0.000870322
07/01/2013,45.98,-0.000217462
04/01/2013,45.99,0.0104919
03/01/2013,45.51,0.002419977
02/01/2013,45.4,0.02294854
31/12/2012,44.37,0.011560822
28/12/2012,43.86,-0.012011476
27/12/2012,44.39,0.002255301
26/12/2012,44.29,-0.005628744
24/12/2012,44.54,0.00653229
21/12/2012,44.25,-0.012799097
20/12/2012,44.82,0.013251176
19/12/2012,44.23,-0.002258357
18/12/2012,44.33,0.019360587
17/12/2012,43.48,0.021856252
14/12/2012,42.54,-0.007260835
13/12/2012,42.85,-0.002098147
12/12/2012,42.94,0.00326569
11/12/2012,42.8,0.001168907
10/12/2012,42.75,-0.0104713
07/12/2012,43.2,0.014690715
06/12/2012,42.57,0.006599128
05/12/2012,42.29,-0.002361834
04/12/2012,42.39,-0.003062068
03/12/2012,42.52,-0.007731092
30/11/2012,42.85,0.01079316
29/11/2012,42.39,0.004729259
28/11/2012,42.19,0.010723324
27/11/2012,41.74,-0.006923747
26/11/2012,42.03,-0.000237897
23/11/2012,42.04,0.005246852
21/11/2012,41.82,-0.002865331
20/11/2012,41.94,0.007178782
19/11/2012,41.64,0.007956642
16/11/2012,41.31,0.01119778
15/11/2012,40.85,-0.008531435
14/11/2012,41.2,-0.035057841
13/11/2012,42.67,-0.000234329
12/11/2012,42.68,0.0014068
09/11/2012,42.62,-0.005382018
08/11/2012,42.85,-0.010908777
07/11/2012,43.32,-0.006901339
06/11/2012,43.62,0.012689062
05/11/2012,43.07,-0.00092829
02/11/2012,43.11,0.007450558
01/11/2012,42.79,-0.02560989
31/10/2012,43.9,0.002052218
26/10/2012,43.81,-0.004554779
25/10/2012,44.01,-0.004081638
24/10/2012,44.19,0.005673452
23/10/2012,43.94,-0.006578225
22/10/2012,44.23,0.003397127
19/10/2012,44.08,-0.009707718
18/10/2012,44.51,0.008120956
17/10/2012,44.15,0.006134292
16/10/2012,43.88,0.00777858
15/10/2012,43.54,0.013876263
12/10/2012,42.94,0.011241336
11/10/2012,42.46,0.003538992
10/10/2012,42.31,-0.003067849
09/10/2012,42.44,-0.004232313
08/10/2012,42.62,0.000469373
05/10/2012,42.6,0.004941768
04/10/2012,42.39,-0.002826857
03/10/2012,42.51,-0.01006445
02/10/2012,42.94,-0.001163738
01/10/2012,42.99,-0.019579112
28/09/2012,43.84,-0.007272759
27/09/2012,44.16,0.002040123
26/09/2012,44.07,-0.006107925
25/09/2012,44.34,-0.007191042
24/09/2012,44.66,-0.002236637
21/09/2012,44.76,0.010555966
20/09/2012,44.29,0.007251335
19/09/2012,43.97,0.005244568
18/09/2012,43.74,0.001601648
17/09/2012,43.67,-0.000228964
14/09/2012,43.68,0.023863057
13/09/2012,42.65,0.020848895
12/09/2012,41.77,0.018362439
11/09/2012,41.01,-0.002921843
10/09/2012,41.13,-0.002428364
07/09/2012,41.23,0.000242571
06/09/2012,41.22,0.005839433
05/09/2012,40.98,-0.002923979
04/09/2012,41.1,0.004144831
31/08/2012,40.93,0.005635198
30/08/2012,40.7,-0.003678729
29/08/2012,40.85,0.003187449
28/08/2012,40.72,-0.001472393
27/08/2012,40.78,0.006149325
24/08/2012,40.53,0.004698908
23/08/2012,40.34,-0.006670809
22/08/2012,40.61,-0.000492368
21/08/2012,40.63,0.000246154
20/08/2012,40.62,0.001724776
17/08/2012,40.55,0.003705996
