Date,Close,CMA
22/10/2012,29.57,0.004745772
19/10/2012,29.43,-0.007447563
18/10/2012,29.65,-0.021685587
17/10/2012,30.3,-0.024128983
16/10/2012,31.04,0.00516797
15/10/2012,30.88,-0.000323782
12/10/2012,30.89,-0.021774796
11/10/2012,31.57,0.010187926
10/10/2012,31.25,-0.006061591
09/10/2012,31.44,-0.004443041
08/10/2012,31.58,-0.006942281
05/10/2012,31.8,0.003465116
04/10/2012,31.69,0.014622002
03/10/2012,31.23,0.012890929
02/10/2012,30.83,-0.006788453
01/10/2012,31.04,-0.000322113
28/09/2012,31.05,-0.001609011
27/09/2012,31.1,0.011968443
26/09/2012,30.73,-0.001300813
25/09/2012,30.77,-0.0250334
24/09/2012,31.55,0.008914418
21/09/2012,31.27,-0.013026395
20/09/2012,31.68,-0.009112396
19/09/2012,31.97,-0.003746492
18/09/2012,32.09,-0.009922562
17/09/2012,32.41,-0.018949222
14/09/2012,33.03,-0.002117043
13/09/2012,33.1,0.028498941
12/09/2012,32.17,0.014402253
11/09/2012,31.71,0.000315408
10/09/2012,31.7,-0.016581015
07/09/2012,32.23,0.017212129
06/09/2012,31.68,0.037631068
05/09/2012,30.51,-0.00685941
04/09/2012,30.72,0.000325574
31/08/2012,30.71,-0.00939887
30/08/2012,31,-0.008032172
29/08/2012,31.25,0.007064898
28/08/2012,31.03,0.01101761
27/08/2012,30.69,-0.001953126
24/08/2012,30.75,0.006852694
23/08/2012,30.54,-0.012689287
22/08/2012,30.93,-0.001615248
21/08/2012,30.98,-0.005793386
20/08/2012,31.16,-0.010852325
17/08/2012,31.5,0.019878821
16/08/2012,30.88,-0.004845753
15/08/2012,31.03,0.0116695
14/08/2012,30.67,-0.004229712
13/08/2012,30.8,-0.000324623
10/08/2012,30.81,0.005532968
09/08/2012,30.64,0.001633187
08/08/2012,30.59,0.003602427
07/08/2012,30.48,0.003286234
06/08/2012,30.38,-0.009174376
03/08/2012,30.66,0.029121846
02/08/2012,29.78,-0.013342426
01/08/2012,30.18,-0.000993542
31/07/2012,30.21,-0.008569598
30/07/2012,30.47,-0.011421237
27/07/2012,30.82,0.010765069
26/07/2012,30.49,0.021548986
25/07/2012,29.84,-0.000335065
24/07/2012,29.85,-0.008672503
23/07/2012,30.11,-0.018101531
20/07/2012,30.66,-0.017459221
19/07/2012,31.2,-0.013371737
18/07/2012,31.62,-0.011633522
17/07/2012,31.99,0.037584041
16/07/2012,30.81,0.003902444
13/07/2012,30.69,0.026078388
12/07/2012,29.9,-0.01394908
11/07/2012,30.32,0.010610179
10/07/2012,30,-0.012257897
09/07/2012,30.37,-0.007217879
06/07/2012,30.59,-0.006841532
05/07/2012,30.8,-0.024058899
03/07/2012,31.55,0.01436577
02/07/2012,31.1,0.012619485
29/06/2012,30.71,0.02139295
28/06/2012,30.06,0.005671408
27/06/2012,29.89,0.009074167
26/06/2012,29.62,0.014623624
25/06/2012,29.19,-0.036661244
22/06/2012,30.28,0.016986254
21/06/2012,29.77,-0.015002782
20/06/2012,30.22,-0.000661594
19/06/2012,30.24,0.019366215
18/06/2012,29.66,-0.010063822
15/06/2012,29.96,0.012088797
14/06/2012,29.6,0.021858794
13/06/2012,28.96,-0.010647533
12/06/2012,29.27,0.025957505
11/06/2012,28.52,-0.033445627
08/06/2012,29.49,0.018826502
07/06/2012,28.94,0.011818003
06/06/2012,28.6,0.014439413
05/06/2012,28.19,0.007477336
04/06/2012,27.98,-0.024710046
01/06/2012,28.68,-0.058900271
31/05/2012,30.42,0.011904903
30/05/2012,30.06,-0.032081311
29/05/2012,31.04,0.020834087
25/05/2012,30.4,0.0056078
24/05/2012,30.23,0.010641936
23/05/2012,29.91,0.008393536
22/05/2012,29.66,0.008464584
21/05/2012,29.41,0.005455179
18/05/2012,29.25,-0.018964334
17/05/2012,29.81,-0.007019919
16/05/2012,30.02,-0.004984227
15/05/2012,30.17,-0.011534153
14/05/2012,30.52,-0.031922749
11/05/2012,31.51,-0.002852165
10/05/2012,31.6,0.007305098
09/05/2012,31.37,-0.001592611
08/05/2012,31.42,-0.013278728
07/05/2012,31.84,0.002200913
04/05/2012,31.77,-0.017473143
03/05/2012,32.33,-0.004320994
02/05/2012,32.47,-0.003382017
01/05/2012,32.58,0.017337896
30/04/2012,32.02,-0.015187027
27/04/2012,32.51,0.003698001
26/04/2012,32.39,0.010864611
25/04/2012,32.04,0.005319994
24/04/2012,31.87,0.014538815
23/04/2012,31.41,-0.006030807
20/04/2012,31.6,-0.001265022
19/04/2012,31.64,0.004752108
18/04/2012,31.49,-0.014502146
17/04/2012,31.95,0.034711334
16/04/2012,30.86,0.010096161
13/04/2012,30.55,-0.025849581
12/04/2012,31.35,0.022255394
11/04/2012,30.66,0.008845267
10/04/2012,30.39,-0.025342487
09/04/2012,31.17,-0.016860587
05/04/2012,31.7,-0.010044027
04/04/2012,32.02,-0.016416661
03/04/2012,32.55,0.008019784
02/04/2012,32.29,-0.002165507
30/03/2012,32.36,0.0009275
29/03/2012,32.33,-0.007703011
28/03/2012,32.58,0.007703011
27/03/2012,32.33,-0.013212667
26/03/2012,32.76,0.014450674
23/03/2012,32.29,0.003101739
22/03/2012,32.19,-0.015413375
21/03/2012,32.69,-0.015480655
20/03/2012,33.2,-0.003007521
19/03/2012,33.3,0.003007521
16/03/2012,33.2,-0.011082935
15/03/2012,33.57,0.044776781
14/03/2012,32.1,0.010648394
13/03/2012,31.76,0.041793289
12/03/2012,30.46,0.000656814
09/03/2012,30.44,0.013227706
08/03/2012,30.04,0.020175533
07/03/2012,29.44,0.030697358
06/03/2012,28.55,-0.019081238
05/03/2012,29.1,-0.01602216
02/03/2012,29.57,-0.020087719
01/03/2012,30.17,0.016037764
29/02/2012,29.69,0.008116379
28/02/2012,29.45,-0.000678887
27/02/2012,29.47,0.00510292
24/02/2012,29.32,-0.012540412
23/02/2012,29.69,0.006759066
22/02/2012,29.49,-0.041838771
21/02/2012,30.75,-0.012924251
17/02/2012,31.15,0.021743514
16/02/2012,30.48,0.026934297
15/02/2012,29.67,-0.011060947
14/02/2012,30,-0.004987542
13/02/2012,30.15,0.00033173
10/02/2012,30.14,-0.009575771
09/02/2012,30.43,-0.001641767
08/02/2012,30.48,0.01287784
07/02/2012,30.09,0.010355863
06/02/2012,29.78,-0.010023472
03/02/2012,30.08,0.060998694
02/02/2012,28.3,0.007448164
01/02/2012,28.09,0.015064847
31/01/2012,27.67,-0.005765782
30/01/2012,27.83,-0.006803965
27/01/2012,28.02,0.004650339
26/01/2012,27.89,-0.045557983
25/01/2012,29.19,-0.013948176
24/01/2012,29.6,0.003384098
23/01/2012,29.5,-0.002708194
20/01/2012,29.58,0.030898442
19/01/2012,28.68,-0.025134737
18/01/2012,29.41,0.002042206
17/01/2012,29.35,-0.003061748
13/01/2012,29.44,0.006132898
12/01/2012,29.26,0.018627651
11/01/2012,28.72,0.008040596
10/01/2012,28.49,0.004573447
09/01/2012,28.36,0.015636424
06/01/2012,27.92,0.019530458
05/01/2012,27.38,0.021410932
04/01/2012,26.8,0.002989539
