Date,Close,DGX
22/05/2012,57.45,0.002090957
21/05/2012,57.33,0.016709561
18/05/2012,56.38,-0.006541171
17/05/2012,56.75,-0.008597298
16/05/2012,57.24,0.004377141
15/05/2012,56.99,0.007043523
14/05/2012,56.59,-0.010896417
11/05/2012,57.21,-0.006446577
10/05/2012,57.58,0.007146
09/05/2012,57.17,-0.007146
08/05/2012,57.58,0.007495895
07/05/2012,57.15,0.000174993
04/05/2012,57.14,-0.013558351
03/05/2012,57.92,-0.008766708
02/05/2012,58.43,-0.005972204
01/05/2012,58.78,0.018717813
30/04/2012,57.69,0.002777297
27/04/2012,57.53,-0.004682225
26/04/2012,57.8,-0.00293686
25/04/2012,57.97,0
24/04/2012,57.97,0.0072715
23/04/2012,57.55,-0.017056146
20/04/2012,58.54,-0.004771652
19/04/2012,58.82,-0.006439609
18/04/2012,59.2,-0.018244711
17/04/2012,60.29,0.031336796
16/04/2012,58.43,0.007731333
13/04/2012,57.98,-0.014553805
12/04/2012,58.83,-0.012500163
11/04/2012,59.57,0.013010237
10/04/2012,58.8,-0.014016948
09/04/2012,59.63,-0.02549807
05/04/2012,61.17,0.001472393
04/04/2012,61.08,-0.011395207
03/04/2012,61.78,-0.003554698
02/04/2012,62,0.013804523
30/03/2012,61.15,-0.002776192
29/03/2012,61.32,0.014289477
28/03/2012,60.45,-0.002808295
27/03/2012,60.62,-0.000659631
26/03/2012,60.66,0.024869846
23/03/2012,59.17,-0.013096225
22/03/2012,59.95,-0.002665336
21/03/2012,60.11,0.006007026
20/03/2012,59.75,-0.005507817
19/03/2012,60.08,0.004504136
16/03/2012,59.81,-0.001837468
15/03/2012,59.92,0.010907063
14/03/2012,59.27,0.008812123
13/03/2012,58.75,0.008890467
12/03/2012,58.23,-0.011100789
09/03/2012,58.88,0.011272536
08/03/2012,58.22,0.00914509
07/03/2012,57.69,0.011331072
06/03/2012,57.04,-0.012197398
05/03/2012,57.74,-0.004320408
02/03/2012,57.99,0.001035197
01/03/2012,57.93,-0.002069323
29/02/2012,58.05,-0.007892972
28/02/2012,58.51,0.008754669
27/02/2012,58,0.013190056
24/02/2012,57.24,0
23/02/2012,57.24,0
22/02/2012,57.24,-0.006269613
21/02/2012,57.6,0.005396479
17/02/2012,57.29,-0.004180462
16/02/2012,57.53,0.013650895
15/02/2012,56.75,-0.012955363
