Date,Close,HRL
01/08/2012,27.66,-0.008997721
31/07/2012,27.91,-0.011045899
30/07/2012,28.22,-0.006358199
27/07/2012,28.4,0.014899176
26/07/2012,27.98,0.003939128
25/07/2012,27.87,-0.001434206
24/07/2012,27.91,-0.005716343
23/07/2012,28.07,-0.008160414
20/07/2012,28.3,-0.011942537
19/07/2012,28.64,-0.005571045
18/07/2012,28.8,0.006968669
17/07/2012,28.6,-0.001746725
16/07/2012,28.65,-0.006609869
13/07/2012,28.84,0.00695897
12/07/2012,28.64,-0.015246311
11/07/2012,29.08,0.005171534
10/07/2012,28.93,-0.015435052
09/07/2012,29.38,-0.019215154
06/07/2012,29.95,-0.011948367
05/07/2012,30.31,-0.008541445
03/07/2012,30.57,-0.003591841
02/07/2012,30.68,0.00851069
29/06/2012,30.42,0.024626869
28/06/2012,29.68,0.006083155
27/06/2012,29.5,0.014683549
26/06/2012,29.07,-0.001718509
25/06/2012,29.12,-0.004796172
22/06/2012,29.26,0.000341822
21/06/2012,29.25,-0.017621601
20/06/2012,29.77,-0.015995009
19/06/2012,30.25,0.004638842
18/06/2012,30.11,0.014047054
15/06/2012,29.69,0.007437492
14/06/2012,29.47,-0.001695203
13/06/2012,29.52,-0.003719362
12/06/2012,29.63,0.001013
11/06/2012,29.6,-0.005390849
08/06/2012,29.76,0.007081466
07/06/2012,29.55,-0.003041057
06/06/2012,29.64,0.012220111
05/06/2012,29.28,-0.003749791
04/06/2012,29.39,0.001361934
01/06/2012,29.35,-0.018900326
31/05/2012,29.91,-0.004336954
30/05/2012,30.04,-0.007296881
29/05/2012,30.26,0.003641785
25/05/2012,30.15,0.015374634
24/05/2012,29.69,0.0060811
23/05/2012,29.51,0.010903004
22/05/2012,29.19,-0.003078504
21/05/2012,29.28,-0.003069056
18/05/2012,29.37,-0.002380549
17/05/2012,29.44,-0.006770507
16/05/2012,29.64,0.007110238
15/05/2012,29.43,0.007161156
14/05/2012,29.22,0.003771649
11/05/2012,29.11,-0.004455877
10/05/2012,29.24,-0.001708526
09/05/2012,29.29,0.007883503
08/05/2012,29.06,0.004483539
07/05/2012,28.93,0.007633625
04/05/2012,28.71,-0.000696379
03/05/2012,28.73,-0.007282848
02/05/2012,28.94,-0.001036091
01/05/2012,28.97,-0.003101846
30/04/2012,29.06,0.001377411
27/04/2012,29.02,0.004835933
26/04/2012,28.88,0.012193149
25/04/2012,28.53,0.005271493
24/04/2012,28.38,0.006008147
23/04/2012,28.21,-0.013380481
20/04/2012,28.59,0.008782772
19/04/2012,28.34,0.00141243
18/04/2012,28.3,-0.0049348
17/04/2012,28.44,0.009539023
16/04/2012,28.17,0.005695993
13/04/2012,28.01,-0.008531868
12/04/2012,28.25,-0.004238791
11/04/2012,28.37,-0.000704722
10/04/2012,28.39,-0.016766023
09/04/2012,28.87,-0.011023191
05/04/2012,29.19,0.002057614
04/04/2012,29.13,-0.011604226
03/04/2012,29.47,-0.004739345
02/04/2012,29.61,0.003044142
30/03/2012,29.52,-0.001354096
29/03/2012,29.56,0.003388685
28/03/2012,29.46,0.001018849
27/03/2012,29.43,0.001700391
26/03/2012,29.38,0.009575997
23/03/2012,29.1,0.003097576
22/03/2012,29.01,0.001034661
21/03/2012,28.98,0.00207254
20/03/2012,28.92,0.001037883
19/03/2012,28.89,0.004857747
16/03/2012,28.75,0.001740644
15/03/2012,28.7,0.00174368
14/03/2012,28.65,-0.013176335
13/03/2012,29.03,0.010039897
12/03/2012,28.74,0
09/03/2012,28.74,0.007333715
08/03/2012,28.53,0.002808005
07/03/2012,28.45,0.007408748
06/03/2012,28.24,-0.009164675
05/03/2012,28.5,0.003867117
02/03/2012,28.39,0.001057269
01/03/2012,28.36,-0.0038712
29/02/2012,28.47,-0.000351185
28/02/2012,28.48,-0.005602256
27/02/2012,28.64,-0.004528835
24/02/2012,28.77,0.013296207
23/02/2012,28.39,-0.022637219
22/02/2012,29.04,-0.003094381
21/02/2012,29.13,-0.001714972
17/02/2012,29.18,0.001714972
16/02/2012,29.13,0.005507759
15/02/2012,28.97,0.001381693
14/02/2012,28.93,0.002769126
13/02/2012,28.85,-0.004495944
10/02/2012,28.98,-0.014388737
09/02/2012,29.4,0.009569451
08/02/2012,29.12,0.001374571
07/02/2012,29.08,0.001032169
06/02/2012,29.05,-0.005834923
03/02/2012,29.22,0.006868159
02/02/2012,29.02,0.001724436
01/02/2012,28.97,0.00658011
31/01/2012,28.78,0.002435207
30/01/2012,28.71,-0.011084284
27/01/2012,29.03,-0.018768679
26/01/2012,29.58,-0.000675904
25/01/2012,29.6,0.001690617
24/01/2012,29.55,0.004069182
23/01/2012,29.43,0.006134989
20/01/2012,29.25,-0.001366587
19/01/2012,29.29,0.001366587
18/01/2012,29.25,0.000341939
17/01/2012,29.24,0.009276823
13/01/2012,28.97,-0.011667943
12/01/2012,29.31,0.004445212
11/01/2012,29.18,-0.003762618
10/01/2012,29.29,0.009950331
09/01/2012,29,0
06/01/2012,29,0.005185837
05/01/2012,28.85,-0.007596722
04/01/2012,29.07,-0.003776829
03/01/2012,29.18,-0.003762618
30/12/2011,29.29,-0.004768401
29/12/2011,29.43,0.007161156
28/12/2011,29.22,-0.010553289
27/12/2011,29.53,0.002033899
23/12/2011,29.47,0.006468108
22/12/2011,29.28,0.000341588
21/12/2011,29.27,0.012029703
20/12/2011,28.92,0.009379954
19/12/2011,28.65,0.002096437
16/12/2011,28.59,-0.009052987
15/12/2011,28.85,0.008703275
14/12/2011,28.6,-0.010780838
13/12/2011,28.91,-0.004486634
12/12/2011,29.04,-0.018424267
09/12/2011,29.58,0.016703985
08/12/2011,29.09,-0.013995791
07/12/2011,29.5,-0.003384098
06/12/2011,29.6,0.013263245
05/12/2011,29.21,0.007560173
02/12/2011,28.99,-0.031910379
01/12/2011,29.93,-0.005996021
30/11/2011,30.11,0.028294242
29/11/2011,29.27,0.014453108
28/11/2011,28.85,0.005561363
25/11/2011,28.69,0.015101253
23/11/2011,28.26,-0.019622213
22/11/2011,28.82,-0.000346921
21/11/2011,28.83,-0.014804884
18/11/2011,29.26,-0.000683294
17/11/2011,29.28,-0.010193768
16/11/2011,29.58,-0.011762865
15/11/2011,29.93,0.016507028
14/11/2011,29.44,-0.005082173
11/11/2011,29.59,0.00814392
10/11/2011,29.35,0.012341603
09/11/2011,28.99,-0.032578382
08/11/2011,29.95,0.005020931
07/11/2011,29.8,0.009779205
04/11/2011,29.51,-0.0060811
03/11/2011,29.69,0.01561471
02/11/2011,29.23,0.014125989
01/11/2011,28.82,-0.022303206
31/10/2011,29.47,-0.016156528
28/10/2011,29.95,0.001002171
27/10/2011,29.92,0.030197375
26/10/2011,29.03,0.006566466
25/10/2011,28.84,-0.013774322
24/10/2011,29.24,-0.008852628
21/10/2011,29.5,0.030983546
20/10/2011,28.6,0.006665522
19/10/2011,28.41,-0.020554634
18/10/2011,29,0.018444929
17/10/2011,28.47,-0.013605652
14/10/2011,28.86,0.002081166
13/10/2011,28.8,0.000347283
12/10/2011,28.79,0.004176825
11/10/2011,28.67,0.004194344
10/10/2011,28.55,0.013399354
07/10/2011,28.17,0.001776515
06/10/2011,28.12,0.025938054
05/10/2011,27.4,0.006958461
04/10/2011,27.21,0.025308385
03/10/2011,26.53,-0.018301164
30/09/2011,27.02,-0.006639641
29/09/2011,27.2,0.020052659
28/09/2011,26.66,-0.038629044
27/09/2011,27.71,0.011980539
26/09/2011,27.38,0.018430304
23/09/2011,26.88,0.004848042
22/09/2011,26.75,-0.016314785
21/09/2011,27.19,-0.023265317
20/09/2011,27.83,0.003599716
19/09/2011,27.73,-0.009689651
16/09/2011,28,0.010050336
15/09/2011,27.72,0.001082837
14/09/2011,27.69,0.022645234
13/09/2011,27.07,0.006299817
12/09/2011,26.9,0.004844429
09/09/2011,26.77,-0.028720678
08/09/2011,27.55,0.007651704
07/09/2011,27.34,0.021068974
06/09/2011,26.77,-0.012989606
02/09/2011,27.12,-0.00917606
01/09/2011,27.37,-0.008730503
31/08/2011,27.61,0.004355724
30/08/2011,27.49,-0.001454017
29/08/2011,27.53,0.027994462
26/08/2011,26.77,0.015434148
25/08/2011,26.36,-0.075948895
24/08/2011,28.44,0.003875291
23/08/2011,28.33,0.012431345
22/08/2011,27.98,0.010057556
19/08/2011,27.7,-0.012199649
18/08/2011,28.04,-0.019424944
17/08/2011,28.59,0.007372335
16/08/2011,28.38,0.007072165
15/08/2011,28.18,0.017902376
12/08/2011,27.68,0.016023649
11/08/2011,27.24,0.019274133
10/08/2011,26.72,-0.021474354
09/08/2011,27.3,0.019978467
08/08/2011,26.76,-0.042435043
05/08/2011,27.92,0.023922852
04/08/2011,27.26,-0.048685348
03/08/2011,28.62,0.011597389
02/08/2011,28.29,-0.012994037
01/08/2011,28.66,-0.010758389
29/07/2011,28.97,-0.008250305
28/07/2011,29.21,-0.0030764
27/07/2011,29.3,-0.021607863
26/07/2011,29.94,-0.008315365
25/07/2011,30.19,-0.003306881
22/07/2011,30.29,-0.002637654
21/07/2011,30.37,0.016265919
20/07/2011,29.88,-0.008663833
19/07/2011,30.14,0.022141126
18/07/2011,29.48,-0.009117065
15/07/2011,29.75,0.005392666
14/07/2011,29.59,0.00406367
13/07/2011,29.47,-0.000678426
12/07/2011,29.49,0.006122468
11/07/2011,29.31,-0.020598398
08/07/2011,29.92,0.002342313
07/07/2011,29.85,-0.014632785
06/07/2011,30.29,0.007622241
05/07/2011,30.06,-0.000332613
01/07/2011,30.07,0.008684089
30/06/2011,29.81,0.002687271
29/06/2011,29.73,0.008105414
28/06/2011,29.49,0.006805062
27/06/2011,29.29,0.00547759
24/06/2011,29.13,-0.000686342
23/06/2011,29.15,-0.009219802
22/06/2011,29.42,-0.002715548
21/06/2011,29.5,0.012621692
20/06/2011,29.13,0.005853003
17/06/2011,28.96,0.002073972
16/06/2011,28.9,0.014639509
15/06/2011,28.48,-0.015331311
14/06/2011,28.92,0.012876461
13/06/2011,28.55,0.005267791
10/06/2011,28.4,-0.014333404
09/06/2011,28.81,-0.001387444
08/06/2011,28.85,0.015720848
07/06/2011,28.4,-0.00140746
06/06/2011,28.44,0.003169575
03/06/2011,28.35,-0.018522284
02/06/2011,28.88,-0.014096847
01/06/2011,29.29,-0.001364722
31/05/2011,29.33,0.010281105
27/05/2011,29.03,0.002759574
26/05/2011,28.95,0.012513198
25/05/2011,28.59,-0.04880682
24/05/2011,30.02,-0.000998835
23/05/2011,30.05,-0.000997838
20/05/2011,30.08,-0.005966209
19/05/2011,30.26,0.005633818
18/05/2011,30.09,0.009013581
17/05/2011,29.82,0.007742843
16/05/2011,29.59,-0.008413309
13/05/2011,29.84,0.001341382
12/05/2011,29.8,0.027212564
11/05/2011,29,-0.007557576
10/05/2011,29.22,0.005146692
09/05/2011,29.07,0.002755772
06/05/2011,28.99,0.00449439
05/05/2011,28.86,-0.009655247
04/05/2011,29.14,-0.00854268
03/05/2011,29.39,0
02/05/2011,29.39,-0.000680272
29/04/2011,29.41,0.005455179
28/04/2011,29.25,0.008238976
27/04/2011,29.01,0.008655065
26/04/2011,28.76,0.015064219
25/04/2011,28.33,-0.004226847
21/04/2011,28.45,-0.000351432
20/04/2011,28.46,0.005284494
19/04/2011,28.31,0.000706714
18/04/2011,28.29,-0.010198787
15/04/2011,28.58,0.007022501
14/04/2011,28.38,-0.000704473
13/04/2011,28.4,0.027848997
12/04/2011,27.62,0.000724375
11/04/2011,27.6,-0.004699087
08/04/2011,27.73,-0.003958976
07/04/2011,27.84,-0.003943364
06/04/2011,27.95,-0.00214439
05/04/2011,28.01,-0.002139801
04/04/2011,28.07,-0.005683852
01/04/2011,28.23,0.013911407
31/03/2011,27.84,-0.003943364
30/03/2011,27.95,-0.005352377
29/03/2011,28.1,0.00893661
28/03/2011,27.85,-0.007155666
25/03/2011,28.05,0.017623186
24/03/2011,27.56,0.005092772
23/03/2011,27.42,-0.005092772
22/03/2011,27.56,-0.013335934
21/03/2011,27.93,0.010075652
18/03/2011,27.65,0.021938723
17/03/2011,27.05,0.004817501
16/03/2011,26.92,-0.011082492
15/03/2011,27.22,-0.012050538
14/03/2011,27.55,-0.006872879
11/03/2011,27.74,0.00614719
10/03/2011,27.57,-0.007228076
09/03/2011,27.77,0.007953766
08/03/2011,27.55,0.015362409
07/03/2011,27.13,-0.010632547
04/03/2011,27.42,-0.006905352
03/03/2011,27.61,0.014593473
02/03/2011,27.21,0.005158449
01/03/2011,27.07,-0.01211691
28/02/2011,27.4,0.009165967
25/02/2011,27.15,0.012229169
24/02/2011,26.82,0.002613405
23/02/2011,26.75,-0.021816358
22/02/2011,27.34,0.015481327
18/02/2011,26.92,0.014970339
17/02/2011,26.52,0.013667639
16/02/2011,26.16,0.011534153
15/02/2011,25.86,-0.691599193
14/02/2011,51.64,0.006605814
11/02/2011,51.3,0.008417393
10/02/2011,50.87,-0.00216004
09/02/2011,50.98,0.001177625
08/02/2011,50.92,0.008084437
07/02/2011,50.51,-0.00178024
04/02/2011,50.6,0.008135773
