Date,Close,K
27/02/2012,52.9,0.002839567
24/02/2012,52.75,-0.006613156
23/02/2012,53.1,0.010792493
22/02/2012,52.53,0.010910243
21/02/2012,51.96,-0.010910243
17/02/2012,52.53,-0.000570939
16/02/2012,52.56,-0.005880696
15/02/2012,52.87,0.049830993
14/02/2012,50.3,0.005582152
13/02/2012,50.02,0.004207158
10/02/2012,49.81,-0.007998443
09/02/2012,50.21,-0.00258578
08/02/2012,50.34,-0.009489988
07/02/2012,50.82,0.002758622
06/02/2012,50.68,-0.003152091
03/02/2012,50.84,0.004929518
02/02/2012,50.59,0.025627028
01/02/2012,49.31,-0.004249728
31/01/2012,49.52,0.001010203
30/01/2012,49.47,-0.005241947
27/01/2012,49.73,-0.005214613
26/01/2012,49.99,-0.018236382
25/01/2012,50.91,0.008086032
24/01/2012,50.5,-0.009852296
23/01/2012,51,-0.001371608
20/01/2012,51.07,-0.00234696
19/01/2012,51.19,0.000586224
18/01/2012,51.16,0.005291536
17/01/2012,50.89,0.001573255
13/01/2012,50.81,-0.012322894
12/01/2012,51.44,-0.002330098
11/01/2012,51.56,0.003108006
10/01/2012,51.4,0.013515043
09/01/2012,50.71,0.003951793
06/01/2012,50.51,0.000792236
05/01/2012,50.47,0.001189532
04/01/2012,50.41,-0.000991375
03/01/2012,50.46,-0.002177572
30/12/2011,50.57,-0.005718245
29/12/2011,50.86,0.003545405
28/12/2011,50.68,-0.001380262
27/12/2011,50.75,0.008111628
23/12/2011,50.34,0.008578606
22/12/2011,49.91,-0.001801622
21/12/2011,50,0.01349059
20/12/2011,49.33,0.012237558
19/12/2011,48.73,-0.000820513
16/12/2011,48.77,0.000205065
15/12/2011,48.76,0.001436634
14/12/2011,48.69,-0.000615953
13/12/2011,48.72,-0.007973057
12/12/2011,49.11,-0.014153087
09/12/2011,49.81,0.010088867
08/12/2011,49.31,-0.010490312
07/12/2011,49.83,0.000803052
06/12/2011,49.79,-0.003208344
05/12/2011,49.95,0.016756221
02/12/2011,49.12,0.002854232
01/12/2011,48.98,-0.003668233
30/11/2011,49.16,0.016820909
29/11/2011,48.34,-0.005775594
28/11/2011,48.62,-0.002670229
25/11/2011,48.75,0.01030937
23/11/2011,48.25,-0.012153821
22/11/2011,48.84,-0.006123718
21/11/2011,49.14,-0.004669585
18/11/2011,49.37,-0.000202532
17/11/2011,49.38,0.004261802
16/11/2011,49.17,-0.012731303
15/11/2011,49.8,0.003016594
14/11/2011,49.65,-0.001408876
11/11/2011,49.72,0.006861783
10/11/2011,49.38,0.006093864
09/11/2011,49.08,-0.016368962
08/11/2011,49.89,-0.010963929
07/11/2011,50.44,0.010563128
04/11/2011,49.91,0
03/11/2011,49.91,-0.07950313
02/11/2011,54.04,0.008921992
01/11/2011,53.56,-0.012062872
31/10/2011,54.21,-0.010459771
28/10/2011,54.78,-0.005279939
27/10/2011,55.07,0.009670726
26/10/2011,54.54,0.012360641
25/10/2011,53.87,-0.016568862
24/10/2011,54.77,-0.003826884
21/10/2011,54.98,0.010789169
20/10/2011,54.39,-0.001653348
19/10/2011,54.48,-0.006221429
18/10/2011,54.82,0
17/10/2011,54.82,-0.000364764
14/10/2011,54.84,0.016176823
13/10/2011,53.96,-0.008856146
12/10/2011,54.44,0.004049334
11/10/2011,54.22,0.0031403
10/10/2011,54.05,0.008173926
07/10/2011,53.61,0.003176089
06/10/2011,53.44,0.009211457
05/10/2011,52.95,-0.004710324
04/10/2011,53.2,0.006033201
03/10/2011,52.88,-0.005845213
30/09/2011,53.19,-0.012331995
29/09/2011,53.85,0.002975639
28/09/2011,53.69,-0.009085072
27/09/2011,54.18,0.014313842
26/09/2011,53.41,0.015281875
23/09/2011,52.6,0.003618707
22/09/2011,52.41,-0.003998863
21/09/2011,52.62,-0.015463254
20/09/2011,53.44,-0.000748223
19/09/2011,53.48,-0.009491092
16/09/2011,53.99,0.005385843
15/09/2011,53.7,0.019556847
14/09/2011,52.66,0.003995819
13/09/2011,52.45,-0.003615952
12/09/2011,52.64,-0.0085123
09/09/2011,53.09,-0.024375567
08/09/2011,54.4,-0.000183807
07/09/2011,54.41,0.016679408
06/09/2011,53.51,-0.001867066
02/09/2011,53.61,-0.006692719
01/09/2011,53.97,-0.006464147
31/08/2011,54.32,0.00869008
30/08/2011,53.85,-0.005740225
29/08/2011,54.16,0.018260243
26/08/2011,53.18,0.007360607
25/08/2011,52.79,-0.01223775
24/08/2011,53.44,0.004501133
23/08/2011,53.2,0.007547206
22/08/2011,52.8,0.010279931
19/08/2011,52.26,-0.010279931
18/08/2011,52.8,-0.012609558
17/08/2011,53.47,-0.001681772
16/08/2011,53.56,-0.000746547
15/08/2011,53.6,0.013334783
12/08/2011,52.89,0.014473686
11/08/2011,52.13,0.012935792
10/08/2011,51.46,-0.021150567
09/08/2011,52.56,0.017078032
08/08/2011,51.67,-0.032184059
05/08/2011,53.36,0.017963989
04/08/2011,52.41,-0.036347201
03/08/2011,54.35,-0.001654564
02/08/2011,54.44,-0.015854546
01/08/2011,55.31,-0.008461658
29/07/2011,55.78,-0.000716846
28/07/2011,55.82,0.004848712
27/07/2011,55.55,-0.004311126
26/07/2011,55.79,-0.001790831
25/07/2011,55.89,-0.000357782
22/07/2011,55.91,-0.000178843
21/07/2011,55.92,0.010064787
20/07/2011,55.36,-0.000902772
19/07/2011,55.41,0.007972501
18/07/2011,54.97,-0.004899747
15/07/2011,55.24,-0.000904732
14/07/2011,55.29,-0.002168023
13/07/2011,55.41,-0.002883404
12/07/2011,55.57,0.008312299
11/07/2011,55.11,-0.001088139
08/07/2011,55.17,-0.010099274
07/07/2011,55.73,0.004135581
06/07/2011,55.5,0.006507615
05/07/2011,55.14,-0.004704188
01/07/2011,55.4,0.001445087
30/06/2011,55.32,0.002352729
29/06/2011,55.19,0.00036245
28/06/2011,55.17,0.006364236
27/06/2011,54.82,0.00109509
24/06/2011,54.76,0.011756197
23/06/2011,54.12,-0.01011131
22/06/2011,54.67,-0.005836238
21/06/2011,54.99,-0.00471699
20/06/2011,55.25,0.005990759
17/06/2011,54.92,0.003282877
16/06/2011,54.74,0.00770222
15/06/2011,54.32,-0.011713165
14/06/2011,54.96,-0.008154435
13/06/2011,55.41,0.0094289
10/06/2011,54.89,-0.016263459
09/06/2011,55.79,0.005572046
08/06/2011,55.48,0.002707339
07/06/2011,55.33,0.006709609
06/06/2011,54.96,0.000728067
03/06/2011,54.92,-0.010325243
02/06/2011,55.49,-0.017152466
01/06/2011,56.45,-0.009520523
31/05/2011,56.99,0.009697687
27/05/2011,56.44,-0.006006024
26/05/2011,56.78,0.010089474
25/05/2011,56.21,-0.004968954
24/05/2011,56.49,-0.005296623
23/05/2011,56.79,-0.006144143
20/05/2011,57.14,-0.002970732
19/05/2011,57.31,0.002620776
18/05/2011,57.16,-0.00209717
17/05/2011,57.28,0.000349223
16/05/2011,57.26,-0.005225582
13/05/2011,57.56,0.001042934
12/05/2011,57.5,0.014716453
11/05/2011,56.66,-0.005807319
10/05/2011,56.99,0.010229366
09/05/2011,56.41,-0.006009209
06/05/2011,56.75,0.003530454
05/05/2011,56.55,-0.00370665
04/05/2011,56.76,-0.011909072
03/05/2011,57.44,0.002963998
02/05/2011,57.27,0
29/04/2011,57.27,0.007536623
28/04/2011,56.84,0.008835541
27/04/2011,56.34,0.010347996
26/04/2011,55.76,0.007560792
25/04/2011,55.34,-0.000722543
21/04/2011,55.38,-0.003784811
20/04/2011,55.59,0.007040376
19/04/2011,55.2,0.000543626
18/04/2011,55.17,-0.003618604
15/04/2011,55.37,0.00216959
14/04/2011,55.25,0.006537158
13/04/2011,54.89,0.004381968
12/04/2011,54.65,-0.001097293
11/04/2011,54.71,0.01417419
08/04/2011,53.94,-0.00166713
07/04/2011,54.03,-0.004247859
06/04/2011,54.26,0.005729616
05/04/2011,53.95,-0.005176569
04/04/2011,54.23,0.004250214
01/04/2011,54,0.000370439
31/03/2011,53.98,0.00148313
30/03/2011,53.9,0.000371126
29/03/2011,53.88,0.002601748
28/03/2011,53.74,0.006534141
25/03/2011,53.39,-0.003739021
24/03/2011,53.59,-0.001305361
23/03/2011,53.66,-0.005760492
22/03/2011,53.97,-0.002405849
21/03/2011,54.1,-0.001293064
18/03/2011,54.17,0.013380612
17/03/2011,53.45,-0.003734832
16/03/2011,53.65,-0.007798034
