Date,Close,BBT
20/02/2013,30,-0.012257897
19/02/2013,30.37,0.003298156
15/02/2013,30.27,-0.002968829
14/02/2013,30.36,-0.005256254
13/02/2013,30.52,-0.002617803
12/02/2013,30.6,-0.000979912
11/02/2013,30.63,-0.000652742
08/02/2013,30.65,-0.000652316
07/02/2013,30.67,-0.006175869
06/02/2013,30.86,-0.005171311
05/02/2013,31.02,0.016249951
04/02/2013,30.52,-0.019468493
01/02/2013,31.12,0.027363271
31/01/2013,30.28,-0.009204536
30/01/2013,30.56,-0.012034622
29/01/2013,30.93,-0.002260618
28/01/2013,31,0.004202366
25/01/2013,30.87,-0.001294918
24/01/2013,30.91,0.004864612
23/01/2013,30.76,-0.002921606
22/01/2013,30.85,-0.006139945
18/01/2013,31.04,0.004844188
17/01/2013,30.89,0.018954816
16/01/2013,30.31,-0.00032987
15/01/2013,30.32,0.001980852
14/01/2013,30.26,-0.001650983
11/01/2013,30.31,-0.007559609
10/01/2013,30.54,0.016507473
09/01/2013,30.04,0.007015228
08/01/2013,29.83,-0.007015228
07/01/2013,30.04,-0.005312097
04/01/2013,30.2,0.009314771
03/01/2013,29.92,-0.005000844
02/01/2013,30.07,0.032446239
31/12/2012,29.11,0.008971765
28/12/2012,28.85,-0.007252665
27/12/2012,29.06,-0.005148458
26/12/2012,29.21,-0.001026518
24/12/2012,29.24,-0.007156275
21/12/2012,29.45,-0.00643089
20/12/2012,29.64,0.004395611
19/12/2012,29.51,-0.004395611
18/12/2012,29.64,0.016669888
17/12/2012,29.15,0.029946527
14/12/2012,28.29,-0.010198787
13/12/2012,28.58,-0.00905614
12/12/2012,28.84,0.01326372
11/12/2012,28.46,0.003519891
10/12/2012,28.36,-0.002113421
07/12/2012,28.42,0.00670788
06/12/2012,28.23,0.013193274
05/12/2012,27.86,0.006120631
04/12/2012,27.69,-0.00791371
03/12/2012,27.91,-0.009272534
30/11/2012,28.17,-0.001418943
29/11/2012,28.21,-0.000354421
28/11/2012,28.22,0.002838895
27/11/2012,28.14,-0.019705071
26/11/2012,28.7,-0.003825426
23/11/2012,28.81,0.015037877
21/11/2012,28.38,-0.002463489
20/11/2012,28.45,0.002463489
19/11/2012,28.38,0.01205261
16/11/2012,28.04,0.017629527
15/11/2012,27.55,0.01683788
14/11/2012,27.09,-0.013201512
13/11/2012,27.45,-0.009066245
12/11/2012,27.7,0.005429878
09/11/2012,27.55,-0.003623192
08/11/2012,27.65,-0.004690609
07/11/2012,27.78,-0.051563236
06/11/2012,29.25,0.010654852
05/11/2012,28.94,-0.016449994
02/11/2012,29.42,0.00374596
01/11/2012,29.31,0.012358551
31/10/2012,28.95,-0.002070394
26/10/2012,29.01,0.002070394
25/10/2012,28.95,0.004847655
24/10/2012,28.81,0
23/10/2012,28.81,-0.019251196
22/10/2012,29.37,-0.013863282
19/10/2012,29.78,-0.006693465
18/10/2012,29.98,-0.073607513
17/10/2012,32.27,0.0143573
16/10/2012,31.81,-0.018069027
15/10/2012,32.39,0.001544879
12/10/2012,32.34,-0.026245022
11/10/2012,33.2,0.000602591
10/10/2012,33.18,-0.001204819
09/10/2012,33.22,-0.007796141
08/10/2012,33.48,-0.004767589
05/10/2012,33.64,0.001785183
