Date,Close,STJ
06/08/2013,52.95,0.002836881
05/08/2013,52.8,-0.003025721
02/08/2013,52.96,-0.000755002
01/08/2013,53,0.01157618
31/07/2013,52.39,0.007472015
30/07/2013,52,-0.002880463
29/07/2013,52.15,-0.00478241
26/07/2013,52.4,0.006125593
25/07/2013,52.08,0.00288434
24/07/2013,51.93,-0.009582289
23/07/2013,52.43,0.008235228
22/07/2013,52,0.005979379
19/07/2013,51.69,0.003488376
18/07/2013,51.51,0.009950331
17/07/2013,51,0.051086917
16/07/2013,48.46,-0.008834161
15/07/2013,48.89,0.009866473
12/07/2013,48.41,0.009339074
11/07/2013,47.96,0.018731475
10/07/2013,47.07,-0.006353262
09/07/2013,47.37,0.011251578
08/07/2013,46.84,0.009869207
05/07/2013,46.38,0.016960615
03/07/2013,45.6,-0.005685561
02/07/2013,45.86,-0.001307475
01/07/2013,45.92,0.006335357
28/06/2013,45.63,-0.000438212
27/06/2013,45.65,0.021701472
26/06/2013,44.67,-0.013784122
25/06/2013,45.29,0.009985659
24/06/2013,44.84,0.003798463
21/06/2013,44.67,0.013522857
20/06/2013,44.07,-0.027969157
19/06/2013,45.32,-0.012062872
18/06/2013,45.87,0.004588668
17/06/2013,45.66,0.013227706
14/06/2013,45.06,0
13/06/2013,45.06,0.0086928
12/06/2013,44.67,0.018983621
11/06/2013,43.83,-0.005233827
10/06/2013,44.06,0.001590006
07/06/2013,43.99,0.016965102
06/06/2013,43.25,0.017728479
05/06/2013,42.49,-0.000705799
04/06/2013,42.52,-0.01933215
03/06/2013,43.35,0.002772005
31/05/2013,43.23,-0.025352506
30/05/2013,44.34,0.002710029
29/05/2013,44.22,-0.005862475
28/05/2013,44.48,-0.01495063
24/05/2013,45.15,-0.00044287
23/05/2013,45.17,-0.011665148
22/05/2013,45.7,-0.023357463
21/05/2013,46.78,0.001283423
20/05/2013,46.72,-0.005975263
17/05/2013,47,0.00383714
16/05/2013,46.82,0.005353905
15/05/2013,46.57,0.011228794
14/05/2013,46.05,0.018188296
13/05/2013,45.22,0.023267269
10/05/2013,44.18,0.024749201
09/05/2013,43.1,0.015903048
08/05/2013,42.42,0.016639319
07/05/2013,41.72,0.001439194
06/05/2013,41.66,0.020614286
03/05/2013,40.81,0.003190578
02/05/2013,40.68,-0.000491521
01/05/2013,40.7,-0.012695483
30/04/2013,41.22,-0.011097822
29/04/2013,41.68,0.016693263
26/04/2013,40.99,-0.010677122
25/04/2013,41.43,0.010189317
24/04/2013,41.01,0.000975848
23/04/2013,40.97,0.008333382
22/04/2013,40.63,-0.006623353
19/04/2013,40.9,0.005885255
18/04/2013,40.66,-0.027890737
17/04/2013,41.81,-0.007861863
16/04/2013,42.14,0.021103901
15/04/2013,41.26,-0.029139869
12/04/2013,42.48,0.006376217
11/04/2013,42.21,0.006178727
10/04/2013,41.95,0.017797488
09/04/2013,41.21,-0.01755908
08/04/2013,41.94,0
05/04/2013,41.94,-0.009964495
04/04/2013,42.36,0.031170109
03/04/2013,41.06,0.003904349
02/04/2013,40.9,0.023501391
01/04/2013,39.95,-0.012190722
28/03/2013,40.44,0.003716095
27/03/2013,40.29,-0.007911042
26/03/2013,40.61,-0.026007056
25/03/2013,41.68,-0.016183123
22/03/2013,42.36,0.013068975
21/03/2013,41.81,-0.003581238
20/03/2013,41.96,0.005256882
19/03/2013,41.74,-0.002870815
18/03/2013,41.86,-0.009036922
15/03/2013,42.24,-0.015504187
14/03/2013,42.9,-0.002095705
13/03/2013,42.99,-0.003019396
12/03/2013,43.12,0.009788006
11/03/2013,42.7,0.010594566
08/03/2013,42.25,0.013103225
07/03/2013,41.7,0.00119976
06/03/2013,41.65,-0.005507017
05/03/2013,41.88,0.018556985
04/03/2013,41.11,-0.00702948
01/03/2013,41.4,0.009708814
28/02/2013,41,0.002686532
27/02/2013,40.89,0.000244588
26/02/2013,40.88,0.003676024
25/02/2013,40.73,-0.01098778
22/02/2013,41.18,0.01197034
21/02/2013,40.69,-0.003924459
20/02/2013,40.85,-0.019394547
19/02/2013,41.65,0.002885311
15/02/2013,41.53,-0.035016589
14/02/2013,43.01,0.003960401
