Date,Close,EXPE
26/02/2013,62.82,0.01088359
25/02/2013,62.14,-0.037120269
22/02/2013,64.49,0.011384139
21/02/2013,63.76,0.010246799
20/02/2013,63.11,-0.020544908
19/02/2013,64.42,-0.002480621
15/02/2013,64.58,-0.009094475
14/02/2013,65.17,-0.004592782
13/02/2013,65.47,-0.001221188
12/02/2013,65.55,0.011507607
11/02/2013,64.8,-0.013031997
08/02/2013,65.65,0.003815342
07/02/2013,65.4,-0.004576667
06/02/2013,65.7,-0.027028672
05/02/2013,67.5,0.035281814
04/02/2013,65.16,-0.031868588
01/02/2013,67.27,0.030488326
31/01/2013,65.25,-0.006263866
30/01/2013,65.66,-0.013764114
29/01/2013,66.57,-0.001351047
28/01/2013,66.66,0.002553512
25/01/2013,66.49,0.047903206
24/01/2013,63.38,0.012223345
23/01/2013,62.61,0.009951928
22/01/2013,61.99,-0.004024798
18/01/2013,62.24,-0.009912151
17/01/2013,62.86,0.002708086
16/01/2013,62.69,-0.013152872
15/01/2013,63.52,0.010126669
14/01/2013,62.88,0.004303138
11/01/2013,62.61,-0.002552243
10/01/2013,62.77,-0.014550312
09/01/2013,63.69,-0.016506136
08/01/2013,64.75,0.0052648
07/01/2013,64.41,-0.000775976
04/01/2013,64.46,0.02561221
03/01/2013,62.83,-0.006662461
02/01/2013,63.25,0.029034039
31/12/2012,61.44,0.03444049
28/12/2012,59.36,-0.015711505
27/12/2012,60.3,0.040096719
26/12/2012,57.93,-0.02825239
24/12/2012,59.59,0
21/12/2012,59.59,-0.02190959
20/12/2012,60.91,0.002136577
19/12/2012,60.78,-0.010800301
18/12/2012,61.44,0.012776587
17/12/2012,60.66,0.027916564
14/12/2012,58.99,-0.005915677
13/12/2012,59.34,-0.020516106
12/12/2012,60.57,0.009455159
11/12/2012,60,0.038914093
10/12/2012,57.71,-0.036912091
07/12/2012,59.88,0.003345604
06/12/2012,59.68,-0.006846482
05/12/2012,60.09,0.002833099
04/12/2012,59.92,-0.014250448
03/12/2012,60.78,-0.01761298
30/11/2012,61.86,0.004374248
29/11/2012,61.59,-0.002270517
28/11/2012,61.73,0.014686948
27/11/2012,60.83,-0.001806685
26/11/2012,60.94,0.005759911
23/11/2012,60.59,0.009452023
21/11/2012,60.02,0.012237182
20/11/2012,59.29,0.016838564
19/11/2012,58.3,0.001201408
16/11/2012,58.23,0.041194151
15/11/2012,55.88,0.0073642
14/11/2012,55.47,-0.030536724
13/11/2012,57.19,-0.006969884
12/11/2012,57.59,-0.002601233
09/11/2012,57.74,-0.007763344
08/11/2012,58.19,-0.012127572
07/11/2012,58.9,-0.027793518
06/11/2012,60.56,0.011459064
05/11/2012,59.87,0.013452364
02/11/2012,59.07,-0.010273775
01/11/2012,59.68,0.008920365
31/10/2012,59.15,0.001522714
26/10/2012,59.06,0.141838258
25/10/2012,51.25,-0.019706975
24/10/2012,52.27,-0.026804172
23/10/2012,53.69,0.025083823
22/10/2012,52.36,0.004977992
19/10/2012,52.1,-0.040990886
18/10/2012,54.28,-0.000920726
17/10/2012,54.33,-0.00605562
16/10/2012,54.66,0.003114982
15/10/2012,54.49,0.004414206
12/10/2012,54.25,0
11/10/2012,54.25,-0.018808187
10/10/2012,55.28,-0.003611416
09/10/2012,55.48,-0.02351373
08/10/2012,56.8,-0.013986242
05/10/2012,57.6,-0.015846008
04/10/2012,58.52,0.002909217
03/10/2012,58.35,0.029214389
02/10/2012,56.67,-0.004753112
01/10/2012,56.94,-0.015682496
28/09/2012,57.84,-0.00654836
27/09/2012,58.22,0.009838692
26/09/2012,57.65,-0.008463648
25/09/2012,58.14,-0.007197975
24/09/2012,58.56,-0.013737179
21/09/2012,59.37,0.039160078
20/09/2012,57.09,0.01642421
19/09/2012,56.16,0.024332101
18/09/2012,54.81,-0.003278691
17/09/2012,54.99,-0.016055184
14/09/2012,55.88,0.005563047
13/09/2012,55.57,0.024593643
12/09/2012,54.22,0.007962268
11/09/2012,53.79,0.019523804
10/09/2012,52.75,-0.025455239
07/09/2012,54.11,0.013582868
06/09/2012,53.38,0.024271195
05/09/2012,52.1,0.002113556
04/09/2012,51.99,0.012191733
31/08/2012,51.36,-0.002333723
30/08/2012,51.48,-0.026453526
29/08/2012,52.86,-0.000378286
