Date,Close,PWR
11/06/2012,22.18,-0.016100527
08/06/2012,22.54,0.012051027
07/06/2012,22.27,0.015384919
06/06/2012,21.93,0.029618084
05/06/2012,21.29,-0.00375059
04/06/2012,21.37,-0.010705245
01/06/2012,21.6,-0.044371244
31/05/2012,22.58,0.019678631
30/05/2012,22.14,-0.017461827
29/05/2012,22.53,-0.00751717
25/05/2012,22.7,-0.009208572
24/05/2012,22.91,0.01362359
23/05/2012,22.6,0.016507178
22/05/2012,22.23,0.004508574
21/05/2012,22.13,0.021466912
18/05/2012,21.66,-0.016029654
17/05/2012,22.01,-0.032628593
16/05/2012,22.74,0.006175582
15/05/2012,22.6,-0.013187004
14/05/2012,22.9,-0.009993566
11/05/2012,23.13,0.00389864
10/05/2012,23.04,-0.003033588
09/05/2012,23.11,-0.011187724
08/05/2012,23.37,-0.005547273
07/05/2012,23.5,0.014573768
04/05/2012,23.16,-0.014573768
03/05/2012,23.5,0.037723962
02/05/2012,22.63,0.014241451
01/05/2012,22.31,0.008552832
30/04/2012,22.12,0.002716163
27/04/2012,22.06,0.020147202
26/04/2012,21.62,0.008827003
25/04/2012,21.43,0.016941582
24/04/2012,21.07,0.011936165
23/04/2012,20.82,-0.019501213
20/04/2012,21.23,0.02142429
19/04/2012,20.78,-0.016702846
18/04/2012,21.13,-0.010357908
17/04/2012,21.35,0.021781164
16/04/2012,20.89,0.007206373
13/04/2012,20.74,-0.0115054
12/04/2012,20.98,0.011987677
11/04/2012,20.73,0.018992536
10/04/2012,20.34,-0.026681185
09/04/2012,20.89,-0.035734879
05/04/2012,21.65,0.004165708
04/04/2012,21.56,0.020619287
03/04/2012,21.12,0.004270469
02/04/2012,21.03,0.006200831
30/03/2012,20.9,-0.001912046
29/03/2012,20.94,-0.005714301
28/03/2012,21.06,-0.014144507
27/03/2012,21.36,-0.01302344
26/03/2012,21.64,0.010685351
23/03/2012,21.41,0.007501207
22/03/2012,21.25,-0.002819551
21/03/2012,21.31,-0.003747077
20/03/2012,21.39,-0.018068594
19/03/2012,21.78,-0.007319337
16/03/2012,21.94,0.002281543
15/03/2012,21.89,0.011024457
14/03/2012,21.65,-0.005986663
13/03/2012,21.78,0.008298803
12/03/2012,21.6,-0.002773927
09/03/2012,21.66,0.011142177
08/03/2012,21.42,0.018375075
07/03/2012,21.03,0.014850572
06/03/2012,20.72,-0.025257478
05/03/2012,21.25,0.012787292
02/03/2012,20.98,-0.009487737
01/03/2012,21.18,0.013308181
29/02/2012,20.9,-0.018957914
28/02/2012,21.3,-0.001876173
27/02/2012,21.34,0.012733018
24/02/2012,21.07,-0.009917437
23/02/2012,21.28,0.000470035
22/02/2012,21.27,-0.02415352
21/02/2012,21.79,0.002297267
17/02/2012,21.74,-0.006419096
16/02/2012,21.88,-0.001826485
15/02/2012,21.92,-0.012692827
14/02/2012,22.2,0.011325149
13/02/2012,21.95,0.003194162
10/02/2012,21.88,-0.026162972
09/02/2012,22.46,0.01164366
08/02/2012,22.2,-0.010752792
07/02/2012,22.44,0
06/02/2012,22.44,0.006258402
03/02/2012,22.3,0.004044041
02/02/2012,22.21,0.005870416
01/02/2012,22.08,0.021978907
31/01/2012,21.6,-0.009216655
30/01/2012,21.8,0.005981154
27/01/2012,21.67,0.009272204
26/01/2012,21.47,-0.000465658
25/01/2012,21.48,0.027851694
24/01/2012,20.89,0.001437126
23/01/2012,20.86,-0.025557472
20/01/2012,21.4,-0.013460403
19/01/2012,21.69,0.006475508
18/01/2012,21.55,-0.005091425
17/01/2012,21.66,-0.017391743
13/01/2012,22.04,-0.004526943
12/01/2012,22.14,0.004073325
11/01/2012,22.05,0.000907441
10/01/2012,22.03,0.01924899
09/01/2012,21.61,-0.005077325
