Date,Close,NEE
05/06/2012,65.15,0.006467531
04/06/2012,64.73,0.002165173
01/06/2012,64.59,-0.011544806
31/05/2012,65.34,0.002605166
30/05/2012,65.17,-0.007186026
29/05/2012,65.64,0.004733917
25/05/2012,65.33,0.004602647
24/05/2012,65.03,0.001384935
23/05/2012,64.94,-0.010264357
22/05/2012,65.61,0.006268654
21/05/2012,65.2,0.003072199
18/05/2012,65,-0.000768935
17/05/2012,65.05,-0.007809549
16/05/2012,65.56,-0.001219512
15/05/2012,65.64,-0.000913659
14/05/2012,65.7,0.008099685
11/05/2012,65.17,0.001228313
10/05/2012,65.09,0.014546837
09/05/2012,64.15,-0.00077912
08/05/2012,64.2,0.000935016
07/05/2012,64.14,0.008926533
04/05/2012,63.57,-0.000471809
03/05/2012,63.6,-0.002982968
02/05/2012,63.79,0
01/05/2012,63.79,-0.008740496
30/04/2012,64.35,-0.002948253
27/04/2012,64.54,0.001705823
26/04/2012,64.43,0.000310463
25/04/2012,64.41,0.007949539
24/04/2012,63.9,0.00880232
23/04/2012,63.34,-0.001892745
20/04/2012,63.46,0.01172941
19/04/2012,62.72,-0.001274697
18/04/2012,62.8,-0.003497063
17/04/2012,63.02,0.00477176
16/04/2012,62.72,0.0102565
13/04/2012,62.08,-0.00706263
12/04/2012,62.52,0.00192123
11/04/2012,62.4,0.00240674
10/04/2012,62.25,-0.006085861
09/04/2012,62.63,-0.003983752
05/04/2012,62.88,0.007022052
04/04/2012,62.44,0.00771708
03/04/2012,61.96,0.002100332
02/04/2012,61.83,0.012204203
30/03/2012,61.08,0.007889587
29/03/2012,60.6,0.002478316
28/03/2012,60.45,-0.008401334
27/03/2012,60.96,0.000492247
26/03/2012,60.93,0.008736559
23/03/2012,60.4,0.001822852
22/03/2012,60.29,-0.000331675
21/03/2012,60.31,0.001825575
20/03/2012,60.2,0.002827915
19/03/2012,60.03,-0.002163242
16/03/2012,60.16,-0.001494893
15/03/2012,60.25,0.00315851
14/03/2012,60.06,-0.014053302
13/03/2012,60.91,0.002301119
12/03/2012,60.77,0.012585031
09/03/2012,60.01,0.004174674
08/03/2012,59.76,0.00016735
07/03/2012,59.75,0.003688804
06/03/2012,59.53,-0.005193947
05/03/2012,59.84,0.000668673
