Date,Close,QEP
30/09/2013,27.69,-0.010418632
27/09/2013,27.98,-0.017712117
26/09/2013,28.48,-0.000351062
25/09/2013,28.49,0.015564517
24/09/2013,28.05,0.008952611
23/09/2013,27.8,-0.006096487
20/09/2013,27.97,-0.020524429
19/09/2013,28.55,-0.016328311
18/09/2013,29.02,0.011088125
17/09/2013,28.7,0.013682024
16/09/2013,28.31,0.006734032
13/09/2013,28.12,-0.023199635
12/09/2013,28.78,0.015759388
11/09/2013,28.33,0.004244789
10/09/2013,28.21,-0.007768401
09/09/2013,28.43,0.006351468
06/09/2013,28.25,-0.000707714
05/09/2013,28.27,0.009953868
04/09/2013,27.99,0.000357334
03/09/2013,27.98,0.023870935
30/08/2013,27.32,-0.009471838
29/08/2013,27.58,-0.004341541
28/08/2013,27.7,0.002168414
27/08/2013,27.64,-0.012583305
26/08/2013,27.99,-0.007474674
23/08/2013,28.2,0.000354673
22/08/2013,28.19,0.026601137
21/08/2013,27.45,-0.018051032
20/08/2013,27.95,-0.008195307
19/08/2013,28.18,-0.017587509
16/08/2013,28.68,-0.010405921
15/08/2013,28.98,-0.004132237
14/08/2013,29.1,0.003097576
13/08/2013,29.01,-0.016410625
12/08/2013,29.49,-0.000677966
09/08/2013,29.51,-0.017800638
08/08/2013,30.04,0.006680052
07/08/2013,29.84,-0.024169361
06/08/2013,30.57,-0.013645436
05/08/2013,30.99,0.023837863
02/08/2013,30.26,0.001322752
01/08/2013,30.22,-0.008894804
31/07/2013,30.49,0.015868102
30/07/2013,30.01,-0.002994512
29/07/2013,30.1,-0.011889176
26/07/2013,30.46,-0.006870631
25/07/2013,30.67,0.01345827
24/07/2013,30.26,-0.007572053
23/07/2013,30.49,0.018537439
22/07/2013,29.93,0.00234153
19/07/2013,29.86,0.011113096
18/07/2013,29.53,0.032699523
17/07/2013,28.58,-0.008362418
16/07/2013,28.82,-0.012071193
15/07/2013,29.17,-0.015309025
12/07/2013,29.62,-0.007735031
11/07/2013,29.85,0.012812043
10/07/2013,29.47,0.006126636
09/07/2013,29.29,0.003077452
08/07/2013,29.2,-0.003418807
05/07/2013,29.3,0.024180798
03/07/2013,28.6,0.003151815
02/07/2013,28.51,0.012707548
01/07/2013,28.15,0.013231017
28/06/2013,27.78,-0.006100862
27/06/2013,27.95,-0.002501341
26/06/2013,28.02,-0.006757984
25/06/2013,28.21,0.00533145
24/06/2013,28.06,-0.006394338
21/06/2013,28.24,0.006750781
20/06/2013,28.05,-0.03227218
19/06/2013,28.97,-0.025222878
18/06/2013,29.71,0.003371547
17/06/2013,29.61,0.011549041
14/06/2013,29.27,-0.008843595
13/06/2013,29.53,0.017421448
12/06/2013,29.02,-0.015048164
11/06/2013,29.46,-0.018497248
10/06/2013,30.01,0.000333278
07/06/2013,30,0.011060947
06/06/2013,29.67,0.003714338
05/06/2013,29.56,0.006448351
04/06/2013,29.37,0.025518626
03/06/2013,28.63,0.009475417
31/05/2013,28.36,-0.014353476
30/05/2013,28.77,-0.006237026
29/05/2013,28.95,0.00797646
28/05/2013,28.72,0.001742464
24/05/2013,28.67,-0.007990315
23/05/2013,28.9,0.01288543
22/05/2013,28.53,-0.024923408
21/05/2013,29.25,-0.002731309
20/05/2013,29.33,0.004099767
17/05/2013,29.21,0.018659837
16/05/2013,28.67,-0.017289504
15/05/2013,29.17,-0.010232013
14/05/2013,29.47,0.004421024
13/05/2013,29.34,-0.018237588
10/05/2013,29.88,0.052209659
09/05/2013,28.36,0.020663364
08/05/2013,27.78,0.008676844
07/05/2013,27.54,-0.007235922
06/05/2013,27.74,-0.003239161
03/05/2013,27.83,0.035476384
02/05/2013,26.86,-0.003345106
01/05/2013,26.95,-0.063262197
30/04/2013,28.71,0.001045478
29/04/2013,28.68,0.032243714
26/04/2013,27.77,-0.016074645
25/04/2013,28.22,-0.006710249
24/04/2013,28.41,0.014179607
23/04/2013,28.01,-0.01100668
22/04/2013,28.32,-0.003172927
19/04/2013,28.41,-0.024684027
18/04/2013,29.12,0.00896867
17/04/2013,28.86,-0.020916243
16/04/2013,29.47,0.021609484
15/04/2013,28.84,-0.065751378
12/04/2013,30.8,-0.019611624
11/04/2013,31.41,0.001912046
10/04/2013,31.35,0.002555096
09/04/2013,31.27,0.012874333
08/04/2013,30.87,0.035276445
05/04/2013,29.8,0.009779205
04/04/2013,29.51,-0.008436021
03/04/2013,29.76,-0.047252885
02/04/2013,31.2,-0.004796172
01/04/2013,31.35,-0.015509094
28/03/2013,31.84,0.005985212
27/03/2013,31.65,-0.003154577
26/03/2013,31.75,0.01683381
25/03/2013,31.22,-0.007340068
22/03/2013,31.45,0.010548284
21/03/2013,31.12,-0.023500605
20/03/2013,31.86,0.009460809
19/03/2013,31.56,-0.020386467
18/03/2013,32.21,-0.008039623
15/03/2013,32.47,-0.004609011
14/03/2013,32.62,0.026403149
13/03/2013,31.77,0.011396135
12/03/2013,31.41,0.000955566
11/03/2013,31.38,0.004471422
08/03/2013,31.24,0.019719404
07/03/2013,30.63,0.026800612
06/03/2013,29.82,-0.006018072
05/03/2013,30,0.017485314
04/03/2013,29.48,-0.012137708
01/03/2013,29.84,-0.020564572
28/02/2013,30.46,-0.013694378
27/02/2013,30.88,0.026913341
26/02/2013,30.06,0.008686991
25/02/2013,29.8,-0.019605213
22/02/2013,30.39,0.032778854
21/02/2013,29.41,-0.01919574
