Date,Close,VTR
24/08/2012,64.15,0.006411782
23/08/2012,63.74,-0.008902831
22/08/2012,64.31,0.004051112
21/08/2012,64.05,0.001093494
20/08/2012,63.98,0
17/08/2012,63.98,-0.004833564
16/08/2012,64.29,0.00514621
15/08/2012,63.96,0.004387346
14/08/2012,63.68,0.000942655
13/08/2012,63.62,-0.002668552
10/08/2012,63.79,0.001568874
09/08/2012,63.69,-0.00454297
08/08/2012,63.98,-0.023174218
07/08/2012,65.48,-0.020257684
06/08/2012,66.82,-0.003436173
03/08/2012,67.05,-0.002532213
02/08/2012,67.22,0.006118052
01/08/2012,66.81,-0.006564249
31/07/2012,67.25,-0.001188884
30/07/2012,67.33,0.008052534
27/07/2012,66.79,0.016150076
26/07/2012,65.72,0.005339856
25/07/2012,65.37,0.001071401
24/07/2012,65.3,0.001839363
23/07/2012,65.18,-0.003216668
20/07/2012,65.39,-0.002138711
19/07/2012,65.53,-0.003351618
18/07/2012,65.75,-0.002430504
17/07/2012,65.91,0.018374426
16/07/2012,64.71,0.003560651
13/07/2012,64.48,0.015787745
12/07/2012,63.47,0.00157679
11/07/2012,63.37,0.006967566
10/07/2012,62.93,-0.015296364
09/07/2012,63.9,0.007382426
06/07/2012,63.43,0.003790875
05/07/2012,63.19,-0.010390522
03/07/2012,63.85,0.007861676
02/07/2012,63.35,0.00363723
29/06/2012,63.12,0.020325578
28/06/2012,61.85,0.014002183
27/06/2012,60.99,0.002791234
26/06/2012,60.82,0.007592048
25/06/2012,60.36,-0.00033129
22/06/2012,60.38,-0.003966947
21/06/2012,60.62,-0.01050223
20/06/2012,61.26,0.00163372
19/06/2012,61.16,0.001963994
18/06/2012,61.04,0.015186822
15/06/2012,60.12,0.013564639
14/06/2012,59.31,0.020784394
13/06/2012,58.09,-0.001032347
12/06/2012,58.15,0.007768705
11/06/2012,57.7,-0.010173379
08/06/2012,58.29,0.016083356
07/06/2012,57.36,-0.003306939
06/06/2012,57.55,0.009778321
05/06/2012,56.99,0.011648561
04/06/2012,56.33,-0.009892326
01/06/2012,56.89,-0.033362354
31/05/2012,58.82,0.016628479
30/05/2012,57.85,-0.01934495
29/05/2012,58.98,0.015204871
25/05/2012,58.09,-0.002407154
24/05/2012,58.23,0.001718804
23/05/2012,58.13,0.007251413
22/05/2012,57.71,0.002081527
21/05/2012,57.59,0.022654406
18/05/2012,56.3,-0.006903293
17/05/2012,56.69,-0.015577457
16/05/2012,57.58,-0.010194473
15/05/2012,58.17,-0.005486042
14/05/2012,58.49,-0.007155056
11/05/2012,58.91,-0.001017984
10/05/2012,58.97,0.002206944
09/05/2012,58.84,-0.000679579
08/05/2012,58.88,-0.004067802
07/05/2012,59.12,0.010029833
04/05/2012,58.53,-0.00494249
03/05/2012,58.82,-0.00271647
02/05/2012,58.98,-0.005242254
01/05/2012,59.29,0.008468885
30/04/2012,58.79,-0.006949769
27/04/2012,59.2,0.008311472
26/04/2012,58.71,0.003241494
25/04/2012,58.52,0.022989518
24/04/2012,57.19,0.017996251
23/04/2012,56.17,-0.011681549
20/04/2012,56.83,0.016857821
19/04/2012,55.88,-0.007132698
18/04/2012,56.28,-0.013238213
17/04/2012,57.03,0.012705306
16/04/2012,56.31,0.006950041
13/04/2012,55.92,-0.003035446
12/04/2012,56.09,0.014365483
11/04/2012,55.29,0.02249752
10/04/2012,54.06,-0.018873671
09/04/2012,55.09,-0.007414809
05/04/2012,55.5,-0.006107438
04/04/2012,55.84,-0.012634744
03/04/2012,56.55,-0.013000886
02/04/2012,57.29,0.003321972
30/03/2012,57.1,0.003860331
29/03/2012,56.88,-0.001756544
28/03/2012,56.98,-0.001578255
27/03/2012,57.07,0.005799155
26/03/2012,56.74,0.009562672
23/03/2012,56.2,0.003565066
22/03/2012,56,-0.019452426
21/03/2012,57.1,-0.001050236
20/03/2012,57.16,-0.001049135
19/03/2012,57.22,0.004378674
16/03/2012,56.97,-0.003854244
15/03/2012,57.19,-0.001397868
14/03/2012,57.27,0.001048218
13/03/2012,57.21,0.025313326
12/03/2012,55.78,0.00701631
09/03/2012,55.39,-0.005221944
08/03/2012,55.68,0.00035926
07/03/2012,55.66,-0.010188666
06/03/2012,56.23,-0.007088458
05/03/2012,56.63,0.001944322
02/03/2012,56.52,0.010851303
01/03/2012,55.91,-0.000178843
29/02/2012,55.92,-0.00035759
28/02/2012,55.94,-0.003212567
27/02/2012,56.12,0.002140564
24/02/2012,56,-0.013656326
23/02/2012,56.77,0.012050474
22/02/2012,56.09,-0.001425263
21/02/2012,56.17,-0.017646479
17/02/2012,57.17,-0.007493282
16/02/2012,57.6,0.000520969
15/02/2012,57.57,-0.00847536
14/02/2012,58.06,-0.011473711
13/02/2012,58.73,0.010440831
10/02/2012,58.12,-0.005148458
09/02/2012,58.42,-0.005632856
08/02/2012,58.75,-0.00204047
07/02/2012,58.87,0.001529962
06/02/2012,58.78,0.003920571
03/02/2012,58.55,0.004793709
02/02/2012,58.27,-0.0046229
01/02/2012,58.54,0.003936676
31/01/2012,58.31,0.004296647
30/01/2012,58.06,-0.013004975
27/01/2012,58.82,-0.00271647
26/01/2012,58.98,0.018135655
25/01/2012,57.92,0.009192676
24/01/2012,57.39,0.008047629
23/01/2012,56.93,0.008998737
20/01/2012,56.42,0.007114936
19/01/2012,56.02,0.005908172
18/01/2012,55.69,0.003417577
