Date,Close,IPG
14/08/2012,10.62,-0.001881468
13/08/2012,10.64,-0.009354605
10/08/2012,10.74,-0.003717476
09/08/2012,10.78,0.039740329
08/08/2012,10.36,-0.006734032
07/08/2012,10.43,0.031161236
06/08/2012,10.11,-0.081639241
03/08/2012,10.97,0.125102373
02/08/2012,9.68,-0.010277583
01/08/2012,9.78,-0.009160369
31/07/2012,9.87,0.002028398
30/07/2012,9.85,-0.027042209
27/07/2012,10.12,0.021978907
26/07/2012,9.9,-0.104451011
25/07/2012,10.99,-0.017140699
24/07/2012,11.18,-0.014209831
23/07/2012,11.34,-0.021806359
20/07/2012,11.59,0.002591794
19/07/2012,11.56,0.005203828
18/07/2012,11.5,-0.002605299
17/07/2012,11.53,0.047966566
16/07/2012,10.99,0.026742027
13/07/2012,10.7,0.017916557
12/07/2012,10.51,0.008600149
11/07/2012,10.42,-0.012398824
10/07/2012,10.55,-0.011310205
09/07/2012,10.67,-0.016729015
06/07/2012,10.85,-0.028170877
05/07/2012,11.16,-0.019521472
03/07/2012,11.38,0.030332388
02/07/2012,11.04,0.017359961
29/06/2012,10.85,0.037563102
28/06/2012,10.45,-0.004773279
27/06/2012,10.5,0.019231362
26/06/2012,10.3,0.018618862
25/06/2012,10.11,-0.020558727
22/06/2012,10.32,-0.006760045
21/06/2012,10.39,-0.035920686
20/06/2012,10.77,0.014967539
19/06/2012,10.61,0.019991146
18/06/2012,10.4,-0.009569451
15/06/2012,10.5,0.015355388
14/06/2012,10.34,-0.000966651
13/06/2012,10.35,-0.042559614
12/06/2012,10.8,0.01492565
11/06/2012,10.64,-0.018622512
08/06/2012,10.84,0.016744577
07/06/2012,10.66,-0.002810306
06/06/2012,10.69,0.031356488
05/06/2012,10.36,0.033369141
04/06/2012,10.02,-0.004977611
01/06/2012,10.07,-0.031283098
31/05/2012,10.39,-0.02846492
30/05/2012,10.69,-0.027677043
29/05/2012,10.99,0.023010679
25/05/2012,10.74,-0.00464469
24/05/2012,10.79,0.001855288
23/05/2012,10.77,0.004653336
22/05/2012,10.72,0.000933271
21/05/2012,10.71,-0.00372787
18/05/2012,10.75,-0.012020487
17/05/2012,10.88,-0.023615993
16/05/2012,11.14,-0.012489012
15/05/2012,11.28,-0.009704531
14/05/2012,11.39,-0.018269321
11/05/2012,11.6,-0.003442344
10/05/2012,11.64,0.022590014
09/05/2012,11.38,0.012378584
08/05/2012,11.24,-0.017637141
