Date,Close,LH
05/06/2013,98.6,-0.012197117
04/06/2013,99.81,-0.001701787
03/06/2013,99.98,0.004913029
31/05/2013,99.49,-0.00631233
30/05/2013,100.12,0.00019978
29/05/2013,100.1,-0.008554712
28/05/2013,100.96,0.005861041
24/05/2013,100.37,-0.003381742
23/05/2013,100.71,0.009076916
22/05/2013,99.8,-0.008282241
21/05/2013,100.63,0.0099871
20/05/2013,99.63,0.00664655
17/05/2013,98.97,0.013119944
16/05/2013,97.68,0.013190628
15/05/2013,96.4,0.011791236
14/05/2013,95.27,0.002732817
13/05/2013,95.01,0.006864895
10/05/2013,94.36,0.01054716
09/05/2013,93.37,-0.008106711
08/05/2013,94.13,0.009392747
07/05/2013,93.25,-0.003211994
06/05/2013,93.55,0.00794166
03/05/2013,92.81,-0.000215471
02/05/2013,92.83,0.003345026
01/05/2013,92.52,-0.009038151
30/04/2013,93.36,-0.001712329
29/04/2013,93.52,-0.00160265
26/04/2013,93.67,-0.001386889
25/04/2013,93.8,-0.000426348
24/04/2013,93.84,0.003202052
23/04/2013,93.54,-0.002349174
22/04/2013,93.76,-0.001065985
19/04/2013,93.86,0.00802272
18/04/2013,93.11,-0.00961957
17/04/2013,94.01,-0.004033976
16/04/2013,94.39,0.009473699
15/04/2013,93.5,-0.009155818
12/04/2013,94.36,-0.007496208
11/04/2013,95.07,0.017722117
10/04/2013,93.4,0.001929054
09/04/2013,93.22,0.003653954
08/04/2013,92.88,-0.001828646
05/04/2013,93.05,-0.006961206
04/04/2013,93.7,0.009543797
03/04/2013,92.81,0.000646691
02/04/2013,92.75,0.023122417
01/04/2013,90.63,0.004755857
28/03/2013,90.2,0.011596919
27/03/2013,89.16,0.000224341
26/03/2013,89.14,0.005173783
25/03/2013,88.68,0.004860689
22/03/2013,88.25,0.004770568
21/03/2013,87.83,-0.003977052
20/03/2013,88.18,-0.001359928
19/03/2013,88.3,-0.000905592
18/03/2013,88.38,-0.009123226
15/03/2013,89.19,-0.006259102
14/03/2013,89.75,0.005922798
13/03/2013,89.22,-0.006034212
12/03/2013,89.76,-0.002225685
11/03/2013,89.96,0.005685317
08/03/2013,89.45,-0.000893955
07/03/2013,89.53,0.003244395
06/03/2013,89.24,-0.010700058
05/03/2013,90.2,0.00801429
04/03/2013,89.48,0.004817127
01/03/2013,89.05,0.005066152
28/02/2013,88.6,-0.004504512
27/02/2013,89,0.005746818
26/02/2013,88.49,0.001017582
25/02/2013,88.4,-0.006539656
22/02/2013,88.98,-0.001684353
21/02/2013,89.13,-0.005036103
20/02/2013,89.58,-0.007783871
19/02/2013,90.28,0.004885642
15/02/2013,89.84,0.007261385
14/02/2013,89.19,-0.005701843
13/02/2013,89.7,0.003238236
12/02/2013,89.41,-0.007243582
11/02/2013,90.06,-0.001996673
08/02/2013,90.24,-0.015285941
07/02/2013,91.63,0.006899222
06/02/2013,91,0.011272083
05/02/2013,89.98,0.001557113
04/02/2013,89.84,-0.006987994
01/02/2013,90.47,0.010779679
31/01/2013,89.5,-0.002566536
30/01/2013,89.73,-0.004780708
29/01/2013,90.16,-0.00199446
28/01/2013,90.34,0.018771501
25/01/2013,88.66,0.007472015
24/01/2013,88,0.007070391
23/01/2013,87.38,-0.032871037
22/01/2013,90.3,0.019795983
18/01/2013,88.53,0.002941179
17/01/2013,88.27,0.008647226
16/01/2013,87.51,0.005844954
15/01/2013,87,0.002416711
14/01/2013,86.79,0.004387998
11/01/2013,86.41,-0.011506283
10/01/2013,87.41,0.003208436
09/01/2013,87.13,0.004140316
08/01/2013,86.77,-0.010318826
07/01/2013,87.67,-0.002278684
04/01/2013,87.87,0.00193655
03/01/2013,87.7,0.001369238
02/01/2013,87.58,0.011021926
31/12/2012,86.62,0.008463328
28/12/2012,85.89,-0.00961713
27/12/2012,86.72,0.000922935
26/12/2012,86.64,0.001270428
24/12/2012,86.53,-0.002193363
21/12/2012,86.72,-0.007238499
20/12/2012,87.35,-0.005935413
19/12/2012,87.87,-0.002727584
18/12/2012,88.11,0.010725799
17/12/2012,87.17,0.000803351
14/12/2012,87.1,-0.00320954
13/12/2012,87.38,0.002750403
12/12/2012,87.14,0.020287023
11/12/2012,85.39,0.007759268
10/12/2012,84.73,-0.003181526
07/12/2012,85,0.003417598
06/12/2012,84.71,0.003429318
05/12/2012,84.42,0.001422475
04/12/2012,84.3,-0.000592944
03/12/2012,84.35,-0.002841247
30/11/2012,84.59,0.004502377
29/11/2012,84.21,0.00942559
28/11/2012,83.42,0.006373661
27/11/2012,82.89,0.000603391
26/11/2012,82.84,-0.010925134
23/11/2012,83.75,0.010080489
21/11/2012,82.91,0.003382871
