Date,Close,KRFT
20/12/2013,54,0.015301661
19/12/2013,53.18,-0.003004133
18/12/2013,53.34,0.01701686
17/12/2013,52.44,-0.007598821
16/12/2013,52.84,0.004362264
13/12/2013,52.61,-0.00606407
12/12/2013,52.93,-0.015001219
11/12/2013,53.73,-0.006123036
10/12/2013,54.06,-0.008106161
09/12/2013,54.5,0.017584905
06/12/2013,53.55,0.016759643
05/12/2013,52.66,-0.002844413
04/12/2013,52.81,-0.004157224
03/12/2013,53.03,-0.001319137
02/12/2013,53.1,-0.000376577
29/11/2013,53.12,-0.005069957
27/11/2013,53.39,0.004129135
26/11/2013,53.17,0.009258451
25/11/2013,52.68,-0.000759013
22/11/2013,52.72,0.004181721
21/11/2013,52.5,-0.001712818
20/11/2013,52.59,-0.005310083
19/11/2013,52.87,-0.001323127
18/11/2013,52.94,-0.002075668
15/11/2013,53.05,0.000565664
14/11/2013,53.02,0.009475151
13/11/2013,52.52,0.010719858
12/11/2013,51.96,-0.008050647
11/11/2013,52.38,-0.006659714
08/11/2013,52.73,-0.013374976
07/11/2013,53.44,-0.017253002
06/11/2013,54.37,0.00479352
05/11/2013,54.11,-0.008648504
04/11/2013,54.58,-0.000915667
01/11/2013,54.63,0.004586743
31/10/2013,54.38,-0.019304916
30/10/2013,55.44,-0.006293287
29/10/2013,55.79,0.005031457
28/10/2013,55.51,0.009957537
25/10/2013,54.96,0.006388632
24/10/2013,54.61,0.003485283
23/10/2013,54.42,-0.005680272
22/10/2013,54.73,0.013242791
21/10/2013,54.01,0.00594245
18/10/2013,53.69,-0.001674886
17/10/2013,53.78,0.013478302
16/10/2013,53.06,0.01806648
15/10/2013,52.11,-0.004786072
14/10/2013,52.36,0.000382044
11/10/2013,52.34,-0.004384718
10/10/2013,52.57,0.013212255
09/10/2013,51.88,-0.022678437
08/10/2013,53.07,-0.014590607
07/10/2013,53.85,0.011768138
04/10/2013,53.22,0.014383291
03/10/2013,52.46,-0.011372374
02/10/2013,53.06,0.001886437
01/10/2013,52.96,0.009104767
30/09/2013,52.48,-0.007593051
27/09/2013,52.88,-0.00302115
26/09/2013,53.04,0.007570059
25/09/2013,52.64,-0.007570059
24/09/2013,53.04,-0.017567262
23/09/2013,53.98,-0.00092584
20/09/2013,54.03,0.00092584
19/09/2013,53.98,-0.028309808
18/09/2013,55.53,0.00959023
17/09/2013,55,0.00382549
16/09/2013,54.79,0.010089052
13/09/2013,54.24,0.015607898
12/09/2013,53.4,-0.004484312
11/09/2013,53.64,0.009741553
10/09/2013,53.12,-0.020680756
09/09/2013,54.23,0.018987912
06/09/2013,53.21,0.006032064
05/09/2013,52.89,-0.000944912
04/09/2013,52.94,0.011016256
03/09/2013,52.36,0.01133211
30/08/2013,51.77,-0.003085827
29/08/2013,51.93,0.00695655
28/08/2013,51.57,-0.007149098
27/08/2013,51.94,-0.002691792
26/08/2013,52.08,-0.014108909
23/08/2013,52.82,-0.003779294
22/08/2013,53.02,0.014246608
21/08/2013,52.27,-0.006863707
20/08/2013,52.63,0.00992943
19/08/2013,52.11,-0.012585978
16/08/2013,52.77,-0.013738806
15/08/2013,53.5,-0.030737673
14/08/2013,55.17,-0.015646394
13/08/2013,56.04,0.008782205
12/08/2013,55.55,-0.012700287
09/08/2013,56.26,0.000889126
08/08/2013,56.21,0.018131724
07/08/2013,55.2,-0.026811257
06/08/2013,56.7,0.00441892
05/08/2013,56.45,-0.018429657
02/08/2013,57.5,0.006280551
01/08/2013,57.14,0.009848831
31/07/2013,56.58,-0.001059884
30/07/2013,56.64,0.002651818
29/07/2013,56.49,0.000708341
26/07/2013,56.45,-0.007236816
25/07/2013,56.86,0.007413979
24/07/2013,56.44,-0.013375771
23/07/2013,57.2,-0.018876654
22/07/2013,58.29,0.01086686
19/07/2013,57.66,0.008359505
18/07/2013,57.18,-0.002968657
17/07/2013,57.35,-0.002090229
16/07/2013,57.47,-0.002780193
15/07/2013,57.63,0.016445437
12/07/2013,56.69,0.000176414
11/07/2013,56.68,0.010998869
10/07/2013,56.06,0.012204028
09/07/2013,55.38,0.006340027
08/07/2013,55.03,-0.003808837
05/07/2013,55.24,-0.004875856
03/07/2013,55.51,-0.000360231
02/07/2013,55.53,0.009953933
01/07/2013,54.98,-0.016058081
28/06/2013,55.87,0.009893057
27/06/2013,55.32,0.017873903
26/06/2013,54.34,-0.006420273
25/06/2013,54.69,0.016035732
24/06/2013,53.82,0.006711435
21/06/2013,53.46,0.008830494
20/06/2013,52.99,-0.04321204
19/06/2013,55.33,-0.023576731
18/06/2013,56.65,0.012791079
17/06/2013,55.93,0.004479893
14/06/2013,55.68,-0.005552087
13/06/2013,55.99,0.046426466
12/06/2013,53.45,-0.012826647
11/06/2013,54.14,-0.006810887
10/06/2013,54.51,0.00257164
07/06/2013,54.37,0.011654928
06/06/2013,53.74,0.008221272
05/06/2013,53.3,-0.020427823
04/06/2013,54.4,-0.009877527
03/06/2013,54.94,-0.003452352
31/05/2013,55.13,-0.00506605
30/05/2013,55.41,-0.023190479
29/05/2013,56.71,-0.014529796
28/05/2013,57.54,0.009253667
24/05/2013,57.01,0.00193135
23/05/2013,56.9,-0.000878349
22/05/2013,56.95,0.005988042
21/05/2013,56.61,0.006557401
20/05/2013,56.24,0.002314198
17/05/2013,56.11,0.010570734
16/05/2013,55.52,0.005780363
15/05/2013,55.2,0.007820354
14/05/2013,54.77,0.006778445
13/05/2013,54.4,-0.014961053
10/05/2013,55.22,0.003083343
09/05/2013,55.05,0.000545108
08/05/2013,55.02,0.003094569
07/05/2013,54.85,0.026978724
06/05/2013,53.39,0.005258228
03/05/2013,53.11,0.049798015
02/05/2013,50.53,-0.010630021
01/05/2013,51.07,-0.008190373
30/04/2013,51.49,-0.001552494
29/04/2013,51.57,0.012684334
26/04/2013,50.92,-0.007045039
25/04/2013,51.28,0.011769457
24/04/2013,50.68,-0.010012845
23/04/2013,51.19,0.010802423
22/04/2013,50.64,0.005743159
19/04/2013,50.35,0.005177232
18/04/2013,50.09,-0.006566534
17/04/2013,50.42,-0.020999692
16/04/2013,51.49,0.015067304
15/04/2013,50.72,-0.026268657
12/04/2013,52.07,0.020763334
11/04/2013,51,-0.007034027
10/04/2013,51.36,0.012933749
09/04/2013,50.7,-0.020111973
08/04/2013,51.73,0.009517407
05/04/2013,51.24,-0.011834458
04/04/2013,51.85,0.003671147
03/04/2013,51.66,-0.013650121
02/04/2013,52.37,0.009207815
01/04/2013,51.89,0.006961931
28/03/2013,51.53,0.003109818
27/03/2013,51.37,0.000194685
26/03/2013,51.36,0.002144041
25/03/2013,51.25,0.001171418
22/03/2013,51.19,-0.009139587
21/03/2013,51.66,0.002907824
20/03/2013,51.51,0.018219722
19/03/2013,50.58,-0.001382989
18/03/2013,50.65,0.007530753
15/03/2013,50.27,-0.003970623
14/03/2013,50.47,-0.005335454
13/03/2013,50.74,0.003751609
12/03/2013,50.55,0.01113996
11/03/2013,49.99,0.005616865
08/03/2013,49.71,0.013569828
07/03/2013,49.04,-0.003054059
06/03/2013,49.19,0
05/03/2013,49.19,0.000813504
04/03/2013,49.15,0.01187079
01/03/2013,48.57,0.001854715
28/02/2013,48.48,0.016849073
27/02/2013,47.67,0.008426424
26/02/2013,47.27,0.011275516
25/02/2013,46.74,-0.015286922
22/02/2013,47.46,0.012936242
21/02/2013,46.85,-0.008078275
20/02/2013,47.23,-0.002959833
19/02/2013,47.37,0.00423102
15/02/2013,47.17,0.000212022
14/02/2013,47.16,0.008304104
13/02/2013,46.77,-0.00999902
12/02/2013,47.24,-0.001057865
11/02/2013,47.29,0.008281181
08/02/2013,46.9,0.005130409
07/02/2013,46.66,-0.007473078
06/02/2013,47.01,-0.000212698
05/02/2013,47.02,0.013273584
04/02/2013,46.4,-0.004301082
01/02/2013,46.6,0.008187936
31/01/2013,46.22,-0.010759734
30/01/2013,46.72,-0.007038528
29/01/2013,47.05,0.001063264
28/01/2013,47,-0.002974296
25/01/2013,47.14,0.004891025
24/01/2013,46.91,0.003630543
23/01/2013,46.74,-0.007460335
22/01/2013,47.09,0.000849798
18/01/2013,47.05,0.002766842
17/01/2013,46.92,0.008776681
16/01/2013,46.51,-0.004290931
15/01/2013,46.71,-0.002992734
14/01/2013,46.85,0.01029831
11/01/2013,46.37,0.007793934
10/01/2013,46.01,-0.008225155
09/01/2013,46.39,0.016737702
08/01/2013,45.62,-0.008947141
07/01/2013,46.03,0.014442264
04/01/2013,45.37,-0.00461793
03/01/2013,45.58,-0.003941323
02/01/2013,45.76,0.006357579
31/12/2012,45.47,0.023588099
28/12/2012,44.41,0.00045045
27/12/2012,44.39,-0.005840088
26/12/2012,44.65,-0.017758513
24/12/2012,45.45,-0.001758629
21/12/2012,45.53,-0.019574353
20/12/2012,46.43,0.001508784
19/12/2012,46.36,-0.004089985
18/12/2012,46.55,0.004737304
17/12/2012,46.33,-0.006239934
14/12/2012,46.62,0.013170869
13/12/2012,46.01,0.006760466
12/12/2012,45.7,0.01922074
11/12/2012,44.83,0.011441516
10/12/2012,44.32,-0.007866093
07/12/2012,44.67,-0.010688144
06/12/2012,45.15,-0.013857035
05/12/2012,45.78,0.001749017
04/12/2012,45.7,0.000218842
03/12/2012,45.69,0.009897804
30/11/2012,45.24,-0.015354546
29/11/2012,45.94,0.00261552
28/11/2012,45.82,0.010751612
27/11/2012,45.33,0.02275868
26/11/2012,44.31,-0.021655049
23/11/2012,45.28,0.017151551
21/11/2012,44.51,-0.008278378
20/11/2012,44.88,-0.000222792
19/11/2012,44.89,0.015716534
16/11/2012,44.19,0.006128722
15/11/2012,43.92,-0.009517407
14/11/2012,44.34,0.008607075
13/11/2012,43.96,0.000455063
12/11/2012,43.94,0.006392716
09/11/2012,43.66,-0.0025163
08/11/2012,43.77,-0.018112336
07/11/2012,44.57,-0.002912515
06/11/2012,44.7,-0.001564771
05/11/2012,44.77,0.004701677
02/11/2012,44.56,-0.012710618
01/11/2012,45.13,-0.007285605
31/10/2012,45.46,0.003525786
26/10/2012,45.3,-0.013375926
25/10/2012,45.91,0.008531168
24/10/2012,45.52,-0.015044435
23/10/2012,46.21,-0.008833409
22/10/2012,46.62,0.012736276
19/10/2012,46.03,-0.008006101
18/10/2012,46.4,-0.005373468
17/10/2012,46.65,-0.012779727
16/10/2012,47.25,0.006156478
15/10/2012,46.96,-0.002976826
12/10/2012,47.1,0.013681274
11/10/2012,46.46,0.002370435
10/10/2012,46.35,-0.01392631
09/10/2012,47,0.008761676
08/10/2012,46.59,-0.020816385
05/10/2012,47.57,0.0199582
04/10/2012,46.63,0.038474691
03/10/2012,44.87,-0.012183117
02/10/2012,45.42,0.029492754
01/10/2012,44.1,-0.011946496
28/09/2012,44.63,-0.003355333
27/09/2012,44.78,0.000670166
26/09/2012,44.75,-0.011111225
25/09/2012,45.25,-0.016438726
24/09/2012,46,0.000434877
21/09/2012,45.98,-0.010169946
20/09/2012,46.45,0.009735069
19/09/2012,46,0.007199769
18/09/2012,45.67,0.012559381
17/09/2012,45.1,
