Date,Close,VFC
07/01/2013,149.38,-0.02922468
04/01/2013,153.81,0.013220088
03/01/2013,151.79,0.009465568
02/01/2013,150.36,-0.004048723
31/12/2012,150.97,0.017911326
28/12/2012,148.29,-0.012464978
27/12/2012,150.15,0.014354955
26/12/2012,148.01,-0.013755375
24/12/2012,150.06,-0.000266525
21/12/2012,150.1,-0.003657527
20/12/2012,150.65,-0.003776465
19/12/2012,151.22,-0.004091605
18/12/2012,151.84,0.004819286
17/12/2012,151.11,0.019580297
14/12/2012,148.18,0.005006438
13/12/2012,147.44,-0.01534557
12/12/2012,149.72,-0.010497738
11/12/2012,151.3,0.017670071
10/12/2012,148.65,-0.026291098
07/12/2012,152.61,-0.002552274
06/12/2012,153,-0.011954404
05/12/2012,154.84,-0.008680889
04/12/2012,156.19,-0.030641661
03/12/2012,161.05,0.00335863
30/11/2012,160.51,-0.007942952
29/11/2012,161.79,-0.001914231
28/11/2012,162.1,0.038742111
27/11/2012,155.94,-0.008556339
26/11/2012,157.28,-0.007916193
23/11/2012,158.53,0.010781434
21/11/2012,156.83,-0.004707388
20/11/2012,157.57,0.003687695
19/11/2012,156.99,0.007480614
16/11/2012,155.82,0.012593405
15/11/2012,153.87,-0.003956548
14/11/2012,154.48,-0.01324693
13/11/2012,156.54,-0.019860244
12/11/2012,159.68,0.043191512
09/11/2012,152.93,-0.003459646
08/11/2012,153.46,-0.026493319
07/11/2012,157.58,-0.019419306
06/11/2012,160.67,0.012399958
05/11/2012,158.69,0.004610777
02/11/2012,157.96,-0.011017834
01/11/2012,159.71,0.020431464
31/10/2012,156.48,0.011828371
26/10/2012,154.64,-0.003550338
25/10/2012,155.19,-0.009874407
24/10/2012,156.73,0.006786198
23/10/2012,155.67,-0.024054725
22/10/2012,159.46,-0.044822511
19/10/2012,166.77,-0.012276674
18/10/2012,168.83,-0.000177678
17/10/2012,168.86,0.003440711
16/10/2012,168.28,0.027899258
15/10/2012,163.65,0.011801723
12/10/2012,161.73,0.01056698
11/10/2012,160.03,0.002815934
10/10/2012,159.58,-0.003003381
09/10/2012,160.06,-0.007159118
08/10/2012,161.21,-0.009876014
05/10/2012,162.81,-0.000859529
04/10/2012,162.95,0.014588872
03/10/2012,160.59,-0.00385333
02/10/2012,161.21,0.016070379
01/10/2012,158.64,-0.00452831
28/09/2012,159.36,-0.006754247
27/09/2012,160.44,0.011030445
26/09/2012,158.68,0.005814705
25/09/2012,157.76,0.0034924
24/09/2012,157.21,-0.008109009
21/09/2012,158.49,-0.010731535
20/09/2012,160.2,-0.003302904
19/09/2012,160.73,0.001245098
18/09/2012,160.53,-0.01924916
17/09/2012,163.65,-0.0041466
14/09/2012,164.33,0.020410126
13/09/2012,161.01,0.034113598
12/09/2012,155.61,-0.000899281
11/09/2012,155.75,0.005343303
10/09/2012,154.92,0.006800765
07/09/2012,153.87,0.007305492
06/09/2012,152.75,0.009537977
05/09/2012,151.3,0.00026441
04/09/2012,151.26,-0.009344017
31/08/2012,152.68,0.002295008
30/08/2012,152.33,-0.00360408
29/08/2012,152.88,-0.000392388
28/08/2012,152.94,0.021145231
27/08/2012,149.74,-0.003200429
24/08/2012,150.22,0.011381257
23/08/2012,148.52,-0.004434001
22/08/2012,149.18,-0.003078779
21/08/2012,149.64,-0.000601263
20/08/2012,149.73,-0.021800308
17/08/2012,153.03,0.013089278
16/08/2012,151.04,0.01192195
15/08/2012,149.25,-0.000736747
14/08/2012,149.36,-0.001471868
13/08/2012,149.58,0.015156398
10/08/2012,147.33,-0.012478662
09/08/2012,149.18,-0.004948188
08/08/2012,149.92,-0.010483806
07/08/2012,151.5,0.011885535
06/08/2012,149.71,0.00435118
03/08/2012,149.06,0.017664836
02/08/2012,146.45,0.004654036
01/08/2012,145.77,-0.023927667
31/07/2012,149.3,-0.006342869
30/07/2012,150.25,0.000665779
27/07/2012,150.15,0.008292698
26/07/2012,148.91,0.01100656
25/07/2012,147.28,-0.007643177
24/07/2012,148.41,-0.01145626
23/07/2012,150.12,-0.002195829
20/07/2012,150.45,-0.013009065
19/07/2012,152.42,0.072151735
18/07/2012,141.81,0.009280645
17/07/2012,140.5,0.009295741
16/07/2012,139.2,-0.004801672
13/07/2012,139.87,0.027250037
12/07/2012,136.11,0.00309051
11/07/2012,135.69,-0.011358346
10/07/2012,137.24,0.023891418
09/07/2012,134,-0.007434978
06/07/2012,135,0.001111729
05/07/2012,134.85,0.026525957
03/07/2012,131.32,-0.004406967
02/07/2012,131.9,-0.011682816
29/06/2012,133.45,-0.004112924
28/06/2012,134,-0.033247109
27/06/2012,138.53,-0.000865863
26/06/2012,138.65,-0.010760506
25/06/2012,140.15,-0.024039789
22/06/2012,143.56,0.025968154
21/06/2012,139.88,-0.018557088
20/06/2012,142.5,0.000491349
19/06/2012,142.43,0.008885813
18/06/2012,141.17,0.001843449
15/06/2012,140.91,0.008266277
14/06/2012,139.75,0.012021885
13/06/2012,138.08,-0.013666328
12/06/2012,139.98,0.013811182
11/06/2012,138.06,-0.011665719
08/06/2012,139.68,0.002652426
07/06/2012,139.31,-0.001506294
06/06/2012,139.52,0.011026741
05/06/2012,137.99,0.013350554
04/06/2012,136.16,0.01338233
01/06/2012,134.35,-0.048595203
31/05/2012,141.04,0.001561059
30/05/2012,140.82,-0.019131263
29/05/2012,143.54,0.016436417
25/05/2012,141.2,-0.002899475
24/05/2012,141.61,0.015514117
23/05/2012,139.43,-0.0005736
22/05/2012,139.51,0.017425697
21/05/2012,137.1,0.024140249
18/05/2012,133.83,-0.00097091
17/05/2012,133.96,-0.029712437
16/05/2012,138,0.004066227
15/05/2012,137.44,-0.010422793
14/05/2012,138.88,-0.003306739
11/05/2012,139.34,-0.000287026
10/05/2012,139.38,-0.004224098
09/05/2012,139.97,-0.013412542
08/05/2012,141.86,-0.038445
07/05/2012,147.42,-0.008039769
