Date,Close,SNDK
20/09/2012,45.95,-0.004992955
19/09/2012,46.18,0.021670981
18/09/2012,45.19,-0.012315968
17/09/2012,45.75,0.001312336
14/09/2012,45.69,0.007028362
13/09/2012,45.37,0.008855493
12/09/2012,44.97,0.010057074
11/09/2012,44.52,0.011976191
10/09/2012,43.99,-0.006118999
07/09/2012,44.26,0.005664454
06/09/2012,44.01,0.080648814
05/09/2012,40.6,-0.007117468
04/09/2012,40.89,-0.008038041
31/08/2012,41.22,0.004620069
30/08/2012,41.03,-0.02431804
29/08/2012,42.04,-0.006401919
28/08/2012,42.31,-0.015013184
27/08/2012,42.95,-0.002093267
24/08/2012,43.04,0.018052301
23/08/2012,42.27,-0.029602441
22/08/2012,43.54,0.012945165
21/08/2012,42.98,0.016657277
20/08/2012,42.27,-0.00660224
17/08/2012,42.55,-0.003519065
16/08/2012,42.7,0.027060754
15/08/2012,41.56,0.025095726
14/08/2012,40.53,-0.009087622
13/08/2012,40.9,-0.012150818
10/08/2012,41.4,-0.004578873
09/08/2012,41.59,-0.002641375
08/08/2012,41.7,-0.00907144
07/08/2012,42.08,0.014361185
06/08/2012,41.48,0.002655403
03/08/2012,41.37,0.015100141
02/08/2012,40.75,-0.016549416
01/08/2012,41.43,0.007267474
31/07/2012,41.13,-0.000972054
30/07/2012,41.17,-0.030381478
27/07/2012,42.44,0.022156952
26/07/2012,41.51,0.043827792
25/07/2012,39.73,0.002015622
24/07/2012,39.65,-0.005783997
23/07/2012,39.88,0.030035345
20/07/2012,38.7,0.098208433
19/07/2012,35.08,0.023652675
18/07/2012,34.26,0.027220616
17/07/2012,33.34,0.01602453
16/07/2012,32.81,-0.018421176
13/07/2012,33.42,0.000299267
12/07/2012,33.41,-0.017211107
11/07/2012,33.99,-0.019519921
10/07/2012,34.66,-0.043196553
09/07/2012,36.19,-0.01426636
06/07/2012,36.71,0.002454658
05/07/2012,36.62,-0.013561369
03/07/2012,37.12,0.005673391
02/07/2012,36.91,0.011718352
29/06/2012,36.48,0.050024478
28/06/2012,34.7,-0.020254579
27/06/2012,35.41,-0.023996687
26/06/2012,36.27,0.011089662
25/06/2012,35.87,-0.013567978
22/06/2012,36.36,0.009950331
21/06/2012,36,-0.040021674
20/06/2012,37.47,0.008038628
19/06/2012,37.17,0.009189254
