Date,Close,BHI
28/09/2012,45.23,-0.012960094
27/09/2012,45.82,0.009869583
26/09/2012,45.37,-0.02072274
25/09/2012,46.32,-0.0122306
24/09/2012,46.89,-0.000426439
21/09/2012,46.91,-0.011656379
20/09/2012,47.46,-0.013602805
19/09/2012,48.11,-0.016287341
18/09/2012,48.9,-0.024243612
17/09/2012,50.1,0.001198322
14/09/2012,50.04,0.021819047
13/09/2012,48.96,0.019386047
12/09/2012,48.02,0.015530218
11/09/2012,47.28,0.013414446
10/09/2012,46.65,-0.001927402
07/09/2012,46.74,0.031514072
06/09/2012,45.29,0.018496349
05/09/2012,44.46,-0.004488338
04/09/2012,44.66,-0.02082947
31/08/2012,45.6,0.013245227
30/08/2012,45,-0.017839918
29/08/2012,45.81,-0.023515268
28/08/2012,46.9,-0.00616433
27/08/2012,47.19,-0.006758209
24/08/2012,47.51,0.003373396
23/08/2012,47.35,-0.007364578
22/08/2012,47.7,0.003149609
21/08/2012,47.55,-0.005453034
20/08/2012,47.81,0.010301784
17/08/2012,47.32,0
16/08/2012,47.32,0.002539147
15/08/2012,47.2,-0.002327797
14/08/2012,47.31,-0.014270966
13/08/2012,47.99,-0.014481014
10/08/2012,48.69,0.005354214
09/08/2012,48.43,0.018968781
08/08/2012,47.52,-0.014415793
07/08/2012,48.21,0.021808371
06/08/2012,47.17,0.004036118
03/08/2012,46.98,0.018041726
02/08/2012,46.14,-0.01825456
01/08/2012,46.99,0.01436098
31/07/2012,46.32,-0.021992986
30/07/2012,47.35,0
27/07/2012,47.35,0.018544707
26/07/2012,46.48,0.031915277
25/07/2012,45.02,-0.002661936
24/07/2012,45.14,-0.023860167
23/07/2012,46.23,0.013940544
20/07/2012,45.59,0.087988943
19/07/2012,41.75,-0.002153368
18/07/2012,41.84,0.022233879
17/07/2012,40.92,0.035824727
16/07/2012,39.48,0.004569696
13/07/2012,39.3,0.011516442
12/07/2012,38.85,-0.015579424
11/07/2012,39.46,0.005336056
10/07/2012,39.25,-0.019427885
09/07/2012,40.02,-0.006475739
06/07/2012,40.28,-0.010618695
05/07/2012,40.71,-0.03381148
03/07/2012,42.11,0.02891071
02/07/2012,40.91,-0.00463359
29/06/2012,41.1,0.028129168
28/06/2012,39.96,0.014366977
27/06/2012,39.39,0.029107013
26/06/2012,38.26,0.00340359
25/06/2012,38.13,-0.026143588
22/06/2012,39.14,0.002302086
21/06/2012,39.05,-0.04579807
20/06/2012,40.88,-0.002443197
19/06/2012,40.98,0.034002531
18/06/2012,39.61,-0.019253001
15/06/2012,40.38,0.021021795
14/06/2012,39.54,0.021731649
13/06/2012,38.69,-0.0148797
12/06/2012,39.27,0.016690592
11/06/2012,38.62,-0.016181167
08/06/2012,39.25,-0.021923519
07/06/2012,40.12,-0.013123873
06/06/2012,40.65,-0.010522549
05/06/2012,41.08,0.005859392
04/06/2012,40.84,0.002451582
01/06/2012,40.74,-0.024009884
31/05/2012,41.73,-0.019929485
30/05/2012,42.57,-0.017695456
29/05/2012,43.33,0.042188417
25/05/2012,41.54,0.007005706
24/05/2012,41.25,-0.011329517
23/05/2012,41.72,0.006251523
22/05/2012,41.46,-0.012702388
21/05/2012,41.99,0.037859411
18/05/2012,40.43,-0.008619681
17/05/2012,40.78,-0.000245188
16/05/2012,40.79,-0.004159027
15/05/2012,40.96,-0.015023302
14/05/2012,41.58,-0.003361348
11/05/2012,41.72,0.001199185
10/05/2012,41.67,0.007709024
09/05/2012,41.35,-0.000966884
08/05/2012,41.39,-0.00937845
07/05/2012,41.78,0.014465055
04/05/2012,41.18,-0.039519544
03/05/2012,42.84,-0.035992424
02/05/2012,44.41,-0.007850214
01/05/2012,44.76,0.014628369
30/04/2012,44.11,0.027581615
27/04/2012,42.91,-0.008123522
26/04/2012,43.26,-0.002770085
25/04/2012,43.38,0.00786859
24/04/2012,43.04,0.046851988
23/04/2012,41.07,0.014964096
20/04/2012,40.46,-0.013745921
19/04/2012,41.02,-0.007044849
18/04/2012,41.31,-0.005311456
17/04/2012,41.53,0.017733976
16/04/2012,40.8,-0.006108754
13/04/2012,41.05,-0.017387543
12/04/2012,41.77,0.031370354
11/04/2012,40.48,0.004952957
10/04/2012,40.28,-0.007420267
09/04/2012,40.58,-0.010296732
05/04/2012,41,-0.008016562
04/04/2012,41.33,-0.009871273
03/04/2012,41.74,-0.017102555
02/04/2012,42.46,0.012322431
30/03/2012,41.94,0.027803072
29/03/2012,40.79,-0.000735204
28/03/2012,40.82,-0.027306276
27/03/2012,41.95,-0.027276556
26/03/2012,43.11,-0.01382192
23/03/2012,43.71,0.011273558
22/03/2012,43.22,-0.041247633
21/03/2012,45.04,-0.059892978
20/03/2012,47.82,-0.021719749
19/03/2012,48.87,-0.001635658
16/03/2012,48.95,0.028176714
15/03/2012,47.59,-0.006492849
14/03/2012,47.9,-0.014508026
13/03/2012,48.6,0.021000876
12/03/2012,47.59,-0.024902719
09/03/2012,48.79,0.000820176
08/03/2012,48.75,0.024923408
07/03/2012,47.55,0.008023692
06/03/2012,47.17,-0.018692133
05/03/2012,48.06,-0.019982125
02/03/2012,49.03,-0.034676287
01/03/2012,50.76,0.009501259
29/02/2012,50.28,-0.014218249
28/02/2012,51,0.008467118
27/02/2012,50.57,-0.027115677
24/02/2012,51.96,-0.0084324
23/02/2012,52.4,0.00076365
22/02/2012,52.36,0.021622464
21/02/2012,51.24,0.023298191
17/02/2012,50.06,0.031658488
16/02/2012,48.5,0.022519717
15/02/2012,47.42,-0.01215693
14/02/2012,48,0.002085506
13/02/2012,47.9,0.005862663
10/02/2012,47.62,-0.029383451
09/02/2012,49.04,-0.017585092
08/02/2012,49.91,-0.022192312
07/02/2012,51.03,-0.020559297
06/02/2012,52.09,0.021147359
03/02/2012,51,0.006886402
02/02/2012,50.65,0.021351704
01/02/2012,49.58,0.00911768
31/01/2012,49.13,-0.005885354
30/01/2012,49.42,0.0022283
27/01/2012,49.31,0.024844723
26/01/2012,48.1,-0.001246624
