Date,Close,NWL
19/02/2013,24.09,-0.003729029
15/02/2013,24.18,-0.004127121
14/02/2013,24.28,0.010349916
13/02/2013,24.03,-0.006636275
12/02/2013,24.19,0.010388624
11/02/2013,23.94,-0.008319516
08/02/2013,24.14,0.001243523
07/02/2013,24.11,-0.004139079
06/02/2013,24.21,0.003724399
05/02/2013,24.12,0.03373001
04/02/2013,23.32,-0.002997219
01/02/2013,23.39,-0.003840414
31/01/2013,23.48,-0.00721412
30/01/2013,23.65,0.003812756
29/01/2013,23.56,0.02449102
28/01/2013,22.99,-0.010385208
25/01/2013,23.23,-0.000860585
24/01/2013,23.25,-0.003006229
23/01/2013,23.32,-0.000428725
22/01/2013,23.33,0.009042042
18/01/2013,23.12,0.008251947
17/01/2013,22.93,0.020265011
16/01/2013,22.47,0.005354765
15/01/2013,22.35,0.013060307
14/01/2013,22.06,0.011856044
11/01/2013,21.8,-0.00685717
10/01/2013,21.95,-0.014024206
09/01/2013,22.26,0.002248708
08/01/2013,22.21,0.003156711
07/01/2013,22.14,-0.018349139
04/01/2013,22.55,0.003999117
03/01/2013,22.46,-0.006656337
02/01/2013,22.61,0.015151805
31/12/2012,22.27,0.020413501
28/12/2012,21.82,-0.006850906
27/12/2012,21.97,0.006850906
26/12/2012,21.82,-0.005484474
24/12/2012,21.94,0.005484474
21/12/2012,21.82,0.004133186
20/12/2012,21.73,0.002764979
19/12/2012,21.67,-0.011014338
18/12/2012,21.91,-0.000912409
17/12/2012,21.93,-0.001822324
14/12/2012,21.97,0.00319125
13/12/2012,21.9,-0.012253387
12/12/2012,22.17,0.011340562
11/12/2012,21.92,-0.014942547
10/12/2012,22.25,0.015398855
07/12/2012,21.91,0.005951036
06/12/2012,21.78,0.003219134
05/12/2012,21.71,0.002305742
04/12/2012,21.66,-0.00368664
03/12/2012,21.74,-0.003214699
30/11/2012,21.81,0.002754823
29/11/2012,21.75,0.012026047
28/11/2012,21.49,0.006067697
27/11/2012,21.36,0.003282535
26/11/2012,21.29,-0.002814261
23/11/2012,21.35,0.009411834
21/11/2012,21.15,-0.008005694
20/11/2012,21.32,-0.00140614
19/11/2012,21.35,0.019390534
16/11/2012,20.94,0.01637013
15/11/2012,20.6,0.00486619
14/11/2012,20.5,0.000487924
13/11/2012,20.49,0
12/11/2012,20.49,0.007347572
09/11/2012,20.34,-0.000491521
08/11/2012,20.35,-0.033819648
07/11/2012,21.05,-0.011336919
06/11/2012,21.29,0.008490617
05/11/2012,21.11,0.003321474
02/11/2012,21.04,-0.001899336
01/11/2012,21.08,0.021093783
31/10/2012,20.64,0.00242542
26/10/2012,20.59,0.024583342
25/10/2012,20.09,-0.00842632
24/10/2012,20.26,-0.009823262
23/10/2012,20.46,0
22/10/2012,20.46,-0.006819315
19/10/2012,20.6,-0.015892461
18/10/2012,20.93,0.010566861
17/10/2012,20.71,0.012144915
16/10/2012,20.46,0.012294229
15/10/2012,20.21,0.02302404
12/10/2012,19.75,0.007113851
11/10/2012,19.61,0.001020408
10/10/2012,19.59,0.005630934
09/10/2012,19.48,-0.005630934
08/10/2012,19.59,0.005630934
05/10/2012,19.48,0.006179216
04/10/2012,19.36,0.015617184
03/10/2012,19.06,0.010018539
02/10/2012,18.87,0
01/10/2012,18.87,-0.011591278
28/09/2012,19.09,-0.000523697
27/09/2012,19.1,-0.002092051
26/09/2012,19.14,0.00313972
25/09/2012,19.08,-0.00938974
24/09/2012,19.26,-0.00259269
21/09/2012,19.31,0.001554807
20/09/2012,19.28,-0.012883456
19/09/2012,19.53,-0.002046037
18/09/2012,19.57,0.009240312
17/09/2012,19.39,-0.016368652
14/09/2012,19.71,0.035635064
13/09/2012,19.02,0.00315956
12/09/2012,18.96,0.008474627
11/09/2012,18.8,0.002663117
10/09/2012,18.75,-0.000533191
07/09/2012,18.76,0.009103142
06/09/2012,18.59,0.027817447
05/09/2012,18.08,0.006102654
04/09/2012,17.97,0.002228413
31/08/2012,17.93,0.011781342
30/08/2012,17.72,0.01135086
29/08/2012,17.52,0.009174376
28/08/2012,17.36,0.00404041
27/08/2012,17.29,-0.020607484
24/08/2012,17.65,0.005681833
23/08/2012,17.55,0.002281804
22/08/2012,17.51,-0.008530049
21/08/2012,17.66,0.000566412
20/08/2012,17.65,0.002836881
17/08/2012,17.6,0.022408292
16/08/2012,17.21,0.019361121
15/08/2012,16.88,-0.000592242
14/08/2012,16.89,-0.008841791
13/08/2012,17.04,0.003527341
10/08/2012,16.98,-0.015775963
09/08/2012,17.25,-0.009806828
08/08/2012,17.42,0
07/08/2012,17.42,0.014455297
06/08/2012,17.17,0.005841138
03/08/2012,17.07,0.02371184
02/08/2012,16.67,-0.035939067
01/08/2012,17.28,-0.02118602
31/07/2012,17.65,-0.007338447
30/07/2012,17.78,-0.017285069
27/07/2012,18.09,0.02179466
26/07/2012,17.7,0.01537178
25/07/2012,17.43,0
24/07/2012,17.43,-0.007430729
23/07/2012,17.56,-0.031392712
20/07/2012,18.12,-0.011522761
19/07/2012,18.33,0.018723014
18/07/2012,17.99,0.01286731
17/07/2012,17.76,0.014176591
16/07/2012,17.51,-0.010792493
13/07/2012,17.7,0.017094433
12/07/2012,17.4,-0.001148765
11/07/2012,17.42,-0.015945668
10/07/2012,17.7,-0.018472398
09/07/2012,18.03,-0.014317425
06/07/2012,18.29,-0.018955347
05/07/2012,18.64,0.028293509
03/07/2012,18.12,-0.002205073
02/07/2012,18.16,0.001101928
29/06/2012,18.14,0.037634321
28/06/2012,17.47,0.004014918
27/06/2012,17.4,-0.001722653
26/06/2012,17.43,-0.010274063
25/06/2012,17.61,-0.022460237
22/06/2012,18.01,-0.000555093
21/06/2012,18.02,-0.020868412
20/06/2012,18.4,-0.002713706
19/06/2012,18.45,-0.006483005
18/06/2012,18.57,0.00431733
15/06/2012,18.49,0.00433605
14/06/2012,18.41,0.007086429
13/06/2012,18.28,-0.0108815
12/06/2012,18.48,0.019672766
11/06/2012,18.12,0.007200253
08/06/2012,17.99,-0.003329637
07/06/2012,18.05,0.00055417
06/06/2012,18.04,0.026398612
05/06/2012,17.57,-0.003976148
04/06/2012,17.64,-0.001133145
01/06/2012,17.66,-0.041048469
31/05/2012,18.4,-0.004879381
30/05/2012,18.49,-0.028786636
29/05/2012,19.03,0.004740594
25/05/2012,18.94,0.029469049
24/05/2012,18.39,0.00873845
23/05/2012,18.23,0.014921526
22/05/2012,17.96,0.000556948
21/05/2012,17.95,0.014590607
18/05/2012,17.69,0.005100606
17/05/2012,17.6,-0.028013036
16/05/2012,18.1,0.004984779
15/05/2012,18.01,-0.013785716
14/05/2012,18.26,-0.003280484
11/05/2012,18.32,-0.005986412
10/05/2012,18.43,0.008719401
09/05/2012,18.27,-0.004914015
08/05/2012,18.36,-0.015135424
07/05/2012,18.64,0.004301082
04/05/2012,18.56,-0.004837419
03/05/2012,18.65,0.002684565
02/05/2012,18.6,0.01790121
01/05/2012,18.27,0.003838776
30/04/2012,18.2,-0.020125781
27/04/2012,18.57,0.033400312
26/04/2012,17.96,0.006143555
25/04/2012,17.85,0.020946138
24/04/2012,17.48,0.01556676
23/04/2012,17.21,-0.010979596
20/04/2012,17.4,0.002301497
19/04/2012,17.36,0.001152738
18/04/2012,17.34,-0.005750447
17/04/2012,17.44,0.014438599
16/04/2012,17.19,0.003496507
13/04/2012,17.13,-0.006400953
12/04/2012,17.24,0.020510534
11/04/2012,16.89,0.00593826
10/04/2012,16.79,-0.018879617
09/04/2012,17.11,-0.020249463
05/04/2012,17.46,-0.001716739
04/04/2012,17.49,-0.027074412
03/04/2012,17.97,0.005580372
02/04/2012,17.87,0.003363232
30/03/2012,17.81,-0.003922672
29/03/2012,17.88,-0.001676446
28/03/2012,17.91,-0.008893889
27/03/2012,18.07,-0.010459771
26/03/2012,18.26,0.007696575
23/03/2012,18.12,0.008869238
22/03/2012,17.96,-0.009420962
21/03/2012,18.13,-0.001653348
20/03/2012,18.16,-0.007679687
19/03/2012,18.3,-0.009246734
