Date,Close,R
03/01/2014,72.79,0.002062849
02/01/2014,72.64,-0.015571958
31/12/2013,73.78,0.001492031
30/12/2013,73.67,0.003671725
27/12/2013,73.4,0.001363327
26/12/2013,73.3,-0.000136416
24/12/2013,73.31,0.003279139
23/12/2013,73.07,0.023260082
20/12/2013,71.39,-0.001399776
19/12/2013,71.49,0.01125346
18/12/2013,70.69,0.01267011
17/12/2013,69.8,0.00057323
16/12/2013,69.76,0.030122321
13/12/2013,67.69,0.013235378
12/12/2013,66.8,-0.005523639
11/12/2013,67.17,-0.01022004
10/12/2013,67.86,-0.005584144
09/12/2013,68.24,-0.007445833
06/12/2013,68.75,0.004227103
05/12/2013,68.46,-0.00509945
04/12/2013,68.81,-0.004060919
03/12/2013,69.09,-0.007354565
02/12/2013,69.6,-0.003442344
29/11/2013,69.84,0.004160993
27/11/2013,69.55,0.008374291
26/11/2013,68.97,0.002758622
25/11/2013,68.78,-0.003338417
22/11/2013,69.01,0.002030752
21/11/2013,68.87,0.015658475
20/11/2013,67.8,-0.00294551
19/11/2013,68,-0.002350177
18/11/2013,68.16,0.001762115
15/11/2013,68.04,0.028624495
14/11/2013,66.12,0.001968058
13/11/2013,65.99,0.008522347
12/11/2013,65.43,0.0035214
11/11/2013,65.2,0.009554704
08/11/2013,64.58,0.001704766
07/11/2013,64.47,-0.026933533
06/11/2013,66.23,-0.003316253
05/11/2013,66.45,-0.008242834
04/11/2013,67,0.010804427
01/11/2013,66.28,0.006812531
31/10/2013,65.83,-0.000151895
30/10/2013,65.84,-0.009974391
29/10/2013,66.5,0.004672554
28/10/2013,66.19,0.012924988
25/10/2013,65.34,0.000918696
24/10/2013,65.28,0.018709475
23/10/2013,64.07,0.013039223
22/10/2013,63.24,0.023519203
21/10/2013,61.77,-0.004361529
18/10/2013,62.04,0.021670909
17/10/2013,60.71,0.013932884
16/10/2013,59.87,0.007208145
15/10/2013,59.44,-0.014530527
14/10/2013,60.31,0.011506839
11/10/2013,59.62,0.004033619
10/10/2013,59.38,0.033390654
09/10/2013,57.43,-0.002434784
08/10/2013,57.57,-0.02165033
07/10/2013,58.83,-0.018525286
04/10/2013,59.93,0.009725093
03/10/2013,59.35,-0.023644125
02/10/2013,60.77,-0.003285694
01/10/2013,60.97,0.02104992
30/09/2013,59.7,0
27/09/2013,59.7,-0.004012041
26/09/2013,59.94,0.00619197
25/09/2013,59.57,0.005048816
24/09/2013,59.27,-0.005552298
23/09/2013,59.6,-0.013333531
20/09/2013,60.4,-0.01674641
19/09/2013,61.42,0.005878528
18/09/2013,61.06,0.01568077
17/09/2013,60.11,-0.004978437
16/09/2013,60.41,0.015850837
13/09/2013,59.46,-0.00201613
12/09/2013,59.58,-0.011182625
11/09/2013,60.25,0.024190664
10/09/2013,58.81,0.018534939
09/09/2013,57.73,0.01307664
06/09/2013,56.98,0.008459691
05/09/2013,56.5,0.004612391
04/09/2013,56.24,0.013966207
03/09/2013,55.46,-0.002701001
30/08/2013,55.61,-0.019587521
29/08/2013,56.71,0.00761133
28/08/2013,56.28,-0.014289738
27/08/2013,57.09,-0.03239987
26/08/2013,58.97,-0.005580466
23/08/2013,59.3,-0.003703085
22/08/2013,59.52,0.023286512
21/08/2013,58.15,-0.010435472
20/08/2013,58.76,0.013190769
19/08/2013,57.99,-0.015400715
16/08/2013,58.89,-0.001527106
15/08/2013,58.98,-0.014643029
14/08/2013,59.85,0
13/08/2013,59.85,-0.012453461
12/08/2013,60.6,-0.000659848
09/08/2013,60.64,-0.005099115
08/08/2013,60.95,-0.000492086
07/08/2013,60.98,-0.019487463
06/08/2013,62.18,-0.028693417
05/08/2013,63.99,-0.012424449
02/08/2013,64.79,0.001853855
01/08/2013,64.67,0.044747011
31/07/2013,61.84,0.01531723
30/07/2013,60.9,0.005928871
29/07/2013,60.54,-0.018006707
26/07/2013,61.64,-0.000162219
25/07/2013,61.65,-0.000162193
24/07/2013,61.66,-0.015449293
23/07/2013,62.62,-0.006526088
22/07/2013,63.03,0.005727939
19/07/2013,62.67,0.008332046
18/07/2013,62.15,0.019825154
17/07/2013,60.93,0.008902136
