Date,Close,LO
15/10/2013,46.5,-0.011758553
14/10/2013,47.05,0.02018102
11/10/2013,46.11,0.001953762
10/10/2013,46.02,0.040803887
09/10/2013,44.18,-0.007441685
08/10/2013,44.51,-0.014054888
07/10/2013,45.14,0.004663048
04/10/2013,44.93,-0.011947045
03/10/2013,45.47,0.007062488
02/10/2013,45.15,0.005998019
01/10/2013,44.88,0.00223065
30/09/2013,44.78,-0.009998972
27/09/2013,45.23,0.008883025
26/09/2013,44.83,0.009412889
25/09/2013,44.41,-0.006285094
24/09/2013,44.69,-0.005800998
23/09/2013,44.95,-0.003553191
20/09/2013,45.11,-0.001993135
19/09/2013,45.2,-0.001105583
18/09/2013,45.25,0.006207069
17/09/2013,44.97,0.010955951
16/09/2013,44.48,0.010395574
13/09/2013,44.02,0.0132634
12/09/2013,43.44,-0.014625489
11/09/2013,44.08,-0.002039661
10/09/2013,44.17,0.002039661
09/09/2013,44.08,0.001134945
06/09/2013,44.03,0.016718585
05/09/2013,43.3,0.014890922
04/09/2013,42.66,0.013689145
03/09/2013,42.08,-0.005214518
30/08/2013,42.3,-0.003068573
29/08/2013,42.43,0.008520762
28/08/2013,42.07,-0.026505598
27/08/2013,43.2,-0.007150301
26/08/2013,43.51,0.002761797
23/08/2013,43.39,0.020960246
22/08/2013,42.49,0.013505714
21/08/2013,41.92,-0.003809528
20/08/2013,42.08,0.005241851
19/08/2013,41.86,-0.007141187
16/08/2013,42.16,-0.008267438
15/08/2013,42.51,-0.02348126
14/08/2013,43.52,0.00091954
13/08/2013,43.48,-0.001608641
12/08/2013,43.55,0.002298852
09/08/2013,43.45,-0.003446299
08/08/2013,43.6,0.012230451
07/08/2013,43.07,-0.00092829
06/08/2013,43.11,-0.002316961
05/08/2013,43.21,-0.002080685
02/08/2013,43.3,0.003701994
01/08/2013,43.14,0.014240932
31/07/2013,42.53,-0.016093642
30/07/2013,43.22,-0.003003352
29/07/2013,43.35,-0.013518364
26/07/2013,43.94,-0.013787087
25/07/2013,44.55,0.003147485
24/07/2013,44.41,0.007458504
23/07/2013,44.08,-0.045890796
22/07/2013,46.15,-0.007555352
19/07/2013,46.5,-0.000644953
18/07/2013,46.53,0.006252041
17/07/2013,46.24,-0.00021624
16/07/2013,46.25,0
15/07/2013,46.25,0.001731227
12/07/2013,46.17,-0.004969223
11/07/2013,46.4,0.014107668
10/07/2013,45.75,-0.000873935
09/07/2013,45.79,0.003281202
08/07/2013,45.64,0.030477278
05/07/2013,44.27,-0.001805462
03/07/2013,44.35,-0.001351961
02/07/2013,44.41,0.010412045
01/07/2013,43.95,0.006162293
28/06/2013,43.68,0.002292002
27/06/2013,43.58,-0.004578763
26/06/2013,43.78,0.005726737
25/06/2013,43.53,0.003221356
24/06/2013,43.39,-0.008034015
21/06/2013,43.74,0.02079077
20/06/2013,42.84,-0.02079077
19/06/2013,43.74,-0.026620115
18/06/2013,44.92,0.007822143
17/06/2013,44.57,0.015374483
14/06/2013,43.89,-0.004092775
13/06/2013,44.07,0.026441361
12/06/2013,42.92,0.000932401
11/06/2013,42.88,-0.008822904
10/06/2013,43.26,-0.008058061
07/06/2013,43.61,0.011531493
06/06/2013,43.11,0.018495201
05/06/2013,42.32,-0.019886022
04/06/2013,43.17,-0.00092614
03/06/2013,43.21,0.017980636
31/05/2013,42.44,-0.010780512
30/05/2013,42.9,0.007487166
29/05/2013,42.58,-0.025276708
28/05/2013,43.67,-0.004797268
24/05/2013,43.88,0.007089795
23/05/2013,43.57,-0.00068831
22/05/2013,43.6,-0.008677835
21/05/2013,43.98,-0.002951529
20/05/2013,44.11,-0.003620733
17/05/2013,44.27,0.000903955
16/05/2013,44.23,0.003850951
15/05/2013,44.06,0.013251279
14/05/2013,43.48,0.004148427
13/05/2013,43.3,0.005093783
10/05/2013,43.08,0.00722193
09/05/2013,42.77,-0.010697776
08/05/2013,43.23,0.000925712
07/05/2013,43.19,0.013989503
06/05/2013,42.59,-0.003281766
03/05/2013,42.73,-0.007460981
02/05/2013,43.05,0.008866134
01/05/2013,42.67,-0.005142601
30/04/2013,42.89,-0.00139795
29/04/2013,42.95,0.002797857
26/04/2013,42.83,0.004680561
25/04/2013,42.63,-0.012124187
24/04/2013,43.15,0.031307724
23/04/2013,41.82,0.007681267
22/04/2013,41.5,0.006527281
19/04/2013,41.23,0.008769849
18/04/2013,40.87,-0.005611824
17/04/2013,41.1,-0.006789551
16/04/2013,41.38,0.014605907
15/04/2013,40.78,-0.018946401
12/04/2013,41.56,0.004823936
11/04/2013,41.36,-0.009864148
10/04/2013,41.77,0.012527266
