Date,Close,ABC
15/04/2013,54.04,-0.002587324
12/04/2013,54.18,0.006852513
11/04/2013,53.81,0.009522992
10/04/2013,53.3,0.007154992
09/04/2013,52.92,0.00549504
08/04/2013,52.63,0.010505301
05/04/2013,52.08,0.005004823
04/04/2013,51.82,0.002511836
03/04/2013,51.69,-0.013833074
02/04/2013,52.41,0.014800847
01/04/2013,51.64,0.003686104
28/03/2013,51.45,0.014487332
27/03/2013,50.71,-0.00019718
26/03/2013,50.72,0.002566382
25/03/2013,50.59,0.015337418
22/03/2013,49.82,0.000602349
21/03/2013,49.79,-0.008997362
20/03/2013,50.24,0.003589236
19/03/2013,50.06,0.035790725
18/03/2013,48.3,-0.012141316
15/03/2013,48.89,-0.008148344
14/03/2013,49.29,0.008762155
13/03/2013,48.86,0.004307257
12/03/2013,48.65,0.002057614
11/03/2013,48.55,0.001442853
08/03/2013,48.48,0.008285052
07/03/2013,48.08,-0.008285052
06/03/2013,48.48,0.004341092
05/03/2013,48.27,0.000414422
04/03/2013,48.25,0.00561157
01/03/2013,47.98,0.016390365
28/02/2013,47.2,0.003608197
27/02/2013,47.03,0.009829139
26/02/2013,46.57,0.008409753
25/02/2013,46.18,-0.016536402
22/02/2013,46.95,0.010061093
21/02/2013,46.48,-0.002792998
20/02/2013,46.61,-0.013002421
19/02/2013,47.22,0.013216991
15/02/2013,46.6,-0.003641431
14/02/2013,46.77,0.00278343
13/02/2013,46.64,-0.006837633
12/02/2013,46.96,0.004268039
11/02/2013,46.76,-0.002776296
08/02/2013,46.89,0.010504974
07/02/2013,46.4,-0.001507484
06/02/2013,46.47,0.004097041
05/02/2013,46.28,0.005199318
04/02/2013,46.04,-0.010586682
01/02/2013,46.53,0.025246172
31/01/2013,45.37,-0.00461793
30/01/2013,45.58,0.000877963
29/01/2013,45.54,0.009487109
28/01/2013,45.11,0.001775017
25/01/2013,45.03,-0.015206905
24/01/2013,45.72,-0.010010965
23/01/2013,46.18,0.012200587
22/01/2013,45.62,-0.005028982
18/01/2013,45.85,0.007223409
17/01/2013,45.52,0.011044954
16/01/2013,45.02,-0.001110001
15/01/2013,45.07,0.017457919
14/01/2013,44.29,0.010212275
11/01/2013,43.84,-0.001139861
10/01/2013,43.89,0.002737852
09/01/2013,43.77,0
08/01/2013,43.77,-0.001369863
07/01/2013,43.83,0.003199271
04/01/2013,43.69,0.006659802
03/01/2013,43.4,-0.002071586
02/01/2013,43.49,0.007153602
31/12/2012,43.18,0.008372142
28/12/2012,42.82,-0.009529416
27/12/2012,43.23,0.002547772
26/12/2012,43.12,-0.007854048
