Date,Close,SEE
04/06/2013,24.56,0.001629992
03/06/2013,24.52,0.020602294
31/05/2013,24.02,-0.009117345
30/05/2013,24.24,-0.005348706
29/05/2013,24.37,0.00123178
28/05/2013,24.34,0.024117593
24/05/2013,23.76,-0.002102166
23/05/2013,23.81,0.006742546
22/05/2013,23.65,-0.008001727
21/05/2013,23.84,0.002099518
20/05/2013,23.79,-0.002938092
17/05/2013,23.86,0.010109606
16/05/2013,23.62,0.012353725
15/05/2013,23.33,0.006018935
14/05/2013,23.19,0.014770034
13/05/2013,22.85,-0.0108815
10/05/2013,23.1,0.015707129
09/05/2013,22.74,-0.003511856
08/05/2013,22.82,-0.00087604
07/05/2013,22.84,0.003069505
06/05/2013,22.77,0.011484225
03/05/2013,22.51,0.03342678
02/05/2013,21.77,-0.019559414
01/05/2013,22.2,0.003610112
30/04/2013,22.12,0.001357159
29/04/2013,22.09,0.013673868
26/04/2013,21.79,-0.023583859
25/04/2013,22.31,0.010815788
24/04/2013,22.07,0.007732583
23/04/2013,21.9,0.014256392
22/04/2013,21.59,0.005107975
19/04/2013,21.48,0.015482364
18/04/2013,21.15,-0.011283618
17/04/2013,21.39,-0.022192312
16/04/2013,21.87,0.018925097
15/04/2013,21.46,-0.053969115
12/04/2013,22.65,-0.010977059
11/04/2013,22.9,0.009212612
10/04/2013,22.69,0.026799281
09/04/2013,22.09,-0.006767452
08/04/2013,22.24,0.015405833
05/04/2013,21.9,-0.006372347
04/04/2013,22.04,-0.008583744
03/04/2013,22.23,-0.036223041
02/04/2013,23.05,-0.032859794
01/04/2013,23.82,-0.012101128
28/03/2013,24.11,-0.004964843
27/03/2013,24.23,0.001238902
26/03/2013,24.2,0.019191244
25/03/2013,23.74,0.001264489
22/03/2013,23.71,0.005498005
21/03/2013,23.58,-0.029254071
20/03/2013,24.28,0.011599136
19/03/2013,24,-0.000832986
18/03/2013,24.02,-0.010354203
15/03/2013,24.27,0.00495664
14/03/2013,24.15,0.034973019
13/03/2013,23.32,0.023867481
12/03/2013,22.77,-0.00263158
11/03/2013,22.83,0.014560151
08/03/2013,22.5,0.006241661
07/03/2013,22.36,0.000894855
06/03/2013,22.34,-0.017306844
05/03/2013,22.73,0.013286289
04/03/2013,22.43,0.002231646
01/03/2013,22.38,0.007625065
28/02/2013,22.21,0.016799487
27/02/2013,21.84,0.011976191
26/02/2013,21.58,0.023442236
25/02/2013,21.08,0.002850358
22/02/2013,21.02,0.017274902
21/02/2013,20.66,0.005825259
20/02/2013,20.54,-0.029265701
19/02/2013,21.15,0.086366839
15/02/2013,19.4,0.022414282
14/02/2013,18.97,-0.000527009
13/02/2013,18.98,0.001581862
12/02/2013,18.95,-0.008407827
11/02/2013,19.11,-0.007299302
08/02/2013,19.25,0.001039501
07/02/2013,19.23,-0.014968021
06/02/2013,19.52,0.005136118
05/02/2013,19.42,0.027141541
04/02/2013,18.9,-0.009478744
01/02/2013,19.08,0.019048195
31/01/2013,18.72,0.003210276
30/01/2013,18.66,-0.001606426
29/01/2013,18.69,0.002678812
28/01/2013,18.64,0.001073537
25/01/2013,18.62,-0.016511693
24/01/2013,18.93,0
23/01/2013,18.93,0.003704688
22/01/2013,18.86,0.003186407
18/01/2013,18.8,-0.001594473
17/01/2013,18.83,0.012827541
16/01/2013,18.59,0.016816236
15/01/2013,18.28,-0.002731496
14/01/2013,18.33,0.00601917
11/01/2013,18.22,-0.003834571
10/01/2013,18.29,0.003834571
09/01/2013,18.22,0.001098298
08/01/2013,18.2,0.002200221
07/01/2013,18.16,0.002757101
04/01/2013,18.11,0.006092514
03/01/2013,18,0.003338901
02/01/2013,17.94,0.02426071
31/12/2012,17.51,0.024278649
28/12/2012,17.09,-0.016251083
27/12/2012,17.37,-0.004595068
26/12/2012,17.45,-0.005714301
24/12/2012,17.55,0.011461444
21/12/2012,17.35,0
20/12/2012,17.35,0.006940456
19/12/2012,17.23,0.034241834
18/12/2012,16.65,0.021245109
17/12/2012,16.3,0.010484216
14/12/2012,16.13,-0.01842804
13/12/2012,16.43,0.004269601
12/12/2012,16.36,-0.007914805
11/12/2012,16.49,-0.004839695
10/12/2012,16.57,0.003627574
07/12/2012,16.51,-0.011442461
06/12/2012,16.7,0.01569133
05/12/2012,16.44,-0.000608088
04/12/2012,16.45,-0.005456212
03/12/2012,16.54,-0.016786965
30/11/2012,16.82,0.001189768
29/11/2012,16.8,-0.008298803
28/11/2012,16.94,0.001772526
27/11/2012,16.91,-0.015840754
26/11/2012,17.18,0.001164822
23/11/2012,17.16,0.021797623
21/11/2012,16.79,0.002982406
20/11/2012,16.74,-0.000597193
19/11/2012,16.75,0.021726866
16/11/2012,16.39,-0.006082744
15/11/2012,16.49,-0.008454157
14/11/2012,16.63,-0.033701091
13/11/2012,17.2,0.025317808
12/11/2012,16.77,0.005381179
09/11/2012,16.68,0.006616565
08/11/2012,16.57,-0.004215604
07/11/2012,16.64,-0.012541221
06/11/2012,16.85,0
05/11/2012,16.85,0.01073996
02/11/2012,16.67,-0.0005997
01/11/2012,16.68,0.027965348
31/10/2012,16.22,0.023706662
26/10/2012,15.84,-0.005037794
25/10/2012,15.92,0.011370937
24/10/2012,15.74,0.001271456
23/10/2012,15.72,-0.020151815
22/10/2012,16.04,0.005626773
19/10/2012,15.95,-0.034507429
18/10/2012,16.51,0.014028897
17/10/2012,16.28,0.019851769
16/10/2012,15.96,0.029245568
15/10/2012,15.5,0.00972455
12/10/2012,15.35,-0.008433394
11/10/2012,15.48,0.005181359
10/10/2012,15.4,-0.012262174
09/10/2012,15.59,-0.007667769
08/10/2012,15.71,-0.01265039
05/10/2012,15.91,0.030634176
04/10/2012,15.43,0.012390116
03/10/2012,15.24,-0.007191924
02/10/2012,15.35,-0.021270541
01/10/2012,15.68,0.014129972
28/09/2012,15.46,-0.00837364
27/09/2012,15.59,0.001283697
26/09/2012,15.57,-0.006402071
25/09/2012,15.67,-0.042479841
24/09/2012,16.35,-0.019382799
21/09/2012,16.67,0.006016865
20/09/2012,16.57,0.028153634
19/09/2012,16.11,0.001242236
18/09/2012,16.09,0.005609239
17/09/2012,16,-0.018576386
14/09/2012,16.3,0.004920059
13/09/2012,16.22,0.026235109
12/09/2012,15.8,0.012739026
11/09/2012,15.6,-0.003200003
10/09/2012,15.65,0.038428695
07/09/2012,15.06,0.00465891
06/09/2012,14.99,0.00200334
05/09/2012,14.96,0.05778774
04/09/2012,14.12,-0.010567199
31/08/2012,14.27,-0.002799162
30/08/2012,14.31,-0.018692133
29/08/2012,14.58,0.104751038
28/08/2012,13.13,0.000761905
27/08/2012,13.12,-0.010614201
24/08/2012,13.26,0.011376687
23/08/2012,13.11,-0.027089693
22/08/2012,13.47,0.00969795
21/08/2012,13.34,-0.000749344
20/08/2012,13.35,-0.017081737
17/08/2012,13.58,-0.018964828
16/08/2012,13.84,0.021176403
15/08/2012,13.55,-0.008817103
14/08/2012,13.67,-0.000731261
13/08/2012,13.68,-0.022407876
10/08/2012,13.99,-0.001428572
09/08/2012,14.01,0.007163354
08/08/2012,13.91,-0.001436782
07/08/2012,13.93,0.009376196
06/08/2012,13.8,-0.001448226
03/08/2012,13.82,0.04969506
02/08/2012,13.15,-0.183588181
01/08/2012,15.8,-0.025001302
31/07/2012,16.2,0.005571045
30/07/2012,16.11,0.010608524
27/07/2012,15.94,0.03901998
26/07/2012,15.33,0.003266909
25/07/2012,15.28,-0.007173164
24/07/2012,15.39,-0.001298701
23/07/2012,15.41,-0.010971391
20/07/2012,15.58,-0.005760016
19/07/2012,15.67,0.014786512
18/07/2012,15.44,-0.00194112
17/07/2012,15.47,0.011703645
16/07/2012,15.29,-0.004567708
13/07/2012,15.36,0.018397365
12/07/2012,15.08,-0.030691276
11/07/2012,15.55,-0.005771096
10/07/2012,15.64,-0.00255428
09/07/2012,15.68,-0.008888947
06/07/2012,15.82,-0.008183867
05/07/2012,15.95,0
03/07/2012,15.95,0.026041484
02/07/2012,15.54,0.0064558
29/06/2012,15.44,0.032250245
28/06/2012,14.95,0.003350087
27/06/2012,14.9,-0.024528906
26/06/2012,15.27,-0.001962709
25/06/2012,15.3,-0.018135212
22/06/2012,15.58,0.009026496
21/06/2012,15.44,-0.023681107
20/06/2012,15.81,-0.004417805
19/06/2012,15.88,0.017148721
18/06/2012,15.61,0.00449439
15/06/2012,15.54,0.00128783
14/06/2012,15.52,0.012317822
13/06/2012,15.33,-0.020659224
12/06/2012,15.65,0.016103408
11/06/2012,15.4,-0.014824635
08/06/2012,15.63,0.005774799
07/06/2012,15.54,-0.007692346
06/06/2012,15.66,0.026530188
05/06/2012,15.25,0.020537323
04/06/2012,14.94,-0.021192846
01/06/2012,15.26,-0.025235891
31/05/2012,15.65,-0.00446287
30/05/2012,15.72,-0.031927595
29/05/2012,16.23,0.014272659
25/05/2012,16,-0.004987542
24/05/2012,16.08,-0.01113184
23/05/2012,16.26,0.011753924
22/05/2012,16.07,-0.008057062
21/05/2012,16.2,0.010549276
18/05/2012,16.03,-0.014246137
17/05/2012,16.26,-0.036235848
16/05/2012,16.86,-0.020546658
15/05/2012,17.21,-0.018993377
14/05/2012,17.54,-0.01471447
11/05/2012,17.8,-0.017817843
10/05/2012,18.12,-0.00165426
09/05/2012,18.15,0.010523498
08/05/2012,17.96,0.020248161
07/05/2012,17.6,-0.005100606
04/05/2012,17.69,-0.034447851
03/05/2012,18.31,-0.034356573
02/05/2012,18.95,-0.017264358
01/05/2012,19.28,0.00520022
30/04/2012,19.18,-0.003123376
27/04/2012,19.24,0.003644888
26/04/2012,19.17,0.013126993
25/04/2012,18.92,0.024613335
24/04/2012,18.46,-0.011311728
23/04/2012,18.67,-0.023293801
20/04/2012,19.11,-0.000523149
19/04/2012,19.12,0
18/04/2012,19.12,0.004718226
17/04/2012,19.03,0.024469306
16/04/2012,18.57,-0.008579141
13/04/2012,18.73,-0.002133334
12/04/2012,18.77,0.021540951
11/04/2012,18.37,0.007650311
10/04/2012,18.23,-0.031851545
09/04/2012,18.82,-0.031898129
05/04/2012,19.43,-0.02641088
04/04/2012,19.95,0.001504891
03/04/2012,19.92,0.025420789
02/04/2012,19.42,0.005680366
